ID,Size,Predicted,Actual
574,223,1.0,YES
224,235,1.0,NO
1917,252,1.0,NO
1966,268,1.0,NO
605,283,1.0,YES
1412,348,1.0,NO
983,357,1.0,NO
995,358,1.0,YES
1000,359,1.0,NO
853,378,1.0,NO
560,382,1.0,NO
565,409,1.0,NO
219,410,1.0,NO
1274,425,1.0,NO
1147,432,1.0,YES
1007,458,1.0,NO
1918,485,1.0,NO
1920,498,1.0,NO
1418,515,1.0,NO
1409,525,1.0,NO
585,526,1.0,YES
986,556,1.0,NO
584,596,1.0,YES
1420,602,1.0,NO
1008,691,1.0,NO
869,716,1.0,NO
984,719,1.0,NO
1944,751,1.0,NO
1300,757,1.0,NO
998,785,1.0,NO
863,834,1.0,NO
1941,1366,1.0,NO
1128,1879,1.0,NO
1126,1900,1.0,NO
1121,2143,1.0,NO
1864,2298,1.0,NO
1050,2351,1.0,NO
857,2577,1.0,YES
1404,2612,1.0,NO
1123,2756,1.0,NO
979,3794,1.0,NO
1058,3904,1.0,NO
1094,47241,1.0,NO
0,118,0.0,NO
1,22,0.0,NO
2,75,0.0,NO
3,133,0.0,NO
4,79,0.0,NO
5,91,0.0,NO
6,70,0.0,NO
7,57,0.0,NO
8,70,0.0,NO
9,59,0.0,NO
10,88,0.0,NO
11,40,0.0,NO
12,104,0.0,NO
13,195,0.0,NO
14,201,0.0,NO
15,97,0.0,NO
16,101,0.0,NO
17,98,0.0,NO
18,187,0.0,NO
19,149,0.0,NO
20,151,0.0,NO
21,196,0.0,NO
22,90,0.0,NO
23,115,0.0,NO
24,62,0.0,NO
25,61,0.0,NO
26,142,0.0,YES
27,47,0.0,YES
28,85,0.0,NO
29,65,0.0,NO
30,106,0.0,NO
31,85,0.0,NO
32,88,0.0,NO
33,144,0.0,NO
34,81,0.0,NO
35,80,0.0,NO
36,69,0.0,NO
37,89,0.0,NO
38,67,0.0,NO
39,88,0.0,NO
40,40,0.0,NO
41,92,0.0,NO
42,95,0.0,NO
43,49,0.0,NO
44,102,0.0,NO
45,94,0.0,NO
46,72,0.0,NO
47,69,0.0,NO
48,86,0.0,NO
49,174,0.0,YES
50,131,0.0,NO
51,166,0.0,NO
52,116,0.0,NO
53,155,0.0,NO
54,67,0.0,NO
55,88,0.0,NO
56,40,0.0,NO
57,57,0.0,NO
58,39,0.0,NO
59,98,0.0,NO
60,106,0.0,NO
61,101,0.0,NO
62,94,0.0,NO
63,76,0.0,NO
64,116,0.0,NO
65,56,0.0,NO
66,48,0.0,NO
67,82,0.0,NO
68,45,0.0,NO
69,45,0.0,NO
70,30,0.0,NO
71,77,0.0,NO
72,302,0.0,NO
73,86,0.0,NO
74,198,0.0,NO
75,175,0.0,NO
76,68,0.0,NO
77,105,0.0,NO
78,194,0.0,NO
79,106,0.0,NO
80,97,0.0,NO
81,65,0.0,YES
82,101,0.0,NO
83,62,0.0,NO
84,108,0.0,NO
