ID,Size,Predicted,Actual
1653,163,0.79451084,YES
1662,266,0.9988922,YES
845,256,0.9273225,YES
823,166,0.57456684,YES
1629,297,0.9999672,YES
740,348,0.99999315,YES
143,154,0.41989908,YES
103,392,0.9999987,YES
841,171,0.3924863,YES
550,449,1.0,YES
835,566,1.0,YES
927,623,1.0,YES
681,105,0.16515091,YES
1648,90,0.13534135,YES
683,56,0.07335975,YES
836,111,0.13595577,YES
687,83,0.1006711,YES
685,67,0.08009134,YES
1680,39,0.04634661,YES
684,88,0.101224266,YES
1657,61,0.0690199,YES
846,147,0.16463977,YES
544,164,0.17343122,YES
840,139,0.12243483,YES
1136,173,0.14318164,YES
923,1271,1.0,YES
1073,855,0.6129465,YES
686,102,0.07305138,YES
855,1389,0.9183498,YES
102,71,0.046257894,YES
700,590,0.35656404,YES
206,122,0.064625606,YES
939,1879,0.97217697,YES
932,2143,0.983609,YES
862,2193,0.9925902,YES
682,81,0.036515195,YES
142,30,0.012654176,YES
1578,2413,0.9988903,YES
1628,72,0.028433,YES
824,33,0.012820644,YES
691,2574,0.9989092,YES
139,35,0.013507088,YES
146,68,0.02611784,YES
147,68,0.02611784,YES
1208,2610,0.9999632,YES
141,64,0.024130853,YES
118,203,0.07521887,YES
198,110,0.040554985,YES
148,60,0.022044657,YES
140,62,0.022730848,YES
145,45,0.016367706,YES
934,2756,0.999999,YES
822,61,0.022042574,YES
144,53,0.018617196,YES
138,47,0.016367706,YES
1003,91,0.031649735,YES
469,406,0.13893582,YES
869,2935,0.99973714,NO
546,133,0.045088157,YES
200,104,0.03425887,YES
207,95,0.025972264,YES
209,95,0.025972264,YES
203,96,0.025972264,YES
1128,117,0.03163438,YES
926,1445,0.37848553,YES
208,91,0.022425696,YES
1681,40,0.009837492,YES
113,188,0.046162944,YES
837,87,0.021125324,YES
1561,134,0.03163438,YES
839,90,0.021125324,YES
850,1158,0.27068368,YES
935,1093,0.2455126,YES
199,29,0.0064535975,YES
554,118,0.026081525,YES
963,56,0.01223412,NO
838,31,0.0064741652,YES
843,76,0.015405034,YES
201,38,0.007216273,YES
548,111,0.02094188,YES
204,42,0.0077874074,YES
210,68,0.012503017,YES
149,346,0.062266752,YES
202,44,0.0077874074,YES
937,1900,0.33214617,NO
844,47,0.008100845,YES
205,48,0.008100845,YES
547,108,0.018221892,YES
920,916,0.1529562,YES
922,1381,0.22605701,YES
117,65,0.009996423,YES
1572,70,0.009995467,YES
842,22,0.003072471,YES
792,610,0.082632,YES
553,95,0.012383919,YES
815,612,0.07608064,YES
551,84,0.009233108,YES
114,93,0.009839961,YES
98,132,0.013874411,YES
692,58,0.0060208286,YES
928,1264,0.12544222,YES
1675,106,0.010510526,YES
552,38,0.0036369609,YES
549,73,0.0069499067,YES
717,423,0.040147875,YES
543,39,0.0036369609,YES
557,58,0.0049696863,YES
556,57,0.004880239,YES
545,48,0.0040815496,YES
555,48,0.0040815496,YES
874,914,0.06700835,YES
1207,76,0.0052826987,YES
1583,80,0.0054114563,YES
747,89,0.0057153422,YES
745,80,0.0046228087,YES
856,878,0.046874143,YES
464,136,0.0070013655,YES
1205,106,0.0052968813,YES
1206,115,0.0052551324,YES
94,239,0.010505209,YES
708,276,0.011969804,YES
233,22,8.9147215E-4,NO
713,22,8.9147215E-4,NO
726,22,8.9147215E-4,NO
786,22,8.9147215E-4,NO
791,22,8.9147215E-4,NO
807,22,8.9147215E-4,NO
1024,22,8.9147215E-4,NO
1027,22,8.9147215E-4,NO
1193,22,8.9147215E-4,NO
1211,22,8.9147215E-4,NO
1293,22,8.9147215E-4,NO
1349,22,8.9147215E-4,NO
896,804,0.031182734,YES
1023,23,8.9147215E-4,NO
1159,23,8.9147215E-4,NO
1177,23,8.9147215E-4,NO
1341,23,8.9147215E-4,NO
1342,23,8.9147215E-4,NO
1343,23,8.9147215E-4,NO
1457,23,8.9147215E-4,NO
1477,23,8.9147215E-4,NO
63,24,8.9147215E-4,NO
70,24,8.9147215E-4,NO
623,24,8.9147215E-4,NO
662,24,8.9147215E-4,NO
719,24,8.9147215E-4,NO
728,24,8.9147215E-4,NO
833,24,8.9147215E-4,NO
942,24,8.9147215E-4,NO
1026,24,8.9147215E-4,NO
1161,24,8.9147215E-4,NO
1178,24,8.9147215E-4,NO
1195,24,8.9147215E-4,NO
1236,24,8.9147215E-4,NO
1299,24,8.9147215E-4,NO
1307,24,8.9147215E-4,NO
1308,24,8.9147215E-4,NO
1335,24,8.9147215E-4,NO
1423,24,8.9147215E-4,NO
1471,24,8.9147215E-4,NO
1537,24,8.9147215E-4,NO
255,25,8.9147215E-4,NO
474,25,8.9147215E-4,NO
501,25,8.9147215E-4,NO
720,25,8.9147215E-4,NO
1061,25,8.9147215E-4,NO
1070,25,8.9147215E-4,NO
1071,25,8.9147215E-4,NO
1194,25,8.9147215E-4,NO
1218,25,8.9147215E-4,NO
1283,25,8.9147215E-4,NO
1301,25,8.9147215E-4,NO
1302,25,8.9147215E-4,NO
1428,25,8.9147215E-4,NO
1439,25,8.9147215E-4,NO
1440,25,8.9147215E-4,NO
1454,25,8.9147215E-4,NO
1468,25,8.9147215E-4,NO
857,767,0.027033359,YES
270,26,8.9147215E-4,NO
368,26,8.9147215E-4,NO
511,26,8.9147215E-4,NO
515,26,8.9147215E-4,NO
530,26,8.9147215E-4,NO
712,26,8.9147215E-4,NO
769,26,8.9147215E-4,NO
976,26,8.9147215E-4,NO
978,26,8.9147215E-4,NO
979,26,8.9147215E-4,NO
1039,26,8.9147215E-4,YES
1162,26,8.9147215E-4,NO
1274,26,8.9147215E-4,NO
1286,26,8.9147215E-4,NO
1303,26,8.9147215E-4,NO
1310,26,8.9147215E-4,NO
1332,26,8.9147215E-4,NO
1339,26,8.9147215E-4,NO
1358,26,8.9147215E-4,NO
1429,26,8.9147215E-4,NO
1442,26,8.9147215E-4,NO
1450,26,8.9147215E-4,NO
1452,26,8.9147215E-4,NO
1460,26,8.9147215E-4,NO
1463,26,8.9147215E-4,NO
1467,26,8.9147215E-4,NO
1582,26,8.9147215E-4,NO
1601,26,8.9147215E-4,NO
1595,47,0.0015570766,YES
109,27,8.9147215E-4,NO
259,27,8.9147215E-4,NO
486,27,8.9147215E-4,NO
488,27,8.9147215E-4,NO
669,27,8.9147215E-4,NO
695,27,8.9147215E-4,NO
729,27,8.9147215E-4,NO
1042,27,8.9147215E-4,NO
1261,27,8.9147215E-4,NO
1396,27,8.9147215E-4,NO
1411,27,8.9147215E-4,NO
1472,27,8.9147215E-4,NO
1548,27,8.9147215E-4,NO
1551,27,8.9147215E-4,NO
1592,53,0.0017446498,YES
788,357,0.011705731,NO
820,429,0.014016107,YES
1270,84,0.002717243,YES
241,28,8.9147215E-4,NO
323,28,8.9147215E-4,NO
491,28,8.9147215E-4,NO
528,28,8.9147215E-4,NO
735,28,8.9147215E-4,NO
810,28,8.9147215E-4,NO
977,28,8.9147215E-4,NO
1059,28,8.9147215E-4,NO
1203,28,8.9147215E-4,NO
1292,28,8.9147215E-4,NO
1300,28,8.9147215E-4,NO
1447,28,8.9147215E-4,NO
1499,28,8.9147215E-4,NO
898,754,0.023860494,YES
864,457,0.014308972,YES
893,457,0.014308972,YES
130,29,8.9147215E-4,NO
298,29,8.9147215E-4,NO
358,29,8.9147215E-4,NO
479,29,8.9147215E-4,NO
622,29,8.9147215E-4,NO
1121,29,8.9147215E-4,NO
1182,29,8.9147215E-4,NO
1186,29,8.9147215E-4,NO
1192,29,8.9147215E-4,NO
1276,29,8.9147215E-4,NO
1279,29,8.9147215E-4,NO
1281,29,8.9147215E-4,NO
1282,29,8.9147215E-4,NO
1346,29,8.9147215E-4,NO
1386,29,8.9147215E-4,NO
1391,29,8.9147215E-4,NO
1406,29,8.9147215E-4,NO
914,663,0.020334836,YES
897,459,0.014033985,YES
894,470,0.014308972,YES
901,470,0.014308972,YES
902,474,0.014308972,YES
885,465,0.014033985,YES
915,566,0.017043488,YES
883,460,0.01374324,YES
931,460,0.01374324,YES
135,30,8.9147215E-4,NO
256,30,8.9147215E-4,NO
258,30,8.9147215E-4,NO
297,30,8.9147215E-4,NO
516,30,8.9147215E-4,NO
657,30,8.9147215E-4,NO
680,30,8.9147215E-4,NO
742,30,8.9147215E-4,NO
783,30,8.9147215E-4,NO
984,30,8.9147215E-4,NO
997,30,8.9147215E-4,NO
1033,30,8.9147215E-4,NO
1199,30,8.9147215E-4,NO
1204,30,8.9147215E-4,NO
1324,30,8.9147215E-4,NO
1453,30,8.9147215E-4,NO
1483,30,8.9147215E-4,NO
900,675,0.019946389,YES
1545,578,0.016851403,YES
101,460,0.013358255,YES
76,31,8.9147215E-4,NO
134,31,8.9147215E-4,NO
178,31,8.9147215E-4,NO
262,31,8.9147215E-4,NO
354,31,8.9147215E-4,NO
374,31,8.9147215E-4,NO
513,31,8.9147215E-4,NO
525,31,8.9147215E-4,NO
696,31,8.9147215E-4,NO
790,31,8.9147215E-4,NO
804,31,8.9147215E-4,NO
968,31,8.9147215E-4,NO
982,31,8.9147215E-4,NO
995,31,8.9147215E-4,NO
1032,31,8.9147215E-4,NO
1034,31,8.9147215E-4,NO
1036,31,8.9147215E-4,NO
1056,31,8.9147215E-4,NO
1148,31,8.9147215E-4,NO
1180,31,8.9147215E-4,NO
1183,31,8.9147215E-4,NO
1212,31,8.9147215E-4,NO
1257,31,8.9147215E-4,NO
1266,31,8.9147215E-4,NO
1268,31,8.9147215E-4,NO
1269,31,8.9147215E-4,NO
1311,31,8.9147215E-4,NO
1334,31,8.9147215E-4,NO
1353,31,8.9147215E-4,NO
1356,31,8.9147215E-4,NO
1404,31,8.9147215E-4,NO
1425,31,8.9147215E-4,NO
1448,31,8.9147215E-4,NO
1599,31,8.9147215E-4,NO
97,523,0.014776693,YES
899,555,0.015557349,YES
907,555,0.015557349,YES
33,32,8.9147215E-4,NO
127,32,8.9147215E-4,YES
236,32,8.9147215E-4,NO
310,32,8.9147215E-4,NO
340,32,8.9147215E-4,NO
353,32,8.9147215E-4,YES
379,32,8.9147215E-4,NO
418,32,8.9147215E-4,NO
441,32,8.9147215E-4,NO
460,32,8.9147215E-4,YES
507,32,8.9147215E-4,NO
620,32,8.9147215E-4,YES
661,32,8.9147215E-4,NO
693,32,8.9147215E-4,NO
703,32,8.9147215E-4,NO
803,32,8.9147215E-4,NO
1037,32,8.9147215E-4,NO
1171,32,8.9147215E-4,NO
1172,32,8.9147215E-4,NO
1173,32,8.9147215E-4,NO
1174,32,8.9147215E-4,NO
1267,32,8.9147215E-4,NO
1289,32,8.9147215E-4,NO
1330,32,8.9147215E-4,NO
1331,32,8.9147215E-4,NO
1354,32,8.9147215E-4,NO
1482,32,8.9147215E-4,NO
1486,32,8.9147215E-4,NO
1523,32,8.9147215E-4,NO
261,33,8.9147215E-4,NO
435,33,8.9147215E-4,NO
672,33,8.9147215E-4,NO
795,33,8.9147215E-4,NO
1072,33,8.9147215E-4,NO
1213,33,8.9147215E-4,NO
1278,33,8.9147215E-4,NO
1298,33,8.9147215E-4,NO
1344,33,8.9147215E-4,NO
1424,33,8.9147215E-4,NO
1455,33,8.9147215E-4,NO
1485,33,8.9147215E-4,NO
1546,33,8.9147215E-4,NO
478,201,0.005403021,YES
453,281,0.0075159697,YES
793,249,0.00656587,YES
508,34,8.9147215E-4,NO
529,34,8.9147215E-4,NO
571,34,8.9147215E-4,NO
586,34,8.9147215E-4,NO
1018,34,8.9147215E-4,NO
1181,34,8.9147215E-4,NO
1264,34,8.9147215E-4,NO
1496,34,8.9147215E-4,NO
165,35,8.9147215E-4,NO
224,35,8.9147215E-4,NO
269,35,8.9147215E-4,NO
456,35,8.9147215E-4,YES
591,35,8.9147215E-4,NO
718,35,8.9147215E-4,NO
744,35,8.9147215E-4,NO
821,35,8.9147215E-4,NO
992,35,8.9147215E-4,NO
1168,35,8.9147215E-4,NO
1347,35,8.9147215E-4,NO
1366,35,8.9147215E-4,NO
1501,35,8.9147215E-4,NO
1544,35,8.9147215E-4,NO
73,36,8.9147215E-4,NO
74,36,8.9147215E-4,NO
136,36,8.9147215E-4,NO
177,36,8.9147215E-4,NO
194,36,8.9147215E-4,NO
211,36,8.9147215E-4,NO
257,36,8.9147215E-4,NO
327,36,8.9147215E-4,NO
355,36,8.9147215E-4,NO
365,36,8.9147215E-4,NO
462,36,8.9147215E-4,YES
503,36,8.9147215E-4,NO
577,36,8.9147215E-4,NO
604,36,8.9147215E-4,YES
738,36,8.9147215E-4,NO
766,36,8.9147215E-4,NO
1104,36,8.9147215E-4,NO
1277,36,8.9147215E-4,NO
1291,36,8.9147215E-4,NO
