ID,Size,Predicted,Actual
1923,203,0.9966268,YES
2230,219,0.99646175,YES
136,176,0.80008847,NO
2151,228,0.9992385,NO
1972,233,0.99998677,YES
2203,235,0.99994034,YES
668,243,0.99994963,NO
1995,246,0.99999905,YES
2201,253,1.0,YES
1593,256,0.9999999,NO
51,263,0.99999964,NO
2226,267,0.9999995,YES
2232,269,0.9999997,NO
2133,275,0.9999999,YES
2078,278,0.9991707,NO
1971,299,1.0,YES
47,332,0.99272203,NO
2242,350,1.0,YES
2243,182,0.51311225,YES
1955,388,1.0,YES
1905,164,0.42258403,NO
2158,391,1.0,YES
1925,424,1.0,NO
2145,465,1.0,NO
44,466,1.0,YES
1939,470,1.0,YES
2222,470,1.0,YES
62,504,1.0,YES
2138,592,1.0,YES
2148,175,0.29116473,YES
1173,710,1.0,YES
525,514,0.69921154,NO
2156,746,1.0,NO
2223,753,1.0,YES
2220,172,0.21796755,NO
1196,802,0.9540859,YES
2238,856,1.0,YES
1156,884,0.99815696,YES
2127,1062,1.0,YES
54,1066,1.0,NO
53,259,0.23966087,NO
1105,1425,1.0,YES
1180,1593,0.9757573,YES
993,1832,0.9972762,YES
1181,1856,1.0,YES
1167,2096,1.0,YES
61,288,0.11001655,YES
2080,937,0.35653058,YES
1924,142,0.04415677,NO
2228,157,0.042015404,YES
1192,3760,1.0,YES
2076,4034,0.9999997,YES
1089,611,0.1086182,YES
1125,3904,0.4542755,YES
1110,1389,0.13879329,YES
2183,135,0.008700477,YES
1195,2112,0.1323121,YES
55,137,0.0068419212,NO
2224,140,0.0068969023,YES
1201,159,0.00758577,YES
2198,972,0.04290287,YES
2137,139,0.006046956,NO
249,138,0.004927551,YES
2202,476,0.014165766,YES
1161,48262,1.0,YES
1884,1514,0.024437312,YES
58,122,0.0015993626,NO
2204,115,0.0013265536,YES
46,119,0.0012275012,NO
595,94,9.2174485E-4,YES
2082,696,0.0053385943,YES
2051,1023,0.006989191,YES
56,151,8.0296665E-4,NO
945,234,0.0012260745,YES
2229,158,7.708498E-4,NO
1095,141,6.414343E-4,YES
52,99,4.2708375E-4,NO
