ID,Size,Predicted,Actual
837,566,1.0,YES
929,623,1.0,YES
925,1271,0.99966806,YES
857,1389,0.9998262,YES
924,1381,0.9868099,YES
1647,1395,0.98350596,YES
928,1445,0.9868099,YES
941,1879,1.0,YES
939,1900,1.0,NO
934,2143,1.0,YES
864,2193,1.0,YES
1583,2413,1.0,YES
693,2574,1.0,YES
1210,2610,1.0,YES
936,2756,1.0,YES
871,2935,1.0,NO
930,1264,0.2099411,YES
870,1328,0.17477313,NO
907,45416,1.0,YES
937,1093,0.0066754175,YES
852,1158,0.0019610256,YES
161,447,2.770949E-4,YES
922,916,1.0306294E-4,YES
1075,855,7.3385614E-5,YES
847,256,1.5312075E-5,YES
1667,266,1.5312075E-5,YES
1398,175,9.581167E-6,NO
201,154,8.396607E-6,YES
1634,297,1.5312075E-5,YES
1658,163,8.396607E-6,YES
825,166,8.396607E-6,YES
843,171,8.396607E-6,YES
1330,986,3.438714E-5,YES
876,914,3.0135801E-5,YES
860,901,2.4018655E-5,NO
877,921,2.4018655E-5,NO
848,147,3.73736E-7,YES
900,754,9.545987E-7,YES
859,767,9.545987E-7,YES
898,804,9.545987E-7,YES
207,497,5.48828E-7,YES
858,878,9.545987E-7,YES
738,724,7.6082404E-7,YES
861,751,7.6082404E-7,NO
1495,751,7.6082404E-7,YES
447,759,7.6082404E-7,YES
1625,764,7.6082404E-7,NO
908,795,7.6082404E-7,NO
880,800,7.6082404E-7,NO
414,823,7.6082404E-7,YES
905,835,7.6082404E-7,NO
862,851,7.6082404E-7,NO
1328,857,7.6082404E-7,NO
917,566,6.213656E-8,YES
1550,578,6.213656E-8,YES
702,590,6.213656E-8,YES
794,610,6.213656E-8,YES
817,612,6.213656E-8,YES
484,613,6.213656E-8,YES
916,663,6.213656E-8,YES
902,675,6.213656E-8,YES
890,560,4.95234E-8,NO
419,562,4.95234E-8,YES
1554,568,4.95234E-8,YES
1690,570,4.95234E-8,YES
1107,580,4.95234E-8,YES
1298,580,4.95234E-8,NO
940,604,4.95234E-8,NO
854,607,4.95234E-8,NO
975,612,4.95234E-8,NO
117,618,4.95234E-8,YES
849,626,4.95234E-8,NO
914,630,4.95234E-8,NO
891,631,4.95234E-8,NO
883,635,4.95234E-8,NO
884,640,4.95234E-8,YES
1638,672,4.95234E-8,NO
964,695,4.95234E-8,NO
1395,22,1.5525442E-9,NO
856,703,4.95234E-8,NO
872,713,4.95234E-8,NO
1592,716,4.95234E-8,YES
1,22,1.3326309E-9,NO
290,22,1.0844066E-9,NO
715,22,1.0844066E-9,NO
728,22,1.0844066E-9,NO
788,22,1.0844066E-9,NO
793,22,1.0844066E-9,NO
809,22,1.0844066E-9,NO
844,22,1.0844066E-9,YES
1026,22,1.0844066E-9,NO
1029,22,1.0844066E-9,NO
1195,22,1.0844066E-9,NO
1213,22,1.0844066E-9,NO
1295,22,1.0844066E-9,NO
1352,22,1.0844066E-9,NO
1025,23,1.0844066E-9,NO
1161,23,1.0844066E-9,NO
1179,23,1.0844066E-9,NO
1344,23,1.0844066E-9,NO
1345,23,1.0844066E-9,NO
1346,23,1.0844066E-9,NO
1462,23,1.0844066E-9,NO
1482,23,1.0844066E-9,NO
1326,33,1.5525442E-9,NO
257,29,1.360595E-9,YES
200,30,1.360595E-9,YES
121,24,1.0844066E-9,NO
128,24,1.0844066E-9,NO
645,24,1.0844066E-9,NO
672,24,1.0844066E-9,NO
721,24,1.0844066E-9,NO
730,24,1.0844066E-9,NO
835,24,1.0844066E-9,NO
944,24,1.0844066E-9,NO
1028,24,1.0844066E-9,NO
1163,24,1.0844066E-9,NO
1180,24,1.0844066E-9,NO
1197,24,1.0844066E-9,NO
1238,24,1.0844066E-9,NO
1301,24,1.0844066E-9,NO
1309,24,1.0844066E-9,NO
1310,24,1.0844066E-9,NO
1338,24,1.0844066E-9,NO
1428,24,1.0844066E-9,NO
1476,24,1.0844066E-9,NO
1542,24,1.0844066E-9,NO
840,31,1.360595E-9,YES
311,25,1.0844066E-9,NO
508,25,1.0844066E-9,NO
535,25,1.0844066E-9,NO
722,25,1.0844066E-9,NO
1063,25,1.0844066E-9,NO
1072,25,1.0844066E-9,NO
1073,25,1.0844066E-9,NO
1196,25,1.0844066E-9,NO
1220,25,1.0844066E-9,NO
1285,25,1.0844066E-9,NO
1303,25,1.0844066E-9,NO
1304,25,1.0844066E-9,NO
1433,25,1.0844066E-9,NO
1444,25,1.0844066E-9,NO
1445,25,1.0844066E-9,NO
1459,25,1.0844066E-9,NO
1473,25,1.0844066E-9,NO
326,26,1.0844066E-9,NO
415,26,1.0844066E-9,NO
545,26,1.0844066E-9,NO
549,26,1.0844066E-9,NO
564,26,1.0844066E-9,NO
714,26,1.0844066E-9,NO
771,26,1.0844066E-9,NO
978,26,1.0844066E-9,NO
980,26,1.0844066E-9,NO
981,26,1.0844066E-9,NO
1041,26,1.0844066E-9,YES
1164,26,1.0844066E-9,NO
1276,26,1.0844066E-9,NO
1288,26,1.0844066E-9,NO
1305,26,1.0844066E-9,NO
1312,26,1.0844066E-9,NO
1335,26,1.0844066E-9,NO
1342,26,1.0844066E-9,NO
1361,26,1.0844066E-9,NO
1434,26,1.0844066E-9,NO
1447,26,1.0844066E-9,NO
1455,26,1.0844066E-9,NO
1457,26,1.0844066E-9,NO
1465,26,1.0844066E-9,NO
1468,26,1.0844066E-9,NO
1472,26,1.0844066E-9,NO
1587,26,1.0844066E-9,NO
1606,26,1.0844066E-9,NO
826,33,1.360595E-9,YES
167,27,1.0844066E-9,NO
315,27,1.0844066E-9,NO
520,27,1.0844066E-9,NO
522,27,1.0844066E-9,NO
679,27,1.0844066E-9,NO
697,27,1.0844066E-9,NO
731,27,1.0844066E-9,NO
1044,27,1.0844066E-9,NO
1263,27,1.0844066E-9,NO
1401,27,1.0844066E-9,NO
1416,27,1.0844066E-9,NO
1477,27,1.0844066E-9,NO
1553,27,1.0844066E-9,NO
1556,27,1.0844066E-9,NO
197,35,1.360595E-9,YES
297,28,1.0844066E-9,NO
370,28,1.0844066E-9,NO
525,28,1.0844066E-9,NO
562,28,1.0844066E-9,NO
737,28,1.0844066E-9,NO
812,28,1.0844066E-9,NO
979,28,1.0844066E-9,NO
1061,28,1.0844066E-9,NO
1205,28,1.0844066E-9,NO
1294,28,1.0844066E-9,NO
1302,28,1.0844066E-9,NO
1452,28,1.0844066E-9,NO
1504,28,1.0844066E-9,NO
188,29,1.0844066E-9,NO
354,29,1.0844066E-9,NO
405,29,1.0844066E-9,NO
513,29,1.0844066E-9,NO
644,29,1.0844066E-9,NO
1123,29,1.0844066E-9,NO
1184,29,1.0844066E-9,NO
1188,29,1.0844066E-9,NO
1194,29,1.0844066E-9,NO
1278,29,1.0844066E-9,NO
1281,29,1.0844066E-9,NO
1283,29,1.0844066E-9,NO
1284,29,1.0844066E-9,NO
1349,29,1.0844066E-9,NO
1389,29,1.0844066E-9,NO
1394,29,1.0844066E-9,NO
1411,29,1.0844066E-9,NO
57,30,1.0844066E-9,NO
193,30,1.0844066E-9,NO
312,30,1.0844066E-9,NO
314,30,1.0844066E-9,NO
353,30,1.0844066E-9,NO
550,30,1.0844066E-9,NO
667,30,1.0844066E-9,NO
744,30,1.0844066E-9,NO
785,30,1.0844066E-9,NO
986,30,1.0844066E-9,NO
999,30,1.0844066E-9,NO
1035,30,1.0844066E-9,NO
1201,30,1.0844066E-9,NO
1206,30,1.0844066E-9,NO
1327,30,1.0844066E-9,NO
1458,30,1.0844066E-9,NO
1488,30,1.0844066E-9,NO
259,38,1.360595E-9,YES
134,31,1.0844066E-9,NO
192,31,1.0844066E-9,NO
236,31,1.0844066E-9,NO
318,31,1.0844066E-9,NO
401,31,1.0844066E-9,NO
421,31,1.0844066E-9,NO
547,31,1.0844066E-9,NO
559,31,1.0844066E-9,NO
698,31,1.0844066E-9,NO
792,31,1.0844066E-9,NO
806,31,1.0844066E-9,NO
970,31,1.0844066E-9,NO
984,31,1.0844066E-9,NO
997,31,1.0844066E-9,NO
1034,31,1.0844066E-9,NO
1036,31,1.0844066E-9,NO
1038,31,1.0844066E-9,NO
1058,31,1.0844066E-9,NO
1150,31,1.0844066E-9,NO
1182,31,1.0844066E-9,NO
1185,31,1.0844066E-9,NO
1214,31,1.0844066E-9,NO
1259,31,1.0844066E-9,NO
1268,31,1.0844066E-9,NO
1270,31,1.0844066E-9,NO
1271,31,1.0844066E-9,NO
1313,31,1.0844066E-9,NO
1337,31,1.0844066E-9,NO
1356,31,1.0844066E-9,NO
1359,31,1.0844066E-9,NO
1409,31,1.0844066E-9,NO
1430,31,1.0844066E-9,NO
1453,31,1.0844066E-9,NO
1604,31,1.0844066E-9,NO
1685,39,1.360595E-9,YES
1686,40,1.360595E-9,YES
91,32,1.0844066E-9,NO
185,32,1.0844066E-9,YES
293,32,1.0844066E-9,NO
366,32,1.0844066E-9,NO
387,32,1.0844066E-9,NO
400,32,1.0844066E-9,YES
426,32,1.0844066E-9,NO
460,32,1.0844066E-9,NO
479,32,1.0844066E-9,NO
494,32,1.0844066E-9,YES
541,32,1.0844066E-9,NO
642,32,1.0844066E-9,YES
671,32,1.0844066E-9,NO
695,32,1.0844066E-9,NO
705,32,1.0844066E-9,NO
805,32,1.0844066E-9,NO
1039,32,1.0844066E-9,NO
1173,32,1.0844066E-9,NO
1174,32,1.0844066E-9,NO
1175,32,1.0844066E-9,NO
1176,32,1.0844066E-9,NO
1269,32,1.0844066E-9,NO
1291,32,1.0844066E-9,NO
1333,32,1.0844066E-9,NO
1334,32,1.0844066E-9,NO
1357,32,1.0844066E-9,NO
1487,32,1.0844066E-9,NO
1491,32,1.0844066E-9,NO
1528,32,1.0844066E-9,NO
317,33,1.0844066E-9,NO
473,33,1.0844066E-9,NO
682,33,1.0844066E-9,NO
797,33,1.0844066E-9,NO
1074,33,1.0844066E-9,NO
1215,33,1.0844066E-9,NO
1280,33,1.0844066E-9,NO
1300,33,1.0844066E-9,NO
1347,33,1.0844066E-9,NO
1429,33,1.0844066E-9,NO
1460,33,1.0844066E-9,NO
1490,33,1.0844066E-9,NO
1551,33,1.0844066E-9,NO
262,42,1.360595E-9,YES
542,34,1.0844066E-9,NO
563,34,1.0844066E-9,NO
604,34,1.0844066E-9,NO
614,34,1.0844066E-9,NO
1020,34,1.0844066E-9,NO
1183,34,1.0844066E-9,NO
1266,34,1.0844066E-9,NO
1501,34,1.0844066E-9,NO
223,35,1.0844066E-9,NO
282,35,1.0844066E-9,NO
325,35,1.0844066E-9,NO
490,35,1.0844066E-9,YES
619,35,1.0844066E-9,NO
720,35,1.0844066E-9,NO
746,35,1.0844066E-9,NO
823,35,1.0844066E-9,NO
994,35,1.0844066E-9,NO
1170,35,1.0844066E-9,NO
1350,35,1.0844066E-9,NO
1369,35,1.0844066E-9,NO
1506,35,1.0844066E-9,NO
1549,35,1.0844066E-9,NO
260,44,1.360595E-9,YES
203,45,1.360595E-9,YES
842,139,4.196534E-9,YES
131,36,1.0844066E-9,NO
132,36,1.0844066E-9,NO
194,36,1.0844066E-9,NO
235,36,1.0844066E-9,NO
252,36,1.0844066E-9,NO
269,36,1.0844066E-9,NO
313,36,1.0844066E-9,NO
374,36,1.0844066E-9,NO
402,36,1.0844066E-9,NO
412,36,1.0844066E-9,NO
496,36,1.0844066E-9,YES
537,36,1.0844066E-9,NO
605,36,1.0844066E-9,NO
630,36,1.0844066E-9,YES
740,36,1.0844066E-9,NO
768,36,1.0844066E-9,NO
1106,36,1.0844066E-9,NO
1279,36,1.0844066E-9,NO
1293,36,1.0844066E-9,NO
1358,36,1.0844066E-9,NO
1363,36,1.0844066E-9,NO
1374,36,1.0844066E-9,NO
1446,36,1.0844066E-9,NO
1486,36,1.0844066E-9,NO
80,37,1.0844066E-9,NO
310,37,1.0844066E-9,NO
316,37,1.0844066E-9,NO
555,37,1.0844066E-9,NO
608,37,1.0844066E-9,NO
615,37,1.0844066E-9,NO
639,37,1.0844066E-9,YES
807,37,1.0844066E-9,NO
1037,37,1.0844066E-9,NO
1187,37,1.0844066E-9,NO
1251,37,1.0844066E-9,NO
1262,37,1.0844066E-9,NO
1354,37,1.0844066E-9,NO
1372,37,1.0844066E-9,NO
1489,37,1.0844066E-9,NO
1540,37,1.0844066E-9,NO
1543,37,1.0844066E-9,NO
1695,37,1.0844066E-9,NO
196,47,1.360595E-9,YES
846,47,1.360595E-9,YES
521,38,1.0844066E-9,NO
529,38,1.0844066E-9,NO
531,38,1.0844066E-9,NO
585,38,1.0844066E-9,YES
597,38,1.0844066E-9,NO
599,38,1.0844066E-9,NO
951,38,1.0844066E-9,NO
1021,38,1.0844066E-9,NO
1033,38,1.0844066E-9,NO
1204,38,1.0844066E-9,NO
1236,38,1.0844066E-9,NO
1241,38,1.0844066E-9,NO
1339,38,1.0844066E-9,NO
1368,38,1.0844066E-9,NO
1371,38,1.0844066E-9,NO
1386,38,1.0844066E-9,NO
1407,38,1.0844066E-9,NO
1412,38,1.0844066E-9,YES
