Id,Size,Prob,NormProb,Actual
687,135,0.86680526,0.0064207795,false
681,130,0.81422234,0.0062632486,false
1505,130,0.81422234,0.0062632486,false
1043,158,0.94795567,0.0059997193,false
43,180,0.9999909,0.005555505,false
692,188,0.9999998,0.005319148,false
690,189,0.9999998,0.005291004,false
389,190,0.9632164,0.0050695604,false
42,201,1.0,0.0049751243,false
941,204,0.9864038,0.0048353127,false
1324,204,0.9864038,0.0048353127,false
689,209,1.0,0.004784689,false
1322,201,0.9553626,0.004753048,false
1456,210,0.9970519,0.004747866,false
933,211,0.9983526,0.004731529,false
685,213,1.0,0.0046948357,false
436,213,0.9983526,0.0046871016,true
677,214,1.0,0.004672897,false
1421,214,0.9983526,0.004665199,false
1397,200,0.93036765,0.0046518384,false
673,216,1.0,0.0046296297,false
653,216,0.9999985,0.0046296227,false
1206,217,0.99948764,0.004605934,false
1300,217,0.99948764,0.004605934,false
1476,217,0.99948764,0.004605934,false
1544,219,0.99999994,0.00456621,false
978,219,0.99948764,0.0045638704,false
103,225,0.9999962,0.0044444273,false
40,229,0.99986935,0.004366242,true
634,229,0.99986935,0.004366242,true
1220,183,0.7905786,0.004320102,false
1068,232,0.9991494,0.0043066787,false
438,184,0.7905786,0.0042966227,true
630,184,0.7905786,0.0042966227,true
943,184,0.7905786,0.0042966227,false
988,184,0.7905786,0.0042966227,false
1179,184,0.7905786,0.0042966227,false
1365,185,0.7905786,0.004273398,false
490,235,0.9999634,0.0042551635,true
1137,186,0.7905786,0.0042504226,false
1538,187,0.7905786,0.004227693,true
621,242,1.0,0.004132231,false
706,243,0.99998045,0.0041151457,false
657,244,0.99999994,0.0040983604,true
647,244,0.9999992,0.0040983576,false
18,246,0.9999982,0.0040650335,false
710,247,0.99999815,0.0040485756,true
9,196,0.7905786,0.004033564,false
631,248,0.9999982,0.004032251,true
1101,199,0.7905786,0.0039727567,false
55,252,0.99999964,0.0039682523,false
489,252,0.99999964,0.0039682523,true
1446,252,0.99999964,0.0039682523,false
1327,182,0.6975422,0.0038326494,false
934,262,0.99999994,0.0038167937,false
1529,262,0.9999976,0.0038167848,false
532,262,0.99226564,0.0037872733,false
1504,242,0.906873,0.003747409,false
1429,267,1.0,0.0037453184,false
674,270,1.0,0.0037037036,false
901,273,1.0,0.0036630037,false
136,189,0.6914909,0.0036586819,true
955,274,0.9999954,0.0036496185,false
1445,277,0.9997355,0.0036091534,false
