Id,Size,Prob,NormProb,Actual
838,566,1.0,0.0017667845,true
930,623,1.0,0.0016051364,false
938,1093,1.0,9.149131E-4,true
853,1158,1.0,8.6355786E-4,true
931,1264,1.0,7.9113926E-4,true
926,1271,1.0,7.8678207E-4,true
871,1328,1.0,7.53012E-4,false
925,1381,1.0,7.2411296E-4,true
858,1389,1.0,7.199424E-4,true
1648,1395,1.0,7.1684585E-4,true
929,1445,1.0,6.9204153E-4,true
942,1879,1.0,5.32198E-4,false
940,1900,1.0,5.2631577E-4,false
935,2143,1.0,4.6663557E-4,true
865,2193,1.0,4.5599634E-4,true
1584,2413,1.0,4.1442187E-4,true
694,2574,1.0,3.885004E-4,true
1211,2610,1.0,3.8314177E-4,true
937,2756,1.0,3.628447E-4,true
872,2935,1.0,3.4071552E-4,false
908,45416,1.0,2.2018672E-5,true
1,120,0.0,0.0,false
2,22,0.0,0.0,false
3,75,0.0,0.0,false
4,135,0.0,0.0,false
5,79,0.0,0.0,false
6,91,0.0,0.0,false
7,70,0.0,0.0,false
8,57,0.0,0.0,false
9,70,0.0,0.0,false
10,59,0.0,0.0,false
11,88,0.0,0.0,false
12,40,0.0,0.0,false
13,104,0.0,0.0,false
14,196,0.0,0.0,false
15,202,0.0,0.0,false
16,97,0.0,0.0,false
17,99,0.0,0.0,false
18,96,0.0,0.0,false
19,189,0.0,0.0,false
20,151,0.0,0.0,false
21,153,0.0,0.0,false
22,199,0.0,0.0,false
23,90,0.0,0.0,false
24,115,0.0,0.0,false
25,62,0.0,0.0,false
26,61,0.0,0.0,false
27,91,0.0,0.0,true
28,81,0.0,0.0,false
29,91,0.0,0.0,false
30,67,0.0,0.0,false
31,88,0.0,0.0,false
32,85,0.0,0.0,false
33,49,0.0,0.0,false
34,102,0.0,0.0,false
35,94,0.0,0.0,false
36,72,0.0,0.0,false
37,70,0.0,0.0,false
38,87,0.0,0.0,false
39,166,0.0,0.0,false
40,116,0.0,0.0,false
41,155,0.0,0.0,false
42,67,0.0,0.0,false
43,88,0.0,0.0,false
44,40,0.0,0.0,false
45,57,0.0,0.0,false
46,39,0.0,0.0,false
47,98,0.0,0.0,false
48,106,0.0,0.0,false
49,101,0.0,0.0,false
50,94,0.0,0.0,false
51,76,0.0,0.0,false
52,116,0.0,0.0,false
53,56,0.0,0.0,false
54,48,0.0,0.0,false
55,82,0.0,0.0,false
56,45,0.0,0.0,false
57,45,0.0,0.0,false
58,30,0.0,0.0,false
59,78,0.0,0.0,false
60,302,0.0,0.0,false
61,87,0.0,0.0,false
62,198,0.0,0.0,false
63,175,0.0,0.0,false
64,65,0.0,0.0,false
65,105,0.0,0.0,false
66,58,0.0,0.0,false
67,196,0.0,0.0,false
68,106,0.0,0.0,false
69,130,0.0,0.0,false
70,64,0.0,0.0,true
71,132,0.0,0.0,false
72,62,0.0,0.0,false
73,108,0.0,0.0,true
74,432,0.0,0.0,false
75,174,0.0,0.0,false
76,246,0.0,0.0,false
77,106,0.0,0.0,true
78,121,0.0,0.0,false
79,110,0.0,0.0,false
80,58,0.0,0.0,false
81,37,0.0,0.0,false
82,77,0.0,0.0,false
83,142,0.0,0.0,false
84,114,0.0,0.0,true
85,80,0.0,0.0,false
86,59,0.0,0.0,false
87,69,0.0,0.0,false
88,95,0.0,0.0,false
89,64,0.0,0.0,false
90,164,0.0,0.0,true
91,70,0.0,0.0,false
92,32,0.0,0.0,false
93,148,0.0,0.0,false
94,156,0.0,0.0,false
95,119,0.0,0.0,false
96,116,0.0,0.0,false
97,93,0.0,0.0,false
98,256,0.0,0.0,true
99,123,0.0,0.0,false
100,201,0.0,0.0,false
101,180,0.0,0.0,false
102,156,0.0,0.0,false
103,98,0.0,0.0,false
104,86,0.0,0.0,true
105,48,0.0,0.0,false
106,143,0.0,0.0,true
107,145,0.0,0.0,false
108,113,0.0,0.0,false
109,146,0.0,0.0,false
110,113,0.0,0.0,false
111,147,0.0,0.0,false
112,125,0.0,0.0,false
113,252,0.0,0.0,false
114,368,0.0,0.0,false
115,106,0.0,0.0,false
116,181,0.0,0.0,false
117,260,0.0,0.0,false
118,618,0.0,0.0,true
119,39,0.0,0.0,false
120,39,0.0,0.0,false
121,39,0.0,0.0,false
122,24,0.0,0.0,false
123,62,0.0,0.0,false
124,77,0.0,0.0,false
125,77,0.0,0.0,false
126,54,0.0,0.0,false
127,92,0.0,0.0,false
128,58,0.0,0.0,false
129,24,0.0,0.0,false
130,64,0.0,0.0,false
131,216,0.0,0.0,false
132,36,0.0,0.0,false
133,36,0.0,0.0,false
134,208,0.0,0.0,false
135,31,0.0,0.0,false
136,39,0.0,0.0,false
137,245,0.0,0.0,false
138,89,0.0,0.0,false
139,59,0.0,0.0,false
140,52,0.0,0.0,false
141,55,0.0,0.0,false
142,88,0.0,0.0,false
143,71,0.0,0.0,false
144,64,0.0,0.0,false
145,39,0.0,0.0,false
146,47,0.0,0.0,false
147,74,0.0,0.0,false
148,71,0.0,0.0,false
149,123,0.0,0.0,true
150,44,0.0,0.0,false
151,122,0.0,0.0,true
152,53,0.0,0.0,false
153,239,0.0,0.0,true
154,44,0.0,0.0,false
155,171,0.0,0.0,false
156,523,0.0,0.0,true
157,132,0.0,0.0,true
158,178,0.0,0.0,false
159,130,0.0,0.0,true
160,460,0.0,0.0,true
161,71,0.0,0.0,true
162,447,0.0,0.0,false
163,225,0.0,0.0,false
164,42,0.0,0.0,false
165,44,0.0,0.0,false
166,94,0.0,0.0,false
167,136,0.0,0.0,false
168,27,0.0,0.0,false
169,47,0.0,0.0,false
170,60,0.0,0.0,false
171,424,0.0,0.0,true
172,232,0.0,0.0,true
173,93,0.0,0.0,true
174,158,0.0,0.0,false
175,105,0.0,0.0,false
176,65,0.0,0.0,true
177,277,0.0,0.0,true
178,54,0.0,0.0,false
179,58,0.0,0.0,false
180,56,0.0,0.0,false
181,198,0.0,0.0,false
182,50,0.0,0.0,false
183,114,0.0,0.0,false
184,54,0.0,0.0,true
185,49,0.0,0.0,false
186,32,0.0,0.0,true
187,43,0.0,0.0,true
188,111,0.0,0.0,true
189,29,0.0,0.0,false
190,49,0.0,0.0,false
191,78,0.0,0.0,false
192,45,0.0,0.0,false
193,31,0.0,0.0,false
194,30,0.0,0.0,false
195,36,0.0,0.0,false
196,43,0.0,0.0,false
197,47,0.0,0.0,false
198,35,0.0,0.0,false
199,62,0.0,0.0,false
200,64,0.0,0.0,false
201,30,0.0,0.0,false
202,154,0.0,0.0,false
203,53,0.0,0.0,false
204,45,0.0,0.0,false
205,68,0.0,0.0,false
206,68,0.0,0.0,false
207,60,0.0,0.0,false
208,497,0.0,0.0,true
209,60,0.0,0.0,false
210,85,0.0,0.0,false
211,92,0.0,0.0,false
212,156,0.0,0.0,false
213,98,0.0,0.0,false
214,131,0.0,0.0,false
215,194,0.0,0.0,false
216,201,0.0,0.0,false
217,69,0.0,0.0,false
218,68,0.0,0.0,false
219,52,0.0,0.0,false
220,50,0.0,0.0,false
221,202,0.0,0.0,false
222,73,0.0,0.0,false
223,42,0.0,0.0,false
224,35,0.0,0.0,false
225,125,0.0,0.0,false
226,65,0.0,0.0,false
227,48,0.0,0.0,false
228,89,0.0,0.0,false
229,153,0.0,0.0,false
230,40,0.0,0.0,false
231,64,0.0,0.0,false
232,99,0.0,0.0,false
233,73,0.0,0.0,false
234,72,0.0,0.0,false
235,51,0.0,0.0,false
236,36,0.0,0.0,false
237,31,0.0,0.0,false
238,61,0.0,0.0,false
239,74,0.0,0.0,false
240,101,0.0,0.0,false
241,86,0.0,0.0,false
242,106,0.0,0.0,false
243,91,0.0,0.0,false
244,58,0.0,0.0,false
245,106,0.0,0.0,false
246,143,0.0,0.0,false
247,52,0.0,0.0,false
248,88,0.0,0.0,false
249,66,0.0,0.0,false
250,44,0.0,0.0,false
251,158,0.0,0.0,false
252,51,0.0,0.0,false
253,36,0.0,0.0,false
254,63,0.0,0.0,false
255,84,0.0,0.0,false
256,104,0.0,0.0,false
257,110,0.0,0.0,false
258,29,0.0,0.0,false
259,104,0.0,0.0,false
260,38,0.0,0.0,false
261,44,0.0,0.0,false
262,96,0.0,0.0,false
263,42,0.0,0.0,false
264,48,0.0,0.0,false
265,122,0.0,0.0,false
266,95,0.0,0.0,false
267,91,0.0,0.0,false
268,95,0.0,0.0,false
269,68,0.0,0.0,false
270,36,0.0,0.0,false
271,43,0.0,0.0,false
272,81,0.0,0.0,false
273,75,0.0,0.0,false
274,81,0.0,0.0,false
275,88,0.0,0.0,false
276,42,0.0,0.0,false
277,82,0.0,0.0,false
278,55,0.0,0.0,false
279,48,0.0,0.0,false
280,72,0.0,0.0,false
281,113,0.0,0.0,false
282,55,0.0,0.0,false
283,35,0.0,0.0,false
284,94,0.0,0.0,false
285,65,0.0,0.0,false
286,72,0.0,0.0,false
287,139,0.0,0.0,false
288,125,0.0,0.0,false
289,65,0.0,0.0,false
290,71,0.0,0.0,false
291,22,0.0,0.0,false
292,75,0.0,0.0,false
293,81,0.0,0.0,false
294,32,0.0,0.0,false
295,47,0.0,0.0,false
296,101,0.0,0.0,false
297,109,0.0,0.0,false
298,28,0.0,0.0,false
299,54,0.0,0.0,false
300,158,0.0,0.0,false
301,52,0.0,0.0,false
302,53,0.0,0.0,false
303,81,0.0,0.0,false
304,83,0.0,0.0,false
305,63,0.0,0.0,false
306,48,0.0,0.0,false
307,55,0.0,0.0,false
308,149,0.0,0.0,false
309,263,0.0,0.0,false
310,179,0.0,0.0,false
311,37,0.0,0.0,false
312,25,0.0,0.0,false
313,30,0.0,0.0,false
314,36,0.0,0.0,false
315,30,0.0,0.0,false
316,27,0.0,0.0,false
317,37,0.0,0.0,false
318,33,0.0,0.0,false
319,31,0.0,0.0,false
320,56,0.0,0.0,false
321,101,0.0,0.0,false
322,139,0.0,0.0,false
323,85,0.0,0.0,false
324,95,0.0,0.0,false
325,60,0.0,0.0,false
326,35,0.0,0.0,false
327,26,0.0,0.0,false
328,69,0.0,0.0,false
329,64,0.0,0.0,false
330,39,0.0,0.0,false
331,41,0.0,0.0,false
332,167,0.0,0.0,false
333,66,0.0,0.0,false
334,93,0.0,0.0,false
335,97,0.0,0.0,false
336,96,0.0,0.0,false
337,105,0.0,0.0,false
338,66,0.0,0.0,false
339,54,0.0,0.0,false
340,47,0.0,0.0,false
341,72,0.0,0.0,false
342,117,0.0,0.0,false
343,93,0.0,0.0,false
344,52,0.0,0.0,false
345,86,0.0,0.0,true
346,117,0.0,0.0,true
347,90,0.0,0.0,false
348,48,0.0,0.0,false
349,85,0.0,0.0,false
350,43,0.0,0.0,false
351,90,0.0,0.0,false
352,202,0.0,0.0,false
353,141,0.0,0.0,true
354,30,0.0,0.0,false
355,29,0.0,0.0,false
356,67,0.0,0.0,false
357,242,0.0,0.0,false
358,72,0.0,0.0,false
359,50,0.0,0.0,false
360,89,0.0,0.0,false
361,40,0.0,0.0,false
362,49,0.0,0.0,false
363,249,0.0,0.0,false
364,40,0.0,0.0,false
365,171,0.0,0.0,false
366,40,0.0,0.0,false
367,32,0.0,0.0,false
368,271,0.0,0.0,false
369,55,0.0,0.0,false
370,80,0.0,0.0,false
371,28,0.0,0.0,false
372,44,0.0,0.0,false
373,83,0.0,0.0,false
374,67,0.0,0.0,false
375,36,0.0,0.0,false
376,384,0.0,0.0,true
377,196,0.0,0.0,false
378,312,0.0,0.0,false
379,120,0.0,0.0,false
380,315,0.0,0.0,true
381,112,0.0,0.0,false
382,119,0.0,0.0,false
383,146,0.0,0.0,false
384,86,0.0,0.0,false
385,69,0.0,0.0,false
386,88,0.0,0.0,false
387,42,0.0,0.0,false
388,32,0.0,0.0,false
389,56,0.0,0.0,false
390,102,0.0,0.0,false
391,56,0.0,0.0,false
392,89,0.0,0.0,false
393,40,0.0,0.0,false
394,80,0.0,0.0,false
395,46,0.0,0.0,false
396,46,0.0,0.0,false
397,68,0.0,0.0,false
398,80,0.0,0.0,false
399,66,0.0,0.0,false
400,100,0.0,0.0,false
401,32,0.0,0.0,true
402,31,0.0,0.0,false
403,36,0.0,0.0,false
404,59,0.0,0.0,false
405,44,0.0,0.0,false
406,29,0.0,0.0,false
407,280,0.0,0.0,false
408,67,0.0,0.0,false
409,60,0.0,0.0,false
410,46,0.0,0.0,false
411,133,0.0,0.0,false
412,333,0.0,0.0,false
413,36,0.0,0.0,false
414,44,0.0,0.0,false
415,823,0.0,0.0,true
416,26,0.0,0.0,false
417,70,0.0,0.0,false
418,213,0.0,0.0,false
419,192,0.0,0.0,true
420,562,0.0,0.0,true
421,46,0.0,0.0,false
422,31,0.0,0.0,false
423,83,0.0,0.0,false
424,71,0.0,0.0,false
425,83,0.0,0.0,false
426,40,0.0,0.0,false
427,32,0.0,0.0,false
428,57,0.0,0.0,false
429,97,0.0,0.0,false
430,64,0.0,0.0,false
431,94,0.0,0.0,false
432,45,0.0,0.0,false
433,98,0.0,0.0,false
434,46,0.0,0.0,false
435,46,0.0,0.0,false
436,76,0.0,0.0,false
437,68,0.0,0.0,false
438,531,0.0,0.0,false
439,232,0.0,0.0,false
440,275,0.0,0.0,false
441,284,0.0,0.0,false
442,186,0.0,0.0,false
443,48,0.0,0.0,false
444,79,0.0,0.0,false
445,188,0.0,0.0,false
446,396,0.0,0.0,false
447,204,0.0,0.0,false
448,759,0.0,0.0,true
449,124,0.0,0.0,false
450,223,0.0,0.0,false
451,70,0.0,0.0,false
452,337,0.0,0.0,true
453,143,0.0,0.0,false
454,81,0.0,0.0,true
455,132,0.0,0.0,false
456,162,0.0,0.0,false
457,85,0.0,0.0,false
458,454,0.0,0.0,true
459,316,0.0,0.0,true
460,49,0.0,0.0,false
461,32,0.0,0.0,false
462,220,0.0,0.0,false
463,457,0.0,0.0,false
464,198,0.0,0.0,false
465,64,0.0,0.0,false
466,105,0.0,0.0,false
467,82,0.0,0.0,false
468,111,0.0,0.0,false
469,42,0.0,0.0,false
470,63,0.0,0.0,false
471,235,0.0,0.0,true
472,75,0.0,0.0,false
473,43,0.0,0.0,false
474,33,0.0,0.0,false
475,66,0.0,0.0,false
476,99,0.0,0.0,false
477,40,0.0,0.0,false
478,160,0.0,0.0,false
479,40,0.0,0.0,false
480,32,0.0,0.0,false
481,71,0.0,0.0,false
482,59,0.0,0.0,false
483,94,0.0,0.0,true
484,69,0.0,0.0,false
485,613,0.0,0.0,true
