Id,Size,Prob,NormProb,Actual
862,36,0.63,0.0175,false
1521,58,0.97,0.016724138,false
1513,59,0.97,0.016440678,false
82,65,0.7845,0.012069231,true
84,62,0.69,0.011129032,false
472,32,0.33782768,0.010557115,false
382,26,0.24484126,0.009416972,false
1149,70,0.65,0.0092857145,false
632,81,0.70804095,0.008741247,false
994,84,0.725,0.008630953,false
1853,121,1.0,0.008264462,false
24,115,0.91,0.007913044,false
30,65,0.5125,0.007884615,false
230,125,0.97,0.00776,false
642,44,0.33404988,0.007592043,false
53,116,0.8325,0.0071767243,false
5,79,0.56666666,0.0071729957,false
1522,79,0.56666666,0.0071729957,false
253,89,0.6344158,0.007128267,false
1622,150,1.0,0.006666667,false
250,31,0.19503571,0.0062914747,false
730,31,0.19503571,0.0062914747,false
1433,31,0.19503571,0.0062914747,false
424,141,0.8607532,0.0061046323,false
773,114,0.67,0.005877193,false
612,48,0.28,0.0058333334,false
1322,163,0.93578947,0.0057410398,false
277,94,0.5236637,0.0055708904,false
48,69,0.37629762,0.005453589,false
1545,69,0.37629762,0.005453589,false
35,81,0.43083334,0.00531893,false
1978,187,0.99,0.0052941176,false
1955,163,0.86251336,0.0052914927,false
110,105,0.5491082,0.005229602,false
772,105,0.5491082,0.005229602,true
222,104,0.5419416,0.0052109766,false
318,72,0.37419748,0.0051971874,false
724,103,0.53348917,0.0051795067,false
765,103,0.53348917,0.0051795067,false
1409,103,0.53348917,0.0051795067,false
90,120,0.62,0.0051666666,false
490,192,0.98111904,0.005109995,false
995,60,0.3045,0.005075,false
998,60,0.3045,0.005075,false
1,118,0.59,0.005,false
1210,165,0.82,0.004969697,false
838,157,0.7428333,0.0047314223,false
270,123,0.58,0.0047154473,false
246,65,0.2996508,0.0046100123,false
77,68,0.31313094,0.0046048667,false
1523,68,0.31313094,0.0046048667,false
68,82,0.37716666,0.0045995936,false
210,76,0.34891668,0.0045910086,false
592,76,0.34891668,0.0045910086,false
722,76,0.34891668,0.0045910086,false
939,76,0.34891668,0.0045910086,false
1032,76,0.34891668,0.0045910086,false
1477,76,0.34891668,0.0045910086,false
232,122,0.56,0.004590164,false
1325,124,0.56,0.004516129,false
1136,63,0.28019232,0.004447497,false
1824,63,0.28019232,0.004447497,false
252,101,0.44762933,0.0044319737,false
31,106,0.46366668,0.004374214,false
1482,106,0.46366668,0.004374214,false
127,112,0.47516668,0.0042425594,false
1714,64,0.26895708,0.0042024544,false
236,52,0.21594192,0.004152729,false
665,116,0.48,0.004137931,false
911,133,0.54064953,0.004065034,false
576,48,0.19427778,0.004047454,false
611,48,0.19427778,0.004047454,false
1417,48,0.19427778,0.004047454,false
1449,48,0.19427778,0.004047454,false
1472,48,0.19427778,0.004047454,false
1579,48,0.19427778,0.004047454,false
83,101,0.40547186,0.004014573,false
587,101,0.40547186,0.004014573,true
259,70,0.27883333,0.0039833332,false
1258,113,0.45,0.003982301,false
1461,102,0.40547186,0.0039752144,false
1910,102,0.40547186,0.0039752144,false
1455,66,0.25176588,0.0038146344,false
1484,151,0.5706667,0.0037792495,false
334,122,0.44214433,0.0036241338,false
1202,122,0.44214433,0.0036241338,false
4,133,0.48,0.0036090226,false
704,164,0.5824976,0.0035518147,false
257,72,0.255,0.0035416668,false
272,72,0.255,0.0035416668,false
85,108,0.38133332,0.0035308641,false
136,261,0.92,0.0035249041,false
930,81,0.2825238,0.0034879483,false
1799,265,0.902,0.0034037735,false
1253,120,0.4,0.0033333334,false
19,187,0.62,0.0033155081,false
169,175,0.57666665,0.0032952381,false
171,175,0.57666665,0.0032952381,false
1681,175,0.57666665,0.0032952381,false
1963,99,0.3208967,0.0032413807,false
530,316,1.0,0.003164557,false
542,235,0.73582745,0.0031311805,true
108,63,0.19664033,0.0031212752,false
614,63,0.19664033,0.0031212752,false
1997,63,0.19664033,0.0031212752,false
1456,155,0.48316666,0.0031172044,false
255,177,0.55,0.0031073447,false
218,58,0.17892757,0.003084958,false
599,58,0.17892757,0.003084958,false
628,58,0.17892757,0.003084958,true
967,58,0.17892757,0.003084958,false
968,58,0.17892757,0.003084958,false
1395,58,0.17892757,0.003084958,false
588,287,0.88,0.0030662022,true
878,287,0.88,0.0030662022,true
1720,188,0.57,0.0030319148,false
1679,142,0.42733333,0.0030093896,false
1827,284,0.85,0.0029929578,false
256,74,0.22,0.002972973,false
1174,202,0.6,0.0029702971,false
523,337,1.0,0.002967359,false
1598,212,0.62333333,0.0029402515,false
606,283,0.83,0.0029328621,true
65,116,0.33844927,0.0029176662,false
116,116,0.33844927,0.0029176662,false
675,116,0.33844927,0.0029176662,false
820,116,0.33844927,0.0029176662,false
925,116,0.33844927,0.0029176662,false
1293,116,0.33844927,0.0029176662,false
1732,52,0.15,0.0028846154,false
87,173,0.49433333,0.002857418,false
559,217,0.61,0.0028110598,false
21,151,0.42,0.002781457,false
956,140,0.38025558,0.0027161113,false
1297,126,0.3394715,0.0026942182,false
1896,126,0.3394715,0.0026942182,false
1976,126,0.3394715,0.0026942182,false
929,270,0.72333336,0.0026790123,false
312,91,0.24339902,0.0026747144,false
1648,91,0.24339902,0.0026747144,false
1750,91,0.24339902,0.0026747144,false
1894,91,0.24339902,0.0026747144,false
996,358,0.95,0.0026536314,true
1920,269,0.712,0.0026468402,false
34,144,0.38,0.0026388888,false
885,319,0.84166664,0.0026384534,false
1256,274,0.72,0.0026277371,false
1510,184,0.48,0.0026086958,false
447,384,1.0,0.0026041667,true
942,135,0.34800524,0.0025778166,false
853,118,0.30333334,0.0025706214,false
119,125,0.32,0.00256,false
1307,161,0.41,0.0025465838,false
413,117,0.29336503,0.0025073935,false
417,117,0.29336503,0.0025073935,false
20,149,0.37,0.0024832215,false
1020,137,0.34,0.0024817518,false
482,133,0.32797933,0.00246601,false
706,133,0.32797933,0.00246601,false
776,133,0.32797933,0.00246601,false
1178,133,0.32797933,0.00246601,false
1278,138,0.34,0.002463768,false
1024,114,0.28,0.0024561402,false
723,82,0.1989614,0.0024263586,false
1478,82,0.1989614,0.0024263586,false
1883,82,0.1989614,0.0024263586,false
1494,402,0.97,0.0024129353,false
1034,257,0.62,0.0024124514,false
1892,121,0.29182538,0.00241178,false
984,357,0.86,0.0024089636,false
223,64,0.15292472,0.0023894487,false
609,64,0.15292472,0.0023894487,false
731,64,0.15292472,0.0023894487,false
1415,64,0.15292472,0.0023894487,false
1483,64,0.15292472,0.0023894487,false
693,284,0.67,0.0023591549,false
1576,193,0.45145336,0.0023391366,false
839,167,0.3905,0.0023383233,false
646,292,0.68222225,0.0023363775,true
630,413,0.96,0.0023244552,false
1022,100,0.23207252,0.002320725,false
1407,100,0.23207252,0.002320725,false
1481,100,0.23207252,0.002320725,false
903,246,0.57,0.002317073,false
613,115,0.26471427,0.0023018634,false
1612,128,0.29,0.002265625,false
529,454,1.0,0.002202643,false
887,428,0.94,0.0021962617,false
964,247,0.54,0.0021862348,false
88,243,0.53,0.00218107,false
341,81,0.17636165,0.0021773041,false
343,81,0.17636165,0.0021773041,false
362,81,0.17636165,0.0021773041,false
372,81,0.17636165,0.0021773041,false
525,81,0.17636165,0.0021773041,false
937,81,0.17636165,0.0021773041,false
972,81,0.17636165,0.0021773041,false
1218,81,0.17636165,0.0021773041,false
1281,81,0.17636165,0.0021773041,false
1802,81,0.17636165,0.0021773041,false
1917,81,0.17636165,0.0021773041,false
202,156,0.3365,0.0021570513,false
881,268,0.57316667,0.0021386815,false
1967,268,0.57316667,0.0021386815,false
61,106,0.22566667,0.0021289308,false
80,106,0.22566667,0.0021289308,false
404,66,0.13924988,0.0021098466,false
409,66,0.13924988,0.0021098466,false
470,66,0.13924988,0.0021098466,false
546,66,0.13924988,0.0021098466,false
946,66,0.13924988,0.0021098466,false
1776,66,0.13924988,0.0021098466,false
1834,66,0.13924988,0.0021098466,false
1927,66,0.13924988,0.0021098466,false
113,148,0.30662245,0.0020717734,false
774,148,0.30662245,0.0020717734,false
707,108,0.22242473,0.0020594883,false
950,108,0.22242473,0.0020594883,false
974,108,0.22242473,0.0020594883,false
1008,458,0.94,0.0020524017,false
121,181,0.37,0.0020441988,false
369,157,0.32,0.0020382165,false
876,409,0.83,0.0020293398,false
234,158,0.32,0.0020253165,false
228,129,0.26,0.0020155038,false
383,43,0.08645238,0.0020105205,false
1944,369,0.74,0.0020054202,false
1013,130,0.26,0.002,false
1011,168,0.33,0.0019642857,false
1589,168,0.33,0.0019642857,false
64,76,0.14876865,0.0019574822,false
507,76,0.14876865,0.0019574822,false
976,76,0.14876865,0.0019574822,false
1133,76,0.14876865,0.0019574822,false
1207,76,0.14876865,0.0019574822,false
1304,76,0.14876865,0.0019574822,false
1404,76,0.14876865,0.0019574822,false
1535,76,0.14876865,0.0019574822,false
1659,76,0.14876865,0.0019574822,false
1709,76,0.14876865,0.0019574822,false
1757,76,0.14876865,0.0019574822,false
1878,76,0.14876865,0.0019574822,false
1974,76,0.14876865,0.0019574822,false
520,124,0.23956794,0.0019319995,false
633,124,0.23956794,0.0019319995,false
1754,124,0.23956794,0.0019319995,false
1900,124,0.23956794,0.0019319995,false
254,59,0.11,0.0018644067,false
1284,371,0.69,0.0018598383,false
1906,155,0.28733334,0.0018537635,false
284,229,0.42,0.0018340611,false
122,153,0.28,0.0018300654,false
755,153,0.28,0.0018300654,false
86,432,0.78333336,0.0018132715,false
1680,62,0.11232095,0.0018116283,false
125,143,0.25785184,0.0018031598,false
524,143,0.25785184,0.0018031598,false
1387,143,0.25785184,0.0018031598,false
324,84,0.14958572,0.0017807824,false
687,84,0.14958572,0.0017807824,false
711,84,0.14958572,0.0017807824,false
1488,84,0.14958572,0.0017807824,false
1551,84,0.14958572,0.0017807824,false
1700,84,0.14958572,0.0017807824,false
1749,84,0.14958572,0.0017807824,false
1873,84,0.14958572,0.0017807824,false
7,70,0.1242854,0.0017755057,false
9,70,0.1242854,0.0017755057,false
111,70,0.1242854,0.0017755057,false
488,70,0.1242854,0.0017755057,false
522,70,0.1242854,0.0017755057,false
978,70,0.1242854,0.0017755057,false
1205,70,0.1242854,0.0017755057,false
1859,70,0.1242854,0.0017755057,false
1671,64,0.11232391,0.0017550611,false
403,167,0.29098082,0.0017424001,false
1001,359,0.62,0.0017270196,false
1899,289,0.49722221,0.0017204921,false
174,290,0.49722221,0.0017145594,false
336,90,0.15333334,0.0017037037,false
1292,206,0.35,0.0016990291,false
561,382,0.63,0.0016492147,false
175,85,0.14,0.0016470589,false
846,85,0.14,0.0016470589,false
1930,85,0.14,0.0016470589,false
1504,39,0.064166665,0.0016452991,false
451,324,0.53,0.0016358024,false
1306,419,0.68,0.0016229117,false
850,99,0.16,0.0016161617,false
1260,168,0.27043167,0.0016097123,false
827,158,0.24416667,0.0015453587,false
760,178,0.2704366,0.0015193068,false
1970,178,0.2704366,0.0015193068,false
1072,640,0.97,0.001515625,false
491,555,0.84,0.0015135135,false
808,207,0.31,0.0014975845,false
309,101,0.15058008,0.0014908919,false
391,101,0.15058008,0.0014908919,false
699,101,0.15058008,0.0014908919,false
771,154,0.22833334,0.0014826839,false
1342,262,0.3815,0.0014561069,false
132,252,0.36627853,0.0014534862,false
1844,252,0.36627853,0.0014534862,false
163,71,0.10214259,0.0014386281,false
168,71,0.10214259,0.0014386281,false
359,71,0.10214259,0.0014386281,false
495,71,0.10214259,0.0014386281,false
552,71,0.10214259,0.0014386281,false
631,71,0.10214259,0.0014386281,false
750,71,0.10214259,0.0014386281,false
783,71,0.10214259,0.0014386281,false
799,71,0.10214259,0.0014386281,false
943,71,0.10214259,0.0014386281,false
1346,71,0.10214259,0.0014386281,false
1958,71,0.10214259,0.0014386281,false
2007,71,0.10214259,0.0014386281,false
449,312,0.44610932,0.0014298375,false
342,75,0.105840236,0.0014112032,false
361,75,0.105840236,0.0014112032,false
543,75,0.105840236,0.0014112032,false
641,75,0.105840236,0.0014112032,false
935,75,0.105840236,0.0014112032,false
1015,75,0.105840236,0.0014112032,false
1168,75,0.105840236,0.0014112032,false
1734,75,0.105840236,0.0014112032,false
1905,75,0.105840236,0.0014112032,false
380,242,0.34,0.0014049587,false
33,88,0.123333335,0.0014015151,false
124,88,0.123333335,0.0014015151,false
366,109,0.15266213,0.00140057,false
1237,109,0.15266213,0.00140057,false
1758,109,0.15266213,0.00140057,false
1939,109,0.15266213,0.00140057,false
241,27,0.03773413,0.0013975602,false
562,27,0.03773413,0.0013975602,false
847,27,0.03773413,0.0013975602,false
41,40,0.055555556,0.0013888889,false
593,40,0.055555556,0.0013888889,false
622,40,0.055555556,0.0013888889,false
737,40,0.055555556,0.0013888889,false
1437,40,0.055555556,0.0013888889,false
1580,363,0.5,0.0013774105,false
6,91,0.12416667,0.0013644688,false
285,201,0.27115384,0.0013490241,false
295,65,0.08675341,0.0013346679,false
354,65,0.08675341,0.0013346679,false
358,65,0.08675341,0.0013346679,false
923,65,0.08675341,0.0013346679,false
949,65,0.08675341,0.0013346679,false
1094,65,0.08675341,0.0013346679,false
1100,65,0.08675341,0.0013346679,false
1352,65,0.08675341,0.0013346679,false
1499,65,0.08675341,0.0013346679,false
1543,65,0.08675341,0.0013346679,false
1647,65,0.08675341,0.0013346679,false
1165,218,0.29,0.0013302752,false
261,58,0.07666667,0.001321839,false
263,58,0.07666667,0.001321839,false
46,94,0.12421894,0.001321478,false
187,94,0.12421894,0.001321478,false
353,94,0.12421894,0.001321478,false
502,94,0.12421894,0.001321478,false
554,94,0.12421894,0.001321478,true
1305,94,0.12421894,0.001321478,false
1595,94,0.12421894,0.001321478,false
1725,94,0.12421894,0.001321478,false
1820,94,0.12421894,0.001321478,false
1938,94,0.12421894,0.001321478,false
1592,365,0.48,0.0013150685,false
1291,435,0.56983334,0.0013099617,false
489,213,0.27679417,0.001299503,false
940,213,0.27679417,0.001299503,false
340,43,0.05539195,0.0012881849,false
421,43,0.05539195,0.0012881849,false
544,43,0.05539195,0.0012881849,false
644,43,0.05539195,0.0012881849,false
659,43,0.05539195,0.0012881849,false
785,43,0.05539195,0.0012881849,false
1130,43,0.05539195,0.0012881849,false
1183,43,0.05539195,0.0012881849,false
1214,43,0.05539195,0.0012881849,false
1251,43,0.05539195,0.0012881849,false
1394,43,0.05539195,0.0012881849,false
1537,43,0.05539195,0.0012881849,false
1806,43,0.05539195,0.0012881849,false
1808,43,0.05539195,0.0012881849,false
1845,43,0.05539195,0.0012881849,false
1846,43,0.05539195,0.0012881849,false
1857,43,0.05539195,0.0012881849,false
1901,43,0.05539195,0.0012881849,false
452,112,0.14420258,0.001287523,false
798,112,0.14420258,0.001287523,false
1236,112,0.14420258,0.001287523,false
1339,112,0.14420258,0.001287523,false
167,74,0.09400128,0.0012702876,false
308,74,0.09400128,0.0012702876,false
