ID,Size,Predicted,Actual
91,32,0.63767856,NO
185,32,0.63767856,YES
293,32,0.63767856,NO
366,32,0.63767856,NO
387,32,0.63767856,NO
400,32,0.63767856,YES
426,32,0.63767856,NO
460,32,0.63767856,NO
479,32,0.63767856,NO
494,32,0.63767856,YES
541,32,0.63767856,NO
642,32,0.63767856,NO
671,32,0.63767856,NO
695,32,0.63767856,NO
705,32,0.63767856,NO
805,32,0.63767856,NO
1039,32,0.63767856,NO
1173,32,0.63767856,NO
1174,32,0.63767856,NO
1175,32,0.63767856,NO
1176,32,0.63767856,NO
1269,32,0.63767856,NO
1291,32,0.63767856,NO
1333,32,0.63767856,NO
1334,32,0.63767856,NO
1357,32,0.63767856,NO
1487,32,0.63767856,NO
1491,32,0.63767856,NO
1528,32,0.63767856,NO
263,48,0.92,NO
202,53,0.9714286,NO
196,47,0.85,NO
846,47,0.85,YES
317,33,0.581923,NO
473,33,0.581923,NO
682,33,0.581923,NO
797,33,0.581923,NO
1074,33,0.581923,NO
1215,33,0.581923,NO
1280,33,0.581923,NO
1300,33,0.581923,NO
1326,33,0.581923,NO
1347,33,0.581923,NO
1429,33,0.581923,NO
1460,33,0.581923,NO
1490,33,0.581923,NO
1551,33,0.581923,NO
24,62,1.0,NO
71,62,1.0,NO
122,62,1.0,NO
499,62,1.0,YES
570,62,1.0,NO
663,62,1.0,NO
850,62,1.0,NO
865,62,1.0,NO
935,62,1.0,NO
1254,62,1.0,NO
1418,62,1.0,NO
1568,62,1.0,NO
685,56,0.81,NO
965,56,0.81,NO
221,73,1.0,NO
232,73,1.0,NO
582,73,1.0,NO
1424,73,1.0,NO
146,74,0.97,NO
238,74,0.97,NO
761,74,0.97,NO
913,74,0.97,NO
1007,74,0.97,NO
1610,74,0.97,YES
1637,74,0.97,NO
826,33,0.402222,NO
845,76,0.905,YES
1209,76,0.905,YES
149,44,0.50618404,NO
153,44,0.50618404,NO
164,44,0.50618404,NO
249,44,0.50618404,NO
371,44,0.50618404,NO
404,44,0.50618404,NO
413,44,0.50618404,NO
515,44,0.50618404,NO
607,44,0.50618404,NO
681,44,0.50618404,NO
732,44,0.50618404,NO
952,44,0.50618404,NO
957,44,0.50618404,NO
960,44,0.50618404,NO
1145,44,0.50618404,NO
1282,44,0.50618404,NO
1377,44,0.50618404,NO
1448,44,0.50618404,NO
1461,44,0.50618404,NO
1512,44,0.50618404,NO
1524,44,0.50618404,NO
1548,44,0.50618404,NO
1576,44,0.50618404,NO
1681,44,0.50618404,NO
65,58,0.659579,NO
79,58,0.659579,NO
127,58,0.659579,NO
178,58,0.659579,NO
243,58,0.659579,NO
493,58,0.659579,YES
554,58,0.659579,NO
590,58,0.659579,NO
990,58,0.659579,NO
1140,58,0.659579,NO
1156,58,0.659579,NO
1168,58,0.659579,NO
687,67,0.76,NO
204,68,0.76,NO
205,68,0.76,NO
268,68,0.76,NO
58,78,0.8386667,NO
190,78,0.8386667,NO
495,78,0.8386667,YES
796,78,0.8386667,NO
1132,78,0.8386667,NO
1464,78,0.8386667,NO
81,77,0.826,NO
123,77,0.826,NO
124,77,0.826,NO
943,77,0.826,NO
1131,77,0.826,NO
1432,77,0.826,NO
1612,77,0.826,NO
1633,72,0.77,NO
2,75,0.75,NO
35,72,0.72,NO
233,72,0.72,NO
279,72,0.72,NO
285,72,0.72,NO
340,72,0.72,NO
357,72,0.72,NO
488,72,0.72,YES
690,72,0.72,NO
699,72,0.72,NO
1059,72,0.72,NO
1224,72,0.72,NO
1275,72,0.72,NO
1510,72,0.72,NO
1666,72,0.72,NO
84,80,0.7957119,NO
369,80,0.7957119,NO
393,80,0.7957119,NO
397,80,0.7957119,NO
747,80,0.7957119,NO
1105,80,0.7957119,NO
1419,80,0.7957119,NO
1463,80,0.7957119,NO
27,81,0.7957119,NO
271,81,0.7957119,NO
273,81,0.7957119,NO
292,81,0.7957119,NO
302,81,0.7957119,NO
453,81,0.7957119,YES
573,81,0.7957119,YES
760,81,0.7957119,NO
767,81,0.7957119,NO
798,81,0.7957119,NO
1027,81,0.7957119,YES
1087,81,0.7957119,NO
1519,81,0.7957119,NO
1632,81,0.7957119,NO
4,79,0.7690155,NO
443,79,0.7690155,NO
591,79,0.7690155,NO
763,79,0.7690155,NO
803,79,0.7690155,NO
1048,79,0.7690155,NO
1049,79,0.7690155,NO
1520,79,0.7690155,NO
198,62,0.6,NO
31,85,0.7956667,NO
209,85,0.7956667,NO
