Id,Size,Prob,NormProb,Actual
1732,52,0.96619046,0.018580586,false
1830,54,0.9663954,0.01789621,false
264,54,0.9222222,0.01707819,false
273,54,0.9222222,0.01707819,false
1027,56,0.902,0.016107142,false
223,64,0.96,0.015,false
609,64,0.96,0.015,false
731,64,0.96,0.015,false
1415,64,0.96,0.015,false
1483,64,0.96,0.015,false
185,42,0.6266077,0.014919232,false
292,42,0.6266077,0.014919232,false
332,42,0.6266077,0.014919232,false
345,42,0.6266077,0.014919232,false
458,42,0.6266077,0.014919232,false
540,42,0.6266077,0.014919232,false
583,42,0.6266077,0.014919232,false
736,42,0.6266077,0.014919232,false
1298,42,0.6266077,0.014919232,false
1309,42,0.6266077,0.014919232,false
1313,42,0.6266077,0.014919232,false
1384,42,0.6266077,0.014919232,false
1503,42,0.6266077,0.014919232,false
1509,42,0.6266077,0.014919232,false
1512,42,0.6266077,0.014919232,false
1661,42,0.6266077,0.014919232,false
1663,42,0.6266077,0.014919232,false
1687,42,0.6266077,0.014919232,false
1797,42,0.6266077,0.014919232,false
1809,42,0.6266077,0.014919232,false
271,55,0.79,0.014363636,false
1733,50,0.71,0.0142,false
166,47,0.66258216,0.014097493,false
190,47,0.66258216,0.014097493,false
364,47,0.66258216,0.014097493,false
411,47,0.66258216,0.014097493,false
660,47,0.66258216,0.014097493,false
1302,47,0.66258216,0.014097493,false
1303,47,0.66258216,0.014097493,false
1330,47,0.66258216,0.014097493,false
1332,47,0.66258216,0.014097493,false
1605,47,0.66258216,0.014097493,false
1629,47,0.66258216,0.014097493,false
1761,47,0.66258216,0.014097493,false
1767,47,0.66258216,0.014097493,false
1780,47,0.66258216,0.014097493,false
1852,47,0.66258216,0.014097493,false
1882,47,0.66258216,0.014097493,false
612,48,0.665,0.0138541665,false
1714,64,0.88,0.01375,false
295,65,0.84647346,0.013022669,false
354,65,0.84647346,0.013022669,false
358,65,0.84647346,0.013022669,false
923,65,0.84647346,0.013022669,false
949,65,0.84647346,0.013022669,false
1094,65,0.84647346,0.013022669,false
1100,65,0.84647346,0.013022669,false
1352,65,0.84647346,0.013022669,false
1499,65,0.84647346,0.013022669,false
1543,65,0.84647346,0.013022669,false
1647,65,0.84647346,0.013022669,false
218,58,0.7169441,0.012361105,false
599,58,0.7169441,0.012361105,false
628,58,0.7169441,0.012361105,true
967,58,0.7169441,0.012361105,false
968,58,0.7169441,0.012361105,false
1395,58,0.7169441,0.012361105,false
404,66,0.8100577,0.012273602,false
409,66,0.8100577,0.012273602,false
470,66,0.8100577,0.012273602,false
