Id,Size,Prob,NormProb,Actual
747,24,0.76,0.031666666,false
703,22,0.62,0.028181817,false
1427,24,0.64,0.026666667,false
686,26,0.61,0.02346154,false
1440,27,0.62,0.022962963,false
1183,28,0.64,0.022857143,false
640,25,0.55,0.022,false
1040,31,0.67,0.021612903,false
658,36,0.76,0.02111111,false
661,30,0.63,0.021,false
1158,31,0.63,0.02032258,false
683,36,0.73,0.020277778,false
720,32,0.64,0.02,false
1245,32,0.64,0.02,false
1413,32,0.64,0.02,false
1403,40,0.78,0.0195,false
1159,32,0.61,0.0190625,false
1406,35,0.66,0.018857142,false
514,34,0.64,0.018823529,false
712,33,0.62,0.01878788,false
1262,36,0.67,0.01861111,false
659,40,0.74,0.0185,false
662,40,0.74,0.0185,false
1407,48,0.88,0.018333333,false
508,39,0.71,0.018205129,false
1260,37,0.67,0.018108109,false
1411,42,0.76,0.018095238,false
431,40,0.72,0.018,true
1238,35,0.63,0.018,false
1400,42,0.75,0.017857144,false
665,51,0.91,0.017843137,true
510,40,0.71,0.01775,false
663,35,0.62,0.017714286,false
734,52,0.92,0.017692307,false
1408,43,0.76,0.017674418,false
1410,43,0.76,0.017674418,false
1261,51,0.89,0.01745098,false
1263,51,0.89,0.01745098,false
1547,38,0.66,0.017368421,false
511,41,0.71,0.017317073,false
1409,44,0.76,0.017272728,false
1545,50,0.85,0.017,false
672,59,1.0,0.016949153,false
1402,52,0.88,0.016923077,false
427,58,0.98,0.016896551,true
507,38,0.64,0.016842104,false
509,38,0.64,0.016842104,false
432,42,0.7,0.016666668,true
1418,45,0.75,0.016666668,false
1274,38,0.63,0.016578948,false
1042,55,0.91,0.016545454,false
1459,43,0.71,0.016511628,false
716,57,0.94,0.016491229,false
513,42,0.69,0.016428571,false
286,55,0.89,0.016181817,false
1470,26,0.42,0.016153846,false
1511,41,0.66,0.01609756,false
503,56,0.9,0.01607143,false
1460,44,0.7,0.01590909,false
1398,46,0.73,0.015869565,false
290,57,0.89,0.015614036,false
1412,57,0.89,0.015614036,false
671,61,0.95,0.015573771,false
1512,54,0.83,0.015370371,false
654,65,0.98,0.015076923,false
990,56,0.84,0.015,false
1395,59,0.88,0.014915254,false
1414,59,0.88,0.014915254,false
108,47,0.7,0.0148936175,false
1415,60,0.87,0.0145,false
1416,60,0.87,0.0145,false
1417,60,0.87,0.0145,false
650,44,0.63,0.014318182,false
694,65,0.92,0.014153847,false
1239,66,0.93,0.014090909,true
125,30,0.42,0.014,true
133,30,0.42,0.014,false
1041,71,0.99,0.013943662,false
691,66,0.92,0.013939394,false
714,64,0.89,0.01390625,false
617,72,0.99,0.01375,false
517,67,0.92,0.013731344,false
693,69,0.94,0.013623188,false
1396,72,0.98,0.013611111,false
425,70,0.95,0.013571428,true
93,53,0.71,0.013396227,false
1139,53,0.71,0.013396227,false
505,76,1.0,0.013157895,false
719,70,0.92,0.013142857,false
388,32,0.42,0.013125,false
862,32,0.42,0.013125,false
688,71,0.93,0.013098592,false
118,58,0.75,0.012931035,false
1030,58,0.75,0.012931035,false
668,65,0.84,0.012923077,false
1000,76,0.98,0.012894737,false
1435,33,0.42,0.012727273,false
1140,56,0.71,0.012678571,false
676,74,0.93,0.012567568,false
1099,79,0.99,0.012531646,true
1135,48,0.6,0.0125,false
1255,48,0.6,0.0125,false
1386,60,0.75,0.0125,false
680,75,0.93,0.0124,false
684,75,0.93,0.0124,false
953,25,0.31,0.0124,false
124,49,0.6,0.012244898,false
387,49,0.6,0.012244898,false
717,76,0.93,0.012236842,false
1426,63,0.77,0.012222222,false
1513,81,0.99,0.012222222,false
619,82,1.0,0.0121951215,false
678,79,0.96,0.012151899,false
713,81,0.98,0.012098765,false
1405,78,0.94,0.012051282,false
121,50,0.6,0.012,false
166,61,0.73,0.011967213,false
329,59,0.7,0.011864407,false
1404,81,0.95,0.011728395,false
711,78,0.9,0.011538462,false
413,59,0.68,0.011525423,false
1217,59,0.68,0.011525423,false
723,83,0.95,0.011445783,false
718,79,0.9,0.011392405,false
506,87,0.99,0.01137931,false
675,81,0.92,0.011358025,false
682,81,0.92,0.011358025,false
147,52,0.59,0.011346154,false
1250,52,0.59,0.011346154,false
137,60,0.68,0.011333333,false
1502,75,0.85,0.011333333,false
126,39,0.44,0.011282051,true
913,88,0.99,0.01125,false
334,60,0.67,0.011166667,false
1292,55,0.61,0.011090909,false
515,81,0.89,0.010987654,false
197,55,0.6,0.010909091,false
119,56,0.61,0.010892857,false
6,65,0.7,0.01076923,false
645,41,0.44,0.010731707,false
109,60,0.64,0.010666667,false
502,60,0.64,0.010666667,false
177,66,0.7,0.010606061,false
180,51,0.54,0.010588235,false
576,57,0.6,0.010526316,false
585,57,0.6,0.010526316,false
82,52,0.54,0.0103846155,false
175,52,0.54,0.0103846155,false
218,52,0.54,0.0103846155,false
81,59,0.61,0.0103389835,false
29,69,0.71,0.010289855,false
83,55,0.56,0.010181818,false
92,55,0.56,0.010181818,true
193,55,0.56,0.010181818,false
519,85,0.86,0.010117647,false
90,56,0.56,0.01,true
107,27,0.27,0.01,false
117,48,0.48,0.01,false
135,43,0.43,0.01,false
316,56,0.56,0.01,false
602,56,0.56,0.01,false
633,22,0.22,0.01,false
646,22,0.22,0.01,false
708,22,0.22,0.01,false
919,22,0.22,0.01,false
922,22,0.22,0.01,false
972,61,0.61,0.01,false
1085,22,0.22,0.01,false
1103,22,0.22,0.01,false
1175,31,0.31,0.01,true
1184,22,0.22,0.01,false
1240,22,0.22,0.01,false
1548,95,0.94,0.009894737,false
735,87,0.86,0.009885058,false
129,49,0.48,0.009795918,false
1486,49,0.48,0.009795918,false
1241,48,0.47,0.009791667,false
998,47,0.46,0.0097872345,false
95,44,0.43,0.009772727,false
123,44,0.43,0.009772727,true
441,44,0.43,0.009772727,false
518,88,0.86,0.009772727,false
275,72,0.7,0.009722223,false
1164,72,0.7,0.009722223,false
512,97,0.94,0.0096907215,false
748,97,0.94,0.0096907215,false
396,64,0.62,0.0096875,false
1167,29,0.28,0.009655172,false
1170,29,0.28,0.009655172,false
958,76,0.73,0.009605263,true
148,50,0.48,0.0096,false
639,24,0.23,0.0095833335,false
112,93,0.89,0.009569893,true
918,23,0.22,0.009565217,false
1051,23,0.22,0.009565217,false
1069,23,0.22,0.009565217,false
1232,23,0.22,0.009565217,false
1233,23,0.22,0.009565217,false
1234,23,0.22,0.009565217,false
1348,23,0.22,0.009565217,false
1368,23,0.22,0.009565217,false
1253,91,0.87,0.00956044,false
182,63,0.6,0.00952381,false
419,61,0.58,0.009508196,false
262,77,0.73,0.009480519,true
1021,77,0.73,0.009480519,false
406,66,0.62,0.00939394,false
1294,66,0.62,0.00939394,true
537,49,0.46,0.009387755,false
159,64,0.6,0.009375,false
1465,64,0.6,0.009375,false
1001,94,0.88,0.009361702,false
1485,31,0.29,0.009354839,false
128,29,0.27,0.009310345,false
669,86,0.8,0.009302326,false
384,85,0.79,0.009294118,false
39,93,0.86,0.009247311,false
205,65,0.6,0.009230769,false
648,24,0.22,0.009166666,false
842,24,0.22,0.009166666,false
921,24,0.22,0.009166666,false
1053,24,0.22,0.009166666,false
1070,24,0.22,0.009166666,false
1087,24,0.22,0.009166666,false
1128,24,0.22,0.009166666,false
1190,24,0.22,0.009166666,false
1198,24,0.22,0.009166666,false
1199,24,0.22,0.009166666,false
1226,24,0.22,0.009166666,false
1314,24,0.22,0.009166666,false
1362,24,0.22,0.009166666,false
145,69,0.63,0.009130435,false
1471,79,0.72,0.009113924,true
165,31,0.28,0.009032258,false
516,91,0.82,0.009010989,false
146,68,0.61,0.008970588,false
