Id,Size,Prob,NormProb,Actual
318,41,0.17,0.0041463412,false
19,164,0.65,0.0039634146,false
678,171,0.67,0.0039181286,true
327,159,0.62,0.003899371,true
154,173,0.67,0.0038728323,true
483,173,0.67,0.0038728323,true
8,173,0.65,0.0037572253,false
56,164,0.56,0.0034146341,true
38,181,0.55,0.0030386741,false
342,261,0.78,0.0029885056,true
325,172,0.49,0.0028488373,true
134,26,0.07,0.0026923076,false
153,26,0.07,0.0026923076,false
311,296,0.78,0.002635135,false
137,98,0.25,0.0025510204,false
343,281,0.68,0.0024199288,false
87,29,0.07,0.002413793,false
159,99,0.22,0.0022222223,false
288,185,0.41,0.0022162162,false
665,176,0.39,0.002215909,false
161,100,0.22,0.0022,false
163,188,0.4,0.0021276595,true
510,182,0.38,0.002087912,true
34,125,0.26,0.00208,false
113,195,0.4,0.002051282,false
5,196,0.4,0.0020408162,false
309,98,0.2,0.0020408162,false
146,99,0.2,0.002020202,false
249,99,0.2,0.002020202,false
79,35,0.07,0.002,false
97,35,0.07,0.002,false
252,165,0.33,0.002,false
496,217,0.4,0.001843318,true
254,158,0.29,0.0018354431,true
250,166,0.3,0.0018072289,false
502,249,0.45,0.0018072289,false
690,100,0.18,0.0018,false
310,343,0.61,0.0017784256,false
192,344,0.61,0.0017732558,true
308,346,0.61,0.0017630057,false
334,157,0.26,0.0016560509,false
148,31,0.05,0.0016129032,false
198,389,0.61,0.0015681233,true
135,50,0.07,0.0014,false
121,51,0.07,0.001372549,false
157,241,0.33,0.0013692946,true
111,52,0.07,0.0013461538,true
123,52,0.07,0.0013461538,false
92,40,0.05,0.00125,false
150,41,0.05,0.0012195122,false
511,498,0.58,0.0011646586,false
258,301,0.35,0.0011627907,true
102,193,0.22,0.0011398963,true
119,273,0.31,0.0011355311,true
101,198,0.22,0.0011111111,true
286,202,0.22,0.0010891089,false
184,253,0.27,0.0010671937,true
36,368,0.39,0.0010597826,false
307,125,0.13,0.00104,false
35,252,0.26,0.001031746,false
23,156,0.16,0.001025641,false
26,156,0.16,0.001025641,false
183,108,0.11,0.0010185185,true
145,268,0.27,0.0010074627,true
114,243,0.24,9.876543E-4,true
108,152,0.15,9.868421E-4,true
289,51,0.05,9.803922E-4,false
9,246,0.24,9.7560976E-4,false
248,52,0.05,9.6153846E-4,false
380,260,0.25,9.6153846E-4,true
257,74,0.07,9.4594597E-4,false
512,74,0.07,9.4594597E-4,false
4,58,0.05,8.6206896E-4,false
13,58,0.05,8.6206896E-4,false
143,58,0.05,8.6206896E-4,false
54,233,0.2,8.583691E-4,true
17,59,0.05,8.474576E-4,false
64,59,0.05,8.474576E-4,false
141,59,0.05,8.474576E-4,false
86,317,0.26,8.2018925E-4,false
351,61,0.05,8.1967213E-4,false
12,110,0.09,8.1818184E-4,true
31,113,0.09,7.964602E-4,false
127,113,0.09,7.964602E-4,false
517,113,0.09,7.964602E-4,true
16,114,0.09,7.894737E-4,false
330,114,0.09,7.894737E-4,true
306,219,0.17,7.7625574E-4,false
129,116,0.09,7.758621E-4,false
313,284,0.22,7.7464787E-4,true
25,118,0.09,7.6271186E-4,false
395,383,0.29,7.5718015E-4,true
78,81,0.06,7.4074074E-4,false
96,81,0.06,7.4074074E-4,false
89,83,0.06,7.228916E-4,false
91,83,0.06,7.228916E-4,false
689,153,0.11,7.1895425E-4,true
74,42,0.03,7.142857E-4,false
396,314,0.2,6.369427E-4,true
29,33,0.02,6.060606E-4,true
24,119,0.07,5.8823527E-4,false
166,345,0.2,5.797101E-4,true
158,55,0.03,5.4545456E-4,false
326,94,0.05,5.319149E-4,false
281,38,0.02,5.2631577E-4,false
171,423,0.22,5.200946E-4,true
246,145,0.07,4.8275862E-4,true
242,384,0.18,4.6875E-4,true
106,86,0.04,4.651163E-4,false
39,69,0.03,4.3478262E-4,true
50,69,0.03,4.3478262E-4,false
61,70,0.03,4.2857142E-4,false
63,70,0.03,4.2857142E-4,false
338,70,0.03,4.2857142E-4,false
165,1424,0.57,4.002809E-4,true
432,76,0.03,3.9473685E-4,false
37,106,0.04,3.773585E-4,false
10,107,0.04,3.7383178E-4,false
47,135,0.05,3.7037037E-4,false
83,27,0.01,3.7037037E-4,false
62,57,0.02,3.508772E-4,false
156,92,0.03,3.2608697E-4,false
58,32,0.01,3.125E-4,false
75,32,0.01,3.125E-4,false
93,32,0.01,3.125E-4,false
132,32,0.01,3.125E-4,false
168,32,0.01,3.125E-4,false
224,452,0.14,3.0973452E-4,true
495,65,0.02,3.076923E-4,true
363,35,0.01,2.8571428E-4,false
105,71,0.02,2.8169015E-4,true
104,73,0.02,2.739726E-4,true
501,114,0.03,2.6315788E-4,true
40,77,0.02,2.5974025E-4,true
329,77,0.02,2.5974025E-4,false
331,77,0.02,2.5974025E-4,false
130,116,0.03,2.5862068E-4,true
682,359,0.09,2.5069638E-4,false
287,40,0.01,2.5E-4,false
46,202,0.05,2.4752476E-4,false
295,448,0.11,2.4553572E-4,true
321,41,0.01,2.4390244E-4,false
347,206,0.05,2.4271845E-4,false
518,536,0.13,2.4253731E-4,true
160,86,0.02,2.3255814E-4,false
125,46,0.01,2.1739131E-4,false
202,2346,0.51,2.1739131E-4,true
109,94,0.02,2.1276595E-4,false
203,625,0.13,2.08E-4,true
67,104,0.02,1.9230769E-4,false
346,104,0.02,1.9230769E-4,false
190,124,0.02,1.6129033E-4,true
228,1101,0.17,1.5440509E-4,true
69,131,0.02,1.5267175E-4,true
226,1124,0.17,1.5124555E-4,true
117,69,0.01,1.4492753E-4,false
20,70,0.01,1.4285714E-4,false
149,70,0.01,1.4285714E-4,false
256,155,0.02,1.2903225E-4,false
59,79,0.01,1.2658228E-4,false
103,80,0.01,1.25E-4,false
60,81,0.01,1.2345679E-4,false
688,82,0.01,1.2195122E-4,false
41,83,0.01,1.2048193E-4,true
255,83,0.01,1.2048193E-4,false
523,84,0.01,1.1904762E-4,false
43,85,0.01,1.1764706E-4,false
71,86,0.01,1.1627907E-4,false
348,86,0.01,1.1627907E-4,false
314,87,0.01,1.1494253E-4,false
65,88,0.01,1.13636364E-4,false
73,88,0.01,1.13636364E-4,false
52,89,0.01,1.1235955E-4,false
45,90,0.01,1.1111111E-4,false
411,95,0.01,1.05263156E-4,false
344,108,0.01,9.259259E-5,false
243,112,0.01,8.928571E-5,false
201,1079,0.08,7.414272E-5,true
68,139,0.01,7.194244E-5,false
15,142,0.01,7.042254E-5,true
30,146,0.01,6.849315E-5,false
32,147,0.01,6.802721E-5,false
162,147,0.01,6.802721E-5,false
22,148,0.01,6.756757E-5,false
214,16276,0.57,3.502089E-5,true
1,78,0.0,0.0,true
2,87,0.0,0.0,false
3,68,0.0,0.0,false
6,132,0.0,0.0,false
7,64,0.0,0.0,false
11,121,0.0,0.0,false
