Id,Size,Prob,NormProb,Actual
99,22,0.49,0.022272727,false
176,22,0.49,0.022272727,false
179,22,0.49,0.022272727,false
251,22,0.49,0.022272727,false
258,22,0.49,0.022272727,false
309,22,0.49,0.022272727,false
322,22,0.49,0.022272727,false
402,22,0.49,0.022272727,false
175,23,0.49,0.021304348,false
222,23,0.49,0.021304348,false
236,23,0.49,0.021304348,false
396,23,0.49,0.021304348,false
397,23,0.49,0.021304348,false
398,23,0.49,0.021304348,false
497,23,0.49,0.021304348,false
517,23,0.49,0.021304348,false
178,24,0.49,0.020416666,false
237,24,0.49,0.020416666,false
253,24,0.49,0.020416666,false
280,24,0.49,0.020416666,false
331,24,0.49,0.020416666,false
354,24,0.49,0.020416666,false
390,24,0.49,0.020416666,false
404,24,0.49,0.020416666,false
464,24,0.49,0.020416666,false
511,24,0.49,0.020416666,false
39,25,0.49,0.0196,false
66,25,0.49,0.0196,false
193,25,0.49,0.0196,false
194,25,0.49,0.0196,false
224,25,0.49,0.0196,false
252,25,0.49,0.0196,false
265,25,0.49,0.0196,false
317,25,0.49,0.0196,false
325,25,0.49,0.0196,false
327,25,0.49,0.0196,false
328,25,0.49,0.0196,false
332,25,0.49,0.0196,false
395,25,0.49,0.0196,false
403,25,0.49,0.0196,false
469,25,0.49,0.0196,false
479,25,0.49,0.0196,false
480,25,0.49,0.0196,false
494,25,0.49,0.0196,false
508,25,0.49,0.0196,false
65,26,0.49,0.018846154,false
225,26,0.49,0.018846154,false
313,26,0.49,0.018846154,false
329,26,0.49,0.018846154,false
333,26,0.49,0.018846154,false
387,26,0.49,0.018846154,false
394,26,0.49,0.018846154,false
407,26,0.49,0.018846154,false
408,26,0.49,0.018846154,false
409,26,0.49,0.018846154,false
482,26,0.49,0.018846154,false
490,26,0.49,0.018846154,false
492,26,0.49,0.018846154,false
500,26,0.49,0.018846154,false
503,26,0.49,0.018846154,false
507,26,0.49,0.018846154,false
87,27,0.49,0.018148148,false
438,27,0.49,0.018148148,false
453,27,0.49,0.018148148,false
512,27,0.49,0.018148148,false
47,28,0.49,0.0175,false
50,28,0.49,0.0175,false
192,28,0.49,0.0175,false
241,28,0.49,0.0175,false
245,28,0.49,0.0175,false
254,28,0.49,0.0175,false
326,28,0.49,0.0175,false
487,28,0.49,0.0175,false
539,28,0.49,0.0175,false
42,29,0.49,0.016896551,false
239,29,0.49,0.016896551,false
250,29,0.49,0.016896551,false
310,29,0.49,0.016896551,false
315,29,0.49,0.016896551,false
316,29,0.49,0.016896551,false
401,29,0.49,0.016896551,false
429,29,0.49,0.016896551,false
434,29,0.49,0.016896551,false
448,29,0.49,0.016896551,false
98,30,0.49,0.016333334,false
151,30,0.49,0.016333334,false
152,30,0.49,0.016333334,false
255,30,0.49,0.016333334,false
379,30,0.49,0.016333334,false
493,30,0.49,0.016333334,false
524,30,0.49,0.016333334,false
63,31,0.49,0.015806451,false
184,31,0.49,0.015806451,false
191,31,0.49,0.015806451,false
242,31,0.49,0.015806451,false
259,31,0.49,0.015806451,false
298,31,0.49,0.015806451,false
334,31,0.49,0.015806451,false
389,31,0.49,0.015806451,false
405,31,0.49,0.015806451,false
406,31,0.49,0.015806451,false
415,31,0.49,0.015806451,false
446,31,0.49,0.015806451,false
466,31,0.49,0.015806451,false
488,31,0.49,0.015806451,false
20,32,0.49,0.0153125,false
147,32,0.49,0.0153125,false
148,32,0.49,0.0153125,false
149,32,0.49,0.0153125,false
232,32,0.49,0.0153125,false
233,32,0.49,0.0153125,false
234,32,0.49,0.0153125,false
235,32,0.49,0.0153125,false
244,32,0.49,0.0153125,false
260,32,0.49,0.0153125,false
319,32,0.49,0.0153125,false
385,32,0.49,0.0153125,false
386,32,0.49,0.0153125,false
400,32,0.49,0.0153125,false
523,32,0.49,0.0153125,false
527,32,0.49,0.0153125,false
28,33,0.49,0.014848485,false
195,33,0.49,0.014848485,false
312,33,0.49,0.014848485,false
324,33,0.49,0.014848485,false
399,33,0.49,0.014848485,false
449,33,0.49,0.014848485,false
465,33,0.49,0.014848485,false
495,33,0.49,0.014848485,false
526,33,0.49,0.014848485,false
172,34,0.49,0.014411765,false
240,34,0.49,0.014411765,false
304,34,0.49,0.014411765,false
391,34,0.49,0.014411765,false
85,35,0.49,0.014,false
150,35,0.49,0.014,false
353,35,0.49,0.014,false
541,35,0.49,0.014,false
52,36,0.49,0.013611111,false
59,36,0.49,0.013611111,false
69,36,0.49,0.013611111,false
311,36,0.49,0.013611111,false
321,36,0.49,0.013611111,false
410,36,0.49,0.013611111,false
481,36,0.49,0.013611111,false
522,36,0.49,0.013611111,false
13,37,0.49,0.013243243,false
48,37,0.49,0.013243243,false
56,37,0.49,0.013243243,false
71,37,0.49,0.013243243,false
79,37,0.49,0.013243243,true
301,37,0.49,0.013243243,false
350,37,0.49,0.013243243,false
525,37,0.49,0.013243243,false
54,38,0.49,0.012894737,false
146,38,0.49,0.012894737,false
173,38,0.49,0.012894737,false
183,38,0.49,0.012894737,false
243,38,0.49,0.012894737,false
283,38,0.49,0.012894737,false
364,38,0.49,0.012894737,false
414,38,0.49,0.012894737,false
417,38,0.49,0.012894737,false
444,38,0.49,0.012894737,false
475,38,0.49,0.012894737,false
162,39,0.49,0.012564102,true
198,39,0.49,0.012564102,false
269,39,0.49,0.012564102,false
413,39,0.49,0.012564102,false
450,39,0.49,0.012564102,false
491,39,0.49,0.012564102,false
32,40,0.49,0.01225,false
67,40,0.49,0.01225,false
188,40,0.49,0.01225,false
199,40,0.49,0.01225,false
223,40,0.49,0.01225,false
381,40,0.49,0.01225,false
440,40,0.49,0.01225,false
452,40,0.49,0.01225,false
186,82,1.0,0.0121951215,false
305,83,1.0,0.012048192,false
501,83,1.0,0.012048192,false
165,41,0.49,0.011951219,false
174,41,0.49,0.011951219,false
246,41,0.49,0.011951219,false
248,41,0.49,0.011951219,false
297,41,0.49,0.011951219,false
412,41,0.49,0.011951219,false
489,41,0.49,0.011951219,false
257,84,1.0,0.011904762,true
355,84,1.0,0.011904762,false
454,84,1.0,0.011904762,false
26,85,1.0,0.011764706,false
300,85,1.0,0.011764706,false
504,85,1.0,0.011764706,false
271,42,0.49,0.011666667,false
276,42,0.49,0.011666667,false
278,42,0.49,0.011666667,false
420,42,0.49,0.011666667,false
422,42,0.49,0.011666667,false
303,86,1.0,0.011627907,false
2,87,1.0,0.011494253,false
393,87,1.0,0.011494253,false
44,43,0.49,0.011395349,false
144,43,0.49,0.011395349,false
362,43,0.49,0.011395349,false
363,43,0.49,0.011395349,false
61,89,1.0,0.011235955,true
203,89,1.0,0.011235955,false
205,89,1.0,0.011235955,false
220,89,1.0,0.011235955,false
166,44,0.49,0.011136363,true
314,44,0.49,0.011136363,false
352,44,0.49,0.011136363,false
419,44,0.49,0.011136363,false
483,44,0.49,0.011136363,false
496,44,0.49,0.011136363,false
535,44,0.49,0.011136363,false
361,90,1.0,0.011111111,true
100,91,1.0,0.010989011,false
168,45,0.49,0.0108888885,true
181,45,0.49,0.0108888885,false
200,45,0.49,0.0108888885,false
299,45,0.49,0.0108888885,false
441,45,0.49,0.0108888885,false
76,92,1.0,0.010869565,false
463,92,1.0,0.010869565,false
502,92,1.0,0.010869565,false
534,92,1.0,0.010869565,false
103,93,1.0,0.010752688,false
458,93,1.0,0.010752688,false
57,46,0.49,0.010652174,false
94,46,0.49,0.010652174,false
421,46,0.49,0.010652174,false
41,94,1.0,0.010638298,false
335,94,1.0,0.010638298,false
470,94,1.0,0.010638298,false
477,94,1.0,0.010638298,false
107,95,1.0,0.010526316,false
432,95,1.0,0.010526316,false
439,95,1.0,0.010526316,false
27,47,0.49,0.010425532,false
86,47,0.49,0.010425532,false
208,47,0.49,0.010425532,false
368,47,0.49,0.010425532,false
513,47,0.49,0.010425532,false
519,47,0.49,0.010425532,false
337,96,1.0,0.010416667,false
431,96,1.0,0.010416667,false
515,96,1.0,0.010416667,false
207,97,1.0,0.010309278,true
516,97,1.0,0.010309278,false
270,48,0.49,0.010208333,false
378,48,0.49,0.010208333,false
418,48,0.49,0.010208333,false
430,48,0.49,0.010208333,false
64,98,1.0,0.010204081,false
347,98,1.0,0.010204081,false
104,49,0.49,0.01,false
153,49,0.49,0.01,false
275,100,1.0,0.01,false
346,100,1.0,0.01,false
427,49,0.49,0.01,false
474,49,0.49,0.01,false
62,50,0.49,0.0098,false
182,50,0.49,0.0098,false
287,50,0.49,0.0098,false
330,50,0.49,0.0098,false
485,50,0.49,0.0098,false
540,50,0.49,0.0098,false
53,51,0.49,0.009607843,false
91,51,0.49,0.009607843,false
92,51,0.49,0.009607843,false
190,51,0.49,0.009607843,false
228,51,0.49,0.009607843,false
285,51,0.49,0.009607843,false
288,51,0.49,0.009607843,false
376,51,0.49,0.009607843,false
433,51,0.49,0.009607843,false
238,105,1.0,0.00952381,true
291,105,1.0,0.00952381,false
36,106,1.0,0.009433962,false
264,106,1.0,0.009433962,false
461,106,1.0,0.009433962,false
43,52,0.49,0.009423077,true
55,52,0.49,0.009423077,false
163,52,0.49,0.009423077,false
206,52,0.49,0.009423077,false
266,52,0.49,0.009423077,false
267,52,0.49,0.009423077,false
290,52,0.49,0.009423077,false
447,52,0.49,0.009423077,false
484,52,0.49,0.009423077,false
10,107,1.0,0.009345794,false
459,107,1.0,0.009345794,false
93,108,1.0,0.009259259,false
210,108,1.0,0.009259259,false
95,53,0.49,0.009245283,false
155,53,0.49,0.009245283,false
318,53,0.49,0.009245283,false
320,53,0.49,0.009245283,false
424,53,0.49,0.009245283,false
428,53,0.49,0.009245283,false
436,53,0.49,0.009245283,false
443,53,0.49,0.009245283,false
371,109,1.0,0.0091743115,false
510,109,1.0,0.0091743115,false
11,110,1.0,0.009090909,false
202,110,1.0,0.009090909,false
217,110,1.0,0.009090909,false
197,54,0.49,0.009074074,false
306,54,0.49,0.009074074,false
351,54,0.49,0.009074074,false
365,54,0.49,0.009074074,false
158,112,1.0,0.008928572,false
383,112,1.0,0.008928572,false
78,55,0.49,0.008909091,false
180,55,0.49,0.008909091,false
209,55,0.49,0.008909091,false
273,55,0.49,0.008909091,false
30,113,1.0,0.0088495575,false
58,113,1.0,0.0088495575,false
373,113,1.0,0.0088495575,true
423,113,1.0,0.0088495575,false
15,114,1.0,0.00877193,false
219,114,1.0,0.00877193,false
75,56,0.49,0.00875,false
340,56,0.49,0.00875,false
425,56,0.49,0.00875,false
437,56,0.49,0.00875,false
161,115,1.0,0.008695652,true
60,116,1.0,0.00862069,false
156,57,0.49,0.008596491,false
204,57,0.49,0.008596491,false
215,57,0.49,0.008596491,false
216,57,0.49,0.008596491,false
274,57,0.49,0.008596491,false
284,57,0.49,0.008596491,false
24,118,1.0,0.008474576,false
4,58,0.49,0.008448276,true
12,58,0.49,0.008448276,false
70,58,0.49,0.008448276,false
201,58,0.49,0.008448276,false
229,58,0.49,0.008448276,false
370,58,0.49,0.008448276,false
23,119,1.0,0.008403362,false
89,119,1.0,0.008403362,false
16,59,0.49,0.008305085,false
68,59,0.49,0.008305085,false
106,59,0.49,0.008305085,false
154,59,0.49,0.008305085,false
226,59,0.49,0.008305085,false
358,59,0.49,0.008305085,false
457,59,0.49,0.008305085,false
189,122,1.0,0.008196721,true
177,60,0.49,0.008166667,false
227,60,0.49,0.008166667,false
286,60,0.49,0.008166667,false
296,60,0.49,0.008166667,false
392,123,1.0,0.008130081,false
212,124,1.0,0.008064516,false
367,124,1.0,0.008064516,false
506,124,1.0,0.008064516,false
142,61,0.49,0.008032787,false
145,61,0.49,0.008032787,false
230,61,0.49,0.008032787,false
279,61,0.49,0.008032787,false
281,61,0.49,0.008032787,false
302,61,0.49,0.008032787,false
336,61,0.49,0.008032787,false
426,61,0.49,0.008032787,false
442,61,0.49,0.008032787,false
538,61,0.49,0.008032787,false
33,125,1.0,0.008,false
416,125,1.0,0.008,false
293,62,0.49,0.007903226,false
308,62,0.49,0.007903226,false
455,62,0.49,0.007903226,false
467,62,0.49,0.007903226,false
292,63,0.49,0.007777778,false
247,130,1.0,0.0076923077,true
7,64,0.49,0.00765625,false
17,64,0.49,0.00765625,false
49,64,0.49,0.00765625,false
170,64,0.49,0.00765625,false
221,64,0.49,0.00765625,false
366,64,0.49,0.00765625,false
445,64,0.49,0.00765625,false
6,132,1.0,0.007575758,false
411,65,0.49,0.0075384616,false
249,134,1.0,0.0074626864,false
167,66,0.49,0.0074242423,false
529,66,0.49,0.0074242423,false
533,135,1.0,0.0074074073,false
160,136,1.0,0.007352941,false
272,67,0.49,0.0073134326,false
307,67,0.49,0.0073134326,false
505,67,0.49,0.0073134326,false
478,138,1.0,0.007246377,false
3,68,0.49,0.0072058826,false
359,68,0.49,0.0072058826,false
294,139,1.0,0.007194245,false
345,139,1.0,0.007194245,false
159,69,0.49,0.007101449,true
218,69,0.49,0.007101449,false
341,69,0.49,0.007101449,false
14,142,1.0,0.0070422534,false
343,142,1.0,0.0070422534,false
542,142,1.0,0.0070422534,false
19,70,0.49,0.007,false
73,70,0.49,0.007,false
369,144,1.0,0.0069444445,true
29,146,1.0,0.006849315,false
82,72,0.49,0.0068055554,false
169,72,0.49,0.0068055554,false
268,72,0.49,0.0068055554,false
536,72,0.49,0.0068055554,false
31,147,1.0,0.006802721,false
40,147,1.0,0.006802721,true
80,147,1.0,0.006802721,false
532,147,1.0,0.006802721,false
21,148,1.0,0.006756757,false
460,73,0.49,0.0067123286,false
344,149,1.0,0.0067114094,false
90,153,1.0,0.006535948,false
543,153,1.0,0.006535948,true
102,75,0.49,0.0065333336,false
486,75,0.49,0.0065333336,false
518,154,1.0,0.0064935065,false
84,155,1.0,0.006451613,true
171,155,1.0,0.006451613,false
295,76,0.49,0.0064473683,false
462,76,0.49,0.0064473683,false
509,76,0.49,0.0064473683,false
22,156,1.0,0.0064102565,false
25,156,1.0,0.0064102565,false
360,156,1.0,0.0064102565,false
468,77,0.49,0.0063636363,false
342,159,1.0,0.006289308,false
435,159,1.0,0.006289308,false
1,78,0.49,0.006282051,false
211,160,1.0,0.00625,true
372,161,1.0,0.0062111802,false
213,79,0.49,0.0062025315,false
214,79,0.49,0.0062025315,false
499,79,0.49,0.0062025315,false
185,80,0.49,0.006125,false
456,80,0.49,0.006125,false
498,80,0.49,0.006125,false
18,164,1.0,0.0060975607,false
38,81,0.49,0.0060493825,false
521,166,1.0,0.006024096,false
101,169,1.0,0.00591716,true
