ID,Size,Predicted,Actual
167,25,0.32,YES
207,27,0.33,NO
118,14,0.17,NO
222,25,0.3,NO
233,16,0.191,YES
131,26,0.23,NO
117,31,0.25,NO
320,32,0.25,NO
259,52,0.3823611,NO
86,29,0.21,NO
138,32,0.23,NO
510,52,0.37,NO
85,44,0.31,NO
220,47,0.33,NO
55,49,0.34,NO
91,31,0.21,NO
90,46,0.31,NO
530,26,0.17,NO
509,49,0.32,NO
607,53,0.34,YES
226,58,0.37,NO
132,33,0.21,NO
574,37,0.23,NO
50,29,0.18,NO
330,43,0.26,YES
206,67,0.39,NO
228,40,0.23,NO
144,61,0.35,YES
405,61,0.35,YES
49,30,0.17,NO
579,65,0.36,YES
97,57,0.31,NO
768,60,0.32090908,NO
3,58,0.31,NO
210,78,0.41,YES
135,40,0.21,NO
137,40,0.21,NO
223,65,0.34,NO
418,57,0.2925,YES
420,57,0.2925,YES
293,65,0.33,YES
114,76,0.38,NO
211,76,0.38,YES
227,88,0.43,NO
111,81,0.39,NO
215,74,0.34,NO
133,46,0.21,NO
232,95,0.43,YES
229,97,0.43,YES
60,32,0.14,NO
209,80,0.35,NO
140,69,0.3,NO
141,90,0.39,NO
218,82,0.35,NO
130,75,0.32,NO
217,75,0.32,YES
219,97,0.41,NO
239,36,0.15,YES
412,77,0.32,YES
214,70,0.29,YES
216,80,0.33,NO
231,101,0.41,YES
41,77,0.31,YES
213,83,0.33,NO
74,69,0.27,NO
125,57,0.22,YES
15,78,0.3,YES
93,71,0.2725,NO
101,71,0.2725,NO
766,34,0.13,NO
424,70,0.26,YES
110,143,0.53,NO
230,103,0.38,YES
127,76,0.28,YES
82,72,0.2625,YES
344,66,0.24,YES
120,150,0.54,NO
121,153,0.55,NO
436,64,0.23,NO
225,117,0.42,NO
343,53,0.19,YES
113,146,0.52,NO
128,112,0.395,YES
202,86,0.29583332,NO
773,66,0.225,NO
224,127,0.43,NO
42,83,0.28,YES
446,35,0.115,NO
407,142,0.465,YES
139,93,0.3,YES
585,114,0.36333334,YES
112,132,0.42,NO
161,44,0.14,NO
307,62,0.197,YES
126,95,0.3,YES
147,152,0.48,YES
221,38,0.12,NO
421,152,0.47,YES
124,190,0.58,NO
419,154,0.47,NO
136,161,0.49,YES
45,43,0.13,NO
88,60,0.18125,YES
431,94,0.28,YES
123,193,0.57,NO
413,120,0.35333332,YES
311,82,0.24,NO
43,48,0.14,NO
64,57,0.165,NO
129,240,0.69,YES
410,162,0.46,YES
590,74,0.21,YES
397,96,0.27,YES
385,89,0.246,YES
387,89,0.246,YES
432,89,0.246,YES
108,88,0.24,NO
430,209,0.57,YES
134,92,0.25,YES
774,82,0.22,NO
119,220,0.59,NO
107,90,0.24,NO
208,294,0.78,YES
40,76,0.2,YES
109,289,0.76,NO
434,58,0.15,NO
235,89,0.23,NO
149,167,0.43,YES
7,134,0.34,NO
0,79,0.2,NO
489,87,0.22,NO
408,171,0.43,YES
29,48,0.12,YES
571,60,0.15,NO
337,157,0.39,YES
106,97,0.24,NO
142,106,0.26,YES
236,304,0.74,NO
116,306,0.72,NO
196,194,0.45,YES
57,40,0.09,NO
59,40,0.09,NO
68,40,0.09,NO
415,80,0.17666666,YES
66,59,0.13,NO
327,71,0.15517858,YES
61,79,0.17,NO
122,330,0.7,NO
613,121,0.255,YES
67,88,0.185,NO
212,323,0.67,YES
435,65,0.13333334,NO
292,299,0.61,YES
53,64,0.13,YES
51,69,0.14,NO
596,74,0.15,NO
425,131,0.26333332,NO
54,89,0.17833333,NO
44,85,0.17,NO
63,70,0.14,NO
65,70,0.14,NO
62,81,0.16,NO
160,284,0.56,YES
401,41,0.08,YES
404,41,0.08,YES
199,241,0.47,YES
46,90,0.175,NO
265,405,0.78,YES
56,250,0.48,YES
240,32,0.06,YES
428,44,0.082,YES
341,337,0.62,YES
241,49,0.09,YES
282,421,0.77,YES
262,124,0.225,YES
58,171,0.31,YES
115,420,0.76,NO
11,121,0.215,NO
87,280,0.49,YES
594,189,0.33,YES
89,334,0.58,NO
251,447,0.775,NO
448,52,0.09,NO
288,406,0.7,YES
238,351,0.6,YES
426,281,0.48,YES
9,246,0.42,NO
272,457,0.78,YES
395,47,0.08,YES
566,47,0.08,YES
762,47,0.08,YES
256,253,0.43,YES
243,445,0.745,YES
48,135,0.225,NO
402,42,0.07,YES
586,253,0.42,NO
569,136,0.225,NO
260,394,0.65,NO
69,104,0.17,NO
398,43,0.07,YES
622,123,0.2,YES
394,296,0.48,YES
334,31,0.05,YES
336,31,0.05,YES
78,56,0.09,YES
302,532,0.85,YES
36,252,0.4,NO
186,281,0.44,YES
263,405,0.63,YES
273,405,0.63,YES
285,405,0.63,YES
291,405,0.63,YES
396,284,0.44,YES
255,114,0.175,YES
52,242,0.37,YES
416,46,0.07,YES
301,553,0.83,YES
38,106,0.1565,NO
481,106,0.1565,NO
691,106,0.1565,YES
286,560,0.82,YES
266,513,0.75,YES
296,513,0.75,YES
298,513,0.75,YES
172,48,0.07,YES
295,515,0.75,YES
414,77,0.11,YES
325,627,0.88,YES
403,50,0.07,YES
777,100,0.14,NO
406,45,0.062,YES
602,542,0.74,YES
274,506,0.69,YES
