ID,Size,Predicted,Actual
0,111,0.08214809,NO
1,22,0.0070158704,NO
2,75,0.07295724,NO
3,131,0.0,NO
4,74,0.10172066,NO
5,84,0.14021294,NO
6,70,0.14909956,NO
7,57,0.03461877,NO
8,70,0.14909956,NO
9,59,0.0,NO
10,88,0.08175477,NO
11,40,0.027444215,NO
12,99,0.05732946,NO
13,187,0.39621574,NO
14,196,0.14336129,NO
15,192,0.5954102,NO
16,97,0.08740107,NO
17,98,0.10332883,NO
18,96,0.015504402,NO
19,173,0.071066156,NO
20,141,0.40463975,NO
21,142,0.12375742,NO
22,188,0.0,NO
23,90,0.05399758,NO
24,110,0.07085062,NO
25,62,0.06191358,NO
26,61,0.034728996,NO
27,120,0.11170918,NO
28,116,0.2304193,NO
29,58,0.057323616,NO
30,74,0.10172066,NO
31,113,0.08807642,NO
32,48,0.039706204,NO
33,77,0.06711186,NO
34,65,0.057924993,NO
35,74,0.10172066,NO
36,83,0.031949647,NO
37,128,0.0,NO
38,72,0.0076862606,NO
39,76,0.11937162,NO
40,69,0.036367293,NO
41,83,0.031949647,NO
42,65,0.057924993,NO
43,88,0.08175477,NO
44,40,0.027444215,NO
45,86,0.12618476,NO
46,89,0.090075895,NO
47,49,0.052806325,NO
48,102,0.15819494,NO
49,94,0.0747952,NO
50,72,0.0076862606,NO
51,60,0.045252908,NO
52,76,0.11937162,NO
53,92,0.0410043,NO
54,96,0.015504402,NO
55,70,0.14909956,NO
56,86,0.12618476,NO
57,101,0.09993134,NO
58,169,0.0,NO
59,115,0.060653538,NO
60,153,0.058337316,NO
61,58,0.057323616,NO
62,47,0.05292212,NO
63,49,0.052806325,NO
64,58,0.057323616,NO
65,70,0.14909956,NO
66,141,0.40463975,NO
67,93,0.051583227,NO
68,273,0.0,NO
69,96,0.015504402,NO
70,50,0.05197674,NO
71,241,0.67,NO
72,195,0.27630952,NO
73,131,0.0,NO
74,170,6.6666666E-4,NO
75,161,0.0,NO
76,102,0.15819494,NO
77,150,0.66569984,NO
78,65,0.057924993,NO
79,88,0.08175477,NO
80,40,0.027444215,NO
81,57,0.03461877,NO
82,39,0.028442431,NO
83,85,0.018336046,NO
84,93,0.051583227,NO
85,87,0.07973585,NO
86,81,0.13276929,NO
87,95,0.076339,NO
88,66,0.09704174,NO
89,94,0.0747952,NO
90,76,0.11937162,NO
91,116,0.2304193,NO
92,56,0.035739847,NO
93,48,0.039706204,NO
94,71,0.089031875,NO
95,45,0.008510355,NO
96,45,0.008510355,NO
97,30,0.016371837,NO
98,74,0.10172066,NO
99,299,0.19226553,NO
100,82,0.10729546,NO
101,197,0.14772724,NO
102,173,0.071066156,NO
103,84,0.14021294,NO
104,75,0.07295724,NO
105,65,0.057924993,NO
106,96,0.015504402,NO
107,193,0.34175217,NO
108,157,0.0,NO
109,88,0.08175477,NO
110,67,0.010070515,NO
111,92,0.0410043,NO
112,56,0.035739847,NO
113,101,0.09993134,NO
114,136,0.13876745,NO
115,105,0.019297523,NO
116,377,0.0,NO
117,174,0.0,NO
118,244,0.0,NO
119,101,0.09993134,NO
