ID,Size,Predicted,Actual
98,22,0.98,NO
381,24,0.98,NO
49,24,0.96,NO
56,24,0.96,NO
348,24,0.96,NO
833,26,0.98,NO
388,27,0.98,NO
746,27,0.98,NO
758,27,0.98,NO
804,27,0.98,NO
347,29,0.96,NO
376,30,0.98,NO
399,30,0.98,NO
678,31,0.98,NO
62,31,0.96,NO
238,31,0.96,YES
101,32,0.98,NO
380,32,0.98,NO
755,32,0.98,NO
275,29,0.88,NO
391,33,0.98,NO
927,33,0.98,NO
89,35,0.98,NO
197,35,0.95729345,NO
510,35,0.95729345,NO
801,35,0.95729345,NO
828,35,0.95729345,NO
1003,35,0.95729345,NO
76,36,0.98,NO
343,37,0.97,NO
282,25,0.63,NO
354,40,0.99,NO
650,40,0.99,YES
59,36,0.87,NO
60,36,0.87,NO
122,36,0.87,NO
349,41,0.98,NO
82,42,1.0,NO
192,42,1.0,NO
377,42,1.0,NO
621,42,1.0,NO
711,42,1.0,NO
716,42,1.0,NO
719,42,1.0,NO
882,42,1.0,NO
884,42,1.0,NO
77,43,1.0,NO
346,43,0.98,NO
390,44,0.98,NO
217,45,1.0,NO
397,45,1.0,NO
398,45,1.0,NO
134,35,0.7776905,NO
668,35,0.7776905,NO
283,40,0.88,NO
249,43,0.93,NO
253,43,0.93,NO
46,39,0.84,NO
47,39,0.84,NO
48,39,0.84,NO
63,39,0.84,NO
369,39,0.84,NO
103,47,1.0,NO
287,47,1.0,NO
85,48,1.0,NO
237,48,1.0,YES
395,48,1.0,NO
1013,48,1.0,NO
815,38,0.78,NO
170,49,1.0,NO
311,49,1.0,NO
406,49,1.0,NO
515,49,1.0,NO
732,49,1.0,NO
889,49,1.0,NO
936,49,1.0,NO
382,50,1.0,NO
383,50,1.0,NO
74,44,0.87,NO
119,37,0.7266667,NO
125,37,0.7266667,NO
126,33,0.64194447,NO
254,33,0.64194447,NO
67,52,1.0,NO
109,52,1.0,NO
276,53,1.0,NO
540,53,1.0,NO
138,39,0.73183334,NO
53,54,1.0,NO
342,53,0.97,NO
68,55,1.0,NO
75,55,1.0,NO
539,46,0.83,NO
73,56,1.0,NO
353,56,1.0,NO
394,56,1.0,NO
414,56,1.0,YES
115,55,0.98,NO
84,55,0.97,NO
368,57,1.0,NO
128,56,0.9816667,NO
169,40,0.7011014,NO
257,40,0.7011014,NO
259,40,0.7011014,NO
367,40,0.7011014,NO
590,33,0.5772963,NO
757,33,0.5772963,NO
769,33,0.5772963,NO
861,33,0.5772963,NO
911,33,0.5772963,NO
957,33,0.5772963,NO
987,33,0.5772963,NO
55,58,1.0,NO
312,58,1.0,NO
543,58,1.0,YES
834,58,1.0,NO
658,57,0.98,NO
66,59,1.0,NO
375,59,1.0,NO
547,59,1.0,YES
585,59,1.0,YES
524,58,0.97,NO
310,60,1.0,NO
583,35,0.58,YES
88,55,0.91,NO
268,61,1.0,NO
50,62,1.0,NO
267,62,1.0,NO
929,62,1.0,NO
139,41,0.66,NO
152,52,0.8325,NO
427,52,0.8325,NO
670,52,0.8325,NO
204,63,1.0,YES
250,63,1.0,NO
384,63,1.0,NO
635,63,1.0,NO
57,64,1.0,NO
137,64,1.0,NO
215,64,1.0,NO
513,27,0.42,NO
571,27,0.42,NO
549,64,0.99,NO
612,37,0.57,NO
747,65,1.0,NO
245,64,0.97,YES
141,66,1.0,NO
737,62,0.9297569,NO
753,62,0.9297569,NO
917,62,0.9297569,NO
164,67,1.0,NO
389,67,1.0,NO
341,65,0.97,NO
146,66,0.98,NO
255,66,0.98,YES
328,55,0.8122056,NO
559,55,0.8122056,NO
619,55,0.8122056,NO
713,55,0.8122056,NO
96,62,0.91,NO
516,49,0.71,NO
387,69,0.99,NO
795,69,0.99,NO
110,53,0.76,NO
361,69,0.98,NO
70,71,1.0,NO
72,71,1.0,NO
97,71,1.0,NO
357,71,1.0,NO
107,54,0.76,NO
147,54,0.76,NO
262,59,0.83,YES
556,60,0.8431555,NO
664,60,0.8431555,NO
727,60,0.8431555,NO
740,60,0.8431555,NO
1000,60,0.8431555,NO
148,47,0.66,NO
91,65,0.91,NO
345,70,0.98,NO
86,72,1.0,NO
149,72,1.0,NO
201,44,0.6086674,NO
647,44,0.6086674,NO
759,44,0.6086674,NO
800,44,0.6086674,NO
881,44,0.6086674,NO
945,44,0.6086674,NO
958,44,0.6086674,NO
997,44,0.6086674,NO
292,42,0.58,NO
873,65,0.89,NO
