ID,Size,Predicted,Actual
624,37,0.94,NO
1237,39,0.92,YES
1238,39,0.92,YES
2020,47,0.96,YES
113,32,0.6400264,YES
195,32,0.6400264,YES
196,32,0.6400264,YES
363,32,0.6400264,YES
438,32,0.6400264,YES
459,32,0.6400264,YES
472,32,0.6400264,YES
498,32,0.6400264,YES
532,32,0.6400264,YES
551,32,0.6400264,YES
577,32,0.6400264,NO
671,32,0.6400264,YES
787,32,0.6400264,YES
818,32,0.6400264,YES
863,32,0.6400264,YES
876,32,0.6400264,YES
983,32,0.6400264,YES
1234,32,0.6400264,YES
1377,32,0.6400264,YES
1378,32,0.6400264,YES
1379,32,0.6400264,YES
1380,32,0.6400264,YES
1439,32,0.6400264,YES
1580,32,0.6400264,YES
1624,32,0.6400264,YES
1625,32,0.6400264,YES
1648,32,0.6400264,YES
1780,32,0.6400264,YES
1784,32,0.6400264,YES
1821,32,0.6400264,YES
340,43,0.7276558,YES
383,43,0.7276558,YES
421,43,0.7276558,YES
544,43,0.7276558,YES
647,43,0.7276558,YES
662,43,0.7276558,YES
788,43,0.7276558,YES
1134,43,0.7276558,YES
1187,43,0.7276558,YES
1218,43,0.7276558,YES
1260,43,0.7276558,YES
1403,43,0.7276558,YES
1431,43,0.7276558,YES
1480,43,0.7276558,YES
1546,43,0.7276558,YES
1816,43,0.7276558,YES
1818,43,0.7276558,YES
1855,43,0.7276558,YES
1856,43,0.7276558,YES
1867,43,0.7276558,YES
1908,43,0.7276558,YES
1911,43,0.7276558,YES
329,38,0.6399359,YES
565,38,0.6399359,YES
651,38,0.6399359,YES
659,38,0.6399359,YES
661,38,0.6399359,YES
715,38,0.6399359,YES
728,38,0.6399359,YES
771,38,0.6399359,YES
1143,38,0.6399359,YES
1216,38,0.6399359,YES
1228,38,0.6399359,YES
1408,38,0.6399359,YES
1429,38,0.6399359,YES
1523,38,0.6399359,YES
1528,38,0.6399359,YES
1630,38,0.6399359,YES
1661,38,0.6399359,YES
1664,38,0.6399359,YES
1679,38,0.6399359,YES
1700,38,0.6399359,YES
1705,38,0.6399359,YES
1733,38,0.6399359,YES
1857,38,0.6399359,YES
1901,38,0.6399359,YES
1965,38,0.6399359,YES
2000,38,0.6399359,YES
152,36,0.59794116,YES
153,36,0.59794116,YES
197,36,0.59794116,YES
200,36,0.59794116,YES
305,36,0.59794116,YES
322,36,0.59794116,YES
339,36,0.59794116,YES
384,36,0.59794116,YES
446,36,0.59794116,YES
474,36,0.59794116,YES
484,36,0.59794116,YES
667,36,0.59794116,YES
742,36,0.59794116,YES
767,36,0.59794116,YES
865,36,0.59794116,YES
911,36,0.59794116,YES
913,36,0.59794116,YES
925,36,0.59794116,NO
942,36,0.59794116,YES
1309,36,0.59794116,YES
1451,36,0.59794116,YES
1468,36,0.59794116,YES
1482,36,0.59794116,YES
1568,36,0.59794116,YES
1582,36,0.59794116,YES
1649,36,0.59794116,YES
1656,36,0.59794116,YES
1667,36,0.59794116,YES
1779,36,0.59794116,YES
2019,58,0.92,YES
2022,58,0.92,YES
59,39,0.58783925,YES
138,39,0.58783925,YES
139,39,0.58783925,YES
141,39,0.58783925,YES
156,39,0.58783925,YES
165,39,0.58783925,YES
212,39,0.58783925,YES
269,39,0.58783925,YES
401,39,0.58783925,YES
706,39,0.58783925,YES
760,39,0.58783925,YES
838,39,0.58783925,YES
1150,39,0.58783925,YES
1151,39,0.58783925,YES
1217,39,0.58783925,YES
1435,39,0.58783925,YES
1510,39,0.58783925,YES
1513,39,0.58783925,YES
1688,39,0.58783925,YES
1706,39,0.58783925,YES
1749,39,0.58783925,YES
1934,39,0.58783925,YES
1998,39,0.58783925,YES
2005,39,0.58783925,YES
1221,30,0.44,YES
584,28,0.41,NO
185,42,0.59041464,YES
292,42,0.59041464,YES
332,42,0.59041464,YES
345,42,0.59041464,YES
458,42,0.59041464,YES
540,42,0.59041464,YES
583,42,0.59041464,NO
739,42,0.59041464,YES
1307,42,0.59041464,YES
1318,42,0.59041464,YES
1322,42,0.59041464,YES
1393,42,0.59041464,YES
1512,42,0.59041464,YES
1518,42,0.59041464,YES
1521,42,0.59041464,YES
1671,42,0.59041464,YES
1673,42,0.59041464,YES
1697,42,0.59041464,YES
1807,42,0.59041464,YES
1819,42,0.59041464,YES
1037,49,0.68,YES
94,37,0.5132407,YES
140,37,0.5132407,YES
192,37,0.5132407,YES
215,37,0.5132407,YES
381,37,0.5132407,YES
387,37,0.5132407,YES
685,37,0.5132407,YES
745,37,0.5132407,YES
752,37,0.5132407,YES
847,37,0.5132407,NO
908,37,0.5132407,YES
995,37,0.5132407,YES
1232,37,0.5132407,YES
1391,37,0.5132407,YES
1420,37,0.5132407,YES
1437,37,0.5132407,YES
1539,37,0.5132407,YES
1550,37,0.5132407,YES
1645,37,0.5132407,YES
1665,37,0.5132407,YES
1833,37,0.5132407,YES
1836,37,0.5132407,YES
2034,37,0.5132407,YES
28,47,0.64460516,NO
166,47,0.64460516,YES
190,47,0.64460516,YES
242,47,0.64460516,YES
244,47,0.64460516,YES
364,47,0.64460516,YES
411,47,0.64460516,YES
570,47,0.64460516,YES
590,47,0.64460516,NO
663,47,0.64460516,YES
736,47,0.64460516,YES
1311,47,0.64460516,YES
1312,47,0.64460516,YES
1339,47,0.64460516,YES
1341,47,0.64460516,YES
1452,47,0.64460516,YES
1475,47,0.64460516,YES
1615,47,0.64460516,YES
1639,47,0.64460516,YES
