ID,Size,Predicted,Actual
49,24,0.91,NO
56,24,0.91,NO
348,24,0.89,NO
98,22,0.77,NO
381,24,0.82,NO
275,29,0.98,NO
758,27,0.91,NO
746,27,0.88,NO
833,26,0.83,NO
347,29,0.91,NO
388,27,0.83,NO
804,27,0.83,NO
62,31,0.9,NO
238,31,0.9,YES
376,30,0.83,NO
399,30,0.83,NO
678,31,0.81,NO
59,36,0.92,NO
60,36,0.92,NO
122,36,0.92,NO
343,37,0.94,NO
101,32,0.81,NO
380,32,0.81,NO
391,33,0.81,NO
927,33,0.81,NO
755,32,0.78,NO
513,27,0.65,NO
349,41,0.98,NO
46,39,0.92,NO
47,39,0.92,NO
48,39,0.92,NO
63,39,0.92,NO
369,39,0.92,NO
377,42,0.99,NO
354,40,0.94,NO
82,42,0.98,NO
77,43,0.99,NO
346,43,0.98,NO
76,36,0.82,NO
650,40,0.91,YES
390,44,0.99,NO
249,43,0.96,NO
253,43,0.96,NO
397,45,0.99,NO
398,45,0.99,NO
74,44,0.96,NO
217,45,0.98,NO
539,46,0.98,NO
287,47,1.0,NO
85,48,1.0,NO
395,48,1.0,NO
103,47,0.97,NO
1013,48,0.99,NO
237,48,0.97,YES
89,35,0.7,NO
382,50,1.0,NO
383,50,1.0,NO
515,49,0.97,NO
276,53,0.99,NO
342,53,0.99,NO
540,53,0.99,NO
67,52,0.97,NO
109,52,0.97,NO
53,54,0.98,NO
68,55,0.99,NO
75,55,0.99,NO
84,55,0.99,NO
394,56,1.0,NO
414,56,1.0,YES
514,52,0.92,NO
637,52,0.92,NO
639,52,0.92,NO
73,56,0.99,NO
353,56,0.99,NO
707,48,0.84,YES
583,35,0.61,YES
368,57,0.99,NO
612,37,0.64,NO
834,58,1.0,NO
55,58,0.99,NO
312,58,0.99,NO
524,58,0.99,NO
543,58,0.99,YES
582,50,0.85,NO
375,59,1.0,NO
585,59,1.0,YES
66,59,0.99,NO
547,59,0.99,YES
310,60,1.0,NO
268,61,1.0,NO
50,62,0.99,NO
267,62,0.99,NO
929,62,0.99,NO
384,63,1.0,NO
635,63,1.0,NO
608,54,0.85,NO
204,63,0.99,YES
250,63,0.99,NO
215,64,1.0,NO
549,64,1.0,NO
57,64,0.99,NO
137,64,0.99,NO
245,64,0.99,YES
88,55,0.84,NO
341,65,0.99,NO
747,65,0.99,NO
141,66,0.99,NO
146,66,0.99,NO
255,66,0.99,YES
444,62,0.92,NO
164,67,0.97,NO
389,67,0.97,NO
361,69,0.97,NO
345,70,0.98,NO
97,71,0.99,NO
357,71,0.99,NO
387,69,0.96,NO
795,69,0.96,NO
86,72,1.0,NO
737,62,0.86,NO
753,62,0.86,NO
917,62,0.86,NO
70,71,0.98,NO
72,71,0.98,NO
641,64,0.88,NO
149,72,0.98,NO
335,60,0.81,NO
96,62,0.83,NO
71,74,0.99,NO
822,74,0.99,NO
344,76,0.99,NO
392,76,0.99,NO
922,73,0.94516665,NO
51,77,0.99,NO
52,77,0.99,NO
328,55,0.70516664,NO
559,55,0.70516664,NO
619,55,0.70516664,NO
713,55,0.70516664,NO
0,78,1.0,NO
91,65,0.83,NO
930,77,0.98,NO
571,27,0.34,NO
194,56,0.70516664,NO
325,56,0.70516664,NO
630,56,0.70516664,NO
785,56,0.70516664,NO
887,56,0.70516664,NO
899,56,0.70516664,NO
497,62,0.77,NO
739,76,0.93,NO
924,76,0.93,NO
971,76,0.93,NO
69,80,0.97,NO
100,81,0.97,NO
633,77,0.92,NO
472,65,0.77,NO
92,69,0.8,NO
408,83,0.95,NO
247,82,0.93,YES
182,88,0.99,NO
191,88,0.99,NO
168,89,0.99,NO
113,63,0.7,NO
656,64,0.71,NO
657,64,0.71,NO
478,65,0.72,NO
655,65,0.72,NO
803,65,0.72,NO
131,85,0.94,NO
65,89,0.98,NO
54,90,0.99,NO
159,90,0.99,NO
396,82,0.9,NO
79,75,0.82,NO
99,75,0.82,NO
652,90,0.98,NO
658,57,0.61,NO
90,91,0.97,NO
560,45,0.4795,NO
595,45,0.4795,NO
625,45,0.4795,NO
743,45,0.4795,NO
903,45,0.4795,NO
142,93,0.98,NO
1006,66,0.69,NO
925,92,0.96,NO
263,94,0.98,NO
373,94,0.98,NO
751,83,0.86,NO
358,93,0.96,NO
628,94,0.97,NO
365,67,0.69,NO
806,67,0.69,NO
939,94,0.96,NO
115,55,0.56,NO
479,74,0.75,NO
80,81,0.82,NO
351,95,0.96,NO
651,96,0.97,NO
201,44,0.44116667,NO
647,44,0.44116667,NO
759,44,0.44116667,NO
800,44,0.44116667,NO
881,44,0.44116667,NO
945,44,0.44116667,NO
958,44,0.44116667,NO
997,44,0.44116667,NO
128,56,0.56,NO
176,79,0.79,NO
292,42,0.42,NO
362,98,0.98,NO
370,98,0.98,NO
780,94,0.94,NO
961,79,0.79,NO
104,101,1.0,NO
372,101,1.0,NO
143,97,0.96,NO
352,96,0.95,NO
977,96,0.95,NO
718,95,0.94,NO
894,95,0.94,NO
901,95,0.94,NO
205,101,0.99,YES
225,97,0.95,NO
978,97,0.95,NO
199,46,0.45,NO
200,46,0.45,NO
207,46,0.45,NO
219,46,0.45,NO
220,46,0.45,NO
294,46,0.45,NO
417,46,0.45,NO
883,46,0.45,NO
261,71,0.69,YES
256,99,0.96,YES
218,98,0.95,NO
216,94,0.91,NO
170,49,0.47233334,NO
311,49,0.47233334,NO
406,49,0.47233334,NO
732,49,0.47233334,NO
889,49,0.47233334,NO
936,49,0.47233334,NO
246,105,1.0,YES
614,47,0.44583333,NO
618,47,0.44583333,NO
790,47,0.44583333,NO
819,47,0.44583333,NO
975,47,0.44583333,NO
981,47,0.44583333,NO
994,47,0.44583333,NO
561,50,0.47233334,NO
622,50,0.47233334,NO
728,50,0.47233334,NO
775,50,0.47233334,NO
947,50,0.47233334,NO
1002,50,0.47233334,NO
371,106,1.0,NO
415,106,1.0,YES
504,107,1.0,NO
35,48,0.44583333,NO
156,48,0.44583333,NO
300,48,0.44583333,NO
710,48,0.44583333,NO
880,48,0.44583333,NO
892,48,0.44583333,NO
416,108,1.0,NO
601,77,0.71,NO
105,109,1.0,NO
336,109,1.0,NO
78,81,0.73,NO
587,101,0.91,YES
248,111,1.0,NO
735,111,1.0,NO
356,112,1.0,NO
296,113,1.0,NO
198,72,0.63707143,NO
400,72,0.63707143,NO
548,72,0.63707143,NO
708,72,0.63707143,NO
210,71,0.62707144,NO
266,115,1.0,NO
360,115,1.0,NO
544,115,1.0,YES
990,66,0.57,NO
298,116,1.0,NO
385,116,1.0,NO
521,117,1.0,YES
792,117,1.0,NO
83,82,0.7,NO
624,61,0.52,NO
81,88,0.75,NO
752,67,0.57,NO
967,67,0.57,NO
153,78,0.66,NO
1014,110,0.93,NO
195,51,0.42845237,NO
304,51,0.42845237,NO
412,51,0.42845237,NO
413,51,0.42845237,NO
580,51,0.42845237,NO
665,51,0.42845237,NO
726,51,0.42845237,NO
729,51,0.42845237,NO
832,51,0.42845237,NO
895,51,0.42845237,NO
393,120,1.0,NO
523,120,1.0,NO
87,113,0.94,NO
338,121,1.0,NO
816,121,1.0,NO
573,109,0.9,NO
815,38,0.31,NO
572,112,0.9,NO
95,125,1.0,NO
826,125,1.0,NO
187,126,1.0,NO
5,105,0.83,NO
932,125,0.98,NO
93,120,0.94,NO
818,128,1.0,NO
262,59,0.46,YES
283,40,0.31,NO
339,131,1.0,NO
827,132,1.0,NO
337,133,1.0,NO
334,79,0.59,NO
154,134,1.0,NO
599,70,0.52,NO
374,136,1.0,NO
94,137,1.0,NO
350,137,1.0,NO
102,135,0.98,NO
940,138,1.0,NO
130,139,1.0,NO
688,139,1.0,NO
186,128,0.91,YES
188,143,1.0,NO
1008,83,0.57,NO
516,49,0.33366665,NO
16,121,0.82,NO
500,68,0.46,NO
332,148,1.0,NO
158,43,0.29016668,NO
277,43,0.29016668,NO
503,43,0.29016668,NO
526,43,0.29016668,NO
617,43,0.29016668,NO
813,43,0.29016668,NO
814,43,0.29016668,NO
37,113,0.76,NO
116,149,1.0,NO
626,149,1.0,NO
1007,86,0.57,NO
632,120,0.77,NO
233,157,1.0,YES
533,157,1.0,NO
315,99,0.63,NO
845,121,0.77,NO
108,158,1.0,NO
258,160,1.0,NO
379,160,1.0,NO
8,87,0.54,YES
545,81,0.5,NO
1015,159,0.98,YES
340,163,1.0,NO
145,105,0.63,NO
140,167,1.0,NO
640,167,1.0,NO
550,170,1.0,NO
598,128,0.75,NO
934,171,1.0,NO
638,172,1.0,NO
13,174,1.0,NO
787,160,0.91,NO
581,95,0.54,NO
636,175,0.99,NO
611,133,0.75,NO
118,179,1.0,NO
378,182,0.99,NO
386,182,0.99,NO
627,182,0.99,NO
938,182,0.99,NO
273,184,0.99,NO
825,119,0.64,NO
976,185,0.99,NO
730,186,0.99,NO
299,187,0.99,NO
546,119,0.63,NO
244,190,0.99,YES
811,189,0.9766667,NO
129,101,0.52,NO
3,175,0.9,NO
7,196,1.0,NO
19,37,0.18451731,NO
281,37,0.18451731,NO
291,37,0.18451731,NO
313,37,0.18451731,NO
734,37,0.18451731,NO
745,37,0.18451731,NO
797,37,0.18451731,NO
798,37,0.18451731,NO
986,37,0.18451731,NO
933,201,1.0,NO
610,167,0.83,NO
27,32,0.15799132,NO
175,32,0.15799132,NO
193,32,0.15799132,NO
213,32,0.15799132,NO
301,32,0.15799132,NO
405,32,0.15799132,NO
507,32,0.15799132,NO
508,32,0.15799132,NO
509,32,0.15799132,NO
568,32,0.15799132,NO
671,32,0.15799132,NO
672,32,0.15799132,NO
673,32,0.15799132,NO
674,32,0.15799132,NO
683,32,0.15799132,NO
699,32,0.15799132,NO
764,32,0.15799132,NO
847,32,0.15799132,NO
848,32,0.15799132,NO
862,32,0.15799132,NO
984,32,0.15799132,NO
988,32,0.15799132,NO
36,146,0.72,NO
935,204,1.0,NO
38,147,0.72,NO
289,38,0.18451731,NO
506,38,0.18451731,NO
552,38,0.18451731,NO
562,38,0.18451731,NO
566,38,0.18451731,NO
682,38,0.18451731,NO
724,38,0.18451731,NO
876,38,0.18451731,NO
879,38,0.18451731,NO
906,38,0.18451731,NO
937,38,0.18451731,NO
226,206,1.0,YES
278,207,1.0,NO
61,208,1.0,NO
649,210,1.0,NO
820,210,1.0,NO
793,214,1.0,NO
179,57,0.2657619,NO
214,57,0.2657619,NO
293,57,0.2657619,NO
316,57,0.2657619,NO
519,57,0.2657619,NO
542,57,0.2657619,NO
714,57,0.2657619,NO
725,57,0.2657619,NO
271,213,0.99,NO
788,142,0.66,NO
58,216,1.0,NO
1,87,0.4,NO
284,87,0.4,NO
712,87,0.4,NO
855,87,0.4,NO
913,218,0.99,NO
136,69,0.31,NO
264,69,0.31,NO
695,199,0.89,NO
948,75,0.33,NO
221,203,0.89,YES
32,230,1.0,NO
2,198,0.85,NO
251,235,1.0,NO
324,235,1.0,YES
575,80,0.34,NO
634,80,0.34,NO
918,80,0.34,NO
960,80,0.34,NO
541,66,0.28,NO
854,123,0.51,NO
6,58,0.23992857,NO
18,58,0.23992857,NO
596,58,0.23992857,NO
666,58,0.23992857,NO
824,58,0.23992857,NO
569,211,0.8666667,NO
64,245,1.0,NO
643,70,0.28333333,NO
669,224,0.9,NO
282,25,0.1,NO
224,258,1.0,NO
44,263,1.0,YES
117,263,1.0,NO
1011,71,0.26933333,NO
424,261,0.98,NO
132,95,0.35,NO
279,275,1.0,YES
4,68,0.24266666,NO
809,68,0.24266666,NO
234,76,0.27,YES
570,259,0.92,NO
686,276,0.98,NO
239,220,0.76,NO
314,287,0.98,YES
1009,94,0.32,NO
327,295,1.0,YES
333,296,1.0,NO
190,69,0.23266667,NO
786,69,0.23266667,NO
607,296,0.99,NO
426,93,0.31,NO
920,93,0.31,NO
477,299,0.99,NO
401,89,0.29,NO
185,263,0.85,NO
227,90,0.29,NO
265,90,0.29,NO
252,75,0.24,NO
425,75,0.24,NO
286,316,1.0,YES
203,280,0.87,NO
402,304,0.94,NO
