ID,Size,Predicted,Actual
125,5,0.15,YES
184,75,1.0,NO
630,75,1.0,NO
431,76,1.0,NO
606,76,1.0,NO
653,76,1.0,NO
39,77,1.0,YES
328,77,1.0,YES
330,77,1.0,YES
612,77,1.0,NO
0,78,1.0,YES
58,79,1.0,NO
643,79,1.0,NO
83,12,0.15,NO
102,80,1.0,NO
283,80,1.0,NO
331,80,1.0,YES
600,80,1.0,NO
642,80,1.0,NO
59,81,1.0,NO
77,81,1.0,NO
95,81,1.0,NO
284,82,1.0,NO
687,82,1.0,NO
40,83,1.0,YES
88,83,1.0,NO
90,83,1.0,NO
254,83,1.0,YES
441,83,1.0,NO
645,83,1.0,NO
389,84,1.0,YES
522,84,1.0,YES
598,84,1.0,NO
26,85,1.0,NO
42,85,1.0,NO
436,85,1.0,NO
648,85,1.0,NO
494,65,0.76,YES
555,65,0.76,NO
70,86,1.0,NO
105,86,1.0,NO
159,86,1.0,NO
347,86,1.0,YES
439,86,1.0,NO
260,66,0.76,YES
672,66,0.76,NO
1,87,1.0,NO
313,87,1.0,YES
404,87,1.0,NO
537,87,1.0,NO
64,88,1.0,NO
72,88,1.0,NO
443,67,0.76,NO
649,67,0.76,NO
51,89,1.0,NO
301,89,1.0,NO
303,89,1.0,NO
348,89,1.0,YES
2,68,0.76,NO
352,68,0.76,NO
498,68,0.76,NO
44,90,1.0,NO
38,69,0.76,YES
49,69,0.76,NO
116,69,0.76,NO
477,69,0.76,NO
155,92,1.0,NO
607,92,1.0,NO
646,92,1.0,NO
678,92,1.0,NO
19,70,0.76,NO
60,70,0.76,NO
62,70,0.76,NO
148,70,0.76,NO
337,70,0.76,YES
339,70,0.76,YES
185,93,1.0,NO
602,93,1.0,NO
87,14,0.15,NO
104,71,0.76,YES
243,71,0.76,YES
108,94,1.0,NO
325,94,1.0,YES
471,94,1.0,NO
614,94,1.0,YES
621,94,1.0,NO
163,72,0.76,NO
262,72,0.76,NO
400,72,0.76,NO
410,95,1.0,YES
576,95,1.0,NO
583,95,1.0,NO
429,62,0.65,NO
444,62,0.65,NO
599,62,0.65,NO
611,62,0.65,NO
473,96,1.0,NO
575,96,1.0,NO
659,96,1.0,NO
103,73,0.76,YES
604,73,0.76,NO
428,63,0.65,NO
660,97,1.0,NO
256,74,0.76,YES
511,74,0.76,NO
136,98,1.0,NO
308,98,1.0,YES
485,98,1.0,NO
6,64,0.65,NO
17,64,0.65,NO
263,64,0.65,NO
349,64,0.65,NO
351,64,0.65,NO
506,64,0.65,NO
589,64,0.65,NO
145,99,1.0,NO
158,99,1.0,NO
248,99,1.0,YES
160,100,1.0,NO
407,100,1.0,NO
483,100,1.0,NO
689,100,1.0,NO
66,104,1.0,NO
345,104,1.0,YES
370,105,1.0,NO
427,105,1.0,NO
36,106,1.0,NO
396,106,1.0,NO
605,106,1.0,NO
9,107,1.0,NO
603,107,1.0,NO
175,108,1.0,NO
182,108,1.0,YES
343,108,1.0,YES
514,109,1.0,NO
654,109,1.0,NO
11,110,1.0,YES
300,110,1.0,NO
338,110,1.0,NO
242,112,1.0,NO
30,113,1.0,NO
126,113,1.0,NO
516,113,1.0,YES
567,113,1.0,NO
15,114,1.0,NO
329,114,1.0,YES
340,114,1.0,NO
500,114,1.0,YES
128,116,1.0,NO
129,116,1.0,YES
323,116,1.0,YES
24,118,1.0,NO
23,119,1.0,NO
171,119,1.0,NO
489,20,0.15,NO
181,22,0.15,NO
269,22,0.15,NO
272,22,0.15,NO
383,22,0.15,NO
390,22,0.15,NO
445,22,0.15,NO
458,22,0.15,NO
546,22,0.15,NO
268,23,0.15,NO
353,23,0.15,NO
368,23,0.15,NO
540,23,0.15,NO
541,23,0.15,NO
542,23,0.15,NO
641,23,0.15,NO
661,23,0.15,NO
271,24,0.15,NO
369,24,0.15,NO
385,24,0.15,NO
413,24,0.15,NO
467,24,0.15,NO
493,24,0.15,NO
534,24,0.15,NO
548,24,0.15,NO
608,24,0.15,NO
655,24,0.15,NO
106,25,0.15,NO
138,25,0.15,NO
291,25,0.15,NO
292,25,0.15,NO
355,25,0.15,NO
384,25,0.15,NO
397,25,0.15,NO
453,25,0.15,NO
461,25,0.15,NO
463,25,0.15,NO
464,25,0.15,NO
468,25,0.15,NO
539,25,0.15,NO
547,25,0.15,NO
613,25,0.15,NO
623,25,0.15,NO
624,25,0.15,NO
638,25,0.15,NO
652,25,0.15,NO
133,26,0.15,NO
137,26,0.15,NO
152,26,0.15,NO
356,26,0.15,NO
449,26,0.15,NO
465,26,0.15,NO
469,26,0.15,NO
531,26,0.15,NO
538,26,0.15,NO
551,26,0.15,NO
552,26,0.15,NO
553,26,0.15,NO
626,26,0.15,NO
634,26,0.15,NO
636,26,0.15,NO
644,26,0.15,NO
647,26,0.15,NO
651,26,0.15,NO
82,27,0.15,NO
169,27,0.15,NO
582,27,0.15,NO
597,27,0.15,NO
656,27,0.15,NO
114,28,0.15,NO
117,28,0.15,NO
150,28,0.15,NO
290,28,0.15,NO
373,28,0.15,NO
377,28,0.15,NO
386,28,0.15,NO
462,28,0.15,NO
631,28,0.15,NO
683,28,0.15,NO
50,52,0.27,YES
71,52,0.27,NO
110,52,0.27,YES
122,52,0.27,NO
247,52,0.27,NO
304,52,0.27,NO
398,52,0.27,NO
399,52,0.27,NO
423,52,0.27,NO
591,52,0.27,NO
628,52,0.27,NO
48,29,0.15,NO
86,29,0.15,NO
109,29,0.15,NO
371,29,0.15,NO
382,29,0.15,NO
446,29,0.15,NO
451,29,0.15,NO
452,29,0.15,NO
545,29,0.15,NO
573,29,0.15,NO
578,29,0.15,NO
592,29,0.15,NO
177,53,0.27,NO
239,53,0.27,NO
454,53,0.27,NO
456,53,0.27,NO
521,53,0.27,YES
568,53,0.27,NO
572,53,0.27,NO
580,53,0.27,NO
587,53,0.27,NO
47,30,0.15,NO
89,54,0.27,NO
97,54,0.27,NO
180,30,0.15,NO
235,30,0.15,NO
236,30,0.15,NO
259,54,0.27,YES
278,30,0.15,NO
295,54,0.27,NO
387,30,0.15,NO
442,54,0.27,NO
490,54,0.27,NO
523,30,0.15,NO
637,30,0.15,NO
667,30,0.15,NO
79,55,0.27,NO
157,55,0.27,NO
273,55,0.27,NO
316,55,0.27,YES
405,55,0.27,NO
52,31,0.15,NO
135,31,0.15,NO
147,31,0.15,NO
250,31,0.15,YES
252,31,0.15,YES
277,31,0.15,NO
279,31,0.15,NO
281,31,0.15,NO
289,31,0.15,NO
374,31,0.15,NO
391,31,0.15,NO
434,31,0.15,NO
470,31,0.15,NO
533,31,0.15,NO
549,31,0.15,NO
550,31,0.15,NO
559,31,0.15,NO
590,31,0.15,NO
610,31,0.15,NO
632,31,0.15,NO
154,56,0.27,NO
327,56,0.27,YES
476,56,0.27,NO
569,56,0.27,NO
581,56,0.27,NO
61,57,0.27,NO
146,57,0.27,NO
240,57,0.27,NO
261,57,0.27,YES
302,57,0.27,NO
334,57,0.27,YES
335,57,0.27,YES
406,57,0.27,NO
417,57,0.27,NO
20,32,0.15,NO
57,32,0.15,NO
74,32,0.15,NO
92,32,0.15,NO
131,32,0.15,NO
167,32,0.15,YES
231,32,0.15,NO
232,32,0.15,NO
233,32,0.15,NO
282,32,0.15,NO
364,32,0.15,NO
365,32,0.15,NO
366,32,0.15,NO
367,32,0.15,NO
376,32,0.15,NO
392,32,0.15,NO
424,32,0.15,NO
455,32,0.15,NO
529,32,0.15,NO
530,32,0.15,NO
544,32,0.15,NO
666,32,0.15,NO
670,32,0.15,NO
3,58,0.27,NO
12,58,0.27,NO
142,58,0.27,NO
299,58,0.27,NO
360,58,0.27,NO
513,58,0.27,NO
16,59,0.27,NO
63,59,0.27,NO
140,59,0.27,NO
188,59,0.27,NO
238,59,0.27,NO
321,59,0.27,YES
357,59,0.27,NO
497,59,0.27,NO
505,59,0.27,YES
601,59,0.27,NO
28,33,0.15,YES
293,33,0.15,NO
448,33,0.15,NO
460,33,0.15,NO
543,33,0.15,NO
593,33,0.15,NO
609,33,0.15,NO
639,33,0.15,NO
669,33,0.15,NO
270,60,0.27,NO
358,60,0.27,NO
419,60,0.27,NO
432,60,0.27,NO
486,60,0.27,NO
682,60,0.27,NO
226,61,0.27,YES
229,61,0.27,NO
350,61,0.27,NO
361,61,0.27,NO
412,61,0.27,NO
414,61,0.27,NO
438,61,0.27,NO
472,61,0.27,NO
570,61,0.27,NO
586,61,0.27,NO
132,34,0.15,NO
151,34,0.15,NO
265,34,0.15,NO
372,34,0.15,NO
440,34,0.15,NO
512,34,0.15,YES
535,34,0.15,NO
680,34,0.15,NO
21,148,0.65,NO
69,149,0.65,YES
480,149,0.65,NO
78,35,0.15,NO
96,35,0.15,NO
234,35,0.15,NO
362,35,0.15,NO
425,35,0.15,NO
492,35,0.15,NO
685,35,0.15,NO
107,152,0.65,YES
172,153,0.65,NO
688,153,0.65,YES
662,154,0.65,NO
255,155,0.65,YES
264,155,0.65,NO
22,156,0.65,NO
25,156,0.65,NO
119,36,0.15,NO
127,36,0.15,NO
141,36,0.15,NO
166,36,0.15,YES
447,36,0.15,NO
457,36,0.15,NO
499,156,0.65,NO
554,36,0.15,NO
625,36,0.15,NO
665,36,0.15,NO
333,157,0.65,YES
253,158,0.65,YES
326,159,0.65,YES
478,159,0.65,NO
579,159,0.65,NO
13,37,0.15,NO
115,37,0.15,NO
123,37,0.15,NO
143,37,0.15,NO
426,37,0.15,YES
437,37,0.15,NO
488,37,0.15,NO
668,37,0.15,NO
515,161,0.65,NO
18,164,0.65,NO
55,164,0.65,YES
121,38,0.15,NO
230,38,0.15,NO
266,38,0.15,NO
276,38,0.15,NO
280,38,0.15,NO
375,38,0.15,NO
416,38,0.15,NO
504,38,0.15,NO
558,38,0.15,NO
561,38,0.15,NO
588,38,0.15,NO
619,38,0.15,NO
251,165,0.65,YES
249,166,0.65,YES
296,39,0.15,NO
401,39,0.15,NO
557,39,0.15,NO
594,39,0.15,NO
635,39,0.15,NO
616,171,0.65,NO
677,171,0.65,YES
324,172,0.65,YES
7,173,0.65,NO
153,173,0.65,YES
482,173,0.65,YES
32,40,0.15,NO
54,40,0.15,NO
56,40,0.15,NO
65,40,0.15,NO
75,40,0.15,YES
91,40,0.15,NO
93,40,0.15,NO
139,40,0.15,NO
286,40,0.15,NO
297,40,0.15,NO
354,40,0.15,NO
525,40,0.15,NO
584,40,0.15,NO
596,40,0.15,NO
532,174,0.65,NO
664,176,0.65,NO
496,177,0.65,NO
149,41,0.15,NO
258,41,0.15,NO
267,41,0.15,NO
317,41,0.15,YES
320,41,0.15,YES
378,41,0.15,NO
380,41,0.15,NO
433,41,0.15,NO
556,41,0.15,NO
633,41,0.15,NO
620,178,0.65,NO
409,179,0.65,NO
37,181,0.65,NO
415,181,0.65,NO
73,42,0.15,NO
318,42,0.15,YES
403,42,0.15,NO
408,42,0.15,NO
411,42,0.15,NO
509,182,0.65,YES
564,42,0.15,NO
566,42,0.15,NO
