ID,Size,Predicted,Actual
842,22,0.72,YES
199,29,0.72,YES
838,31,0.72,YES
139,35,0.8,YES
1680,39,0.89,YES
824,33,0.68,YES
142,30,0.59,YES
201,38,0.72,YES
552,38,0.72,YES
205,48,0.89,YES
545,48,0.89,YES
555,48,0.89,YES
844,47,0.87,YES
543,39,0.72,YES
145,45,0.8,YES
138,47,0.83,YES
204,42,0.72,YES
1681,40,0.67,YES
202,44,0.72,YES
144,53,0.79,YES
683,56,0.83,YES
1657,61,0.86,YES
148,60,0.78,YES
140,62,0.76,YES
141,64,0.78,YES
556,57,0.69,YES
117,65,0.78,YES
557,58,0.69,YES
692,58,0.69,YES
685,67,0.78,YES
102,71,0.82,YES
146,68,0.77,YES
147,68,0.77,YES
843,76,0.83,YES
1207,76,0.83,YES
1583,80,0.86,YES
822,61,0.65,YES
210,68,0.7,YES
549,73,0.75,YES
963,56,0.57,NO
1572,70,0.71,YES
1628,72,0.72,YES
551,84,0.82,YES
261,33,0.3209284,NO
435,33,0.3209284,NO
672,33,0.3209284,NO
795,33,0.3209284,NO
1072,33,0.3209284,NO
1213,33,0.3209284,NO
1278,33,0.3209284,NO
1298,33,0.3209284,NO
1344,33,0.3209284,NO
1424,33,0.3209284,NO
1455,33,0.3209284,NO
1485,33,0.3209284,NO
1546,33,0.3209284,NO
837,87,0.84,YES
682,81,0.78,YES
114,93,0.88,YES
839,90,0.84,YES
208,91,0.83,YES
79,89,0.7836896,NO
169,89,0.7836896,NO
303,89,0.7836896,NO
344,89,0.7836896,NO
602,89,0.7836896,YES
689,89,0.7836896,NO
687,83,0.72,YES
165,35,0.30163094,NO
224,35,0.30163094,NO
269,35,0.30163094,NO
456,35,0.30163094,YES
591,35,0.30163094,NO
718,35,0.30163094,NO
744,35,0.30163094,NO
821,35,0.30163094,NO
992,35,0.30163094,NO
1168,35,0.30163094,NO
1347,35,0.30163094,NO
1366,35,0.30163094,NO
1501,35,0.30163094,NO
1544,35,0.30163094,NO
1003,91,0.77,YES
681,105,0.88,YES
686,102,0.85,YES
207,95,0.79,YES
209,95,0.79,YES
553,95,0.79,YES
203,96,0.79,YES
1675,106,0.87,YES
1009,122,1.0,NO
190,66,0.5369213,NO
276,66,0.5369213,NO
281,66,0.5369213,NO
351,66,0.5369213,NO
436,66,0.5369213,NO
774,66,0.5369213,NO
1488,66,0.5369213,NO
1547,66,0.5369213,NO
1630,66,0.5369213,NO
40,123,1.0,NO
92,122,0.99,YES
90,123,0.99,YES
1205,106,0.85,YES
1648,90,0.71,YES
200,104,0.82,YES
547,108,0.85,YES
836,111,0.85,YES
44,98,0.74275047,NO
154,98,0.74275047,NO
385,98,0.74275047,NO
477,98,0.74275047,YES
639,98,0.74275047,NO
651,98,0.74275047,NO
1089,98,0.74275047,NO
198,110,0.83,YES
548,111,0.83,YES
784,140,1.0,YES
960,140,1.0,NO
213,81,0.57729924,NO
215,81,0.57729924,NO
235,81,0.57729924,NO
246,81,0.57729924,NO
539,81,0.57729924,YES
572,81,0.57729924,NO
758,81,0.57729924,NO
765,81,0.57729924,NO
796,81,0.57729924,NO
1025,81,0.57729924,YES
1085,81,0.57729924,NO
1514,81,0.57729924,NO
1627,81,0.57729924,NO
88,74,0.5147944,NO
180,74,0.5147944,NO
759,74,0.5147944,NO
911,74,0.5147944,NO
1005,74,0.5147944,NO
1632,74,0.5147944,NO
732,126,0.87057227,NO
1101,126,0.87057227,NO
23,77,0.53096384,NO
65,77,0.53096384,NO
66,77,0.53096384,NO
941,77,0.53096384,NO
1129,77,0.53096384,NO
1427,77,0.53096384,NO
1607,77,0.53096384,NO
316,57,0.38761857,NO
380,57,0.38761857,NO
649,57,0.38761857,NO
658,57,0.38761857,NO
799,57,0.38761857,NO
971,57,0.38761857,NO
1006,57,0.38761857,NO
1119,57,0.38761857,NO
1228,57,0.38761857,NO
1240,57,0.38761857,NO
1522,57,0.38761857,NO
1338,150,1.0,YES
237,135,0.8964779,NO
770,135,0.8964779,NO
184,91,0.60123235,NO
314,91,0.60123235,YES
540,91,0.60123235,NO
573,91,0.60123235,NO
1362,91,0.60123235,NO
1462,91,0.60123235,NO
1275,103,0.67354697,NO
107,94,0.60915375,NO
225,94,0.60915375,NO
383,94,0.60915375,NO
444,94,0.60915375,YES
605,94,0.60915375,YES
654,94,0.60915375,NO
1068,94,0.60915375,NO
1109,94,0.60915375,NO
1124,94,0.60915375,NO
1312,94,0.60915375,NO
1437,94,0.60915375,NO
1532,94,0.60915375,NO
1638,94,0.60915375,NO
684,88,0.57,YES
22,37,0.23891306,NO
254,37,0.23891306,NO
260,37,0.23891306,NO
521,37,0.23891306,NO
580,37,0.23891306,NO
587,37,0.23891306,NO
617,37,0.23891306,YES
805,37,0.23891306,NO
1035,37,0.23891306,NO
1185,37,0.23891306,NO
1249,37,0.23891306,NO
1260,37,0.23891306,NO
1351,37,0.23891306,NO
1369,37,0.23891306,NO
1484,37,0.23891306,NO
1535,37,0.23891306,NO
1538,37,0.23891306,NO
1690,37,0.23891306,NO
363,133,0.83853054,NO
612,133,0.83853054,YES
985,133,0.83853054,NO
285,117,0.7302464,NO
289,117,0.7302464,YES
1502,117,0.7302464,NO
14,108,0.67122924,YES
778,108,0.67122924,NO
798,108,0.67122924,NO
81,52,0.32054457,NO
160,52,0.32054457,NO
188,52,0.32054457,NO
244,52,0.32054457,NO
287,52,0.32054457,NO
494,52,0.32054457,YES
496,52,0.32054457,NO
750,52,0.32054457,NO
817,52,0.32054457,NO
829,52,0.32054457,NO
964,52,0.32054457,NO
1055,52,0.32054457,NO
1170,52,0.32054457,NO
1219,52,0.32054457,NO
1220,52,0.32054457,NO
1246,52,0.32054457,NO
1359,52,0.32054457,NO
1444,52,0.32054457,NO
1512,52,0.32054457,NO
13,62,0.3803943,NO
64,62,0.3803943,NO
448,62,0.3803943,NO
465,62,0.3803943,YES
536,62,0.3803943,NO
641,62,0.3803943,NO
848,62,0.3803943,NO
863,62,0.3803943,NO
933,62,0.3803943,NO
1252,62,0.3803943,NO
1413,62,0.3803943,NO
1563,62,0.3803943,NO
972,164,1.0,YES
487,38,0.22934885,NO
495,38,0.22934885,NO
497,38,0.22934885,NO
564,38,0.22934885,NO
566,38,0.22934885,NO
949,38,0.22934885,NO
1019,38,0.22934885,NO
1031,38,0.22934885,NO
1202,38,0.22934885,NO
1234,38,0.22934885,NO
1239,38,0.22934885,NO
1336,38,0.22934885,NO
1365,38,0.22934885,NO
1368,38,0.22934885,NO
1383,38,0.22934885,NO
1402,38,0.22934885,NO
1407,38,0.22934885,YES
1435,38,0.22934885,NO
1560,38,0.22934885,NO
1603,38,0.22934885,NO
1652,38,0.22934885,YES
1682,38,0.22934885,NO
84,71,0.41107315,NO
89,71,0.41107315,NO
232,71,0.41107315,NO
376,71,0.41107315,NO
442,71,0.41107315,NO
470,71,0.41107315,YES
588,71,0.41107315,NO
619,71,0.41107315,YES
634,71,0.41107315,NO
771,71,0.41107315,NO
1149,71,0.41107315,NO
1656,71,0.41107315,NO
1693,71,0.41107315,NO
99,178,1.0,YES
505,178,1.0,YES
600,178,1.0,YES
1663,178,1.0,NO
421,151,0.8402198,YES
593,152,0.8402198,NO
980,152,0.8402198,NO
388,76,0.419499,NO
471,76,0.419499,YES
562,76,0.419499,NO
618,76,0.419499,YES
673,76,0.419499,NO
800,76,0.419499,NO
943,76,0.419499,NO
1014,76,0.419499,NO
1108,76,0.419499,NO
1254,76,0.419499,NO
1373,76,0.419499,NO
1421,76,0.419499,NO
1469,76,0.419499,NO
1569,76,0.419499,YES
1667,76,0.419499,NO
197,104,0.57356226,NO
321,104,0.57356226,NO
1144,104,0.57356226,NO
1671,187,1.0,YES
108,136,0.72312343,NO
1617,136,0.72312343,NO
37,116,0.6067744,NO
504,116,0.6067744,YES
514,116,0.6067744,YES
644,116,0.6067744,NO
666,116,0.6067744,NO
753,116,0.6067744,NO
1060,116,0.6067744,NO
1097,116,0.6067744,NO
196,84,0.43765384,NO
526,84,0.43765384,YES
1210,84,0.43765384,NO
1412,84,0.43765384,NO
1461,84,0.43765384,NO
1586,84,0.43765384,NO
371,192,1.0,YES
1294,193,1.0,NO
156,194,1.0,NO
447,115,0.5914143,NO
637,115,0.5914143,NO
1624,115,0.5914143,NO
1658,115,0.5914143,NO
3,198,1.0,NO
424,198,1.0,NO
26,80,0.402105,NO
322,80,0.402105,NO
346,80,0.402105,NO
350,80,0.402105,NO
1103,80,0.402105,NO
1414,80,0.402105,NO
1458,80,0.402105,NO
313,79,0.3928237,NO
398,79,0.3928237,YES
558,79,0.3928237,NO
761,79,0.3928237,NO
801,79,0.3928237,NO
1046,79,0.3928237,YES
1047,79,0.3928237,NO
1515,79,0.3928237,NO
111,60,0.29689246,NO
150,60,0.29689246,NO
268,60,0.29689246,NO
361,60,0.29689246,NO
518,60,0.29689246,YES
559,60,0.29689246,NO
966,60,0.29689246,NO
1137,60,0.29689246,NO
1164,60,0.29689246,NO
1242,60,0.29689246,NO
1255,60,0.29689246,NO
1495,60,0.29689246,NO
1498,60,0.29689246,NO
1525,60,0.29689246,NO
1526,60,0.29689246,NO
1527,60,0.29689246,NO
1659,60,0.29689246,NO
176,51,0.24946646,NO
193,51,0.24946646,NO
512,51,0.24946646,NO
723,51,0.24946646,NO
724,51,0.24946646,NO
748,51,0.24946646,YES
948,51,0.24946646,NO
1241,51,0.24946646,NO
1244,51,0.24946646,NO
1370,51,0.24946646,NO
1372,51,0.24946646,NO
1390,51,0.24946646,NO
1581,51,0.24946646,NO
1594,51,0.24946646,NO
48,145,0.7087596,NO
47,143,0.6942001,YES
187,143,0.6942001,NO
410,143,0.6942001,NO
1190,143,0.6942001,YES
128,43,0.20268826,YES
137,43,0.20268826,NO
212,43,0.20268826,NO
293,43,0.20268826,NO
434,43,0.20268826,NO
483,43,0.20268826,NO
498,43,0.20268826,NO
621,43,0.20268826,YES
940,43,0.20268826,NO
990,43,0.20268826,NO
1021,43,0.20268826,YES
1058,43,0.20268826,NO
1197,43,0.20268826,NO
1256,43,0.20268826,NO
1385,43,0.20268826,NO
1518,43,0.20268826,NO
1520,43,0.20268826,NO
1558,43,0.20268826,NO
1559,43,0.20268826,NO
1570,43,0.20268826,NO
1613,43,0.20268826,NO
9,106,0.49961683,NO
18,106,0.49961683,YES
56,106,0.49961683,NO
183,106,0.49961683,NO
186,106,0.49961683,NO
652,106,0.49961683,NO
945,106,0.49961683,NO
1217,106,0.49961683,NO
82,55,0.25362793,NO
219,55,0.25362793,NO
223,55,0.25362793,NO
250,55,0.25362793,NO
312,55,0.25362793,NO
749,55,0.25362793,NO
1114,55,0.25362793,NO
1150,55,0.25362793,NO
1200,55,0.25362793,NO
1227,55,0.25362793,NO
1401,55,0.25362793,NO
403,124,0.5710013,NO
472,124,0.5710013,YES
709,124,0.5710013,YES
1466,124,0.5710013,NO
130,29,0.13045426,NO
298,29,0.13045426,NO
358,29,0.13045426,NO
479,29,0.13045426,NO
622,29,0.13045426,NO
1121,29,0.13045426,NO
1182,29,0.13045426,NO
1186,29,0.13045426,NO
1192,29,0.13045426,NO
1276,29,0.13045426,NO
1279,29,0.13045426,NO
1281,29,0.13045426,NO
1282,29,0.13045426,NO
1346,29,0.13045426,NO
1386,29,0.13045426,NO
1391,29,0.13045426,NO
1406,29,0.13045426,NO
34,148,0.66445297,NO
541,148,0.66445297,YES
610,148,0.66445297,YES
1595,47,0.21,YES
19,121,0.54013497,NO
455,121,0.54013497,YES
1328,121,0.54013497,NO
1566,121,0.54013497,YES
1604,121,0.54013497,NO
1666,227,1.0,YES
714,229,1.0,YES
773,189,0.816977,NO
419,190,0.816977,NO
811,234,1.0,NO
