ID,Size,Predicted,Actual
25,23,0.92,NO
6,30,0.92,NO
22,85,1.0,NO
19,99,0.9,NO
17,98,0.72,NO
2,128,0.82,NO
32,153,0.96,NO
3,77,0.46142858,NO
31,45,0.26260716,NO
20,37,0.21432143,NO
8,168,0.93,NO
14,21,0.1055534,NO
15,35,0.1691407,NO
11,232,1.0,NO
30,257,1.0,NO
29,20,0.06,NO
0,63,0.15,NO
28,41,0.09,NO
33,39,0.07,NO
35,110,0.14,NO
18,22,0.02,NO
26,42,0.03,NO
12,19,0.01,NO
27,19,0.01,NO
7,173,0.06,NO
9,47,0.01,NO
1,11,0.0,NO
4,12,0.0,NO
5,32,0.0,NO
10,9,0.0,NO
13,34,0.0,NO
16,23,0.0,NO
21,14,0.0,NO
23,9,0.0,NO
24,8,0.0,NO
34,52,0.0,NO
