ID,Size,Predicted,Actual
152,35,0.7635,NO
198,35,0.7635,NO
243,35,0.7635,NO
534,35,0.7635,NO
638,35,0.7635,NO
663,35,0.7635,NO
738,35,0.7635,NO
891,35,0.7635,NO
1060,35,0.7635,NO
1239,35,0.7635,NO
1258,35,0.7635,NO
1393,35,0.7635,NO
1435,35,0.7635,NO
73,36,0.7618333,NO
74,36,0.7618333,NO
134,36,0.7618333,NO
164,36,0.7618333,NO
181,36,0.7618333,NO
185,36,0.7618333,NO
231,36,0.7618333,NO
301,36,0.7618333,NO
338,36,0.7618333,NO
463,36,0.7618333,NO
520,36,0.7618333,NO
612,36,0.7618333,YES
658,36,0.7618333,NO
683,36,0.7618333,NO
996,36,0.7618333,NO
1169,36,0.7618333,NO
1183,36,0.7618333,NO
1247,36,0.7618333,NO
1252,36,0.7618333,NO
1263,36,0.7618333,NO
1333,36,0.7618333,NO
1373,36,0.7618333,NO
22,37,0.7618333,NO
228,37,0.7618333,NO
234,37,0.7618333,NO
479,37,0.7618333,NO
523,37,0.7618333,NO
530,37,0.7618333,NO
546,37,0.7618333,YES
722,37,0.7618333,NO
930,37,0.7618333,NO
1077,37,0.7618333,NO
1141,37,0.7618333,NO
1152,37,0.7618333,NO
1243,37,0.7618333,NO
1261,37,0.7618333,NO
1376,37,0.7618333,NO
1427,37,0.7618333,NO
1430,37,0.7618333,NO
1557,37,0.7618333,NO
459,48,0.72683334,YES
1176,48,0.716,NO
447,38,0.50983334,NO
455,38,0.50983334,NO
457,38,0.50983334,NO
507,38,0.50983334,NO
509,38,0.50983334,NO
849,38,0.50983334,NO
916,38,0.50983334,NO
926,38,0.50983334,NO
1094,38,0.50983334,NO
1126,38,0.50983334,NO
1131,38,0.50983334,NO
1228,38,0.50983334,NO
1257,38,0.50983334,NO
1260,38,0.50983334,NO
1275,38,0.50983334,NO
1294,38,0.50983334,NO
1327,38,0.50983334,NO
1451,38,0.50983334,NO
1491,38,0.50983334,NO
1548,38,0.50983334,YES
1549,38,0.50983334,NO
442,56,0.71,YES
0,78,0.945,NO
130,78,0.945,NO
711,78,0.945,NO
1022,78,0.945,NO
1351,78,0.945,NO
131,45,0.5445714,NO
356,45,0.5445714,NO
605,45,0.5445714,NO
606,45,0.5445714,NO
725,45,0.5445714,NO
924,45,0.5445714,NO
971,45,0.5445714,NO
1012,45,0.5445714,NO
1150,45,0.5445714,NO
1232,45,0.5445714,NO
1420,45,0.5445714,NO
28,69,0.811,NO
145,69,0.811,NO
245,69,0.811,NO
311,69,0.811,NO
415,69,0.811,NO
566,69,0.811,NO
595,69,0.811,NO
693,69,0.811,NO
1093,69,0.811,NO
1210,69,0.811,NO
1555,69,0.811,NO
320,46,0.52954763,NO
321,46,0.52954763,NO
335,46,0.52954763,NO
346,46,0.52954763,NO
358,46,0.52954763,NO
359,46,0.52954763,NO
453,46,0.52954763,YES
696,46,0.52954763,NO
1196,46,0.52954763,NO
1249,46,0.52954763,NO
1268,46,0.52954763,NO
1561,46,0.52954763,NO
958,69,0.7841667,YES
