ID,Size,Predicted,Actual
15,35,0.73,NO
14,21,0.32038096,NO
20,37,0.416,NO
22,85,0.9545,NO
31,45,0.44716668,NO
3,77,0.75666666,NO
33,39,0.37,NO
4,12,0.11,NO
6,30,0.23,NO
13,34,0.25,NO
12,19,0.13916667,NO
27,19,0.13916667,NO
2,128,0.91,NO
29,20,0.13916667,NO
32,153,0.99,NO
11,232,0.98,NO
0,63,0.25,NO
30,257,0.99,NO
19,99,0.34,NO
34,52,0.16,NO
17,98,0.28,NO
35,110,0.29,NO
8,168,0.44,NO
26,42,0.093333334,NO
9,47,0.0875,NO
28,41,0.07,NO
18,22,0.027666667,NO
7,173,0.14,NO
1,11,0.0,NO
5,32,0.0,NO
10,9,0.0,NO
16,23,0.0,NO
21,14,0.0,NO
23,9,0.0,NO
24,8,0.0,NO
25,23,0.0,NO
