ID,Size,Predicted,Actual
2163,32,0.77,NO
2164,35,0.77,NO
575,47,1.0,NO
243,36,0.72,YES
2159,50,1.0,NO
2162,51,1.0,NO
2017,52,1.0,YES
1220,25,0.47,NO
544,53,0.88,NO
599,66,1.0,YES
2160,68,1.0,NO
571,69,0.99,YES
2161,72,1.0,NO
570,76,1.0,YES
702,26,0.32657143,YES
802,27,0.32657143,YES
477,84,0.93,YES
790,28,0.30657142,YES
953,28,0.30657142,NO
37,43,0.46,NO
1841,45,0.46,NO
1588,46,0.47,NO
557,29,0.28657144,NO
800,29,0.28657144,YES
1901,49,0.47,NO
1963,54,0.5,YES
1739,107,0.98,YES
1837,59,0.54,NO
171,32,0.28952867,NO
207,32,0.28952867,NO
318,32,0.28952867,NO
398,32,0.28952867,YES
424,32,0.28952867,NO
437,32,0.28952867,NO
461,32,0.28952867,NO
496,32,0.28952867,NO
515,32,0.28952867,NO
639,32,0.28952867,NO
763,32,0.28952867,NO
815,32,0.28952867,YES
995,32,0.28952867,NO
1004,32,0.28952867,NO
1288,32,0.28952867,NO
1391,32,0.28952867,YES
1392,32,0.28952867,YES
1393,32,0.28952867,YES
1394,32,0.28952867,YES
1457,32,0.28952867,NO
1591,32,0.28952867,NO
1639,32,0.28952867,NO
1640,32,0.28952867,NO
1795,32,0.28952867,NO
1799,32,0.28952867,NO
1836,32,0.28952867,NO
2013,32,0.28952867,NO
2026,32,0.28952867,NO
2075,32,0.28952867,NO
1838,60,0.54,NO
1839,60,0.54,NO
1840,60,0.54,NO
1921,60,0.54,NO
2204,115,1.0,YES
6,70,0.58198506,YES
8,70,0.58198506,YES
84,70,0.58198506,NO
94,70,0.58198506,NO
170,70,0.58198506,YES
451,70,0.58198506,NO
486,70,0.58198506,YES
754,70,0.58198506,YES
758,70,0.58198506,YES
859,70,0.58198506,NO
1267,70,0.58198506,NO
1289,70,0.58198506,YES
1439,70,0.58198506,NO
1504,70,0.58198506,NO
1514,70,0.58198506,NO
2105,70,0.58198506,NO
980,31,0.25657144,NO
152,37,0.29997972,NO
338,37,0.29997972,YES
653,37,0.29997972,NO
714,37,0.29997972,YES
721,37,0.29997972,YES
831,37,0.29997972,NO
904,37,0.29997972,NO
927,37,0.29997972,NO
1025,37,0.29997972,NO
1286,37,0.29997972,YES
1438,37,0.29997972,NO
1455,37,0.29997972,NO
1555,37,0.29997972,NO
1565,37,0.29997972,NO
1660,37,0.29997972,NO
1680,37,0.29997972,NO
1848,37,0.29997972,YES
2032,37,0.29997972,NO
2086,37,0.29997972,NO
41,42,0.34,NO
277,38,0.30706555,NO
529,38,0.30706555,NO
619,38,0.30706555,NO
627,38,0.30706555,NO
629,38,0.30706555,NO
684,38,0.30706555,YES
740,38,0.30706555,YES
873,38,0.30706555,YES
1207,38,0.30706555,NO
1272,38,0.30706555,NO
1282,38,0.30706555,NO
1404,38,0.30706555,NO
1426,38,0.30706555,NO
1447,38,0.30706555,NO
1540,38,0.30706555,NO
1545,38,0.30706555,NO
1645,38,0.30706555,NO
1676,38,0.30706555,NO
1679,38,0.30706555,NO
1694,38,0.30706555,NO
1715,38,0.30706555,NO
1720,38,0.30706555,NO
1748,38,0.30706555,NO
1866,38,0.30706555,NO
1914,38,0.30706555,NO
298,43,0.33346587,NO
302,43,0.33346587,NO
380,43,0.33346587,YES
508,43,0.33346587,NO
543,43,0.33346587,NO
615,43,0.33346587,NO
630,43,0.33346587,NO
764,43,0.33346587,NO
806,43,0.33346587,YES
1077,43,0.33346587,NO
1198,43,0.33346587,NO
1248,43,0.33346587,NO
1420,43,0.33346587,NO
1449,43,0.33346587,NO
1499,43,0.33346587,NO
1536,43,0.33346587,NO
1831,43,0.33346587,NO
1833,43,0.33346587,NO
1864,43,0.33346587,NO
