ID,Size,Predicted,Actual
124,46,0.94,NO
28,33,0.66555554,YES
237,49,0.95,YES
134,50,0.94,NO
122,52,0.96,NO
120,51,0.94,NO
481,47,0.85,NO
676,47,0.85,NO
322,45,0.79,NO
332,46,0.79,NO
344,44,0.7512681,NO
12,58,0.98,NO
142,58,0.98,NO
16,59,0.98,NO
140,59,0.98,NO
168,49,0.8,YES
512,34,0.55,NO
319,50,0.78,NO
111,43,0.67,NO
247,52,0.81,YES
32,40,0.62,NO
139,40,0.62,NO
288,51,0.78,NO
6,64,0.97,NO
17,64,0.97,NO
258,41,0.62,NO
311,47,0.71,NO
521,53,0.8,YES
157,55,0.8,NO
316,55,0.79,NO
154,56,0.8,NO
327,56,0.79,NO
334,57,0.8,YES
335,57,0.8,YES
321,59,0.8,YES
13,37,0.5,NO
115,37,0.5,NO
123,37,0.5,NO
143,37,0.5,NO
121,38,0.50733334,NO
127,36,0.47,NO
141,36,0.47,NO
27,48,0.61,YES
259,54,0.68,YES
486,60,0.73,NO
71,52,0.63,NO
314,43,0.52,NO
3,58,0.7,NO
0,78,0.93,YES
2,68,0.81,NO
246,43,0.51,YES
26,85,0.98,NO
505,59,0.68,YES
431,76,0.87,NO
19,70,0.8,NO
148,70,0.8,NO
494,65,0.73,YES
1,87,0.97,NO
78,35,0.38911906,YES
96,35,0.38911906,NO
286,40,0.44,NO
270,60,0.65,NO
358,60,0.65,NO
419,60,0.65,NO
432,60,0.65,NO
682,60,0.64,NO
283,80,0.85,NO
108,94,0.99,NO
331,80,0.84,YES
320,41,0.43,NO
522,84,0.88,NO
284,82,0.85,NO
347,86,0.89,NO
330,77,0.795,NO
280,38,0.39066666,NO
155,92,0.94,NO
136,98,0.98,NO
337,70,0.68,NO
339,70,0.68,YES
89,54,0.51,NO
36,106,1.0,NO
110,52,0.49,YES
116,69,0.65,NO
308,98,0.92,NO
9,107,1.0,NO
38,69,0.64,YES
49,69,0.64,NO
50,52,0.48,YES
345,104,0.96,NO
514,109,1.0,NO
600,80,0.73,NO
642,80,0.73,NO
61,57,0.52,NO
604,73,0.66433334,NO
260,66,0.6,YES
242,112,1.0,YES
182,108,0.96,YES
343,108,0.96,NO
30,113,1.0,NO
126,113,1.0,NO
516,113,1.0,YES
62,70,0.6175,NO
15,114,1.0,NO
163,72,0.6211905,NO
262,72,0.6211905,NO
400,72,0.6211905,NO
128,116,1.0,NO
104,71,0.6115,YES
24,118,1.0,NO
63,59,0.5,NO
23,119,1.0,NO
11,110,0.92,YES
329,114,0.95,YES
323,116,0.95,YES
243,71,0.58,YES
650,124,1.0,NO
439,86,0.69166666,NO
527,121,0.96,YES
33,125,0.99,NO
146,57,0.45,NO
80,46,0.36,NO
81,46,0.36,NO
98,46,0.36,NO
99,46,0.36,NO
189,124,0.96,YES
91,40,0.309,NO
306,125,0.95,NO
60,70,0.5275,NO
427,105,0.78185713,NO
425,35,0.25911903,NO
396,106,0.78185713,NO
605,106,0.78185713,YES
244,136,1.0,NO
94,50,0.36,NO
430,139,1.0,NO
437,37,0.2624365,NO
488,37,0.2624365,NO
668,37,0.2624365,NO
79,55,0.39,YES
686,142,1.0,YES
97,54,0.38,NO
426,37,0.26,NO
336,131,0.9,NO
76,51,0.35,YES
29,146,1.0,NO
31,147,1.0,NO
21,148,1.0,NO
161,147,0.99,NO
129,116,0.77,YES
103,73,0.48333332,YES
245,145,0.96,YES
274,45,0.29389286,NO
298,45,0.29389286,NO
435,45,0.29389286,NO
585,45,0.29389286,NO
22,156,0.99,NO
25,156,0.99,NO
14,142,0.89,YES
333,157,0.95,NO
18,164,0.99,NO
254,83,0.5,NO
326,159,0.95,YES
51,89,0.5283333,NO
84,48,0.28,YES
166,36,0.21,YES
404,87,0.5058333,NO
677,171,0.99,YES
7,173,0.99,NO
482,173,0.99,YES
537,87,0.49516666,NO
340,114,0.645,NO
370,105,0.5928571,NO
664,176,0.99,NO
68,131,0.73,YES
620,178,0.99,NO
567,113,0.625,NO
536,123,0.68,YES
37,181,0.98,NO
301,89,0.48066667,YES
303,89,0.48066667,YES
348,89,0.48066667,YES
66,104,0.56,NO
72,88,0.46966666,NO
73,42,0.22,NO
162,188,0.98,YES
46,135,0.7,NO
297,40,0.2055,NO
354,40,0.2055,NO
525,40,0.2055,NO
584,40,0.2055,NO
596,40,0.2055,NO
443,67,0.33933333,NO
649,67,0.33933333,NO
10,121,0.61,NO
112,195,0.98,NO
4,196,0.98,NO
64,88,0.41966668,NO
75,40,0.185,YES
93,40,0.185,NO
234,35,0.15933874,NO
492,35,0.15933874,NO
685,35,0.15933874,NO
159,86,0.39,NO
346,206,0.91,NO
603,107,0.4616905,NO
305,219,0.92,NO
105,86,0.36,NO
130,48,0.2,YES
156,241,0.99,YES
612,77,0.3122143,YES
393,225,0.91,YES
113,243,0.98,YES
363,224,0.89,NO
41,48,0.19,NO
153,173,0.67,YES
484,136,0.52,NO
171,119,0.45,NO
215,241,0.91,YES
313,87,0.328,NO
8,246,0.92,NO
474,217,0.81,NO
595,218,0.81,NO
362,35,0.12948918,NO
149,41,0.15,NO
53,233,0.85,YES
106,25,0.09,NO
138,25,0.09,NO
501,249,0.89,NO
509,182,0.65,YES
495,217,0.77,YES
144,268,0.95,YES
342,281,0.99,NO
137,26,0.09,NO
287,185,0.64,NO
312,284,0.98,YES
436,85,0.29166666,NO
648,85,0.29166666,NO
324,172,0.59,YES
34,252,0.85,NO
379,260,0.86,YES
652,25,0.08,NO
67,139,0.44,YES
257,301,0.95,YES
118,273,0.86,YES
671,289,0.9,NO
107,152,0.47,YES
183,253,0.78,YES
172,153,0.47,NO
310,296,0.9,NO
85,317,0.96,YES
478,159,0.47333333,NO
579,159,0.47333333,NO
55,164,0.48,YES
190,344,0.95,YES
198,344,0.95,YES
209,344,0.95,YES
214,344,0.95,YES
70,86,0.23,NO
191,344,0.92,YES
165,345,0.92,YES
307,346,0.92,NO
395,314,0.83,YES
500,114,0.3,YES
69,149,0.37,YES
524,377,0.92,NO
673,425,1.0,YES
170,423,0.99,YES
45,202,0.47,NO
100,198,0.46,YES
197,389,0.9,YES
217,433,1.0,YES
487,351,0.81,NO
241,384,0.88,YES
178,436,0.99,NO
203,436,0.99,YES
199,441,1.0,YES
207,441,1.0,YES
192,443,1.0,YES
218,443,1.0,YES
220,443,1.0,YES
507,124,0.27,NO
35,368,0.79,NO
294,448,0.96,YES
394,383,0.82,YES
223,452,0.96,YES
341,261,0.55,YES
132,34,0.07,NO
151,34,0.07,NO
450,44,0.08768561,NO
491,44,0.08768561,NO
563,44,0.08768561,NO
627,44,0.08768561,NO
640,44,0.08768561,NO
679,44,0.08768561,NO
119,36,0.07,NO
