Id,Size,Prob,NormProb,Actual
316,56,0.91,0.01625,false
356,45,0.72,0.016,false
318,40,0.58,0.0145,false
1030,58,0.82,0.014137931,false
573,67,0.88,0.013134329,false
659,40,0.5,0.0125,false
662,40,0.5,0.0125,false
387,49,0.58,0.011836735,false
333,63,0.73,0.011587301,true
219,53,0.59,0.011132075,false
418,62,0.69,0.011129032,false
224,55,0.58,0.010545455,false
261,52,0.54,0.0103846155,false
603,48,0.47783333,0.009954861,false
354,64,0.63,0.00984375,false
396,64,0.63,0.00984375,false
152,35,0.32466668,0.009276191,false
534,35,0.32466668,0.009276191,false
891,35,0.32466668,0.009276191,false
1060,35,0.32466668,0.009276191,false
1392,35,0.32466668,0.009276191,false
1433,35,0.32466668,0.009276191,false
82,52,0.47,0.009038461,false
734,52,0.47,0.009038461,false
404,43,0.385,0.008953488,false
23,37,0.3175,0.008581081,false
479,37,0.3175,0.008581081,false
930,37,0.3175,0.008581081,false
1077,37,0.3175,0.008581081,false
1141,37,0.3175,0.008581081,false
1152,37,0.3175,0.008581081,false
1375,37,0.3175,0.008581081,false
1425,37,0.3175,0.008581081,false
1428,37,0.3175,0.008581081,false
463,36,0.3065,0.008513889,false
612,36,0.3065,0.008513889,true
1168,36,0.3065,0.008513889,false
1182,36,0.3065,0.008513889,false
1251,36,0.3065,0.008513889,false
1332,36,0.3065,0.008513889,false
1372,36,0.3065,0.008513889,false
218,52,0.44,0.008461539,false
262,77,0.61,0.007922078,true
275,72,0.56,0.007777778,false
213,101,0.78,0.007722772,false
638,35,0.26866665,0.0076761907,false
83,55,0.42,0.0076363636,false
92,55,0.42,0.0076363636,true
193,55,0.42,0.0076363636,false
118,58,0.44,0.007586207,false
265,48,0.35,0.0072916667,false
1135,48,0.344,0.0071666664,false
242,60,0.42,0.007,false
361,68,0.4694762,0.0069040614,false
47,48,0.32783332,0.006829861,false
155,48,0.32783332,0.006829861,false
459,48,0.32783332,0.006829861,true
466,48,0.32783332,0.006829861,false
1009,48,0.32783332,0.006829861,false
1116,48,0.32783332,0.006829861,false
1278,48,0.32783332,0.006829861,false
1407,48,0.32783332,0.006829861,false
1419,48,0.32783332,0.006829861,false
1495,48,0.32783332,0.006829861,false
565,115,0.78,0.0067826086,false
319,80,0.54,0.00675,false
323,80,0.54,0.00675,false
197,55,0.36,0.0065454547,false
279,49,0.32045454,0.0065398887,false
1535,76,0.4967857,0.006536654,false
1255,48,0.3015,0.00628125,false
672,59,0.37,0.0062711863,false
90,56,0.35,0.00625,true
602,56,0.35,0.00625,false
100,115,0.7,0.0060869567,true
1090,48,0.29,0.0060416665,false
222,63,0.38,0.006031746,false
735,87,0.52,0.0059770113,false
862,32,0.19,0.0059375,false
563,93,0.55,0.0059139784,false
