ID,Size,Predicted,Actual
297,40,0.83,NO
354,40,0.83,NO
525,40,0.83,NO
584,40,0.83,NO
596,40,0.83,NO
267,41,0.83,NO
378,41,0.83,NO
380,41,0.83,NO
433,41,0.83,NO
556,41,0.83,NO
633,41,0.83,NO
54,40,0.78,NO
56,40,0.78,NO
65,40,0.78,NO
75,40,0.78,YES
91,40,0.78,NO
93,40,0.78,NO
149,41,0.78,NO
311,47,0.83,NO
315,47,0.7,NO
508,47,0.7,NO
657,47,0.7,NO
663,47,0.7,NO
402,48,0.7,NO
562,48,0.7,NO
574,48,0.7,NO
32,40,0.57,NO
139,40,0.57,NO
41,48,0.68,NO
84,48,0.68,YES
130,48,0.68,YES
176,46,0.64,NO
565,46,0.64,NO
258,41,0.57,NO
80,46,0.62,NO
81,46,0.62,NO
98,46,0.62,NO
99,46,0.62,NO
2,68,0.9,NO
186,49,0.63,NO
571,49,0.63,NO
618,49,0.63,NO
6,64,0.81,NO
17,64,0.81,NO
237,49,0.6,YES
286,40,0.48,NO
124,46,0.55,NO
317,41,0.49,NO
19,70,0.82,NO
148,70,0.82,NO
320,41,0.48,NO
481,47,0.5,NO
676,47,0.5,NO
27,48,0.51,YES
108,94,0.97,NO
431,76,0.78,NO
134,50,0.51,NO
0,78,0.78,YES
12,58,0.58,NO
111,43,0.43,NO
120,51,0.51,NO
142,58,0.58,NO
136,98,0.97,NO
16,59,0.58,NO
140,59,0.58,NO
122,52,0.51,NO
345,104,0.98,NO
36,106,0.99,NO
9,107,0.99,NO
308,98,0.9,NO
26,85,0.78,NO
514,109,0.99,NO
182,108,0.98,YES
343,108,0.98,NO
168,49,0.44,YES
1,87,0.78,NO
332,46,0.41,NO
242,112,0.99,YES
11,110,0.97,YES
30,113,0.99,NO
126,113,0.99,NO
516,113,0.99,YES
15,114,0.99,NO
325,94,0.81,NO
329,114,0.98,YES
410,95,0.81,NO
66,104,0.88,NO
370,105,0.88,NO
427,105,0.88,NO
396,106,0.88,NO
605,106,0.88,YES
603,107,0.88,NO
248,99,0.81,YES
175,108,0.88,NO
654,109,0.88,NO
300,110,0.88,NO
338,110,0.88,NO
567,113,0.88,NO
158,99,0.77,NO
340,114,0.88,NO
500,114,0.87,YES
160,100,0.75,NO
145,99,0.73,NO
471,94,0.69,NO
614,94,0.69,YES
621,94,0.69,NO
576,95,0.69,NO
583,95,0.69,NO
407,100,0.72,NO
483,100,0.72,NO
689,100,0.72,NO
473,96,0.69,NO
575,96,0.69,NO
659,96,0.69,NO
660,97,0.69,NO
485,98,0.69,NO
274,45,0.3,NO
298,45,0.3,NO
435,45,0.3,NO
585,45,0.3,NO
128,116,0.77,NO
24,118,0.77,NO
23,119,0.77,NO
323,116,0.73,YES
403,42,0.26,NO
408,42,0.26,NO
411,42,0.26,NO
564,42,0.26,NO
566,42,0.26,NO
650,124,0.76,NO
33,125,0.76,NO
228,43,0.26,NO
502,43,0.26,NO
503,43,0.26,NO
527,121,0.73,YES
515,161,0.96,NO
450,44,0.26,NO
491,44,0.26,NO
563,44,0.26,NO
627,44,0.26,NO
640,44,0.26,NO
679,44,0.26,NO
244,136,0.8,NO
677,171,1.0,YES
430,139,0.81,NO
189,124,0.72,YES
7,173,1.0,NO
153,173,1.0,YES
482,173,1.0,YES
306,125,0.72,NO
324,172,0.99,YES
73,42,0.24,NO
318,42,0.24,NO
686,142,0.81,YES
664,176,1.0,NO
616,171,0.97,NO
620,178,1.0,NO
43,43,0.24,NO
155,92,0.51,NO
37,181,1.0,NO
55,164,0.9,YES
18,164,0.89,NO
251,165,0.89,YES
249,166,0.89,YES
14,142,0.74,YES
5,132,0.68,NO
532,174,0.89,NO
496,177,0.89,NO
409,179,0.89,NO
494,65,0.32,YES
415,181,0.89,NO
337,70,0.33,NO
339,70,0.33,YES
305,219,0.96,NO
68,131,0.56,YES
243,71,0.3,YES
129,116,0.49,YES
53,233,0.98,YES
336,131,0.55,NO
363,224,0.94,NO
393,225,0.94,YES
333,157,0.64,NO
156,241,0.98,YES
113,243,0.98,YES
326,159,0.64,YES
215,241,0.97,YES
8,246,0.98,NO
501,249,0.98,NO
330,77,0.3,NO
34,252,0.98,NO
183,253,0.98,YES
379,260,1.0,YES
29,146,0.56,NO
341,261,1.0,YES
522,84,0.32,NO
253,158,0.6,YES
322,45,0.17,NO
283,80,0.3,NO
331,80,0.3,YES
144,268,1.0,YES
347,86,0.32,NO
46,135,0.5,NO
484,136,0.5,NO
67,139,0.51,YES
118,273,1.0,YES
260,66,0.24,YES
31,147,0.53,NO
245,145,0.52,YES
21,148,0.53,NO
342,281,1.0,NO
284,82,0.29,NO
312,284,1.0,YES
671,289,1.0,NO
22,156,0.53,NO
25,156,0.53,NO
478,159,0.54,NO
579,159,0.54,NO
310,296,1.0,NO
44,90,0.3,NO
161,147,0.49,NO
257,301,1.0,YES
381,134,0.43,NO
395,314,1.0,YES
85,317,1.0,YES
171,119,0.36,NO
185,93,0.28,NO
602,93,0.28,NO
275,50,0.15,NO
420,50,0.15,NO
466,50,0.15,NO
486,60,0.18,NO
