Id,Size,Prob,NormProb,Actual
304,21,0.48,0.022857143,false
303,22,0.48,0.021818181,false
238,52,0.97,0.018653845,true
310,34,0.6,0.01764706,false
91,36,0.63,0.0175,false
103,35,0.61,0.017428571,false
83,48,0.81,0.016875,false
117,47,0.79,0.01680851,false
301,50,0.84,0.0168,false
88,37,0.62,0.016756756,false
94,37,0.62,0.016756756,false
136,50,0.82,0.0164,false
325,22,0.36,0.016363636,false
78,52,0.79,0.0151923075,false
172,63,0.94,0.014920635,true
302,40,0.59,0.01475,false
324,40,0.59,0.01475,false
121,52,0.76,0.014615385,false
138,40,0.58,0.0145,false
79,53,0.76,0.014339623,false
108,41,0.58,0.014146341,false
107,39,0.55,0.014102564,false
76,54,0.76,0.014074074,false
116,54,0.76,0.014074074,false
84,55,0.76,0.013818182,false
89,25,0.34,0.0136,false
97,56,0.76,0.013571428,false
104,26,0.34,0.013076923,false
102,60,0.77,0.012833334,false
541,57,0.73,0.012807017,false
300,60,0.76,0.012666667,true
115,61,0.77,0.012622951,false
93,27,0.34,0.012592592,false
292,67,0.84,0.012537314,false
321,67,0.84,0.012537314,false
82,63,0.77,0.012222222,false
106,64,0.77,0.01203125,false
110,66,0.78,0.011818182,false
312,80,0.94,0.01175,false
579,84,0.97,0.0115476195,true
105,69,0.79,0.011449276,false
882,71,0.81,0.011408451,false
90,30,0.34,0.011333333,false
92,30,0.34,0.011333333,false
95,33,0.37,0.011212121,false
316,83,0.92,0.011084338,false
96,31,0.34,0.010967742,false
539,64,0.7,0.0109375,false
80,81,0.88,0.010864197,false
470,80,0.84,0.0105,false
518,80,0.84,0.0105,true
793,80,0.84,0.0105,false
835,80,0.84,0.0105,false
146,81,0.84,0.01037037,false
164,81,0.84,0.01037037,false
183,81,0.84,0.01037037,true
81,83,0.86,0.010361446,false
471,82,0.84,0.010243902,false
176,83,0.84,0.010120482,false
178,83,0.84,0.010120482,false
441,83,0.84,0.010120482,false
631,83,0.84,0.010120482,false
838,83,0.84,0.010120482,false
715,84,0.84,0.01,false
791,84,0.84,0.01,false
123,77,0.75,0.0097402595,false
306,96,0.9,0.009375,false
294,100,0.93,0.0093,false
120,93,0.86,0.009247311,false
124,83,0.76,0.009156627,false
101,95,0.86,0.009052631,false
113,96,0.86,0.008958333,false
686,67,0.58,0.008656716,false
98,101,0.87,0.008613861,false
118,72,0.62,0.008611111,false
114,105,0.9,0.008571428,false
202,14,0.12,0.008571428,false
293,112,0.96,0.008571428,false
74,109,0.93,0.00853211,false
13,110,0.92,0.008363636,false
881,82,0.66,0.00804878,false
119,117,0.9,0.0076923077,false
309,34,0.25,0.007352941,false
100,85,0.62,0.0072941175,false
707,133,0.96,0.007218045,true
257,121,0.87,0.0071900827,true
155,131,0.92,0.007022901,false
72,47,0.32,0.0068085105,false
111,93,0.63,0.0067741936,false
211,77,0.51,0.0066233766,false
17,142,0.94,0.0066197184,false
112,97,0.64,0.006597938,false
696,81,0.53,0.00654321,true
229,62,0.4,0.006451613,false
29,85,0.53,0.006235294,false
126,85,0.53,0.006235294,false
626,85,0.53,0.006235294,false
841,85,0.53,0.006235294,false
157,86,0.53,0.0061627906,false
231,86,0.53,0.0061627906,false
288,86,0.53,0.0061627906,false
629,86,0.53,0.0061627906,false
2,87,0.53,0.006091954,false
594,87,0.53,0.006091954,false
730,87,0.53,0.006091954,false
214,46,0.28,0.0060869567,false
230,61,0.37,0.0060655735,false
156,149,0.9,0.0060402686,false
151,88,0.53,0.006022727,false
159,88,0.53,0.006022727,false
884,159,0.95,0.0059748427,true
137,89,0.53,0.0059550563,false
488,89,0.53,0.0059550563,false
490,89,0.53,0.0059550563,false
535,89,0.53,0.0059550563,true
209,62,0.36,0.0058064517,false
308,69,0.4,0.0057971017,false
513,163,0.92,0.005644172,true
233,178,1.0,0.0056179776,true
511,176,0.98,0.0055681816,true
195,81,0.45,0.0055555557,false
73,101,0.56,0.0055445544,false
295,82,0.45,0.0054878048,false
414,82,0.45,0.0054878048,false
142,171,0.93,0.0054385965,false
319,166,0.9,0.005421687,false
213,26,0.14,0.005384615,false
99,139,0.74,0.005323741,false
281,186,0.94,0.0050537633,true
87,179,0.9,0.005027933,false
109,167,0.81,0.0048502996,false
220,94,0.45,0.004787234,false
225,94,0.45,0.004787234,false
210,96,0.45,0.0046875,false
307,69,0.32,0.004637681,false
691,203,0.93,0.004581281,true
219,46,0.21,0.0045652175,false
77,158,0.71,0.004493671,false
217,26,0.11,0.0042307694,false
291,215,0.9,0.0041860463,true
241,240,1.0,0.004166667,true
212,111,0.46,0.0041441442,false
228,115,0.47,0.0040869564,false
423,32,0.13,0.0040625,false
443,74,0.3,0.004054054,false
702,74,0.3,0.004054054,false
140,249,1.0,0.004016064,true
353,75,0.3,0.004,false
823,75,0.3,0.004,false
192,88,0.35,0.0039772727,false
85,149,0.59,0.0039597317,false
621,76,0.3,0.0039473684,false
799,76,0.3,0.0039473684,false
846,76,0.3,0.0039473684,false
517,77,0.3,0.003896104,false
805,77,0.3,0.003896104,false
145,79,0.3,0.0037974683,false
836,79,0.3,0.0037974683,false
352,259,0.98,0.0037837839,true
569,266,0.98,0.0036842106,true
285,241,0.88,0.0036514523,true
201,31,0.11,0.0035483872,false
86,263,0.92,0.0034980988,false
311,238,0.81,0.0034033614,false
272,281,0.86,0.0030604983,true
246,284,0.86,0.003028169,true
315,269,0.81,0.0030111524,true
328,101,0.3,0.0029702971,false
122,76,0.22,0.0028947368,false
16,77,0.22,0.0028571428,false
515,77,0.22,0.0028571428,false
1,79,0.22,0.00278481,false
320,116,0.32,0.0027586208,false
222,160,0.43,0.0026875,false
329,94,0.25,0.0026595744,false
584,386,0.95,0.0024611398,true
290,147,0.36,0.0024489795,false
585,360,0.88,0.0024444445,true
524,152,0.36,0.002368421,false
313,58,0.13,0.0022413793,false
866,426,0.94,0.0022065728,false
529,281,0.61,0.0021708184,false
67,74,0.16,0.0021621622,false
499,284,0.61,0.0021478874,true
522,154,0.33,0.002142857,false
216,75,0.16,0.0021333334,false
864,289,0.61,0.0021107267,false
198,76,0.16,0.002105263,false
47,77,0.16,0.002077922,false
48,77,0.16,0.002077922,false
327,106,0.22,0.0020754717,false
497,296,0.61,0.0020608108,false
368,457,0.93,0.0020350108,false
314,74,0.15,0.002027027,false
394,299,0.6,0.0020066889,false
215,235,0.45,0.0019148936,false
173,334,0.61,0.0018263473,true
317,56,0.1,0.0017857143,false
318,79,0.14,0.0017721519,false
63,35,0.06,0.0017142857,false
387,405,0.69,0.0017037037,false
282,194,0.33,0.0017010309,true
322,88,0.14,0.0015909091,false
61,89,0.14,0.0015730337,false
331,89,0.14,0.0015730337,false
428,627,0.93,0.0014832536,true
385,457,0.67,0.0014660831,false
386,470,0.67,0.0014255319,false
390,470,0.67,0.0014255319,false
396,663,0.94,0.0014177979,false
709,628,0.87,0.0013853504,true
407,515,0.71,0.0013786408,false
326,98,0.13,0.0013265306,false
64,38,0.05,0.0013157895,false
392,555,0.73,0.0013153154,false
59,39,0.05,0.0012820513,false
359,405,0.51,0.0012592593,false
361,405,0.51,0.0012592593,false
369,405,0.51,0.0012592593,false
381,405,0.51,0.0012592593,false
393,405,0.51,0.0012592593,false
384,406,0.51,0.0012561576,false
40,263,0.32,0.00121673,false
334,351,0.42,0.0011965812,true
389,560,0.67,0.0011964286,false
62,42,0.05,0.0011904762,false
171,280,0.32,0.0011428571,false
193,289,0.32,0.0011072664,false
374,498,0.53,0.001064257,false
332,304,0.32,0.0010526315,false
370,506,0.53,0.0010474308,false
379,506,0.53,0.0010474308,false
406,908,0.95,0.0010462555,true
200,306,0.32,0.0010457516,false
362,513,0.53,0.0010331384,false
398,513,0.53,0.0010331384,false
400,513,0.53,0.0010331384,false
397,515,0.53,0.0010291262,false
404,532,0.53,9.962406E-4,true
388,754,0.74,9.814324E-4,false
444,337,0.33,9.792285E-4,true
206,330,0.32,9.6969696E-4,false
403,553,0.53,9.584087E-4,false
378,421,0.4,9.5011876E-4,false
382,560,0.53,9.4642857E-4,false
66,54,0.05,9.259259E-4,false
412,1207,0.99,8.202154E-4,true
360,982,0.79,8.0448063E-4,false
65,63,0.05,7.936508E-4,false
364,713,0.53,7.43338E-4,false
373,713,0.53,7.43338E-4,false
36,252,0.18,7.142857E-4,false
402,802,0.53,6.608479E-4,false
401,1210,0.79,6.528926E-4,false
496,343,0.22,6.413994E-4,false
494,346,0.22,6.3583814E-4,false
692,253,0.16,6.3241104E-4,false
677,351,0.22,6.267806E-4,false
366,851,0.53,6.227967E-4,false
874,359,0.22,6.128134E-4,false
333,1560,0.95,6.0897437E-4,true
37,368,0.22,5.978261E-4,false
376,914,0.54,5.908096E-4,false
713,375,0.22,5.866667E-4,false
377,921,0.54,5.863192E-4,false
399,916,0.53,5.786026E-4,false
348,382,0.22,5.759162E-4,false
797,73,0.04,5.479452E-4,false
481,448,0.24,5.3571427E-4,true
365,768,0.4,5.2083336E-4,true
552,224,0.11,4.9107143E-4,false
583,225,0.11,4.888889E-4,false
701,498,0.24,4.819277E-4,false
717,377,0.18,4.7745358E-4,false
10,246,0.11,4.4715448E-4,false
409,1279,0.53,4.1438625E-4,true
371,1328,0.54,4.066265E-4,true
363,1389,0.54,3.887689E-4,false
355,52,0.02,3.8461538E-4,false
128,90,0.03,3.3333333E-4,false
284,92,0.03,3.2608697E-4,false
800,92,0.03,3.2608697E-4,false
839,92,0.03,3.2608697E-4,false
871,92,0.03,3.2608697E-4,false
649,370,0.12,3.2432433E-4,true
354,93,0.03,3.2258066E-4,false
795,93,0.03,3.2258066E-4,false
512,94,0.03,3.1914894E-4,false
661,94,0.03,3.1914894E-4,false
807,94,0.03,3.1914894E-4,true
814,94,0.03,3.1914894E-4,false
600,95,0.03,3.1578948E-4,false
769,95,0.03,3.1578948E-4,false
776,95,0.03,3.1578948E-4,false
339,445,0.14,3.1460673E-4,true
347,447,0.14,3.131991E-4,false
663,96,0.03,3.125E-4,false
768,96,0.03,3.125E-4,false
852,96,0.03,3.125E-4,false
375,387,0.12,3.100775E-4,false
199,420,0.13,3.095238E-4,false
190,97,0.03,3.0927834E-4,false
853,97,0.03,3.0927834E-4,false
495,98,0.03,3.0612244E-4,false
675,98,0.03,3.0612244E-4,false
356,394,0.12,3.0456853E-4,false
273,99,0.03,3.030303E-4,false
367,462,0.14,3.030303E-4,false
435,99,0.03,3.030303E-4,false
289,100,0.03,3.0E-4,false
597,100,0.03,3.0E-4,false
673,100,0.03,3.0E-4,false
885,100,0.03,3.0E-4,false
260,34,0.01,2.9411764E-4,false
279,34,0.01,2.9411764E-4,false
452,34,0.01,2.9411764E-4,false
562,34,0.01,2.9411764E-4,false
630,34,0.01,2.9411764E-4,false
703,34,0.01,2.9411764E-4,false
728,34,0.01,2.9411764E-4,false
873,34,0.01,2.9411764E-4,false
153,104,0.03,2.8846154E-4,false
532,104,0.03,2.8846154E-4,false
165,35,0.01,2.8571428E-4,false
184,35,0.01,2.8571428E-4,true
420,35,0.01,2.8571428E-4,false
551,35,0.01,2.8571428E-4,false
682,35,0.01,2.8571428E-4,false
708,35,0.01,2.8571428E-4,false
878,35,0.01,2.8571428E-4,false
408,387,0.11,2.8423773E-4,false
405,1287,0.36,2.797203E-4,true
55,36,0.01,2.7777778E-4,false
56,36,0.01,2.7777778E-4,false
255,36,0.01,2.7777778E-4,false
269,36,0.01,2.7777778E-4,false
335,36,0.01,2.7777778E-4,true
637,36,0.01,2.7777778E-4,false
647,36,0.01,2.7777778E-4,false
747,36,0.01,2.7777778E-4,false
818,36,0.01,2.7777778E-4,false
858,36,0.01,2.7777778E-4,false
15,37,0.01,2.7027028E-4,false
243,37,0.01,2.7027028E-4,false
251,37,0.01,2.7027028E-4,false
271,37,0.01,2.7027028E-4,false
616,37,0.01,2.7027028E-4,false
627,37,0.01,2.7027028E-4,false
678,37,0.01,2.7027028E-4,false
679,37,0.01,2.7027028E-4,false
861,37,0.01,2.7027028E-4,false
665,521,0.14,2.68714E-4,false
719,815,0.21,2.5766873E-4,false
247,44,0.01,2.2727273E-4,false
191,90,0.02,2.2222222E-4,false
383,631,0.14,2.2187005E-4,false
41,590,0.13,2.2033899E-4,false
234,94,0.02,2.1276595E-4,false
534,94,0.02,2.1276595E-4,false
287,99,0.02,2.0202021E-4,false
262,50,0.01,2.0E-4,false
248,51,0.01,1.9607843E-4,false
250,52,0.01,1.9230769E-4,false
434,52,0.01,1.9230769E-4,false
491,52,0.01,1.9230769E-4,false
588,52,0.01,1.9230769E-4,false
589,52,0.01,1.9230769E-4,false
613,52,0.01,1.9230769E-4,false
615,52,0.01,1.9230769E-4,false
784,52,0.01,1.9230769E-4,false
821,52,0.01,1.9230769E-4,false
867,733,0.14,1.9099591E-4,false
346,53,0.01,1.8867925E-4,false
426,53,0.01,1.8867925E-4,false
446,53,0.01,1.8867925E-4,true
646,53,0.01,1.8867925E-4,false
714,53,0.01,1.8867925E-4,true
761,53,0.01,1.8867925E-4,false
765,53,0.01,1.8867925E-4,false
773,53,0.01,1.8867925E-4,false
780,53,0.01,1.8867925E-4,false
380,800,0.15,1.875E-4,false
482,54,0.01,1.8518518E-4,false
632,54,0.01,1.8518518E-4,false
680,54,0.01,1.8518518E-4,false
286,55,0.01,1.8181818E-4,false
460,55,0.01,1.8181818E-4,false
503,55,0.01,1.8181818E-4,false
595,55,0.01,1.8181818E-4,false
162,56,0.01,1.7857143E-4,false
283,56,0.01,1.7857143E-4,false
514,56,0.01,1.7857143E-4,false
666,56,0.01,1.7857143E-4,false
762,56,0.01,1.7857143E-4,false
774,56,0.01,1.7857143E-4,false
32,113,0.02,1.7699115E-4,false
254,113,0.02,1.7699115E-4,true
760,113,0.02,1.7699115E-4,false
18,114,0.02,1.754386E-4,false
148,57,0.01,1.754386E-4,false
181,57,0.01,1.754386E-4,false
274,57,0.01,1.754386E-4,false
