ID,Size,Predicted,Actual
233,16,0.56,YES
95,40,0.975,NO
181,40,0.975,NO
370,40,0.975,NO
381,40,0.975,NO
438,40,0.975,NO
611,40,0.975,NO
670,40,0.975,NO
682,40,0.975,NO
34,40,0.955,NO
259,52,1.0,NO
448,52,0.97,NO
143,48,0.89,YES
78,56,1.0,YES
172,48,0.85,YES
64,57,0.99,NO
125,57,0.99,YES
510,52,0.89,NO
434,58,0.98,NO
768,60,0.99,NO
88,60,0.9633333,YES
775,60,0.9633333,NO
43,48,0.77,NO
3,58,0.92,NO
571,60,0.94,NO
66,59,0.92,NO
55,49,0.75,NO
509,49,0.75,NO
97,57,0.87,NO
144,61,0.93,YES
405,61,0.93,YES
343,53,0.8,YES
435,65,0.97,NO
53,64,0.955,YES
436,64,0.95,NO
773,66,0.97,NO
191,41,0.6,NO
342,41,0.6,NO
351,41,0.6,NO
463,41,0.6,NO
465,41,0.6,NO
518,41,0.6,NO
642,41,0.6,NO
719,41,0.6,NO
308,68,0.975,YES
51,69,0.98,NO
223,65,0.92,NO
153,43,0.59,NO
310,43,0.59,NO
587,43,0.59,NO
588,43,0.59,NO
579,65,0.88,YES
293,65,0.84,YES
15,78,0.99,YES
40,76,0.96,YES
127,76,0.95,YES
209,80,0.97,NO
206,67,0.81,NO
61,79,0.95,NO
311,82,0.97,NO
213,83,0.98,NO
307,62,0.72,YES
774,82,0.94,NO
76,42,0.48,NO
488,42,0.48,NO
493,42,0.48,NO
496,42,0.48,NO
650,42,0.48,NO
652,42,0.48,NO
216,80,0.9,NO
596,74,0.83,NO
63,70,0.78,NO
65,70,0.78,NO
607,53,0.59,YES
74,69,0.75,NO
140,69,0.75,NO
226,58,0.63,NO
214,70,0.76,YES
368,82,0.89,NO
54,89,0.96,NO
92,83,0.89,NO
94,83,0.89,NO
526,83,0.89,NO
731,83,0.89,NO
474,84,0.9,YES
684,84,0.9,NO
46,90,0.96,NO
28,85,0.9,NO
521,85,0.9,NO
734,85,0.9,NO
424,70,0.74,YES
67,88,0.93,NO
218,82,0.86,NO
158,69,0.7,NO
562,69,0.7,NO
130,75,0.76,NO
217,75,0.76,YES
29,48,0.48,YES
62,81,0.81,NO
411,56,0.56,NO
21,70,0.695,NO
190,70,0.695,NO
73,86,0.85,NO
145,86,0.85,NO
524,86,0.85,NO
41,77,0.76,YES
345,57,0.56,YES
418,57,0.56,YES
420,57,0.56,YES
1,87,0.85,NO
623,87,0.85,NO
234,72,0.695,NO
346,72,0.695,NO
485,72,0.695,NO
235,89,0.85,NO
202,86,0.82,NO
690,73,0.695,NO
367,80,0.75,NO
686,80,0.75,NO
728,80,0.75,NO
44,85,0.79,NO
80,81,0.75,YES
99,81,0.75,NO
93,71,0.65,NO
101,71,0.65,NO
82,72,0.65,YES
400,55,0.49,NO
248,108,0.96,NO
412,77,0.68,NO
139,93,0.82,YES
142,106,0.93,YES
0,79,0.69,NO
171,115,0.98,YES
128,112,0.95,YES
134,92,0.77,YES
126,95,0.79,YES
10,107,0.88,NO
689,107,0.88,NO
599,109,0.88,NO
740,109,0.88,NO
384,110,0.88,NO
403,50,0.4,NO
423,110,0.88,NO
241,49,0.39,YES
75,88,0.69,NO
425,131,1.0,NO
603,131,1.0,NO
38,106,0.8,NO
481,106,0.8,NO
691,106,0.8,YES
7,134,1.0,NO
777,100,0.74,NO
42,83,0.59,YES
385,89,0.63,YES
387,89,0.63,YES
432,89,0.63,YES
11,121,0.84,NO
18,59,0.40952381,NO
182,59,0.40952381,NO
261,59,0.40952381,NO
322,59,0.40952381,NO
441,59,0.40952381,NO
582,59,0.40952381,NO
687,59,0.40952381,NO
455,105,0.72,NO
512,105,0.72,NO
224,127,0.87,NO
354,60,0.40952381,NO
442,60,0.40952381,NO
504,60,0.40952381,NO
517,60,0.40952381,NO
312,61,0.41619048,NO
445,61,0.41619048,NO
497,61,0.41619048,NO
499,61,0.41619048,NO
523,61,0.41619048,NO
557,61,0.41619048,NO
656,61,0.41619048,NO
672,61,0.41619048,NO
69,104,0.7,NO
421,152,1.0,NO
419,154,1.0,NO
227,88,0.56,NO
148,94,0.59,NO
556,94,0.59,NO
700,94,0.59,YES
707,94,0.59,NO
147,152,0.95,YES
136,161,1.0,YES
32,113,0.69,NO
168,113,0.69,NO
601,113,0.69,YES
653,113,0.69,NO
413,120,0.72,YES
149,167,1.0,YES
219,97,0.58,NO
17,114,0.68,NO
215,74,0.44,NO
590,74,0.44,YES
407,142,0.84,YES
225,117,0.69,NO
170,116,0.68,NO
58,171,1.0,YES
262,124,0.72,YES
337,157,0.91,YES
344,66,0.38,YES
107,90,0.51,NO
141,90,0.51,NO
48,135,0.76,NO
613,121,0.68,YES
410,162,0.91,YES
569,136,0.76,NO
431,94,0.52,NO
12,110,0.6,YES
108,88,0.48,NO
114,76,0.41,NO
211,76,0.41,YES
539,184,0.99,NO
604,187,1.0,NO
205,188,1.0,YES
594,189,1.0,YES
232,95,0.5,YES
196,194,1.0,YES
195,173,0.89,YES
210,78,0.38,YES
329,145,0.7,YES
231,101,0.47,YES
45,43,0.2,NO
229,97,0.45,YES
57,40,0.185,NO
59,40,0.185,NO
68,40,0.185,NO
135,40,0.185,NO
137,40,0.185,NO
228,40,0.185,NO
417,157,0.7,NO
339,155,0.69,YES
776,153,0.68,YES
330,43,0.19,YES
398,43,0.19,NO
487,48,0.208,NO
648,48,0.208,NO
660,48,0.208,NO
729,79,0.34,NO
110,143,0.61,NO
113,146,0.62,NO
335,165,0.69,YES
333,166,0.69,YES
120,150,0.62,NO
257,75,0.31,NO
716,75,0.31,NO
516,76,0.31,NO
692,76,0.31,NO
739,76,0.31,NO
121,153,0.62,NO
155,243,0.98,YES
698,77,0.31,YES
763,171,0.68,YES
567,173,0.68,YES
256,253,0.99,YES
56,250,0.97,YES
129,240,0.93,YES
199,241,0.93,YES
52,242,0.93,NO
586,253,0.97,NO
447,224,0.84,NO
478,225,0.84,YES
255,114,0.42,YES
622,123,0.45,YES
592,124,0.45,NO
736,124,0.45,NO
105,193,0.7,NO
35,125,0.45,NO
646,125,0.45,NO
112,132,0.47,NO
197,56,0.19919048,NO
561,56,0.19919048,NO
655,56,0.19919048,NO
667,56,0.19919048,NO
464,260,0.92,YES
47,202,0.71,NO
369,202,0.71,NO
87,280,0.98,NO
188,57,0.19919048,NO
324,57,0.19919048,NO
386,57,0.19919048,YES
491,57,0.19919048,NO
502,57,0.19919048,NO
380,39,0.135,NO
486,39,0.135,NO
643,39,0.135,NO
680,39,0.135,NO
721,39,0.135,NO
408,171,0.59,YES
160,284,0.97,YES
9,246,0.84,NO
5,132,0.45,NO
106,97,0.33,NO
36,252,0.85,NO
466,134,0.45,NO
390,125,0.41,NO
757,289,0.94,NO
480,314,0.99,YES
559,217,0.68,NO
681,218,0.68,NO
26,118,0.35,NO
25,119,0.35,NO
244,119,0.35,NO
208,294,0.86,YES
13,58,0.16919048,NO
184,58,0.16919048,NO
383,58,0.16919048,NO
444,58,0.16919048,NO
598,58,0.16919048,NO
109,289,0.84,NO
514,62,0.17619048,NO
529,62,0.17619048,NO
685,62,0.17619048,NO
697,62,0.17619048,YES
111,81,0.23,NO
236,304,0.86,NO
585,114,0.32,YES
767,359,1.0,NO
426,281,0.78,NO
212,323,0.89,YES
104,196,0.54,NO
326,125,0.34,YES
230,103,0.28,YES
379,54,0.14633334,NO
527,54,0.14633334,NO
575,54,0.14633334,NO
79,51,0.138,YES
162,51,0.138,NO
246,51,0.138,NO
247,51,0.138,NO
372,51,0.138,NO
443,51,0.138,NO
503,51,0.138,NO
506,51,0.138,NO
605,51,0.138,NO
663,51,0.138,NO
124,190,0.51,NO
186,281,0.75,YES
89,334,0.89,NO
703,199,0.53,NO
409,94,0.25,NO
152,52,0.138,YES
164,52,0.138,NO
331,52,0.138,YES
388,52,0.138,NO
483,52,0.138,NO
484,52,0.138,NO
508,52,0.138,NO
677,52,0.138,NO
714,52,0.138,NO
580,217,0.57,YES
250,53,0.138,NO
323,53,0.138,NO
541,53,0.138,NO
654,53,0.138,NO
658,53,0.138,NO
666,53,0.138,NO
673,53,0.138,NO
572,351,0.91,NO
123,193,0.5,NO
200,55,0.13919048,NO
357,55,0.13919048,NO
490,55,0.13919048,NO
389,219,0.55,NO
71,131,0.32,YES
321,49,0.118,YES
657,49,0.118,NO
704,49,0.118,NO
415,80,0.19,YES
98,50,0.118,NO
176,50,0.118,NO
359,50,0.118,NO
505,50,0.118,NO
551,50,0.118,NO
715,50,0.118,NO
770,50,0.118,NO
495,95,0.22,NO
37,368,0.85,NO
328,136,0.31,YES
161,44,0.1,NO
606,375,0.85,NO
258,93,0.21,NO
688,93,0.21,NO
708,138,0.31,NO
252,382,0.85,NO
430,209,0.46,NO
260,394,0.85,NO
118,14,0.03,NO
402,42,0.09,NO
759,425,0.91,YES
544,370,0.79,YES
610,377,0.79,NO
396,284,0.59,YES
305,387,0.79,YES
515,139,0.28,NO
327,71,0.14,YES
251,447,0.88,NO
2,68,0.13,NO
583,68,0.13,NO
292,299,0.55,YES
602,542,0.98,YES
290,555,0.99,YES
119,220,0.39,NO
397,96,0.17,NO
282,421,0.74,YES
301,553,0.96,YES
286,560,0.97,YES
394,296,0.5,NO
414,77,0.13,NO
340,74,0.12,YES
302,532,0.86,YES
122,330,0.53,NO
325,627,1.0,YES
85,44,0.07,NO
154,195,0.31,NO
4,196,0.31,NO
341,337,0.53,YES
473,198,0.31,NO
701,201,0.31,NO
238,351,0.54,YES
263,405,0.62,YES
273,405,0.62,YES
285,405,0.62,YES
291,405,0.62,YES
288,406,0.62,YES
133,46,0.07,NO
70,139,0.21,YES
287,631,0.95,YES
269,672,1.0,YES
294,663,0.98,YES
116,306,0.43,NO
560,521,0.73,NO
277,713,0.98,YES
760,733,1.0,NO
564,142,0.19,NO
772,142,0.19,YES
115,420,0.56,NO
268,713,0.95,YES
265,405,0.53,YES
243,445,0.58,YES
31,146,0.18,NO
304,795,0.98,YES
612,815,1.0,YES
33,147,0.18,NO
204,147,0.18,NO
761,147,0.18,NO
300,802,0.98,YES
391,346,0.42,NO
284,800,0.95,YES
272,457,0.53,YES
270,851,0.98,YES
422,70,0.08,NO
535,44,0.05,NO
576,44,0.05,NO
649,44,0.05,NO
713,44,0.05,NO
726,44,0.05,NO
765,44,0.05,NO
378,448,0.5,YES
203,100,0.11,NO
492,100,0.11,NO
568,100,0.11,NO
280,914,0.98,YES
297,916,0.98,YES
281,921,0.98,YES
271,462,0.49,YES
264,982,1.0,YES
393,343,0.34,NO
758,66,0.06,NO
528,67,0.06,NO
735,67,0.06,NO
303,1181,1.0,YES
16,142,0.12,YES
338,83,0.07,NO
662,95,0.08,NO
669,95,0.08,NO
558,96,0.08,NO
608,84,0.07,NO
661,96,0.08,NO
745,96,0.08,NO
299,1210,1.0,YES
392,98,0.08,NO
309,1207,0.98,YES
23,148,0.12,NO
479,383,0.31,YES
332,99,0.08,YES
565,149,0.12,NO
245,153,0.12,NO
748,154,0.12,NO
279,387,0.3,YES
348,155,0.12,NO
24,156,0.12,NO
27,156,0.12,NO
131,26,0.02,NO
584,156,0.12,NO
306,1279,0.98,YES
198,92,0.07,NO
693,92,0.07,NO
732,92,0.07,NO
764,92,0.07,NO
641,65,0.048333332,NO
207,27,0.02,NO
275,1328,0.98,YES
401,41,0.03,NO
404,41,0.03,NO
746,97,0.07,NO
178,98,0.07,NO
570,98,0.07,NO
187,99,0.07,NO
201,99,0.07,NO
267,1389,0.98,YES
563,159,0.11,NO
665,159,0.11,NO
600,161,0.11,NO
72,149,0.1,YES
237,1503,1.0,YES
90,46,0.03,NO
220,47,0.03,NO
20,164,0.1,NO
513,63,0.038333334,NO
6,64,0.038333334,NO
19,64,0.038333334,NO
347,64,0.038333334,NO
433,64,0.038333334,NO
591,64,0.038333334,NO
675,64,0.038333334,NO
702,171,0.1,NO
8,173,0.1,NO
489,87,0.05,NO
618,174,0.1,NO
274,506,0.28,YES
283,506,0.28,YES
266,513,0.28,YES
296,513,0.28,YES
298,513,0.28,YES
295,515,0.28,YES
278,498,0.27,YES
750,176,0.09,NO
429,104,0.05,NO
254,22,0.01,NO
353,22,0.01,NO
356,22,0.01,NO
468,22,0.01,NO
475,22,0.01,NO
543,22,0.01,NO
632,22,0.01,NO
581,177,0.08,NO
706,178,0.08,NO
494,179,0.08,NO
39,181,0.08,NO
500,181,0.08,NO
595,498,0.22,NO
614,183,0.08,NO
371,185,0.08,NO
744,185,0.08,NO
507,186,0.08,NO
276,2935,0.98,YES
320,32,0.01,NO
427,108,0.03,NO
358,45,0.01,NO
382,45,0.01,NO
520,45,0.01,NO
671,45,0.01,NO
83,46,0.01,NO
84,46,0.01,NO
102,46,0.01,NO
103,46,0.01,NO
166,46,0.01,NO
249,46,0.01,NO
651,46,0.01,NO
399,47,0.01,NO
593,47,0.01,NO
743,47,0.01,NO
749,47,0.01,NO
289,21395,0.96,YES
14,37,0.0,NO
22,32,0.0,NO
30,33,0.0,YES
49,30,0.0,NO
50,29,0.0,NO
60,32,0.0,NO
77,32,0.0,NO
81,35,0.0,YES
86,29,0.0,NO
91,31,0.0,NO
96,32,0.0,NO
100,35,0.0,NO
117,31,0.0,NO
132,33,0.0,NO
138,32,0.0,NO
146,25,0.0,NO
150,29,0.0,NO
151,26,0.0,YES
156,28,0.0,NO
157,37,0.0,NO
159,28,0.0,NO
163,38,0.0,NO
165,37,0.0,NO
167,25,0.0,NO
169,36,0.0,NO
173,32,0.0,NO
174,34,0.0,NO
175,26,0.0,NO
177,31,0.0,NO
179,26,0.0,NO
180,25,0.0,NO
183,36,0.0,NO
185,37,0.0,NO
189,31,0.0,NO
192,28,0.0,NO
193,34,0.0,NO
194,26,0.0,NO
221,38,0.0,NO
222,25,0.0,NO
239,36,0.0,YES
240,32,0.0,NO
242,27,0.0,NO
253,30,0.0,NO
313,38,0.0,NO
314,32,0.0,NO
315,32,0.0,NO
316,32,0.0,NO
317,35,0.0,NO
318,30,0.0,NO
319,30,0.0,NO
334,31,0.0,NO
336,31,0.0,YES
349,34,0.0,NO
350,38,0.0,NO
352,23,0.0,NO
355,24,0.0,NO
360,38,0.0,NO
361,31,0.0,NO
362,30,0.0,NO
363,31,0.0,NO
364,38,0.0,NO
365,31,0.0,NO
366,32,0.0,NO
373,31,0.0,NO
374,28,0.0,NO
375,25,0.0,NO
376,25,0.0,NO
377,33,0.0,NO
395,47,0.0,NO
406,45,0.0,NO
416,46,0.0,NO
428,44,0.0,NO
437,23,0.0,NO
439,25,0.0,NO
440,26,0.0,NO
446,35,0.0,NO
449,32,0.0,NO
450,32,0.0,NO
451,32,0.0,NO
452,32,0.0,NO
453,23,0.0,NO
454,24,0.0,NO
456,29,0.0,NO
457,34,0.0,NO
458,28,0.0,NO
459,31,0.0,NO
460,38,0.0,YES
461,32,0.0,NO
462,28,0.0,NO
467,29,0.0,NO
469,25,0.0,NO
470,24,0.0,NO
471,28,0.0,NO
472,30,0.0,NO
476,31,0.0,NO
477,32,0.0,NO
482,25,0.0,NO
498,24,0.0,NO
501,38,0.0,NO
511,37,0.0,NO
519,31,0.0,NO
522,37,0.0,NO
525,34,0.0,NO
530,26,0.0,NO
531,29,0.0,NO
532,36,0.0,NO
533,33,0.0,NO
534,26,0.0,NO
536,29,0.0,NO
537,29,0.0,NO
538,25,0.0,NO
540,32,0.0,NO
542,36,0.0,NO
545,33,0.0,NO
546,25,0.0,NO
547,28,0.0,NO
548,25,0.0,NO
549,25,0.0,NO
550,26,0.0,NO
552,24,0.0,NO
553,25,0.0,NO
554,26,0.0,NO
555,31,0.0,NO
566,47,0.0,NO
573,37,0.0,NO
574,37,0.0,NO
577,35,0.0,NO
578,24,0.0,NO
589,38,0.0,NO
597,34,0.0,NO
609,30,0.0,NO
615,32,0.0,NO
616,32,0.0,NO
617,26,0.0,NO
619,31,0.0,NO
620,24,0.0,NO
621,34,0.0,NO
624,26,0.0,NO
625,25,0.0,NO
626,23,0.0,NO
627,23,0.0,NO
628,23,0.0,NO
629,33,0.0,NO
630,32,0.0,NO
631,29,0.0,NO
633,25,0.0,NO
634,24,0.0,NO
635,31,0.0,NO
636,31,0.0,NO
637,26,0.0,NO
638,26,0.0,NO
639,26,0.0,NO
640,36,0.0,NO
644,38,0.0,NO
645,31,0.0,NO
647,38,0.0,NO
659,29,0.0,NO
664,29,0.0,NO
668,27,0.0,NO
674,38,0.0,NO
676,31,0.0,NO
678,29,0.0,NO
679,33,0.0,NO
683,27,0.0,NO
694,24,0.0,NO
695,33,0.0,YES
696,31,0.0,NO
699,25,0.0,NO
705,38,0.0,NO
709,25,0.0,NO
710,25,0.0,NO
711,36,0.0,NO
712,26,0.0,NO
717,28,0.0,NO
718,31,0.0,NO
720,26,0.0,NO
722,26,0.0,NO
723,30,0.0,NO
724,25,0.0,NO
725,33,0.0,NO
727,23,0.0,NO
730,26,0.0,NO
733,26,0.0,NO
737,26,0.0,NO
738,25,0.0,NO
741,24,0.0,NO
742,27,0.0,NO
747,23,0.0,NO
751,36,0.0,NO
752,32,0.0,NO
753,30,0.0,NO
754,37,0.0,NO
755,33,0.0,NO
756,32,0.0,NO
762,47,0.0,NO
766,34,0.0,NO
769,28,0.0,NO
771,35,0.0,NO
