Id,Size,Prob,NormProb,Actual
83,55,0.6333333,0.011515152,false
92,55,0.6333333,0.011515152,true
194,55,0.6333333,0.011515152,false
198,55,0.6333333,0.011515152,false
225,55,0.6333333,0.011515152,false
1007,55,0.6333333,0.011515152,false
1043,55,0.6333333,0.011515152,false
1093,55,0.6333333,0.011515152,false
1120,55,0.6333333,0.011515152,false
1294,55,0.6333333,0.011515152,false
125,49,0.56,0.011428571,false
130,49,0.56,0.011428571,false
280,49,0.56,0.011428571,false
388,49,0.56,0.011428571,false
478,49,0.56,0.011428571,false
538,49,0.56,0.011428571,false
615,49,0.56,0.011428571,false
865,49,0.56,0.011428571,false
947,49,0.56,0.011428571,false
970,49,0.56,0.011428571,false
1275,49,0.56,0.011428571,false
1327,49,0.56,0.011428571,false
1483,49,0.56,0.011428571,false
1489,49,0.56,0.011428571,false
122,50,0.57,0.0114,false
149,50,0.57,0.0114,false
277,50,0.57,0.0114,false
430,50,0.57,0.0114,false
461,50,0.57,0.0114,false
591,50,0.57,0.0114,false
592,50,0.57,0.0114,false
628,50,0.57,0.0114,false
926,50,0.57,0.0114,false
945,50,0.57,0.0114,false
1058,50,0.57,0.0114,false
1298,50,0.57,0.0114,false
1338,50,0.57,0.0114,false
1393,50,0.57,0.0114,false
1548,50,0.57,0.0114,false
90,56,0.6333333,0.011309524,true
120,56,0.6333333,0.011309524,false
238,56,0.6333333,0.011309524,false
316,56,0.6333333,0.011309524,false
492,56,0.6333333,0.011309524,false
504,56,0.6333333,0.011309524,false
559,56,0.6333333,0.011309524,false
569,56,0.6333333,0.011309524,false
603,56,0.6333333,0.011309524,false
891,56,0.6333333,0.011309524,false
904,56,0.6333333,0.011309524,false
991,56,0.6333333,0.011309524,false
1051,56,0.6333333,0.011309524,false
1056,56,0.6333333,0.011309524,false
1141,56,0.6333333,0.011309524,false
1178,56,0.6333333,0.011309524,false
1210,56,0.6333333,0.011309524,false
1273,56,0.6333333,0.011309524,false
1288,56,0.6333333,0.011309524,false
291,57,0.63533336,0.011146199,false
354,57,0.63533336,0.011146199,false
577,57,0.63533336,0.011146199,false
