Id,Size,Prob,NormProb,Actual
126,5,0.59,0.118,true
84,12,0.59,0.04916667,false
88,14,0.59,0.042142857,false
490,20,0.6,0.03,false
107,25,0.59,0.0236,false
139,25,0.59,0.0236,false
653,25,0.59,0.0236,false
134,26,0.59,0.022692308,false
138,26,0.59,0.022692308,false
153,26,0.59,0.022692308,false
53,31,0.69,0.022258064,false
251,31,0.69,0.022258064,false
253,31,0.69,0.022258064,false
83,27,0.59,0.021851853,false
427,37,0.79,0.02135135,false
363,35,0.74,0.021142857,false
115,28,0.59,0.021071428,false
118,28,0.59,0.021071428,false
151,28,0.59,0.021071428,false
49,29,0.6,0.020689655,false
87,29,0.59,0.020344827,false
110,29,0.59,0.020344827,false
279,30,0.61,0.020333333,false
513,34,0.69,0.020294117,false
48,30,0.6,0.02,false
55,40,0.79,0.01975,false
57,40,0.79,0.01975,false
66,40,0.79,0.01975,false
280,31,0.61,0.01967742,false
282,31,0.61,0.01967742,false
318,41,0.79,0.019268293,false
321,41,0.79,0.019268293,false
283,32,0.61,0.0190625,false
425,32,0.61,0.0190625,false
136,31,0.59,0.019032259,false
148,31,0.59,0.019032259,false
14,37,0.7,0.018918918,false
116,37,0.7,0.018918918,false
124,37,0.7,0.018918918,false
144,37,0.7,0.018918918,false
58,32,0.6,0.01875,false
168,32,0.6,0.01875,false
426,35,0.65,0.018571429,false
21,32,0.59,0.0184375,false
75,32,0.59,0.0184375,false
93,32,0.59,0.0184375,false
132,32,0.59,0.0184375,false
122,38,0.7,0.018421052,false
281,38,0.7,0.018421052,false
79,35,0.64,0.018285714,false
97,35,0.64,0.018285714,false
120,36,0.64,0.017777778,false
128,36,0.64,0.017777778,false
142,36,0.64,0.017777778,false
44,43,0.76,0.017674418,false
315,43,0.76,0.017674418,false
29,33,0.58,0.017575758,true
33,40,0.7,0.0175,false
76,40,0.7,0.0175,true
92,40,0.7,0.0175,false
94,40,0.7,0.0175,false
140,40,0.7,0.0175,false
287,40,0.7,0.0175,false
133,34,0.59,0.01735294,false
152,34,0.59,0.01735294,false
345,44,0.76,0.017272728,false
150,41,0.7,0.017073171,false
259,41,0.7,0.017073171,false
74,42,0.7,0.016666668,false
112,43,0.7,0.01627907,false
323,45,0.7,0.015555556,false
333,46,0.65,0.014130435,false
482,47,0.65,0.013829787,false
677,47,0.65,0.013829787,false
42,48,0.65,0.013541667,false
81,46,0.62,0.0134782605,false
82,46,0.62,0.0134782605,false
99,46,0.62,0.0134782605,false
100,46,0.62,0.0134782605,false
125,46,0.62,0.0134782605,false
85,48,0.63,0.013125,true
131,48,0.63,0.013125,true
28,48,0.62,0.012916666,true
319,42,0.53,0.012619047,false
98,54,0.63,0.011666667,false
80,55,0.63,0.011454546,false
147,57,0.63,0.011052632,false
320,50,0.55,0.011,false
95,50,0.53,0.0106,false
51,52,0.55,0.010576923,true
135,50,0.52,0.0104,false
77,51,0.53,0.010392156,false
312,47,0.48,0.010212766,false
121,51,0.52,0.010196079,false
289,51,0.52,0.010196079,false
72,52,0.53,0.010192308,false
111,52,0.52,0.01,true
123,52,0.52,0.01,false
248,52,0.52,0.01,false
317,55,0.55,0.01,false
328,56,0.55,0.009821429,false
90,54,0.53,0.009814815,false
62,57,0.55,0.009649123,false
260,54,0.52,0.00962963,true
522,53,0.51,0.009622642,true
158,55,0.52,0.009454546,false
64,59,0.55,0.009322034,false
155,56,0.52,0.0092857145,false
262,57,0.52,0.009122807,true
351,61,0.55,0.009016394,false
4,58,0.52,0.008965517,false
13,58,0.52,0.008965517,false
143,58,0.52,0.008965517,false
105,71,0.63,0.008873239,true
17,59,0.52,0.008813559,false
141,59,0.52,0.008813559,false
506,59,0.52,0.008813559,true
104,73,0.63,0.008630137,true
247,43,0.37,0.008604651,true
37,106,0.87,0.0082075475,false
10,107,0.87,0.008130841,false
7,64,0.52,0.008125,false
18,64,0.52,0.008125,false
129,116,0.94,0.008103448,false
25,118,0.94,0.007966102,false
183,108,0.86,0.007962963,true
12,110,0.87,0.007909091,true
24,119,0.94,0.00789916,false
78,81,0.63,0.007777778,false
