ID,Size,Predicted,Actual
98,22,0.88,NO
49,24,0.92,NO
56,24,0.92,NO
348,24,0.9,NO
282,25,0.92,NO
381,24,0.88,NO
758,27,0.9,NO
833,26,0.86,NO
571,27,0.89,NO
388,27,0.88,NO
347,29,0.94,NO
513,27,0.86,NO
804,27,0.86,NO
746,27,0.85,NO
275,29,0.88,NO
62,31,0.92,NO
238,31,0.92,YES
678,31,0.88,NO
376,30,0.84,NO
399,30,0.84,NO
755,32,0.81,NO
60,36,0.89,NO
122,36,0.89,NO
343,37,0.91,NO
927,33,0.8,NO
101,32,0.77,NO
380,32,0.77,NO
391,33,0.78,NO
76,36,0.84,NO
59,36,0.83,NO
346,43,0.94,NO
89,35,0.75,NO
287,47,0.98,NO
85,48,1.0,NO
614,47,0.94714284,NO
618,47,0.94714284,NO
790,47,0.94714284,NO
819,47,0.94714284,NO
975,47,0.94714284,NO
981,47,0.94714284,NO
994,47,0.94714284,NO
48,39,0.78,NO
217,45,0.9,NO
253,43,0.86,NO
390,44,0.88,NO
397,45,0.9,NO
398,45,0.9,NO
35,48,0.95214283,NO
156,48,0.95214283,NO
300,48,0.95214283,NO
710,48,0.95214283,NO
880,48,0.95214283,NO
892,48,0.95214283,NO
1013,48,0.95,NO
249,43,0.85,NO
237,48,0.94,YES
395,48,0.94,NO
170,49,0.95764285,NO
311,49,0.95764285,NO
406,49,0.95764285,NO
732,49,0.95764285,NO
889,49,0.95764285,NO
936,49,0.95764285,NO
539,46,0.89,NO
74,44,0.85,NO
77,43,0.83,NO
349,41,0.79,NO
47,39,0.75,NO
515,49,0.94,NO
197,35,0.665,NO
382,50,0.95,NO
383,50,0.95,NO
510,35,0.665,NO
801,35,0.665,NO
828,35,0.665,NO
1003,35,0.665,NO
103,47,0.89,NO
199,46,0.86714286,NO
200,46,0.86714286,NO
207,46,0.86714286,NO
219,46,0.86714286,NO
220,46,0.86714286,NO
294,46,0.86714286,NO
417,46,0.86714286,NO
883,46,0.86714286,NO
342,53,0.98,NO
540,53,0.98,NO
592,54,0.99,NO
799,54,0.99,NO
109,52,0.95,NO
354,40,0.73,NO
84,55,0.99,NO
328,55,0.99,NO
559,55,0.99,NO
583,35,0.63,YES
619,55,0.99,NO
713,55,0.99,NO
46,39,0.7,NO
63,39,0.7,NO
369,39,0.7,NO
194,56,0.99,NO
325,56,0.99,NO
630,56,0.99,NO
785,56,0.99,NO
887,56,0.99,NO
899,56,0.99,NO
82,42,0.73,NO
67,52,0.9,NO
