ID,Size,Predicted,Actual
632,22,0.93,NO
645,22,0.93,NO
707,22,0.93,NO
918,22,0.93,NO
921,22,0.93,NO
1084,22,0.93,NO
1102,22,0.93,NO
1183,22,0.93,NO
1239,22,0.93,NO
206,22,0.91,NO
917,23,0.92,NO
1050,23,0.92,NO
1068,23,0.92,NO
1231,23,0.92,NO
1232,23,0.92,NO
1233,23,0.92,NO
1347,23,0.92,NO
1367,23,0.92,NO
647,24,0.92,NO
841,24,0.92,NO
920,24,0.92,NO
1052,24,0.92,NO
1069,24,0.92,NO
1086,24,0.92,NO
1127,24,0.92,NO
1189,24,0.92,NO
1197,24,0.92,NO
1198,24,0.92,NO
1225,24,0.92,NO
1313,24,0.92,NO
1361,24,0.92,NO
63,24,0.91,NO
70,24,0.91,NO
550,24,0.91,NO
588,24,0.91,NO
638,24,0.89,NO
433,25,0.92,NO
460,25,0.92,NO
952,25,0.92,NO
961,25,0.92,NO
962,25,0.92,NO
1085,25,0.92,NO
1109,25,0.92,NO
1173,25,0.92,NO
1191,25,0.92,NO
1192,25,0.92,NO
1318,25,0.92,NO
1329,25,0.92,NO
1330,25,0.92,NO
1344,25,0.92,NO
1358,25,0.92,NO
340,26,0.92,NO
468,26,0.92,NO
472,26,0.92,NO
487,26,0.92,NO
631,26,0.92,NO
874,26,0.92,NO
876,26,0.92,NO
877,26,0.92,NO
1053,26,0.92,NO
1164,26,0.92,NO
1193,26,0.92,NO
1200,26,0.92,NO
1222,26,0.92,NO
1229,26,0.92,NO
1248,26,0.92,NO
1319,26,0.92,NO
1332,26,0.92,NO
1340,26,0.92,NO
1342,26,0.92,NO
1350,26,0.92,NO
1353,26,0.92,NO
1357,26,0.92,NO
1486,26,0.92,NO
1469,26,0.91,NO
106,27,0.91,NO
445,27,0.91,NO
447,27,0.91,NO
614,27,0.91,NO
648,27,0.91,NO
934,27,0.91,NO
1152,27,0.91,NO
1286,27,0.91,NO
1301,27,0.91,NO
1362,27,0.91,NO
1436,27,0.91,NO
214,28,0.94,NO
296,28,0.93,NO
1176,26,0.86,NO
450,28,0.92,NO
485,28,0.92,NO
875,28,0.92,NO
950,28,0.92,NO
1094,28,0.92,NO
1190,28,0.92,NO
1337,28,0.92,NO
1389,28,0.92,NO
1166,29,0.94,NO
1169,29,0.94,NO
127,29,0.92,NO
438,29,0.92,NO
439,29,0.92,YES
1012,29,0.92,NO
1073,29,0.92,NO
1077,29,0.92,NO
1083,29,0.92,NO
1171,29,0.92,NO
1172,29,0.92,NO
1236,29,0.92,NO
1276,29,0.92,NO
1281,29,0.92,NO
1296,29,0.92,NO
229,30,0.95,NO
595,27,0.85,NO
473,30,0.94,NO
699,30,0.94,NO
882,30,0.94,NO
895,30,0.94,NO
927,30,0.94,NO
1095,30,0.94,NO
1214,30,0.94,NO
1343,30,0.94,NO
1373,30,0.94,NO
164,31,0.97,NO
346,31,0.97,NO
470,31,0.97,NO
482,31,0.97,NO
615,31,0.97,NO
706,31,0.97,NO
866,31,0.97,NO
880,31,0.97,NO
893,31,0.97,NO
926,31,0.97,NO
928,31,0.97,NO
930,31,0.97,NO
947,31,0.97,NO
1071,31,0.97,NO
1074,31,0.97,NO
1103,31,0.97,NO
1148,31,0.97,NO
1201,31,0.97,NO
1224,31,0.97,NO
1243,31,0.97,NO
1246,31,0.97,NO
1294,31,0.97,NO
1315,31,0.97,NO
1338,31,0.97,NO
131,31,0.96,NO
1160,31,0.96,NO
1174,31,0.96,YES
1090,30,0.9266667,NO
549,29,0.89,NO
124,30,0.92,YES
132,30,0.92,NO
1484,31,0.95,NO
76,31,0.94,NO
33,32,0.97,NO
283,32,0.97,NO
313,32,0.97,NO
351,32,0.97,NO
410,32,0.97,NO
466,32,0.97,NO
587,32,0.97,NO
612,32,0.97,NO
622,32,0.97,NO
931,32,0.97,NO
1062,32,0.97,NO
1063,32,0.97,NO
1064,32,0.97,NO
1065,32,0.97,NO
1179,32,0.97,NO
1220,32,0.97,NO
1221,32,0.97,NO
1372,32,0.97,NO
1376,32,0.97,NO
583,30,0.9,NO
606,30,0.9,NO
209,32,0.95666665,NO
325,32,0.95666665,YES
404,33,0.98,NO
598,33,0.98,NO
963,33,0.98,NO
1168,33,0.98,NO
1188,33,0.98,NO
1234,33,0.98,NO
1297,33,0.98,YES
1314,33,0.98,NO
1345,33,0.98,NO
1375,33,0.98,NO
861,32,0.95,NO
1104,33,0.97,NO
387,32,0.93,NO
467,34,0.98,NO
486,34,0.98,NO
914,34,0.98,NO
1072,34,0.98,NO
1155,34,0.98,NO
1386,34,0.98,NO
1434,33,0.95,NO
151,35,0.98,NO
890,35,0.98,NO
1059,35,0.98,NO
1256,35,0.98,NO
1391,35,0.98,NO
1432,35,0.98,NO
528,34,0.95,NO
197,35,0.97,NO
533,35,0.97,NO
163,36,0.99,NO
180,36,0.99,NO
184,36,0.99,NO
300,36,0.99,NO
462,36,0.99,NO
611,36,0.99,YES
1167,36,0.99,NO
1181,36,0.99,NO
1250,36,0.99,NO
1331,36,0.99,NO
1371,36,0.99,NO
637,35,0.96,NO
133,36,0.98,NO
995,36,0.98,NO
1245,36,0.98,NO
22,37,0.99,NO
478,37,0.99,NO
929,37,0.99,NO
1076,37,0.99,NO
1140,37,0.99,NO
1151,37,0.99,NO
1374,37,0.99,NO
1424,37,0.99,NO
1427,37,0.99,NO
337,36,0.96,NO
519,36,0.96,NO
1241,37,0.98,NO
73,36,0.95,NO
74,36,0.95,NO
230,36,0.95,NO
446,38,1.0,NO
454,38,1.0,NO
456,38,1.0,NO
848,38,1.0,NO
915,38,1.0,NO
925,38,1.0,NO
1093,38,1.0,NO
1125,38,1.0,NO
1130,38,1.0,NO
1255,38,1.0,NO
1258,38,1.0,NO
1292,38,1.0,NO
1325,38,1.0,NO
1448,38,1.0,NO
1488,38,1.0,NO
1554,37,0.97,NO
522,37,0.96,NO
529,37,0.96,NO
723,22,0.57,NO
1226,38,0.98,NO
545,37,0.95,YES
60,39,1.0,NO
246,39,1.0,NO
576,39,1.0,NO
916,39,1.0,NO
1114,39,1.0,NO
1298,39,1.0,NO
1341,39,1.0,NO
854,39,0.99,NO
855,39,0.99,NO
85,39,0.98,NO
157,40,1.0,NO
280,40,1.0,NO
282,40,1.0,NO
293,40,1.0,NO
317,40,1.0,NO
407,40,1.0,NO
409,40,1.0,NO
474,40,1.0,NO
494,40,1.0,NO
558,40,1.0,NO
574,40,1.0,NO
623,40,1.0,NO
941,40,1.0,NO
969,40,1.0,NO
990,40,1.0,NO
1006,40,1.0,NO
1051,40,1.0,NO
1075,40,1.0,NO
1177,40,1.0,NO
1288,40,1.0,NO
1300,40,1.0,NO
1538,40,1.0,NO
737,35,0.87,NO
850,40,0.99,NO
851,40,0.99,NO
852,40,0.99,NO
125,39,0.96,YES
1555,40,0.98,NO
434,41,1.0,NO
448,41,1.0,NO
484,41,1.0,NO
551,41,1.0,NO
701,41,1.0,NO
1009,41,1.0,NO
1080,41,1.0,NO
1253,41,1.0,NO
1339,41,1.0,NO
1450,41,1.0,NO
520,41,0.99,NO
1283,41,0.99,NO
1553,41,0.99,NO
61,39,0.94,NO
62,39,0.94,NO
77,39,0.94,NO
1499,41,0.98,NO
1551,41,0.98,NO
150,42,1.0,NO
190,42,1.0,NO
312,42,1.0,NO
399,42,1.0,NO
1003,42,1.0,NO
1007,42,1.0,NO
1078,42,1.0,NO
1116,42,1.0,NO
1121,42,1.0,NO
1124,42,1.0,NO
1265,42,1.0,NO
1267,42,1.0,NO
1289,42,1.0,NO
1495,42,1.0,NO
993,42,0.99,NO
644,41,0.96,NO
103,42,0.98,NO
185,43,1.0,NO
266,43,1.0,NO
403,43,1.0,NO
442,43,1.0,NO
457,43,1.0,NO
548,43,1.0,YES
839,43,1.0,NO
888,43,1.0,NO
949,43,1.0,NO
1147,43,1.0,NO
1446,43,1.0,NO
1447,43,1.0,NO
1275,43,0.99,NO
1412,32,0.73,NO
1088,43,0.98,NO
1498,43,0.98,NO
90,44,1.0,NO
177,44,1.0,NO
297,44,1.0,NO
597,44,1.0,NO
849,44,1.0,NO
856,44,1.0,NO
1034,44,1.0,NO
1170,44,1.0,NO
1264,44,1.0,NO
1333,44,1.0,NO
1346,44,1.0,NO
1431,44,1.0,NO
853,44,0.99,NO
134,43,0.96,NO
104,44,0.98,NO
338,44,0.98,NO
521,44,0.98,NO
355,45,1.0,NO
604,45,1.0,NO
605,45,1.0,NO
923,45,1.0,NO
970,45,1.0,NO
1011,45,1.0,NO
1149,45,1.0,NO
130,45,0.99,NO
1230,45,0.99,NO
94,44,0.96,NO
122,44,0.96,YES
440,44,0.96,NO
319,46,1.0,NO
320,46,1.0,NO
334,46,1.0,NO
345,46,1.0,NO
357,46,1.0,NO
358,46,1.0,NO
452,46,1.0,YES
695,46,1.0,NO
1194,46,1.0,NO
1266,46,1.0,NO
1247,46,0.99,NO
720,31,0.6650187,NO
1159,31,0.6650187,NO
1558,46,0.98,NO
211,47,1.0,NO
998,47,1.0,NO
1024,47,1.0,NO
1026,47,1.0,NO
1212,47,1.0,NO
1363,47,1.0,NO
1369,47,1.0,NO
1382,47,1.0,NO
1453,47,1.0,NO
1235,47,0.99,NO
86,47,0.98,NO
107,47,0.98,NO
46,48,1.0,NO
154,48,1.0,NO
264,48,1.0,NO
458,48,1.0,YES
465,48,1.0,NO
602,48,1.0,NO
1008,48,1.0,NO
1089,48,1.0,NO
1115,48,1.0,NO
1277,48,1.0,NO
1418,48,1.0,NO
1494,48,1.0,NO
721,37,0.77,NO
1417,45,0.93,NO
997,47,0.97,NO
193,48,0.99,NO
1240,48,0.99,NO
116,48,0.98,NO
1134,48,0.98,NO
278,49,1.0,NO
476,49,1.0,NO
613,49,1.0,NO
863,49,1.0,NO
945,49,1.0,NO
968,49,1.0,NO
1272,49,1.0,NO
1324,49,1.0,NO
1479,49,1.0,NO
1485,49,1.0,NO
1254,48,0.97,NO
128,49,0.98,NO
147,50,1.0,NO
459,50,1.0,NO
536,49,0.98,NO
626,50,1.0,NO
924,50,1.0,NO
943,50,1.0,NO
1056,50,1.0,NO
1295,50,1.0,NO
1335,50,1.0,NO
1390,50,1.0,NO
589,50,0.99,NO
590,50,0.99,NO
123,49,0.97,NO
386,49,0.97,NO
162,51,1.0,NO
179,51,1.0,NO
469,51,1.0,NO
642,51,1.0,NO
643,51,1.0,NO
847,51,1.0,NO
1132,51,1.0,NO
1135,51,1.0,NO
1280,51,1.0,NO
1468,51,1.0,NO
1480,51,1.0,NO
120,50,0.97,NO
1402,40,0.77,NO
81,52,1.0,NO
146,52,1.0,NO
174,52,1.0,NO
217,52,1.0,NO
260,52,1.0,NO
453,52,1.0,YES
455,52,1.0,NO
742,52,1.0,NO
862,52,1.0,NO
946,52,1.0,NO
