ID,Size,Predicted,Actual
49,24,0.98,NO
56,24,0.98,NO
348,24,0.94,NO
98,22,0.8513333,NO
381,24,0.92,NO
758,27,0.98,NO
120,25,0.8869048,NO
833,26,0.92,NO
388,27,0.92,NO
804,27,0.92,NO
275,29,0.96,NO
347,29,0.96,NO
135,26,0.8512381,NO
754,26,0.8512381,NO
746,27,0.87,NO
62,31,0.99,NO
238,31,0.99,YES
376,30,0.94,NO
399,30,0.94,NO
101,32,0.93,NO
380,32,0.93,NO
755,32,0.93,NO
678,31,0.88,NO
391,33,0.93,NO
927,33,0.93,NO
59,36,0.98,NO
60,36,0.98,NO
122,36,0.98,NO
343,37,0.96,NO
76,36,0.92,NO
124,27,0.68207145,NO
46,39,0.98,NO
47,39,0.98,NO
48,39,0.98,NO
63,39,0.98,NO
369,39,0.98,NO
106,28,0.68207145,NO
89,35,0.85,NO
349,41,0.96,NO
249,43,0.98,NO
253,43,0.98,NO
82,42,0.95,NO
377,42,0.95,NO
354,40,0.9,NO
346,43,0.96,NO
74,44,0.98,NO
650,40,0.89,YES
390,44,0.96,NO
397,45,0.96,NO
398,45,0.96,NO
217,45,0.95,NO
77,43,0.9,NO
103,47,0.98,NO
571,27,0.56,NO
539,46,0.9393333,NO
85,48,0.98,NO
237,48,0.98,YES
395,48,0.98,NO
1013,48,0.98,NO
515,49,0.98,NO
382,50,0.98,NO
383,50,0.98,NO
287,47,0.91,NO
121,30,0.57457143,NO
123,30,0.57457143,NO
67,52,0.98,NO
109,52,0.98,NO
53,54,0.98,NO
342,53,0.96,NO
540,53,0.95933336,NO
68,55,0.98,NO
75,55,0.98,NO
84,55,0.97,NO
73,56,0.98,NO
394,56,0.98,NO
276,53,0.92,NO
368,57,0.98,NO
55,58,0.98,NO
834,58,0.98,NO
66,59,0.98,NO
547,59,0.98,YES
543,58,0.96,YES
375,59,0.97,NO
414,56,0.92,YES
310,60,0.98,NO
516,49,0.79375,NO
353,56,0.9,NO
268,61,0.97,NO
312,58,0.91,NO
524,58,0.91,NO
88,55,0.86,NO
929,62,0.96,NO
585,59,0.91,YES
50,62,0.95,NO
267,62,0.95,NO
549,64,0.98,NO
384,63,0.96,NO
635,63,0.96,NO
137,64,0.97,NO
204,63,0.95,YES
250,63,0.95,NO
215,64,0.96,NO
245,64,0.96,YES
57,64,0.95,NO
341,65,0.96,NO
141,66,0.97,NO
146,66,0.97,NO
389,67,0.98,NO
255,66,0.96,YES
795,69,0.99,NO
747,65,0.93,NO
387,69,0.98,NO
345,70,0.96,NO
97,71,0.97,NO
614,47,0.6351247,NO
618,47,0.6351247,NO
790,47,0.6351247,NO
819,47,0.6351247,NO
975,47,0.6351247,NO
981,47,0.6351247,NO
994,47,0.6351247,NO
164,67,0.9,NO
210,71,0.9498812,NO
158,43,0.5751849,NO
277,43,0.5751849,NO
503,43,0.5751849,NO
526,43,0.5751849,NO
617,43,0.5751849,NO
813,43,0.5751849,NO
814,43,0.5751849,NO
86,72,0.95,NO
822,74,0.97,NO
99,75,0.98,NO
361,69,0.9,NO
392,76,0.98,NO
91,65,0.83,NO
930,77,0.98,NO
357,71,0.9,NO
344,76,0.96,NO
0,78,0.98,NO
100,81,0.98,NO
396,82,0.98,NO
751,83,0.98,NO
127,31,0.366,NO
80,81,0.95,NO
247,82,0.96,YES
179,57,0.66566736,NO
214,57,0.66566736,NO
293,57,0.66566736,NO
316,57,0.66566736,NO
519,57,0.66566736,NO
542,57,0.66566736,NO
714,57,0.66566736,NO
725,57,0.66566736,NO
96,62,0.7,NO
408,83,0.93,NO
70,71,0.77,NO
72,71,0.77,NO
318,84,0.9095448,NO
837,84,0.9095448,NO
916,84,0.9095448,NO
79,75,0.81,NO
149,72,0.77,NO
652,90,0.96,NO
925,92,0.98,NO
51,77,0.82,NO
52,77,0.82,NO
78,81,0.86,NO
216,94,0.99,NO
628,94,0.99,NO
54,90,0.94,NO
319,41,0.4273724,NO
538,41,0.4273724,NO
553,41,0.4273724,NO
620,41,0.4273724,NO
623,41,0.4273724,NO
685,41,0.4273724,NO
687,41,0.4273724,NO
741,41,0.4273724,NO
874,41,0.4273724,NO
951,41,0.4273724,NO
71,74,0.77,NO
939,94,0.97,NO
977,96,0.98,NO
69,80,0.81,NO
131,85,0.86,NO
225,97,0.98,NO
978,97,0.98,NO
561,50,0.50471014,NO
622,50,0.50471014,NO
728,50,0.50471014,NO
775,50,0.50471014,NO
947,50,0.50471014,NO
1002,50,0.50471014,NO
990,66,0.66428465,NO
90,91,0.91,NO
92,69,0.69,NO
218,98,0.98,NO
35,48,0.47620678,NO
156,48,0.47620678,NO
300,48,0.47620678,NO
710,48,0.47620678,NO
880,48,0.47620678,NO
892,48,0.47620678,NO
256,99,0.98,YES
65,89,0.87,NO
358,93,0.9,NO
587,101,0.97,YES
351,95,0.91,NO
83,82,0.78,NO
352,96,0.91,NO
651,96,0.91,NO
197,35,0.3308993,NO
510,35,0.3308993,NO
801,35,0.3308993,NO
828,35,0.3308993,NO
1003,35,0.3308993,NO
170,49,0.45904803,NO
311,49,0.45904803,NO
406,49,0.45904803,NO
732,49,0.45904803,NO
889,49,0.45904803,NO
936,49,0.45904803,NO
142,93,0.87,NO
246,105,0.98,YES
362,98,0.91,NO
416,108,1.0,NO
263,94,0.87,NO
373,94,0.87,NO
81,88,0.81,NO
328,55,0.5043243,NO
559,55,0.5043243,NO
619,55,0.5043243,NO
713,55,0.5043243,NO
302,34,0.3112984,NO
321,34,0.3112984,NO
551,34,0.3112984,NO
679,34,0.3112984,NO
749,34,0.3112984,NO
823,34,0.3112984,NO
853,34,0.3112984,NO
998,34,0.3112984,NO
205,101,0.92,YES
780,94,0.8524593,NO
336,109,0.98,NO
143,97,0.87,NO
735,111,0.99,NO
26,70,0.6221259,NO
178,70,0.6221259,NO
180,70,0.6221259,NO
168,89,0.79075974,NO
370,98,0.87,NO
208,31,0.27290103,NO
305,31,0.27290103,NO
317,31,0.27290103,NO
530,31,0.27290103,NO
563,31,0.27290103,NO
565,31,0.27290103,NO
567,31,0.27290103,NO
584,31,0.27290103,NO
681,31,0.27290103,NO
698,31,0.27290103,NO
742,31,0.27290103,NO
779,31,0.27290103,NO
851,31,0.27290103,NO
867,31,0.27290103,NO
868,31,0.27290103,NO
877,31,0.27290103,NO
908,31,0.27290103,NO
928,31,0.27290103,NO
950,31,0.27290103,NO
356,112,0.98,NO
104,101,0.88,NO
372,101,0.88,NO
504,107,0.93,NO
415,106,0.92,YES
296,113,0.98,NO
360,115,0.99,NO
184,104,0.8935952,NO
329,104,0.8935952,NO
648,104,0.8935952,NO
177,81,0.69401586,NO
196,81,0.69401586,NO
298,116,0.99,NO
385,116,0.99,NO
260,32,0.271,NO
792,117,0.99,NO
19,37,0.31049445,NO
281,37,0.31049445,NO
291,37,0.31049445,NO
313,37,0.31049445,NO
734,37,0.31049445,NO
745,37,0.31049445,NO
797,37,0.31049445,NO
798,37,0.31049445,NO
986,37,0.31049445,NO
521,117,0.98,YES
87,113,0.94,NO
371,106,0.88,NO
393,120,0.99,NO
297,36,0.29639396,NO
404,36,0.29639396,NO
756,36,0.29639396,NO
766,36,0.29639396,NO
872,36,0.29639396,NO
943,36,0.29639396,NO
983,36,0.29639396,NO
194,56,0.45895675,NO
325,56,0.45895675,NO
630,56,0.45895675,NO
785,56,0.45895675,NO
887,56,0.45895675,NO
899,56,0.45895675,NO
1008,83,0.68,NO
338,121,0.99,NO
816,121,0.99,NO
1007,86,0.7,NO
560,45,0.36625603,NO
595,45,0.36625603,NO
625,45,0.36625603,NO
743,45,0.36625603,NO
903,45,0.36625603,NO
544,115,0.93,YES
105,109,0.88,NO
182,88,0.70726585,NO
191,88,0.70726585,NO
248,111,0.88,NO
95,125,0.99,NO
826,125,0.99,NO
93,120,0.95,NO
633,77,0.60857916,NO
513,27,0.21,NO
192,42,0.32467452,NO
621,42,0.32467452,NO
711,42,0.32467452,NO
716,42,0.32467452,NO
719,42,0.32467452,NO
882,42,0.32467452,NO
884,42,0.32467452,NO
266,115,0.88,NO
523,120,0.91,NO
339,131,0.99,NO
110,53,0.4,NO
1014,110,0.83,NO
187,126,0.95,NO
138,39,0.2935357,NO
932,125,0.94,NO
827,132,0.99,NO
590,33,0.24676691,NO
757,33,0.24676691,NO
769,33,0.24676691,NO
861,33,0.24676691,NO
911,33,0.24676691,NO
957,33,0.24676691,NO
987,33,0.24676691,NO
337,133,0.99,NO
646,108,0.80235714,NO
107,54,0.4,NO
147,54,0.4,NO
374,136,0.99,NO
283,40,0.29,NO
94,137,0.99,NO
818,128,0.92,NO
940,138,0.99,NO
583,35,0.25,YES
688,139,0.99,NO
624,61,0.43,NO
189,86,0.59994876,NO
269,86,0.59994876,NO
330,86,0.59994876,NO
748,86,0.59994876,NO
102,135,0.94,NO
696,84,0.5821667,NO
272,98,0.6744762,NO
605,98,0.6744762,NO
794,98,0.6744762,NO
154,134,0.92,NO
31,118,0.80575794,NO
188,143,0.97,NO
575,80,0.5374099,NO
634,80,0.5374099,NO
918,80,0.5374099,NO
960,80,0.5374099,NO
350,137,0.92,NO
332,148,0.99,NO
572,112,0.74666667,NO
573,109,0.71,NO
612,37,0.24,NO
130,139,0.9,NO
497,62,0.4,NO
145,105,0.67639285,NO
258,160,0.99,NO
379,160,0.99,NO
113,63,0.38966668,NO
626,149,0.91,NO
233,157,0.9586667,YES
656,64,0.38966668,NO
657,64,0.38966668,NO
533,157,0.95533335,NO
340,163,0.99,NO
116,149,0.9,NO
115,55,0.33,NO
108,158,0.94,NO
640,167,0.99,NO
126,33,0.195,NO
254,33,0.195,NO
479,74,0.43416667,NO
718,95,0.5563225,NO
894,95,0.5563225,NO
901,95,0.5563225,NO
