ID,Size,Predicted,Actual
632,22,0.95,NO
645,22,0.95,NO
707,22,0.95,NO
918,22,0.95,NO
921,22,0.95,NO
1084,22,0.95,NO
1102,22,0.95,NO
1183,22,0.95,NO
1239,22,0.95,NO
917,23,0.95,NO
1050,23,0.95,NO
1068,23,0.95,NO
1231,23,0.95,NO
1232,23,0.95,NO
1233,23,0.95,NO
1347,23,0.95,NO
1367,23,0.95,NO
206,22,0.89,NO
647,24,0.95,NO
841,24,0.95,NO
920,24,0.95,NO
1052,24,0.95,NO
1069,24,0.95,NO
1086,24,0.95,NO
1127,24,0.95,NO
1189,24,0.95,NO
1197,24,0.95,NO
1198,24,0.95,NO
1225,24,0.95,NO
1313,24,0.95,NO
1361,24,0.95,NO
638,24,0.92,NO
433,25,0.95,NO
460,25,0.95,NO
961,25,0.95,NO
962,25,0.95,NO
1085,25,0.95,NO
1109,25,0.95,NO
1173,25,0.95,NO
1191,25,0.95,NO
1192,25,0.95,NO
1318,25,0.95,NO
1329,25,0.95,NO
1330,25,0.95,NO
1344,25,0.95,NO
1358,25,0.95,NO
63,24,0.89,NO
70,24,0.89,NO
550,24,0.89,NO
588,24,0.89,NO
468,26,0.95,NO
472,26,0.95,NO
487,26,0.95,NO
631,26,0.95,NO
874,26,0.95,NO
876,26,0.95,NO
877,26,0.95,NO
1053,26,0.95,NO
1164,26,0.95,NO
1193,26,0.95,NO
1200,26,0.95,NO
1222,26,0.95,NO
1229,26,0.95,NO
1248,26,0.95,NO
1319,26,0.95,NO
1332,26,0.95,NO
1340,26,0.95,NO
1342,26,0.95,NO
1350,26,0.95,NO
1353,26,0.95,NO
1357,26,0.95,NO
1486,26,0.95,NO
952,25,0.88,NO
445,27,0.95,NO
447,27,0.95,NO
614,27,0.95,NO
648,27,0.95,NO
934,27,0.95,NO
1152,27,0.95,NO
1286,27,0.95,NO
1301,27,0.95,NO
1362,27,0.95,NO
1436,27,0.95,NO
450,28,0.95,NO
485,28,0.95,NO
875,28,0.95,NO
950,28,0.95,NO
1094,28,0.95,NO
1190,28,0.95,NO
1337,28,0.95,NO
1389,28,0.95,NO
1469,26,0.88,NO
340,26,0.87,NO
438,29,0.95,NO
439,29,0.95,YES
1012,29,0.95,NO
1073,29,0.95,NO
1077,29,0.95,NO
1083,29,0.95,NO
1171,29,0.95,NO
1172,29,0.95,NO
1236,29,0.95,NO
1276,29,0.95,NO
1281,29,0.95,NO
1296,29,0.95,NO
106,27,0.88,NO
214,28,0.9,NO
296,28,0.9,NO
473,30,0.95,NO
699,30,0.95,NO
882,30,0.95,NO
895,30,0.95,NO
927,30,0.95,NO
1095,30,0.95,NO
1214,30,0.95,NO
1343,30,0.95,NO
1373,30,0.95,NO
1176,26,0.82,NO
1166,29,0.91,NO
1169,29,0.91,NO
346,31,0.95,NO
470,31,0.95,NO
482,31,0.95,NO
615,31,0.95,NO
706,31,0.95,NO
866,31,0.95,NO
880,31,0.95,NO
893,31,0.95,NO
926,31,0.95,NO
928,31,0.95,NO
930,31,0.95,NO
947,31,0.95,NO
1071,31,0.95,NO
