ID,Size,Predicted,Actual
1176,48,0.97,NO
86,47,0.7518231,NO
108,47,0.7518231,NO
212,47,0.7518231,NO
257,47,0.7518231,NO
998,47,0.7518231,NO
999,47,0.7518231,NO
1025,47,0.7518231,NO
1027,47,0.7518231,NO
1214,47,0.7518231,NO
1237,47,0.7518231,NO
1365,47,0.7518231,NO
1371,47,0.7518231,NO
1384,47,0.7518231,NO
1456,47,0.7518231,NO
442,56,0.88,YES
84,71,1.0,NO
88,71,1.0,NO
206,71,1.0,NO
349,71,1.0,NO
412,71,1.0,NO
531,71,1.0,NO
562,71,1.0,NO
688,71,1.0,NO
1041,71,1.0,NO
1485,71,1.0,YES
1528,71,1.0,NO
1560,71,1.0,NO
1099,75,0.89,YES
459,48,0.48662585,YES
481,102,1.0,NO
538,102,1.0,NO
183,84,0.7978512,NO
484,84,0.7978512,YES
1102,84,0.7978512,NO
1304,84,0.7978512,NO
1353,84,0.7978512,NO
1476,84,0.7978512,NO
199,94,0.88870573,NO
355,94,0.88870573,NO
414,94,0.88870573,NO
581,94,0.88870573,NO
960,94,0.88870573,NO
1001,94,0.88870573,NO
1016,94,0.88870573,NO
1204,94,0.88870573,NO
1329,94,0.88870573,NO
1424,94,0.88870573,NO
1522,94,0.88870573,NO
1544,94,0.88870573,YES
152,35,0.32049656,NO
198,35,0.32049656,NO
243,35,0.32049656,NO
534,35,0.32049656,NO
638,35,0.32049656,NO
663,35,0.32049656,NO
738,35,0.32049656,NO
891,35,0.32049656,NO
1060,35,0.32049656,NO
1239,35,0.32049656,NO
1258,35,0.32049656,NO
1393,35,0.32049656,NO
1435,35,0.32049656,NO
187,81,0.71750426,NO
189,81,0.71750426,NO
209,81,0.71750426,NO
220,81,0.71750426,NO
288,81,0.71750426,YES
381,81,0.71750426,YES
497,81,0.71750426,YES
515,81,0.71750426,NO
675,81,0.71750426,NO
682,81,0.71750426,NO
713,81,0.71750426,NO
977,81,0.71750426,NO
1515,81,0.71750426,NO
99,115,1.0,YES
417,115,1.0,NO
565,115,1.0,NO
1512,115,1.0,NO
1529,115,1.0,NO
1399,44,0.38,NO
290,57,0.48843575,NO
353,57,0.48843575,NO
576,57,0.48843575,NO
585,57,0.48843575,NO
716,57,0.48843575,NO
870,57,0.48843575,NO
905,57,0.48843575,NO
1011,57,0.48843575,NO
1120,57,0.48843575,NO
1132,57,0.48843575,NO
1414,57,0.48843575,NO
19,121,1.0,NO
1220,121,1.0,NO
1457,121,1.0,NO
1492,121,1.0,NO
1500,121,1.0,YES
97,122,1.0,YES
541,122,1.0,YES
907,122,1.0,NO
32,70,0.5590184,NO
289,70,0.5590184,NO
291,70,0.5590184,NO
342,70,0.5590184,NO
425,70,0.5590184,YES
548,70,0.5590184,YES
719,70,0.5590184,NO
910,70,0.5590184,NO
124,49,0.37622142,NO
129,49,0.37622142,NO
279,49,0.37622142,NO
387,49,0.37622142,NO
477,49,0.37622142,NO
537,49,0.37622142,NO
614,49,0.37622142,NO
864,49,0.37622142,NO
946,49,0.37622142,NO
969,49,0.37622142,NO
1274,49,0.37622142,NO
1326,49,0.37622142,NO
1482,49,0.37622142,NO
1488,49,0.37622142,NO
248,41,0.3129168,NO
435,41,0.3129168,NO
449,41,0.3129168,NO
485,41,0.3129168,NO
511,41,0.3129168,NO
521,41,0.3129168,NO
552,41,0.3129168,NO
645,41,0.3129168,NO
702,41,0.3129168,NO
1010,41,0.3129168,NO
1081,41,0.3129168,NO
1255,41,0.3129168,NO
1285,41,0.3129168,NO
1341,41,0.3129168,NO
1453,41,0.3129168,NO
1502,41,0.3129168,NO
1513,41,0.3129168,NO
1554,41,0.3129168,NO
1556,41,0.3129168,NO
98,132,1.0,YES
1408,40,0.3,NO
211,135,1.0,NO
270,135,1.0,YES
687,135,1.0,NO
1452,135,1.0,YES
106,136,1.0,NO
1505,136,1.0,NO
177,66,0.46165353,NO
250,66,0.46165353,NO
255,66,0.46165353,NO
406,66,0.46165353,NO
691,66,0.46165353,NO
1240,66,0.46165353,YES
1295,66,0.46165353,YES
1380,66,0.46165353,NO
1438,66,0.46165353,NO
1463,66,0.46165353,YES
1516,66,0.46165353,NO
47,145,1.0,YES
48,145,1.0,NO
111,125,0.83,YES
82,55,0.3620936,NO
91,55,0.3620936,YES
193,55,0.3620936,NO
197,55,0.3620936,NO
224,55,0.3620936,NO
1006,55,0.3620936,NO
1042,55,0.3620936,NO
1092,55,0.3620936,NO
1119,55,0.3620936,NO
1293,55,0.3620936,NO
391,152,1.0,YES
536,152,1.0,NO
879,152,1.0,NO
87,74,0.47542495,NO
167,74,0.47542495,NO
676,74,0.47542495,NO
813,74,0.47542495,NO
904,74,0.47542495,NO
1484,74,0.47542495,YES
1518,74,0.47542495,NO
160,99,0.6278323,NO
407,99,0.6278323,NO
961,99,0.6278323,NO
914,165,1.0,NO
571,166,1.0,NO
249,167,1.0,NO
1028,167,1.0,YES
1097,105,0.62,YES
1026,172,1.0,NO
1067,172,1.0,NO
679,118,0.6821503,NO
886,118,0.6821503,NO
909,118,0.6821503,NO
1535,118,0.6821503,NO
1551,118,0.6821503,NO
1215,173,1.0,NO
131,45,0.25421122,NO
356,45,0.25421122,NO
605,45,0.25421122,NO
606,45,0.25421122,NO
725,45,0.25421122,NO
924,45,0.25421122,NO
971,45,0.25421122,NO
1012,45,0.25421122,NO
1150,45,0.25421122,NO
1232,45,0.25421122,NO
1420,45,0.25421122,NO
307,112,0.62,NO
22,37,0.19696938,NO
228,37,0.19696938,NO
234,37,0.19696938,NO
479,37,0.19696938,NO
523,37,0.19696938,NO
530,37,0.19696938,NO
546,37,0.19696938,YES
722,37,0.19696938,NO
930,37,0.19696938,NO
1077,37,0.19696938,NO
1141,37,0.19696938,NO
1152,37,0.19696938,NO
1243,37,0.19696938,NO
1261,37,0.19696938,NO
1376,37,0.19696938,NO
1427,37,0.19696938,NO
1430,37,0.19696938,NO
1557,37,0.19696938,NO
14,108,0.57081044,YES
695,108,0.57081044,NO
715,108,0.57081044,NO
79,89,0.4686231,NO
156,89,0.4686231,NO
277,89,0.4686231,NO
609,89,0.4686231,NO
117,54,0.28,NO
11,64,0.33077225,NO
30,64,0.33077225,NO
71,64,0.33077225,NO
159,64,0.33077225,NO
246,64,0.33077225,NO
354,64,0.33077225,NO
396,64,0.33077225,NO
528,64,0.33077225,NO
714,64,0.33077225,NO
844,64,0.33077225,NO
1045,64,0.33077225,NO
1048,64,0.33077225,NO
1049,64,0.33077225,NO
1197,64,0.33077225,NO
1467,64,0.33077225,NO
286,55,0.28,NO
83,88,0.4472211,NO
176,88,0.4472211,NO
190,88,0.4472211,NO
293,88,0.4472211,NO
312,88,0.4472211,NO
378,88,0.4472211,YES
518,88,0.4472211,NO
527,88,0.4472211,NO
574,88,0.4472211,NO
913,88,0.4472211,NO
182,63,0.31457287,NO
222,63,0.31457287,NO
401,63,0.31457287,NO
482,63,0.31457287,NO
592,63,0.31457287,NO
866,63,0.31457287,NO
912,63,0.31457287,YES
1023,63,0.31457287,NO
1143,63,0.31457287,NO
1318,63,0.31457287,NO
1428,63,0.31457287,NO
169,86,0.42502394,NO
310,86,0.42502394,NO
433,86,0.42502394,NO
669,86,0.42502394,NO
1155,86,0.42502394,NO
1520,86,0.42502394,NO
135,43,0.20838949,NO
186,43,0.20838949,NO
267,43,0.20838949,NO
404,43,0.20838949,NO
443,43,0.20838949,NO
458,43,0.20838949,NO
549,43,0.20838949,YES
840,43,0.20838949,NO
889,43,0.20838949,NO
950,43,0.20838949,NO
1089,43,0.20838949,NO
1148,43,0.20838949,NO
1277,43,0.20838949,NO
1410,43,0.20838949,NO
1412,43,0.20838949,NO
1449,43,0.20838949,NO
1450,43,0.20838949,NO
1461,43,0.20838949,NO
1501,43,0.20838949,NO
121,50,0.22918262,NO
148,50,0.22918262,NO
276,50,0.22918262,NO
429,50,0.22918262,NO
460,50,0.22918262,NO
590,50,0.22918262,NO
591,50,0.22918262,NO
627,50,0.22918262,NO
925,50,0.22918262,NO
944,50,0.22918262,NO
1057,50,0.22918262,NO
1297,50,0.22918262,NO
1337,50,0.22918262,NO
