ID,Size,Predicted,Actual
1016,26,0.99,YES
449,32,0.98,YES
609,32,0.98,YES
445,35,0.98,YES
451,36,0.99,YES
593,36,0.91,YES
1384,38,0.96,YES
586,39,0.91,YES
610,43,0.99,YES
998,43,0.98,YES
1626,38,0.86,YES
191,44,0.98,YES
194,48,1.0,YES
482,50,1.0,YES
193,42,0.83,YES
592,50,0.98,YES
1647,44,0.85,YES
1569,53,0.99,YES
1572,47,0.85,YES
471,56,1.0,YES
499,49,0.86,YES
498,48,0.84,YES
823,47,0.81,YES
545,57,0.96,YES
928,41,0.68,YES
544,48,0.79,YES
546,58,0.95,YES
1624,49,0.8,YES
447,61,0.99,YES
454,62,0.98,YES
999,63,0.99,YES
984,70,1.0,YES
608,71,0.96,YES
469,75,1.0,YES
669,30,0.4,NO
1625,68,0.88,YES
1380,69,0.89,YES
202,81,0.9851083,NO
204,81,0.9851083,NO
224,81,0.9851083,NO
235,81,0.9851083,NO
528,81,0.9851083,YES
740,81,0.9851083,NO
747,81,0.9851083,NO
778,81,0.9851083,NO
1062,81,0.9851083,NO
1491,81,0.9851083,NO
1604,81,0.9851083,NO
85,64,0.77,YES
400,81,0.96,YES
515,84,0.99,YES
26,80,0.93994075,NO
311,80,0.93994075,NO
335,80,0.93994075,NO
339,80,0.93994075,NO
1080,80,0.93994075,NO
1391,80,0.93994075,NO
1435,80,0.93994075,NO
674,58,0.68,YES
488,47,0.55,YES
32,70,0.8001096,NO
358,70,0.8001096,NO
784,70,0.8001096,NO
989,70,0.8001096,NO
596,70,0.79,YES
460,76,0.85,YES
1574,71,0.79,YES
990,86,0.95,YES
1622,82,0.88,YES
595,72,0.77,YES
591,89,0.95,YES
23,77,0.81849134,NO
65,77,0.81849134,NO
66,77,0.81849134,NO
918,77,0.81849134,NO
1106,77,0.81849134,NO
1404,77,0.81849134,NO
1584,77,0.81849134,NO
185,84,0.8828897,NO
1187,84,0.8828897,NO
1389,84,0.8828897,NO
1438,84,0.8828897,NO
1563,84,0.8828897,NO
1627,86,0.89,YES
639,39,0.4,NO
309,40,0.41,NO
637,40,0.41,NO
666,82,0.84,YES
1247,85,0.87,YES
1623,87,0.88,YES
594,94,0.94,YES
1325,68,0.68,YES
1610,95,0.95,YES
396,96,0.95,YES
1567,75,0.72,YES
1573,75,0.72,YES
303,91,0.87,YES
1583,91,0.87,YES
395,99,0.94,YES
466,98,0.93,YES
1568,76,0.72,YES
1582,74,0.7,YES
457,102,0.96,YES
279,90,0.84412307,NO
283,90,0.84412307,NO
189,104,0.97,YES
597,87,0.81,YES
38,93,0.8626854,NO
114,93,0.8626854,YES
266,93,0.8626854,NO
275,93,0.8626854,NO
624,93,0.8626854,NO
807,93,0.8626854,NO
1394,93,0.8626854,NO
760,108,1.0,NO
780,108,1.0,NO
1517,92,0.8464583,YES
459,71,0.64,YES
1043,69,0.62,YES
450,78,0.7,YES
186,104,0.9297775,NO
1121,104,0.9297775,NO
187,110,0.98,YES
598,109,0.94,YES
274,117,1.0,NO
1479,117,1.0,NO
1015,110,0.94,YES
14,108,0.92,YES
173,91,0.7744445,NO
980,91,0.7744445,YES
1339,91,0.7744445,NO
1439,91,0.7744445,NO
107,94,0.7949024,NO
214,94,0.7949024,NO
372,94,0.7949024,NO
433,94,0.7949024,NO
1045,94,0.7949024,NO
1086,94,0.7949024,NO
1101,94,0.7949024,NO
1289,94,0.7949024,NO
1414,94,0.7949024,NO
1509,94,0.7949024,NO
1613,94,0.7949024,NO
1646,94,0.7949024,YES
229,109,0.9164996,NO
1021,109,0.9164996,NO
1447,109,0.9164996,NO
179,66,0.5511072,NO
265,66,0.5511072,NO
270,66,0.5511072,NO
340,66,0.5511072,NO
425,66,0.5511072,NO
756,66,0.5511072,NO
1465,66,0.5511072,NO
1524,66,0.5511072,NO
1549,66,0.5511072,YES
1605,66,0.5511072,NO
1609,88,0.73,YES
986,122,1.0,NO
503,116,0.95,YES
626,115,0.94,NO
1601,115,0.94,NO
1630,115,0.94,NO
491,113,0.92,YES
40,123,1.0,NO
195,122,0.99,YES
250,33,0.26705047,NO
424,33,0.26705047,NO
661,33,0.26705047,NO
777,33,0.26705047,NO
1049,33,0.26705047,NO
1190,33,0.26705047,NO
1255,33,0.26705047,NO
1275,33,0.26705047,NO
1321,33,0.26705047,NO
1401,33,0.26705047,NO
1432,33,0.26705047,NO
1462,33,0.26705047,NO
1523,33,0.26705047,NO
479,88,0.71,YES
87,47,0.37862378,NO
110,47,0.37862378,NO
227,47,0.37862378,NO
272,47,0.37862378,NO
1083,47,0.37862378,NO
1084,47,0.37862378,NO
1110,47,0.37862378,NO
1112,47,0.37862378,NO
1299,47,0.37862378,NO
1322,47,0.37862378,NO
1450,47,0.37862378,NO
1456,47,0.37862378,NO
1469,47,0.37862378,NO
1542,47,0.37862378,NO
667,45,0.36,NO
668,45,0.36,NO
585,119,0.95,YES
714,126,1.0,NO
1078,126,1.0,NO
588,120,0.95,YES
278,117,0.9164583,YES
493,116,0.9,YES
550,119,0.9164583,YES
170,101,0.77742314,NO
228,101,0.77742314,NO
253,101,0.77742314,NO
441,101,0.77742314,YES
527,101,0.77742314,NO
938,101,0.77742314,NO
1252,103,0.79,NO
461,124,0.95,YES
331,102,0.78,YES
91,44,0.333553,NO
95,44,0.333553,NO
106,44,0.333553,NO
180,44,0.333553,NO
313,44,0.333553,NO
346,44,0.333553,NO
355,44,0.333553,NO
470,44,0.333553,NO
568,44,0.333553,NO
660,44,0.333553,NO
712,44,0.333553,NO
927,44,0.333553,NO
932,44,0.333553,NO
935,44,0.333553,NO
1120,44,0.333553,NO
1257,44,0.333553,NO
1351,44,0.333553,NO
