ID,Size,Predicted,Actual
62,31,0.91,NO
238,31,0.91,YES
49,24,0.69,NO
56,24,0.69,NO
275,29,0.83,NO
59,36,0.95,NO
60,36,0.95,NO
122,36,0.95,NO
758,27,0.69,NO
46,39,0.95,NO
47,39,0.95,NO
48,39,0.95,NO
63,39,0.95,NO
369,39,0.95,NO
377,42,0.98,NO
249,43,0.99,NO
253,43,0.99,NO
82,42,0.96,NO
74,44,0.99,NO
390,44,0.99,NO
77,43,0.95,NO
217,45,0.99,NO
397,45,0.99,NO
398,45,0.99,NO
650,40,0.87,YES
381,24,0.52,NO
539,46,0.99,NO
354,40,0.85,NO
103,47,0.99,NO
287,47,0.99,NO
85,48,1.0,NO
237,48,0.99,YES
395,48,0.99,NO
89,35,0.72,NO
515,49,1.0,NO
391,33,0.67,NO
927,33,0.67,NO
833,26,0.52,NO
382,50,0.99,NO
383,50,0.99,NO
388,27,0.53,NO
746,27,0.53,NO
804,27,0.53,NO
380,32,0.62,NO
67,52,1.0,NO
109,52,1.0,NO
76,36,0.69,NO
1013,48,0.92,NO
98,22,0.42,NO
755,32,0.61,NO
376,30,0.56,NO
399,30,0.56,NO
53,54,1.0,NO
276,53,0.98,NO
540,53,0.98,NO
101,32,0.59,NO
348,24,0.44,NO
68,55,1.0,NO
75,55,1.0,NO
678,31,0.56,NO
73,56,1.0,NO
368,57,1.0,NO
353,56,0.97,NO
394,56,0.97,NO
414,56,0.97,YES
88,55,0.95,NO
55,58,1.0,NO
66,59,1.0,NO
50,62,1.0,NO
267,62,1.0,NO
375,59,0.95,NO
585,59,0.95,YES
120,25,0.40066665,NO
204,63,1.0,YES
250,63,1.0,NO
635,63,1.0,NO
310,60,0.95,NO
268,61,0.96,NO
312,58,0.91,NO
96,62,0.97,NO
929,62,0.97,NO
57,64,1.0,NO
834,58,0.9,NO
384,63,0.96,NO
747,65,0.99,NO
215,64,0.97,NO
137,64,0.96,NO
543,58,0.87,YES
547,59,0.88,YES
91,65,0.96,NO
141,66,0.97,NO
389,67,0.96,NO
70,71,1.0,NO
72,71,1.0,NO
707,48,0.67,YES
387,69,0.96,NO
795,69,0.96,NO
349,41,0.57,NO
86,72,1.0,NO
149,72,1.0,NO
347,29,0.4,NO
92,69,0.95,NO
571,27,0.37,NO
582,50,0.68,NO
210,71,0.9602381,NO
