ID,Size,Predicted,Actual
201,14,0.88,YES
303,21,0.99,NO
349,22,1.0,NO
455,22,1.0,NO
458,22,1.0,NO
572,22,1.0,NO
579,22,1.0,NO
647,22,1.0,NO
738,22,1.0,NO
302,22,0.98,NO
454,23,1.0,NO
541,23,1.0,NO
557,23,1.0,NO
732,23,1.0,NO
733,23,1.0,NO
734,23,1.0,NO
833,23,1.0,NO
853,23,1.0,NO
324,22,0.95,NO
457,24,1.0,NO
558,24,1.0,NO
574,24,1.0,NO
602,24,1.0,NO
656,24,1.0,NO
682,24,1.0,NO
726,24,1.0,NO
740,24,1.0,NO
800,24,1.0,NO
847,24,1.0,NO
44,24,0.98,NO
51,24,0.98,NO
231,25,1.0,NO
252,25,1.0,YES
298,25,1.0,NO
477,25,1.0,NO
478,25,1.0,NO
543,25,1.0,NO
573,25,1.0,NO
586,25,1.0,NO
642,25,1.0,NO
650,25,1.0,NO
652,25,1.0,NO
653,25,1.0,NO
657,25,1.0,NO
731,25,1.0,NO
739,25,1.0,NO
805,25,1.0,NO
815,25,1.0,NO
816,25,1.0,NO
830,25,1.0,NO
844,25,1.0,NO
265,25,0.98,NO
88,25,0.97,YES
236,26,1.0,YES
260,26,1.0,NO
264,26,1.0,NO
279,26,1.0,NO
544,26,1.0,NO
634,26,1.0,NO
638,26,1.0,NO
654,26,1.0,NO
658,26,1.0,NO
723,26,1.0,NO
730,26,1.0,NO
743,26,1.0,NO
744,26,1.0,NO
745,26,1.0,NO
818,26,1.0,NO
826,26,1.0,NO
828,26,1.0,NO
836,26,1.0,NO
839,26,1.0,NO
843,26,1.0,NO
304,27,1.0,NO
337,27,1.0,NO
774,27,1.0,NO
789,27,1.0,NO
848,27,1.0,NO
103,26,0.96,YES
241,28,1.0,NO
244,28,1.0,NO
277,28,1.0,NO
476,28,1.0,NO
562,28,1.0,NO
566,28,1.0,NO
575,28,1.0,NO
651,28,1.0,NO
823,28,1.0,NO
875,28,1.0,NO
92,27,0.96,YES
74,28,0.99,NO
216,26,0.9,NO
131,29,1.0,NO
169,29,1.0,NO
235,29,1.0,NO
560,29,1.0,NO
571,29,1.0,NO
635,29,1.0,NO
640,29,1.0,NO
641,29,1.0,NO
737,29,1.0,NO
765,29,1.0,NO
770,29,1.0,NO
784,29,1.0,NO
130,30,1.0,NO
348,30,1.0,NO
420,30,1.0,NO
421,30,1.0,NO
464,30,1.0,NO
576,30,1.0,NO
715,30,1.0,NO
829,30,1.0,NO
859,30,1.0,NO
89,30,0.98,YES
91,30,0.98,YES
57,31,1.0,NO
174,31,1.0,NO
262,31,1.0,NO
274,31,1.0,NO
436,31,1.0,YES
438,31,1.0,YES
463,31,1.0,NO
465,31,1.0,NO
467,31,1.0,NO
475,31,1.0,NO
563,31,1.0,NO
580,31,1.0,NO
623,31,1.0,NO
659,31,1.0,NO
725,31,1.0,NO
741,31,1.0,NO
742,31,1.0,NO
751,31,1.0,NO
782,31,1.0,NO
802,31,1.0,NO
824,31,1.0,NO
95,31,0.99,YES
22,32,1.0,NO
143,32,1.0,NO
160,32,1.0,NO
179,32,1.0,NO
223,32,1.0,NO
258,32,1.0,NO
335,32,1.0,YES
416,32,1.0,NO
417,32,1.0,NO
418,32,1.0,NO
468,32,1.0,NO
553,32,1.0,NO
554,32,1.0,NO
555,32,1.0,NO
556,32,1.0,NO
565,32,1.0,NO
581,32,1.0,NO
644,32,1.0,NO
721,32,1.0,NO
722,32,1.0,NO
736,32,1.0,NO
858,32,1.0,NO
862,32,1.0,NO
94,33,1.0,YES
217,33,1.0,NO
479,33,1.0,NO
637,33,1.0,NO
