ID,Size,Predicted,Actual
125,5,0.49,YES
83,12,0.31,NO
87,14,0.3,NO
680,34,0.68,NO
246,43,0.66,YES
489,20,0.29,NO
521,53,0.7,YES
106,25,0.33,NO
138,25,0.33,NO
259,54,0.67,YES
335,57,0.7,YES
652,25,0.3,NO
137,26,0.3,NO
27,48,0.55,YES
321,59,0.66,YES
43,43,0.48,NO
243,71,0.79,YES
270,60,0.65,NO
358,60,0.65,NO
419,60,0.65,NO
432,60,0.65,NO
505,59,0.63,YES
278,30,0.32,NO
260,66,0.7,YES
682,60,0.62,NO
109,29,0.29,NO
114,28,0.28,NO
117,28,0.28,NO
166,36,0.35,YES
424,32,0.3,NO
494,65,0.6,YES
439,86,0.7875,NO
600,80,0.73,NO
642,80,0.73,NO
604,73,0.66433334,NO
331,80,0.71,YES
168,49,0.43,YES
282,32,0.28,NO
163,72,0.6211905,NO
262,72,0.6211905,NO
400,72,0.6211905,NO
486,60,0.5,NO
334,57,0.47,YES
362,35,0.28,NO
110,52,0.41,YES
237,49,0.38,YES
261,57,0.43,YES
427,105,0.7885238,NO
351,64,0.48,NO
396,106,0.7885238,NO
605,106,0.7885238,YES
339,70,0.52,YES
425,35,0.26,NO
135,31,0.23,NO
279,31,0.23,NO
281,31,0.23,NO
512,34,0.25,NO
119,36,0.26,NO
436,85,0.611,NO
648,85,0.611,NO
28,33,0.23333333,YES
537,87,0.60283333,NO
167,32,0.22,NO
370,105,0.7183333,NO
437,37,0.25243652,NO
488,37,0.25243652,NO
668,37,0.25243652,NO
250,31,0.21,NO
252,31,0.21,YES
133,26,0.17,NO
274,45,0.29389286,NO
298,45,0.29389286,NO
435,45,0.29389286,NO
585,45,0.29389286,NO
286,40,0.26,NO
323,116,0.74,YES
20,32,0.2,NO
527,121,0.75,YES
152,26,0.16,NO
567,113,0.695,NO
52,31,0.19,NO
340,114,0.685,NO
64,88,0.52,NO
536,123,0.71,YES
51,89,0.51,NO
105,86,0.49,NO
159,86,0.49,NO
129,116,0.66,YES
344,44,0.25,NO
74,32,0.18,NO
92,32,0.18,NO
131,32,0.18,NO
317,41,0.23,NO
322,45,0.25,NO
44,90,0.49,NO
500,114,0.62,YES
182,108,0.58,YES
116,69,0.37,NO
150,28,0.15,NO
171,119,0.63,NO
62,70,0.36,NO
297,40,0.2055,NO
354,40,0.2055,NO
525,40,0.2055,NO
584,40,0.2055,NO
596,40,0.2055,NO
443,67,0.33933333,NO
649,67,0.33933333,NO
107,152,0.73,YES
127,36,0.17,NO
141,36,0.17,NO
301,89,0.41866666,YES
303,89,0.41866666,YES
348,89,0.41866666,YES
189,124,0.58,YES
343,108,0.5,NO
153,173,0.8,YES
13,37,0.17,NO
115,37,0.17,NO
123,37,0.17,NO
143,37,0.17,NO
124,46,0.21,NO
234,35,0.15933874,NO
492,35,0.15933874,NO
685,35,0.15933874,NO
347,86,0.39,NO
308,98,0.44,NO
3,58,0.26,NO
481,47,0.21,NO
676,47,0.21,NO
72,88,0.39,NO
324,172,0.76,YES
522,84,0.37,NO
329,114,0.5,YES
42,85,0.37,NO
426,37,0.16,NO
603,107,0.4616905,NO
689,100,0.43,NO
350,61,0.26,NO
145,99,0.42,NO
280,38,0.16,NO
245,145,0.61,YES
86,29,0.12,NO
345,104,0.43,NO
482,173,0.71,YES
254,83,0.34,NO
82,27,0.11,NO
612,77,0.3122143,YES
66,104,0.42,NO
160,100,0.4,NO
393,225,0.9,YES
215,241,0.96,YES
677,171,0.68,YES
363,224,0.89,NO
121,38,0.15,NO
332,46,0.18,NO
68,131,0.51,YES
474,217,0.84,NO
595,218,0.84,NO
495,217,0.82,YES
326,159,0.59,YES
47,30,0.11,NO
247,52,0.19,YES
509,182,0.66,YES
154,56,0.20166667,NO
306,125,0.45,NO
59,81,0.29,NO
316,55,0.19666667,NO
58,79,0.28,NO
314,43,0.15,NO
244,136,0.47,NO
48,29,0.1,NO
320,41,0.14,NO
319,50,0.17,NO
157,55,0.18666667,NO
288,51,0.17,NO
113,243,0.8,YES
50,52,0.17,YES
156,241,0.78,YES
132,34,0.11,NO
151,34,0.11,NO
379,260,0.84,YES
118,273,0.88,YES
161,147,0.47,NO
410,95,0.3,NO
70,86,0.27,NO
287,185,0.58,NO
40,83,0.26,YES
57,32,0.1,NO
14,142,0.44,YES
342,281,0.87,NO
327,56,0.17166667,NO
687,82,0.25,NO
46,135,0.41,NO
111,43,0.13,NO
67,139,0.42,YES
32,40,0.12,NO
139,40,0.12,NO
330,77,0.23,NO
478,159,0.47333333,NO
579,159,0.47333333,NO
395,314,0.93,YES
352,68,0.2,NO
258,41,0.12,NO
41,48,0.14,NO
147,31,0.09,NO
501,249,0.72,NO
