Id,Size,Prob,NormProb,Actual
531,26,0.62,0.023846153,false
119,14,0.27,0.019285714,false
240,36,0.55,0.015277778,true
260,52,0.76,0.014615385,false
406,61,0.88,0.0144262295,true
344,53,0.72,0.013584905,true
331,43,0.57,0.013255814,true
308,62,0.82,0.013225807,false
162,44,0.58,0.013181818,false
447,35,0.46,0.013142857,false
242,49,0.61,0.01244898,true
30,48,0.58,0.012083333,true
425,70,0.83,0.011857143,true
580,65,0.77,0.011846154,true
608,53,0.62,0.011698113,true
1,79,0.92,0.0116455695,false
79,56,0.6333333,0.011309524,true
575,37,0.41,0.011081081,false
421,57,0.62,0.010877193,true
419,57,0.6,0.010526316,true
86,44,0.44,0.01,false
91,46,0.46,0.01,false
234,16,0.15,0.009375,false
510,49,0.45,0.009183673,false
328,71,0.65,0.00915493,true
591,74,0.66,0.008918919,true
511,52,0.46,0.0088461535,false
435,58,0.5,0.00862069,false
449,52,0.44,0.008461539,false
144,48,0.40333334,0.008402778,false
345,66,0.55,0.008333334,true
98,57,0.47,0.008245614,false
92,31,0.25,0.008064516,false
416,80,0.62,0.00775,true
346,57,0.44,0.0077192984,true
87,29,0.21,0.0072413795,false
436,65,0.47,0.0072307694,false
109,88,0.63,0.007159091,false
108,90,0.63,0.007,false
173,48,0.33,0.006875,true
223,25,0.17,0.0068,false
294,65,0.44,0.0067692306,false
437,64,0.42,0.0065625,false
89,60,0.38333333,0.0063888887,true
75,69,0.44,0.006376812,false
94,71,0.45,0.0063380282,false
102,71,0.45,0.0063380282,false
126,57,0.35,0.006140351,false
83,72,0.44,0.006111111,false
774,66,0.39833334,0.0060353535,false
222,38,0.22,0.0057894737,false
586,114,0.66,0.0057894737,true
256,114,0.654,0.0057368423,true
475,84,0.46966666,0.00559127,true
685,84,0.46966666,0.00559127,false
312,82,0.45,0.0054878048,false
414,120,0.65,0.0054166666,true
221,47,0.245,0.005212766,false
411,162,0.79,0.0048765433,true
490,87,0.42,0.004827586,false
107,97,0.46,0.004742268,false
214,83,0.39,0.0046987953,false
327,125,0.58,0.00464,true
775,82,0.38,0.004634146,false
408,142,0.65,0.004577465,true
56,49,0.22,0.004489796,false
398,96,0.43,0.0044791666,false
409,171,0.75,0.004385965,true
35,40,0.17,0.00425,false
614,121,0.51,0.004214876,true
764,171,0.72,0.004210526,true
249,108,0.45,0.004166667,false
59,171,0.71,0.004152047,true
263,124,0.514,0.0041451612,true
422,152,0.63,0.004144737,false
595,189,0.76,0.004021164,true
330,145,0.57,0.0039310344,true
172,115,0.45,0.0039130435,true
426,131,0.50333333,0.0038422393,false
134,46,0.175,0.0038043477,false
149,94,0.35138094,0.0037380953,false
557,94,0.35138094,0.0037380953,false
701,94,0.35138094,0.0037380953,true
708,94,0.35138094,0.0037380953,false
200,241,0.89,0.0036929462,true
568,173,0.63,0.0036416184,true
57,250,0.91,0.00364,true
210,80,0.29,0.003625,false
137,161,0.58,0.0036024845,false
41,76,0.27166668,0.0035745613,true
257,253,0.9,0.0035573123,true
777,153,0.53,0.0034640522,true
54,64,0.22,0.0034375,true
130,240,0.79,0.0032916667,false
161,284,0.92,0.0032394365,true
62,79,0.25,0.003164557,false
338,157,0.48,0.0030573248,true
605,187,0.57,0.0030481284,false
776,60,0.18,0.003,false
106,193,0.5783333,0.0029965458,false
105,196,0.5783333,0.0029506802,false
16,78,0.23,0.002948718,true
187,281,0.82,0.0029181496,true
156,243,0.69,0.0028395061,true
46,43,0.12,0.0027906976,false
540,184,0.51,0.0027717391,false
604,131,0.36,0.0027480917,false
465,260,0.71,0.0027307693,true
230,97,0.26,0.0026804123,false
587,253,0.67,0.0026482213,false
150,167,0.44,0.0026347304,true
215,70,0.18,0.0025714287,false
219,82,0.21,0.0025609755,false
142,90,0.23,0.0025555557,false
386,89,0.22532973,0.0025317946,false
388,89,0.22532973,0.0025317946,false
433,89,0.22532973,0.0025317946,true
140,93,0.23,0.0024731182,false
342,337,0.83,0.002462908,true
209,294,0.72,0.0024489795,false
213,323,0.79,0.0024458205,true
90,334,0.81,0.0024251498,false
197,194,0.47,0.0024226804,true
233,95,0.23,0.0024210527,false
51,29,0.07,0.002413793,false
168,25,0.06,0.0024,false
50,30,0.07,0.0023333333,false
581,217,0.5,0.0023041475,true
72,131,0.3,0.0022900763,true
415,77,0.17333333,0.0022510823,false
431,209,0.47,0.0022488039,false
129,112,0.25,0.002232143,false
63,81,0.18,0.0022222223,false
474,198,0.42883334,0.0021658249,false
293,299,0.6375,0.002132107,false
155,195,0.40883332,0.0020965813,false
5,196,0.40883332,0.0020858843,false
704,199,0.415,0.002085427,false
545,370,0.77,0.002081081,true
432,94,0.19,0.0020212766,false
218,75,0.15,0.002,false
224,65,0.13,0.002,false
280,387,0.77,0.001989664,false
261,394,0.78,0.0019796954,false
231,103,0.2,0.0019417476,false
207,67,0.13,0.0019402985,false
53,242,0.46,0.0019008265,false
127,95,0.18,0.0018947369,false
61,32,0.06,0.001875,false
252,447,0.83,0.0018568232,false
