ID,Size,Predicted,Actual
98,22,0.79,NO
175,22,0.79,NO
178,22,0.79,NO
250,22,0.79,NO
257,22,0.79,NO
308,22,0.79,NO
321,22,0.79,NO
401,22,0.79,NO
174,23,0.79,NO
221,23,0.79,NO
235,23,0.79,NO
395,23,0.79,NO
396,23,0.79,NO
397,23,0.79,NO
496,23,0.79,NO
516,23,0.79,NO
177,24,0.74,NO
236,24,0.74,NO
252,24,0.74,NO
279,24,0.74,NO
330,24,0.74,NO
353,24,0.74,NO
389,24,0.74,NO
403,24,0.74,NO
463,24,0.74,NO
510,24,0.74,NO
192,25,0.74,NO
193,25,0.74,NO
223,25,0.74,NO
251,25,0.74,NO
264,25,0.74,NO
316,25,0.74,NO
324,25,0.74,NO
326,25,0.74,NO
327,25,0.74,NO
331,25,0.74,NO
394,25,0.74,NO
402,25,0.74,NO
468,25,0.74,NO
478,25,0.74,NO
479,25,0.74,NO
493,25,0.74,NO
224,26,0.74,NO
312,26,0.74,NO
328,26,0.74,NO
332,26,0.74,NO
386,26,0.74,NO
393,26,0.74,NO
406,26,0.74,NO
407,26,0.74,NO
408,26,0.74,NO
481,26,0.74,NO
489,26,0.74,NO
491,26,0.74,NO
499,26,0.74,NO
502,26,0.74,NO
506,26,0.74,NO
86,27,0.74,NO
437,27,0.74,NO
452,27,0.74,NO
511,27,0.74,NO
191,28,0.74,NO
240,28,0.74,NO
244,28,0.74,NO
253,28,0.74,NO
325,28,0.74,NO
486,28,0.74,NO
538,28,0.74,NO
238,29,0.73,NO
249,29,0.73,NO
309,29,0.73,NO
314,29,0.73,NO
315,29,0.73,NO
400,29,0.73,NO
428,29,0.73,NO
433,29,0.73,NO
447,29,0.73,NO
97,30,0.73,NO
150,30,0.73,NO
151,30,0.73,NO
254,30,0.73,NO
378,30,0.73,NO
492,30,0.73,NO
523,30,0.73,NO
183,31,0.73,NO
190,31,0.73,NO
241,31,0.73,NO
258,31,0.73,NO
297,31,0.73,NO
333,31,0.73,NO
388,31,0.73,NO
404,31,0.73,NO
405,31,0.73,NO
414,31,0.73,NO
445,31,0.73,NO
465,31,0.73,NO
487,31,0.73,NO
146,32,0.67,NO
147,32,0.67,NO
148,32,0.67,NO
231,32,0.67,NO
232,32,0.67,NO
233,32,0.67,NO
234,32,0.67,NO
243,32,0.67,NO
259,32,0.67,NO
318,32,0.67,NO
384,32,0.67,NO
385,32,0.67,NO
399,32,0.67,NO
522,32,0.67,NO
526,32,0.67,NO
194,33,0.67,NO
311,33,0.67,NO
323,33,0.67,NO
398,33,0.67,NO
448,33,0.67,NO
464,33,0.67,YES
494,33,0.67,NO
525,33,0.67,NO
171,34,0.67,NO
239,34,0.67,NO
390,34,0.67,NO
149,35,0.67,NO
352,35,0.67,NO
540,35,0.67,NO
310,36,0.67,NO
320,36,0.67,NO
409,36,0.67,NO
480,36,0.67,NO
521,36,0.67,NO
300,37,0.66,NO
349,37,0.66,NO
524,37,0.66,NO
145,38,0.66,NO
172,38,0.66,NO
182,38,0.66,NO
242,38,0.66,YES
282,38,0.66,NO
363,38,0.66,NO
413,38,0.66,NO
416,38,0.66,NO
443,38,0.66,NO
474,38,0.66,NO
197,39,0.66,NO
268,39,0.66,NO
412,39,0.66,NO
449,39,0.66,NO
490,39,0.66,NO
198,40,0.66,NO
222,40,0.66,NO
380,40,0.66,NO
439,40,0.66,NO
451,40,0.66,NO
173,41,0.66,NO
245,41,0.66,NO
247,41,0.66,NO
411,41,0.66,NO
488,41,0.66,NO
270,42,0.66,NO
275,42,0.66,NO
277,42,0.66,NO
419,42,0.66,NO
421,42,0.66,NO
143,43,0.66,NO
361,43,0.66,NO
362,43,0.66,NO
313,44,0.66,NO
351,44,0.66,NO
418,44,0.66,NO
482,44,0.66,NO
495,44,0.66,NO
534,44,0.66,NO
180,45,0.66,NO
199,45,0.66,NO
298,45,0.66,NO
440,45,0.66,NO
93,46,0.66,NO
420,46,0.66,NO
207,47,0.66,NO
367,47,0.66,NO
512,47,0.66,NO
518,47,0.66,NO
269,48,0.66,NO
417,48,0.66,NO
429,48,0.66,NO
103,49,0.66,NO
426,49,0.66,NO
473,49,0.66,NO
181,50,0.66,NO
286,50,0.66,NO
329,50,0.66,NO
484,50,0.66,NO
539,50,0.66,NO
90,51,0.66,NO
91,51,0.66,NO
227,51,0.66,NO
287,51,0.66,NO
375,51,0.66,NO
432,51,0.66,NO
205,52,0.66,YES
265,52,0.66,NO
266,52,0.66,NO
289,52,0.66,NO
446,52,0.66,NO
483,52,0.66,NO
94,53,0.66,NO
154,53,0.66,NO
317,53,0.66,NO
319,53,0.66,NO
423,53,0.66,NO
427,53,0.66,NO
435,53,0.66,NO
442,53,0.66,NO
305,54,0.66,NO
350,54,0.66,NO
179,55,0.66,NO
272,55,0.66,NO
339,56,0.66,NO
424,56,0.66,NO
436,56,0.66,NO
155,57,0.66,NO
273,57,0.66,NO
228,58,0.66,NO
369,58,0.66,NO
105,59,0.66,NO
153,59,0.66,NO
225,59,0.66,NO
357,59,0.66,NO
456,59,0.66,NO
176,60,0.66,NO
226,60,0.66,NO
295,60,0.66,NO
144,61,0.66,NO
229,61,0.66,NO
278,61,0.66,NO
280,61,0.66,NO
301,61,0.66,NO
335,61,0.66,NO
425,61,0.66,NO
441,61,0.66,NO
537,61,0.66,NO
292,62,0.66,NO
307,62,0.66,NO
454,62,0.66,NO
466,62,0.66,YES
291,63,0.66,NO
169,64,0.66,NO
220,64,0.66,NO
365,64,0.66,NO
444,64,0.66,NO
410,65,0.66,NO
507,25,0.25,YES
528,66,0.66,NO
306,67,0.66,NO
504,67,0.66,NO
358,68,0.66,NO
340,69,0.66,NO
303,34,0.31,NO
78,37,0.3,YES
65,25,0.2,YES
212,79,0.62,YES
187,40,0.31,YES
64,26,0.2,YES
84,35,0.26,YES
213,79,0.54,YES
38,25,0.17,YES
364,54,0.36,YES
49,28,0.17,YES
168,72,0.43615824,NO
267,72,0.43615824,NO
535,72,0.43615824,NO
459,73,0.44,NO
106,95,0.57,YES
141,61,0.36,YES
99,91,0.53,YES
360,90,0.52,YES
461,76,0.42726278,NO
508,76,0.42726278,NO
101,75,0.42,NO
485,75,0.42,NO
354,84,0.47,YES
498,79,0.44,NO
467,77,0.42726278,YES
85,47,0.26,YES
159,136,0.75,YES
455,80,0.44,NO
497,80,0.44,NO
377,48,0.26,YES
256,84,0.44,YES
453,84,0.44,NO
299,85,0.44,NO
503,85,0.44,NO
302,86,0.44,NO
209,108,0.55,YES
304,83,0.42,NO
500,83,0.42,NO
392,87,0.44,NO
382,112,0.55,YES
202,89,0.43666303,YES
204,89,0.43666303,YES
219,89,0.43666303,NO
