ID,Size,Predicted,Actual
202,53,0.69,YES
203,45,0.54,YES
1685,39,0.46,YES
260,44,0.49,YES
826,33,0.29113305,YES
1,22,0.19,NO
1070,94,0.8,NO
694,58,0.4914674,YES
1209,76,0.63,YES
204,68,0.5406757,YES
205,68,0.5406757,YES
268,68,0.5406757,YES
845,76,0.6,YES
317,33,0.25662407,NO
473,33,0.25662407,NO
682,33,0.25662407,NO
797,33,0.25662407,NO
1074,33,0.25662407,NO
1215,33,0.25662407,NO
1280,33,0.25662407,NO
1300,33,0.25662407,NO
1347,33,0.25662407,NO
1429,33,0.25662407,NO
1460,33,0.25662407,NO
1490,33,0.25662407,NO
1551,33,0.25662407,NO
1395,22,0.17,NO
137,89,0.68595755,NO
227,89,0.68595755,NO
359,89,0.68595755,NO
391,89,0.68595755,NO
628,89,0.68595755,YES
691,89,0.68595755,NO
749,89,0.68595755,YES
196,47,0.36,YES
846,47,0.36,YES
6,70,0.524661,NO
8,70,0.524661,NO
36,70,0.524661,NO
90,70,0.524661,NO
416,70,0.524661,NO
450,70,0.524661,YES
637,70,0.524661,YES
804,70,0.524661,NO
1009,70,0.524661,YES
1014,70,0.524661,NO
840,31,0.23106097,YES
1577,70,0.52,YES
150,122,0.9020136,YES
1011,122,0.9020136,NO
27,81,0.59645224,NO
271,81,0.59645224,NO
273,81,0.59645224,NO
292,81,0.59645224,NO
302,81,0.59645224,NO
453,81,0.59645224,YES
573,81,0.59645224,YES
760,81,0.59645224,NO
767,81,0.59645224,NO
798,81,0.59645224,NO
1027,81,0.59645224,YES
1087,81,0.59645224,NO
1519,81,0.59645224,NO
1632,81,0.59645224,NO
72,108,0.7878649,YES
580,108,0.7878649,YES
780,108,0.7878649,NO
800,108,0.7878649,NO
248,66,0.47610417,NO
332,66,0.47610417,NO
337,66,0.47610417,NO
398,66,0.47610417,NO
474,66,0.47610417,NO
776,66,0.47610417,NO
1493,66,0.47610417,NO
1552,66,0.47610417,NO
1635,66,0.47610417,NO
352,141,1.0,YES
965,56,0.39692193,NO
48,101,0.70459634,NO
239,101,0.70459634,NO
295,101,0.70459634,NO
320,101,0.70459634,NO
486,101,0.70459634,YES
572,101,0.70459634,NO
963,101,0.70459634,NO
223,35,0.24323185,NO
282,35,0.24323185,NO
325,35,0.24323185,NO
490,35,0.24323185,YES
619,35,0.24323185,NO
720,35,0.24323185,NO
746,35,0.24323185,NO
