Id,Size,Prob,NormProb,Actual
1682,40,0.83,0.02075,true
118,65,0.92,0.014153847,true
1573,70,0.91,0.013,true
103,71,0.71,0.01,true
115,93,0.7,0.0075268815,true
1208,76,0.56,0.007368421,true
1004,91,0.64,0.007032967,true
1339,150,0.98,0.0065333336,true
1129,117,0.76,0.0064957263,true
1584,80,0.49,0.006125,true
99,132,0.8,0.006060606,true
422,151,0.83704656,0.005543355,true
372,192,1.0,0.0052083335,true
1206,106,0.55,0.0051886793,true
964,56,0.28,0.005,false
1676,106,0.49,0.0046226415,true
93,122,0.50222224,0.0041165757,true
91,123,0.5,0.0040650405,true
1207,115,0.46,0.004,true
465,136,0.54,0.003970588,true
693,58,0.23,0.003965517,true
1562,134,0.53,0.003955224,true
114,188,0.67,0.0035638297,true
1010,122,0.43430412,0.0035598697,false
1670,126,0.38,0.003015873,true
973,164,0.47,0.0028658537,true
709,276,0.79,0.002862319,true
684,56,0.16,0.0028571428,false
1667,227,0.64,0.0028193833,true
715,229,0.64,0.0027947598,true
410,337,0.94,0.0027893174,true
119,203,0.55,0.0027093596,true
79,245,0.65,0.0026530612,false
95,239,0.62,0.0025941422,true
712,248,0.61,0.0024596774,true
1137,173,0.42,0.0024277456,true
533,279,0.65,0.002329749,true
1622,456,1.0,0.0021929825,true
794,249,0.53,0.002128514,true
686,67,0.14,0.0020895523,false
716,311,0.5780449,0.0018586651,true
333,315,0.58,0.0018412699,true
417,316,0.58,0.0018354431,true
1189,316,0.58,0.0018354431,true
182,101,0.1832646,0.001814501,false
240,101,0.1832646,0.001814501,false
265,101,0.1832646,0.001814501,false
453,101,0.1832646,0.001814501,true
539,101,0.1832646,0.001814501,false
654,101,0.1832646,0.001814501,false
962,101,0.1832646,0.001814501,false
821,429,0.77,0.0017948718,true
150,346,0.61,0.0017630057,true
543,341,0.59,0.0017302053,true
1531,126,0.21,0.0016666667,true
420,190,0.3123236,0.0016438084,false
276,167,0.27148414,0.0016256535,false
147,68,0.11,0.001617647,false
148,68,0.11,0.001617647,false
1111,401,0.63,0.0015710723,true
865,457,0.71,0.0015536105,true
894,457,0.71,0.0015536105,true
1550,568,0.88,0.0015492957,true
1681,39,0.06,0.0015384615,false
898,459,0.7,0.0015250545,true
903,474,0.72,0.0015189874,true
1096,435,0.66,0.0015172414,true
895,470,0.71,0.0015106383,true
902,470,0.71,0.0015106383,true
886,465,0.7,0.0015053763,true
60,618,0.93,0.0015048544,true
884,460,0.67,0.0014565217,true
932,460,0.67,0.0014565217,true
1089,363,0.52,0.0014325068,true
35,148,0.21180636,0.001431124,false
542,148,0.21180636,0.001431124,true
611,148,0.21180636,0.001431124,false
1217,399,0.54,0.0013533834,true
454,281,0.38,0.0013523132,true
1609,126,0.17,0.0013492063,true
916,566,0.72,0.0012720848,true
900,555,0.69,0.0012432432,true
908,555,0.69,0.0012432432,true
98,523,0.65,0.0012428298,true
479,201,0.24,0.0011940298,true
451,613,0.73,0.0011908646,true
841,139,0.16,0.0011510791,false
1658,61,0.07,0.001147541,false
816,612,0.7,0.0011437909,true
883,640,0.73,0.001140625,true
718,423,0.48,0.0011347518,true
102,460,0.52,0.0011304348,true
1546,578,0.65,0.0011245675,true
185,91,0.10028245,0.0011020049,false
315,91,0.10028245,0.0011020049,true
541,91,0.10028245,0.0011020049,false
574,91,0.10028245,0.0011020049,false
1363,91,0.10028245,0.0011020049,false
1463,91,0.10028245,0.0011020049,false
915,663,0.73,0.0011010558,true
837,111,0.12,0.0010810811,false
901,675,0.71,0.0010518519,true
16,432,0.45,0.0010416667,false
789,357,0.37,0.0010364145,false
793,610,0.63,0.0010327869,true
452,328,0.33,0.0010060975,true
711,201,0.2,9.950249E-4,true
545,164,0.16,9.7560976E-4,false
1276,103,0.1,9.708738E-4,false
858,767,0.73,9.517601E-4,true
424,457,0.4304643,9.41935E-4,false
899,754,0.71,9.4164454E-4,true
897,804,0.73,9.079602E-4,true
737,724,0.65,8.977901E-4,true
1613,124,0.11,8.870968E-4,true
470,406,0.36,8.8669953E-4,true
626,300,0.26,8.6666667E-4,true
1629,72,0.06,8.3333335E-4,false
857,878,0.73,8.314351E-4,true
823,61,0.05,8.1967213E-4,false
875,914,0.71,7.768053E-4,true
291,90,0.06935944,7.706604E-4,false
295,90,0.06935944,7.706604E-4,false
447,90,0.06935944,7.706604E-4,false
549,111,0.083333336,7.5075077E-4,false
389,76,0.056219786,7.3973404E-4,false
472,76,0.056219786,7.3973404E-4,false
563,76,0.056219786,7.3973404E-4,false
619,76,0.056219786,7.3973404E-4,true
674,76,0.056219786,7.3973404E-4,false
801,76,0.056219786,7.3973404E-4,false
944,76,0.056219786,7.3973404E-4,false
1015,76,0.056219786,7.3973404E-4,false
1109,76,0.056219786,7.3973404E-4,false
1255,76,0.056219786,7.3973404E-4,false
1374,76,0.056219786,7.3973404E-4,false
