ID,Size,Predicted,Actual
1,22,0.44,NO
196,47,0.76,YES
846,47,0.76,YES
1395,22,0.32,NO
263,48,0.66,YES
317,33,0.42618492,NO
473,33,0.42618492,NO
682,33,0.42618492,NO
797,33,0.42618492,NO
1074,33,0.42618492,NO
1215,33,0.42618492,NO
1280,33,0.42618492,NO
1300,33,0.42618492,NO
1347,33,0.42618492,NO
1429,33,0.42618492,NO
1460,33,0.42618492,NO
1490,33,0.42618492,NO
1551,33,0.42618492,NO
248,66,0.84711576,NO
332,66,0.84711576,NO
337,66,0.84711576,NO
398,66,0.84711576,NO
474,66,0.84711576,NO
776,66,0.84711576,NO
1493,66,0.84711576,NO
1552,66,0.84711576,NO
1635,66,0.84711576,NO
826,33,0.40183333,YES
1209,76,0.85,YES
22,90,1.0,NO
346,90,1.0,NO
350,90,1.0,NO
81,77,0.8350238,NO
123,77,0.8350238,NO
124,77,0.8350238,NO
943,77,0.8350238,NO
1131,77,0.8350238,NO
1432,77,0.8350238,NO
1612,77,0.8350238,NO
521,38,0.41120368,NO
529,38,0.41120368,NO
531,38,0.41120368,NO
585,38,0.41120368,YES
597,38,0.41120368,NO
599,38,0.41120368,NO
951,38,0.41120368,NO
1021,38,0.41120368,NO
1033,38,0.41120368,NO
1204,38,0.41120368,NO
1236,38,0.41120368,NO
1241,38,0.41120368,NO
1339,38,0.41120368,NO
1368,38,0.41120368,NO
1371,38,0.41120368,NO
1386,38,0.41120368,NO
1407,38,0.41120368,NO
1412,38,0.41120368,YES
1440,38,0.41120368,NO
1565,38,0.41120368,NO
1608,38,0.41120368,NO
1657,38,0.41120368,YES
1687,38,0.41120368,NO
91,32,0.34553578,NO
185,32,0.34553578,YES
293,32,0.34553578,NO
366,32,0.34553578,NO
387,32,0.34553578,NO
400,32,0.34553578,YES
426,32,0.34553578,NO
460,32,0.34553578,NO
479,32,0.34553578,NO
494,32,0.34553578,YES
541,32,0.34553578,NO
642,32,0.34553578,YES
671,32,0.34553578,NO
695,32,0.34553578,NO
705,32,0.34553578,NO
805,32,0.34553578,NO
1039,32,0.34553578,NO
1173,32,0.34553578,NO
1174,32,0.34553578,NO
1175,32,0.34553578,NO
1176,32,0.34553578,NO
1269,32,0.34553578,NO
1291,32,0.34553578,NO
1333,32,0.34553578,NO
1334,32,0.34553578,NO
1357,32,0.34553578,NO
1487,32,0.34553578,NO
1491,32,0.34553578,NO
1528,32,0.34553578,NO
137,89,0.9136616,NO
227,89,0.9136616,NO
359,89,0.9136616,NO
391,89,0.9136616,NO
628,89,0.9136616,YES
691,89,0.9136616,NO
749,89,0.9136616,YES
736,65,0.6624496,NO
223,35,0.35197833,NO
282,35,0.35197833,NO
325,35,0.35197833,NO
490,35,0.35197833,YES
619,35,0.35197833,NO
720,35,0.35197833,NO
746,35,0.35197833,NO
823,35,0.35197833,NO
994,35,0.35197833,NO
1170,35,0.35197833,NO
1350,35,0.35197833,NO
1369,35,0.35197833,NO
1506,35,0.35197833,NO
1549,35,0.35197833,NO
10,88,0.87121695,NO
30,88,0.87121695,NO
42,88,0.87121695,NO
141,88,0.87121695,NO
247,88,0.87121695,NO
274,88,0.87121695,NO
385,88,0.87121695,NO
524,88,0.87121695,YES
612,88,0.87121695,NO
1018,88,0.87121695,NO
1639,88,0.87121695,YES
234,51,0.50219965,NO
251,51,0.50219965,NO
546,51,0.50219965,NO
725,51,0.50219965,NO
726,51,0.50219965,NO
750,51,0.50219965,YES
950,51,0.50219965,NO
1243,51,0.50219965,NO
1246,51,0.50219965,NO
1373,51,0.50219965,NO
1375,51,0.50219965,NO
1393,51,0.50219965,NO
1586,51,0.50219965,NO
1599,51,0.50219965,NO
33,102,1.0,NO
389,102,1.0,YES
502,102,1.0,YES
27,81,0.75773966,NO
271,81,0.75773966,NO
273,81,0.75773966,NO
292,81,0.75773966,NO
302,81,0.75773966,NO
453,81,0.75773966,YES
573,81,0.75773966,YES
760,81,0.75773966,NO
767,81,0.75773966,NO
798,81,0.75773966,NO
1027,81,0.75773966,YES
1087,81,0.75773966,NO
1519,81,0.75773966,NO
1632,81,0.75773966,NO
257,29,0.2709009,YES
1005,91,0.85,YES
1577,70,0.65,YES
5,91,0.83476627,NO
26,91,0.83476627,YES
28,91,0.83476627,NO
242,91,0.83476627,NO
1365,91,0.83476627,NO
1467,91,0.83476627,NO
1611,91,0.83476627,YES
172,93,0.85,YES
200,30,0.27080867,YES
694,58,0.52,YES
1588,80,0.71,YES
557,108,0.95,NO
139,52,0.44308832,NO
218,52,0.44308832,NO
246,52,0.44308832,NO
300,52,0.44308832,NO
343,52,0.44308832,NO
528,52,0.44308832,YES
530,52,0.44308832,NO
752,52,0.44308832,NO
819,52,0.44308832,NO
831,52,0.44308832,NO
966,52,0.44308832,NO
1057,52,0.44308832,NO
1172,52,0.44308832,NO
1221,52,0.44308832,NO
1222,52,0.44308832,NO
1248,52,0.44308832,NO
1362,52,0.44308832,NO
1449,52,0.44308832,NO
1517,52,0.44308832,NO
160,71,0.6,YES
35,72,0.6000992,NO
233,72,0.6000992,NO
279,72,0.6000992,NO
285,72,0.6000992,NO
340,72,0.6000992,NO
357,72,0.6000992,NO
488,72,0.6000992,YES
690,72,0.6000992,NO
699,72,0.6000992,NO
1059,72,0.6000992,NO
1224,72,0.6000992,NO
1275,72,0.6000992,NO
1510,72,0.6000992,NO
1666,72,0.6000992,NO
965,56,0.46,NO
150,122,1.0,YES
1011,122,1.0,NO
32,49,0.40134326,NO
184,49,0.40134326,NO
189,49,0.40134326,NO
361,49,0.40134326,NO
459,49,0.40134326,NO
544,49,0.40134326,YES
553,49,0.40134326,NO
696,49,0.40134326,NO
967,49,0.40134326,NO
1056,49,0.40134326,NO
1079,49,0.40134326,NO
1385,49,0.40134326,NO
1439,49,0.40134326,NO
1598,49,0.40134326,NO
1605,49,0.40134326,NO
1655,49,0.40134326,YES
146,74,0.60566604,NO
238,74,0.60566604,NO
761,74,0.60566604,NO
913,74,0.60566604,NO
1007,74,0.60566604,NO
1610,74,0.60566604,YES
1637,74,0.60566604,NO
24,62,0.5063367,NO
71,62,0.5063367,NO
122,62,0.5063367,NO
499,62,0.5063367,YES
570,62,0.5063367,NO
663,62,0.5063367,NO
850,62,0.5063367,NO
865,62,0.5063367,NO
935,62,0.5063367,NO
1254,62,0.5063367,NO
1418,62,0.5063367,NO
1568,62,0.5063367,NO
12,104,0.8482428,NO
255,104,0.8482428,NO
1146,104,0.8482428,NO
98,123,1.0,NO
148,123,1.0,YES
77,121,0.98078454,NO
489,121,0.98078454,YES
1331,121,0.98078454,NO
1571,121,0.98078454,YES
1609,121,0.98078454,NO
72,108,0.8739134,YES
580,108,0.8739134,YES
780,108,0.8739134,NO
800,108,0.8739134,NO
50,76,0.61303484,NO
435,76,0.61303484,NO
505,76,0.61303484,YES
595,76,0.61303484,NO
640,76,0.61303484,YES
802,76,0.61303484,NO
945,76,0.61303484,NO
1016,76,0.61303484,NO
1110,76,0.61303484,NO
1256,76,0.61303484,NO
1376,76,0.61303484,NO
1426,76,0.61303484,NO
1474,76,0.61303484,NO
1574,76,0.61303484,YES
1596,76,0.61303484,YES
1672,76,0.61303484,NO
186,43,0.34632242,YES
195,43,0.34632242,NO
270,43,0.34632242,NO
349,43,0.34632242,NO
472,43,0.34632242,NO
517,43,0.34632242,NO
532,43,0.34632242,NO
643,43,0.34632242,YES
942,43,0.34632242,NO
992,43,0.34632242,NO
1023,43,0.34632242,YES
1060,43,0.34632242,NO
1199,43,0.34632242,NO
1258,43,0.34632242,NO
1388,43,0.34632242,NO
1523,43,0.34632242,NO
1525,43,0.34632242,NO
1563,43,0.34632242,NO
1564,43,0.34632242,NO
1575,43,0.34632242,NO
1618,43,0.34632242,NO
47,106,0.8400308,NO
67,106,0.8400308,NO
76,106,0.8400308,YES
114,106,0.8400308,NO
241,106,0.8400308,NO
244,106,0.8400308,NO
947,106,0.8400308,NO
1219,106,0.8400308,NO
80,37,0.29099467,NO
310,37,0.29099467,NO
316,37,0.29099467,NO
555,37,0.29099467,NO
608,37,0.29099467,NO
615,37,0.29099467,NO
639,37,0.29099467,YES
807,37,0.29099467,NO
1037,37,0.29099467,NO
1187,37,0.29099467,NO
1251,37,0.29099467,NO
1262,37,0.29099467,NO
1354,37,0.29099467,NO
1372,37,0.29099467,NO
1489,37,0.29099467,NO
1540,37,0.29099467,NO
1543,37,0.29099467,NO
1695,37,0.29099467,NO
1207,106,0.83,YES
6,70,0.5453768,NO
8,70,0.5453768,NO
36,70,0.5453768,NO
90,70,0.5453768,NO
416,70,0.5453768,NO
450,70,0.5453768,YES
637,70,0.5453768,YES
804,70,0.5453768,NO
1009,70,0.5453768,YES
1014,70,0.5453768,NO
380,112,0.8713853,NO
655,112,0.8713853,NO
1045,112,0.8713853,NO
1144,112,0.8713853,NO
1682,112,0.8713853,NO
448,124,0.96196675,NO
506,124,0.96196675,YES
711,124,0.96196675,YES
1471,124,0.96196675,NO
1617,124,0.96196675,YES
254,84,0.6372945,NO
560,84,0.6372945,YES
584,84,0.6372945,YES
1212,84,0.6372945,NO
1417,84,0.6372945,NO
1466,84,0.6372945,NO
1591,84,0.6372945,NO
169,60,0.44091102,NO
208,60,0.44091102,NO
324,60,0.44091102,NO
408,60,0.44091102,NO
552,60,0.44091102,YES
592,60,0.44091102,NO
968,60,0.44091102,NO
1139,60,0.44091102,NO
1166,60,0.44091102,NO
1244,60,0.44091102,NO
1257,60,0.44091102,NO
1500,60,0.44091102,NO
1503,60,0.44091102,NO
1530,60,0.44091102,NO
1531,60,0.44091102,NO
1532,60,0.44091102,NO
1664,60,0.44091102,NO
7,57,0.4154147,NO
44,57,0.4154147,NO
427,57,0.4154147,NO
589,57,0.4154147,YES
668,57,0.4154147,NO
801,57,0.4154147,NO
973,57,0.4154147,NO
1008,57,0.4154147,NO
1121,57,0.4154147,NO
1230,57,0.4154147,NO
1242,57,0.4154147,NO
1527,57,0.4154147,NO
16,99,0.7119167,NO
231,99,0.7119167,NO
475,99,0.7119167,NO
1071,99,0.7119167,NO
70,132,0.94787574,NO
454,132,0.94787574,NO
1084,132,0.94787574,NO
1581,132,0.94787574,NO
1603,132,0.94787574,YES
1646,132,0.94787574,YES
1680,106,0.76,YES
786,140,1.0,YES
962,140,1.0,NO
840,31,0.22058086,YES
352,141,1.0,YES
163,42,0.29678154,NO
222,42,0.29678154,NO
275,42,0.29678154,NO
386,42,0.29678154,NO
468,42,0.29678154,NO
501,42,0.29678154,YES
603,42,0.29678154,NO
1104,42,0.29678154,NO
1114,42,0.29678154,NO
1118,42,0.29678154,NO
1189,42,0.29678154,NO
1227,42,0.29678154,NO
1232,42,0.29678154,NO
1235,42,0.29678154,NO
1378,42,0.29678154,NO
1380,42,0.29678154,NO
1404,42,0.29678154,NO
1514,42,0.29678154,NO
1526,42,0.29678154,NO
1615,42,0.29678154,NO
63,65,0.45493814,NO
225,65,0.45493814,NO
284,65,0.45493814,NO
288,65,0.45493814,NO
753,65,0.45493814,NO
779,65,0.45493814,NO
906,65,0.45493814,NO
912,65,0.45493814,NO
948,65,0.45493814,YES
1157,65,0.45493814,NO
1193,65,0.45493814,NO
1223,65,0.45493814,NO
1264,65,0.45493814,NO
1364,65,0.45493814,NO
34,94,0.6518782,NO
49,94,0.6518782,NO
165,94,0.6518782,NO
283,94,0.6518782,NO
430,94,0.6518782,NO
482,94,0.6518782,NO
1111,94,0.6518782,NO
1126,94,0.6518782,NO
1314,94,0.6518782,NO
1442,94,0.6518782,NO
1537,94,0.6518782,NO
1643,94,0.6518782,NO
142,71,0.49097377,NO
147,71,0.49097377,NO
289,71,0.49097377,NO
423,71,0.49097377,NO
480,71,0.49097377,NO
504,71,0.49097377,YES
616,71,0.49097377,NO
641,71,0.49097377,YES
656,71,0.49097377,NO
773,71,0.49097377,NO
1151,71,0.49097377,NO
1602,71,0.49097377,YES
1661,71,0.49097377,NO
1698,71,0.49097377,NO
106,145,1.0,NO
1130,117,0.7973684,YES
37,87,0.5920632,NO
60,87,0.5920632,NO
596,87,0.5920632,NO
820,87,0.5920632,NO
1085,87,0.5920632,NO
1228,87,0.5920632,NO
1421,87,0.5920632,NO
1515,87,0.5920632,NO
1654,87,0.5920632,YES
92,148,1.0,NO
574,148,1.0,YES
632,148,1.0,YES
3,135,0.9057756,NO
772,135,0.9057756,NO
253,63,0.42136416,NO
304,63,0.42136416,NO
469,63,0.42136416,NO
558,63,0.42136416,NO
675,63,0.42136416,NO
969,63,0.42136416,NO
1024,63,0.42136416,YES
1133,63,0.42136416,NO
1253,63,0.42136416,NO
1431,63,0.42136416,NO
1541,63,0.42136416,NO
1341,150,1.0,YES
39,116,0.7692834,NO
51,116,0.7692834,NO
95,116,0.7692834,NO
538,116,0.7692834,YES
548,116,0.7692834,YES
676,116,0.7692834,NO
755,116,0.7692834,NO
1062,116,0.7692834,NO
1099,116,0.7692834,NO
19,151,1.0,NO
1396,142,0.94,NO
296,109,0.7198796,NO
631,109,0.7198796,YES
1046,109,0.7198796,NO
1475,109,0.7198796,NO
1644,109,0.7198796,YES
845,76,0.5,YES
105,143,0.9398912,YES
245,143,0.9398912,NO
452,143,0.9398912,NO
1192,143,0.9398912,YES
1208,115,0.75,YES
0,120,0.7802738,NO
378,120,0.7802738,YES
625,120,0.7802738,YES
648,120,0.7802738,NO
4,79,0.51301366,NO
443,79,0.51301366,YES
591,79,0.51301366,NO
763,79,0.51301366,NO
803,79,0.51301366,NO
1048,79,0.51301366,YES
1049,79,0.51301366,NO
1520,79,0.51301366,NO
25,61,0.39071086,NO
237,61,0.39071086,NO
492,61,0.39071086,YES
756,61,0.39071086,NO
949,61,0.39071086,NO
1082,61,0.39071086,NO
1169,61,0.39071086,NO
1237,61,0.39071086,NO
1239,61,0.39071086,NO
1315,61,0.39071086,NO
1384,61,0.39071086,NO
48,101,0.643312,NO
239,101,0.643312,NO
295,101,0.643312,NO
320,101,0.643312,NO
486,101,0.643312,YES
572,101,0.643312,NO
963,101,0.643312,NO
621,152,0.9544076,NO
1633,72,0.45,YES
203,45,0.28,YES
103,86,0.5289005,YES
240,86,0.5289005,NO
344,86,0.5289005,YES
383,86,0.5289005,NO
507,86,0.5289005,NO
754,86,0.5289005,NO
1015,86,0.5289005,YES
1265,86,0.5289005,NO
1641,86,0.5289005,NO
1659,86,0.5289005,YES
410,133,0.8117906,NO
579,133,0.8117906,YES
634,133,0.8117906,YES
987,133,0.8117906,NO
89,164,1.0,YES
577,164,1.0,YES
974,164,1.0,YES
1019,165,1.0,NO
455,162,0.98,NO
38,166,1.0,NO
331,167,1.0,NO
498,136,0.8,YES
166,136,0.7994031,NO
1622,136,0.79,NO
204,68,0.39,YES
205,68,0.39,YES
268,68,0.39,YES
82,142,0.810435,NO
1322,142,0.810435,NO
1578,142,0.810435,NO
199,64,0.36032966,YES
175,65,0.3648039,YES
1566,134,0.75,YES
1277,103,0.5718333,NO
309,179,0.99,NO
624,179,0.99,YES
1233,179,0.99,NO
1628,179,0.99,NO
45,39,0.21461523,NO
118,39,0.21461523,NO
119,39,0.21461523,NO
120,39,0.21461523,NO
135,39,0.21461523,NO
144,39,0.21461523,NO
329,39,0.21461523,NO
576,39,0.21461523,YES
598,39,0.21461523,NO
623,39,0.21461523,YES
958,39,0.21461523,NO
959,39,0.21461523,NO
1022,39,0.21461523,NO
1225,39,0.21461523,NO
1413,39,0.21461523,NO
1456,39,0.21461523,NO
341,117,0.63045746,NO
345,117,0.63045746,YES
1507,117,0.63045746,NO
1676,187,1.0,YES
131,36,0.19228865,NO
132,36,0.19228865,NO
194,36,0.19228865,NO
235,36,0.19228865,NO
252,36,0.19228865,NO
269,36,0.19228865,NO
