ID,Size,Predicted,Actual
359,22,1.0,NO
882,22,1.0,NO
895,22,1.0,NO
957,22,1.0,NO
961,22,1.0,NO
1030,22,1.0,NO
1219,22,1.0,NO
1389,22,1.0,NO
1488,22,1.0,NO
1574,22,1.0,NO
1632,22,1.0,NO
1215,23,1.0,NO
1355,23,1.0,NO
1373,23,1.0,NO
1624,23,1.0,NO
1625,23,1.0,NO
1626,23,1.0,NO
1744,23,1.0,NO
1764,23,1.0,NO
1,22,0.95,NO
141,24,1.0,NO
148,24,1.0,NO
786,24,1.0,NO
815,24,1.0,NO
888,24,1.0,NO
897,24,1.0,NO
1020,24,1.0,NO
1131,24,1.0,NO
1218,24,1.0,NO
1357,24,1.0,NO
1374,24,1.0,NO
1391,24,1.0,NO
1515,24,1.0,NO
1581,24,1.0,NO
1589,24,1.0,NO
1590,24,1.0,NO
1618,24,1.0,NO
1710,24,1.0,NO
1758,24,1.0,NO
1824,24,1.0,NO
634,25,1.0,NO
661,25,1.0,NO
889,25,1.0,NO
1253,25,1.0,NO
1264,25,1.0,NO
1265,25,1.0,NO
1390,25,1.0,NO
1495,25,1.0,NO
1564,25,1.0,NO
1583,25,1.0,NO
1584,25,1.0,NO
1715,25,1.0,NO
1726,25,1.0,NO
1727,25,1.0,NO
1741,25,1.0,NO
1755,25,1.0,NO
1641,24,0.95,NO
1642,24,0.95,NO
397,26,1.0,NO
486,26,1.0,NO
583,26,1.0,YES
671,26,1.0,NO
675,26,1.0,NO
690,26,1.0,NO
881,26,1.0,NO
940,26,1.0,NO
1168,26,1.0,NO
1170,26,1.0,NO
1171,26,1.0,NO
1231,26,1.0,NO
1358,26,1.0,NO
1554,26,1.0,NO
1567,26,1.0,NO
1585,26,1.0,NO
1592,26,1.0,NO
1615,26,1.0,NO
1622,26,1.0,NO
1643,26,1.0,NO
1716,26,1.0,NO
1729,26,1.0,NO
1737,26,1.0,NO
1739,26,1.0,NO
1747,26,1.0,NO
1750,26,1.0,NO
1754,26,1.0,NO
1868,26,1.0,NO
