Id,Size,Prob,NormProb,Actual
126,5,0.35,0.07,true
84,12,0.26,0.021666666,false
88,14,0.26,0.018571429,false
490,20,0.37,0.0185,false
681,34,0.61,0.017941177,false
425,32,0.38,0.011875,false
426,35,0.41,0.011714286,false
44,43,0.49,0.011395349,false
63,70,0.78,0.011142857,false
281,38,0.4,0.010526316,false
247,43,0.44,0.0102325585,true
280,31,0.29,0.009354839,false
282,31,0.29,0.009354839,false
279,30,0.28,0.009333333,false
352,64,0.59,0.00921875,false
283,32,0.29,0.0090625,false
41,83,0.73,0.00879518,true
319,42,0.36,0.008571428,false
363,35,0.3,0.008571428,false
146,99,0.81,0.008181818,false
160,86,0.7,0.008139535,false
120,36,0.29,0.008055556,false
106,86,0.69,0.0080232555,false
111,52,0.41,0.007884615,true
351,61,0.48,0.0078688525,false
53,31,0.24,0.0077419356,false
522,53,0.41,0.007735849,true
161,100,0.77,0.0077,false
49,29,0.22,0.007586207,false
48,30,0.22,0.007333333,false
58,32,0.23,0.0071875,false
130,116,0.81,0.0069827586,true
353,68,0.47,0.006911765,false
487,60,0.41,0.0068333335,false
117,69,0.46,0.006666667,false
55,40,0.26,0.0065,false
57,40,0.26,0.0065,false
66,40,0.26,0.0065,false
52,89,0.57,0.0064044944,false
690,100,0.63,0.0063,false
45,90,0.56,0.006222222,false
65,88,0.54,0.006136364,false
42,48,0.29,0.0060416665,false
107,25,0.15,0.006,false
139,25,0.15,0.006,false
67,104,0.6,0.005769231,false
688,82,0.47,0.0057317074,false
64,59,0.33,0.0055932202,false
73,88,0.48,0.0054545454,false
62,57,0.31,0.0054385965,false
689,153,0.83,0.0054248367,true
322,59,0.31,0.0052542374,true
244,71,0.37,0.0052112676,true
147,57,0.29,0.0050877193,false
501,114,0.58,0.0050877193,true
154,173,0.87,0.0050289016,true
51,52,0.26,0.005,true
336,57,0.28,0.0049122805,true
108,152,0.73,0.0048026317,true
28,48,0.23,0.0047916668,true
512,74,0.35,0.0047297296,false
43,85,0.4,0.004705882,false
56,164,0.76,0.004634146,true
134,26,0.12,0.0046153846,false
