ID,Size,Predicted,Actual
125,5,0.98,YES
83,12,0.84,NO
87,14,0.84,NO
489,20,0.99,NO
652,25,0.89,NO
278,30,0.97,NO
279,31,0.98,NO
281,31,0.98,NO
282,32,0.99,NO
424,32,0.99,NO
82,27,0.82,NO
250,31,0.93,YES
252,31,0.93,YES
167,32,0.95,YES
150,28,0.82,NO
133,26,0.76,NO
152,26,0.76,NO
28,33,0.94714284,YES
425,35,1.0,NO
106,25,0.71,NO
138,25,0.71,NO
48,29,0.82,NO
86,29,0.82,NO
512,34,0.95,YES
137,26,0.71,NO
47,30,0.8,NO
280,38,1.0,NO
52,31,0.81,NO
147,31,0.81,NO
119,36,0.93,NO
20,32,0.8220238,NO
426,37,0.95,YES
114,28,0.71,NO
117,28,0.71,NO
109,29,0.72,NO
74,32,0.79,NO
92,32,0.79,NO
131,32,0.79,NO
57,32,0.78,NO
132,34,0.82,NO
151,34,0.82,NO
318,42,1.0,YES
680,34,0.79333335,NO
135,31,0.7221429,NO
317,41,0.95,YES
43,43,0.99,NO
320,41,0.94,YES
246,43,0.98,YES
78,35,0.79,YES
96,35,0.79,NO
344,44,0.97,YES
314,43,0.94,YES
322,45,0.96,YES
311,47,1.0,YES
332,46,0.96,YES
286,40,0.83,NO
27,48,0.99,YES
481,47,0.96,YES
676,47,0.96,YES
75,40,0.79,YES
91,40,0.79,NO
93,40,0.79,NO
319,50,0.97,YES
149,41,0.79,NO
54,40,0.77,NO
56,40,0.77,NO
65,40,0.77,NO
110,52,0.99,YES
73,42,0.79,NO
521,53,0.99,YES
259,54,1.0,YES
316,55,0.97,YES
261,57,1.0,YES
327,56,0.97,YES
3,58,0.99,NO
505,59,1.0,YES
321,59,0.99,YES
80,46,0.77,NO
81,46,0.77,NO
98,46,0.77,NO
99,46,0.77,NO
41,48,0.8,NO
237,49,0.81,YES
84,48,0.78,YES
130,48,0.78,YES
335,57,0.92,YES
127,36,0.58,NO
141,36,0.58,NO
288,51,0.81,NO
247,52,0.82,YES
13,37,0.58,NO
115,37,0.58,NO
123,37,0.58,NO
143,37,0.58,NO
121,38,0.59,NO
94,50,0.77,NO
50,52,0.8,YES
76,51,0.77,YES
494,65,0.98,YES
71,52,0.78,NO
297,40,0.5976667,NO
354,40,0.5976667,NO
525,40,0.5976667,NO
584,40,0.5976667,NO
596,40,0.5976667,NO
32,40,0.59,NO
139,40,0.59,NO
157,55,0.81,NO
260,66,0.97,YES
116,69,0.99,NO
62,70,1.0,NO
154,56,0.8,NO
89,54,0.77,NO
258,41,0.58,NO
97,54,0.76,NO
