ID,Size,Predicted,Actual
0,79,0.9,NO
1,87,0.91,NO
2,68,0.9925,NO
3,58,1.0,NO
4,196,0.49780952380952387,NO
5,132,0.67,NO
6,64,0.9177380952380951,NO
7,134,0.72,NO
8,173,1.0,NO
9,246,0.08,NO
10,107,0.99,NO
11,121,0.06,NO
12,110,0.71,NO
13,58,1.0,NO
14,37,0.99,NO
15,77,0.49,NO
16,142,0.74,NO
17,114,0.76,NO
18,59,1.0,NO
19,64,0.9177380952380951,NO
20,164,0.92,NO
21,70,1.0,NO
22,32,1.0,NO
23,148,0.36,NO
24,156,0.91,NO
25,119,0.06,NO
26,118,0.06,NO
27,156,0.91,NO
28,85,0.75,NO
29,48,1.0,YES
30,146,0.82,NO
31,113,0.87,NO
32,147,0.36,NO
33,40,1.0,NO
34,125,0.07,NO
35,252,0.08,NO
36,368,0.74,NO
37,106,0.99,NO
38,181,0.98,NO
39,263,0.8,NO
40,590,0.71,YES
41,39,0.69,NO
42,39,0.69,NO
43,39,0.69,NO
44,24,0.59,NO
45,62,0.91,NO
46,77,0.47,NO
47,77,0.47,NO
48,54,0.8,NO
49,90,0.78,NO
50,58,0.83,NO
51,24,0.59,NO
52,64,0.93,NO
53,216,0.8275,NO
54,36,0.71,NO
55,36,0.71,NO
56,202,0.8275,NO
57,74,0.48,NO
58,71,0.78,NO
59,56,0.84,NO
60,44,0.83,NO
61,55,0.84,NO
62,47,0.59,NO
63,101,0.72,YES
64,109,0.51,NO
65,28,0.68,NO
66,54,0.95,YES
67,158,0.66,YES
68,52,0.81,YES
69,53,0.95,YES
70,81,0.88,YES
71,83,0.9,YES
72,63,0.97,YES
73,48,0.98,YES
74,55,0.96,YES
75,149,0.67,YES
76,263,0.67,YES
77,179,0.66,YES
78,37,0.96,YES
79,25,0.83,YES
80,30,0.88,YES
81,36,0.83,YES
82,30,0.88,YES
83,27,0.84,YES
84,37,0.91,YES
85,33,0.89,YES
86,31,0.89,YES
87,56,0.96,YES
88,101,0.91,YES
89,139,0.68,YES
90,85,0.82,YES
91,95,0.93,YES
92,60,0.96,YES
93,35,0.98,YES
94,26,0.84,YES
95,69,0.99,YES
96,64,0.97,YES
97,39,0.97,YES
98,41,0.9,YES
99,167,0.66,YES
100,66,0.97,YES
101,93,0.81,YES
102,76,0.92,NO
103,77,0.65,NO
104,83,0.71,NO
105,48,1.0,NO
106,85,0.75,NO
107,43,1.0,NO
108,90,0.95,NO
109,202,0.49780952380952387,NO
110,135,0.68,NO
111,30,1.0,NO
112,29,1.0,NO
113,69,1.0,YES
114,242,0.805,NO
115,64,0.83,YES
116,50,0.94,YES
117,89,0.7,NO
118,40,0.88,YES
119,49,1.0,NO
120,249,0.51,YES
121,40,1.0,NO
122,171,0.71,NO
123,40,1.0,NO
124,32,1.0,NO
125,139,0.8,YES
126,131,0.61,YES
127,149,0.7,YES
128,86,0.43,NO
129,69,1.0,NO
130,88,0.36,NO
131,42,1.0,NO
132,32,1.0,NO
133,56,0.92,NO
134,51,0.93,YES
135,81,0.98,YES
136,35,0.6817142857142857,YES
137,72,1.0,YES
138,46,1.0,NO
139,46,1.0,NO
140,44,1.0,NO
141,29,1.0,NO
142,280,0.81,NO
143,63,0.8,YES
144,334,0.58,YES
145,46,1.0,NO
146,31,1.0,NO
147,83,0.77,NO
148,71,1.0,NO
149,83,0.77,NO
150,40,1.0,NO
151,32,1.0,NO
152,57,1.0,NO
153,50,0.99,YES
154,81,0.98,YES
155,35,0.6817142857142857,YES
156,71,1.0,YES
157,46,1.0,NO
158,46,1.0,NO
159,289,0.82,YES
160,143,0.72,NO
161,81,0.53,NO
162,132,0.72,NO
163,146,0.72,YES
164,76,0.51,YES
165,420,0.7386666666666667,YES
166,306,0.86,YES
167,31,0.6,YES
168,14,0.66,YES
169,62,0.7,YES
170,96,0.58,YES
171,77,0.56,YES
172,111,0.66,YES
173,26,0.54,YES
174,46,0.53,YES
175,235,0.72,YES
176,75,0.51,NO
177,26,0.59,NO
178,33,0.95,NO
179,46,0.73,NO
180,94,0.56,YES
181,40,0.69,NO
182,160,0.69,YES
183,40,0.69,NO
184,32,0.95,NO
185,86,0.43,NO
186,25,1.0,NO
187,178,0.1,YES
188,94,0.96,NO
189,167,0.7,YES
190,29,1.0,NO
191,26,0.91,YES
192,52,0.78,YES
193,43,1.0,NO
194,195,0.7328333333333333,YES
195,240,0.46,YES
196,28,1.0,NO
197,37,0.99,NO
198,69,0.89,NO
199,28,1.0,NO
200,284,0.502,YES
201,44,0.93,NO
202,51,0.91,NO
203,38,1.0,NO
204,52,0.36,NO
205,37,0.99,NO
206,46,1.0,NO
207,25,0.91,YES
208,113,0.87,YES
209,36,0.99,NO
210,116,0.51,NO
211,121,0.53,YES
212,48,0.92,NO
213,32,1.0,NO
214,34,0.7253809523809523,NO
215,26,1.0,NO
216,50,0.94,NO
217,31,1.0,NO
218,98,0.87,NO
219,26,1.0,NO
220,25,0.94,NO
221,40,1.0,NO
222,59,0.92,YES
223,36,0.94,NO
224,58,1.0,YES
225,37,0.99,NO
226,281,0.49,YES
227,99,0.97,NO
228,57,1.0,NO
229,31,1.0,NO
230,70,0.97,NO
231,41,1.0,NO
232,28,1.0,NO
233,34,0.7253809523809523,NO
234,26,1.0,NO
235,67,0.63,NO
236,112,0.74,NO
237,100,0.78,NO
238,82,0.55,NO
239,97,0.63,NO
240,47,0.58,NO
241,38,0.44,NO
242,25,0.91,NO
243,60,0.54,YES
244,50,0.91,NO
245,40,0.89,NO
246,22,0.84,NO
247,21,0.85,NO
248,27,0.94,NO
249,96,0.55,YES
250,69,0.86,YES
251,69,0.61,YES
252,34,0.64,YES
253,34,0.56,YES
254,238,0.59,YES
255,80,0.53,NO
256,58,0.64,YES
257,74,0.62,YES
258,269,0.49,YES
259,83,0.53,NO
260,56,0.65,YES
261,79,0.6,YES
262,72,1.0,NO
263,89,0.63,NO
264,304,0.86,NO
265,1560,0.34,YES
266,351,0.707,YES
267,36,0.99,YES
268,32,1.0,YES
269,49,1.0,YES
270,27,1.0,NO
271,445,0.622,YES
272,119,0.06,NO
273,153,0.79,NO
274,51,0.93,NO
275,51,0.93,NO
276,108,0.86,NO
277,46,1.0,NO
278,53,0.99,NO
279,447,0.5569999999999999,NO
280,382,0.85,NO
281,30,1.0,NO
282,22,1.0,NO
283,114,0.81,YES
284,259,0.53,YES
285,75,1.0,NO
286,93,1.0,NO
287,52,0.67,NO
288,394,0.7170000000000001,NO
289,59,1.0,NO
290,124,0.72,YES
291,405,0.532,YES
292,982,0.44,YES
293,405,0.532,YES
294,513,0.48,YES
295,1389,0.49,YES
296,713,0.51,YES
297,768,0.51,YES
298,851,0.51,YES
299,462,0.595,YES
300,457,0.44,YES
301,405,0.532,YES
302,506,0.49,YES
303,1328,0.5,YES
304,2935,0.55,YES
305,713,0.51,YES
306,498,0.48,YES
307,387,0.735,YES
308,914,0.51,YES
309,921,0.51,YES
310,421,0.5820000000000001,YES
311,506,0.49,YES
312,800,0.555,YES
313,405,0.532,YES
314,560,0.48,YES
315,631,0.595,YES
316,406,0.522,YES
317,457,0.45,YES
318,470,0.45,YES
319,405,0.43,YES
320,754,0.42,YES
321,560,0.43,YES
322,470,0.45,YES
323,21405,0.48,YES
324,555,0.42,YES
325,405,0.532,YES
326,299,0.61,YES
327,65,0.76,YES
328,663,0.37,YES
329,515,0.49,YES
330,513,0.48,YES
331,916,0.52,YES
332,513,0.48,YES
333,1210,0.45,YES
334,802,0.5,YES
335,553,0.45,YES
336,532,0.48,YES
337,1287,0.49,YES
338,908,0.41,YES
339,515,0.42,YES
340,387,0.78,YES
341,1279,0.5,YES
342,62,0.903,YES
343,68,0.76,YES
344,1207,0.39,YES
345,43,1.0,NO
346,82,0.55,NO
347,61,0.7685714285714287,NO
348,38,1.0,NO
349,32,1.0,NO
350,32,1.0,NO
351,32,1.0,NO
352,35,0.6817142857142857,NO
353,30,1.0,NO
354,30,1.0,NO
355,32,0.6,NO
356,49,1.0,YES
357,59,1.0,NO
358,53,0.99,NO
359,57,1.0,NO
360,627,0.48,YES
361,125,0.86,YES
362,71,1.0,YES
363,136,0.73,YES
364,145,0.82,YES
365,43,1.0,YES
366,52,0.36,YES
367,99,0.97,YES
368,166,0.92,YES
369,31,1.0,YES
370,165,0.92,YES
371,31,1.0,YES
372,157,0.8,YES
373,83,0.77,YES
374,155,0.91,YES
375,74,1.0,YES
376,337,0.695,YES
377,41,1.0,NO
378,53,0.82,YES
379,66,0.9177380952380951,YES
380,57,1.0,YES
381,72,1.0,NO
382,64,0.9177380952380951,NO
383,155,0.91,NO
384,34,0.7253809523809523,NO
385,38,1.0,NO
386,41,1.0,NO
387,23,1.0,NO
388,22,1.0,NO
389,60,0.8997023809523809,NO
390,24,1.0,NO
391,22,1.0,NO
392,55,1.0,NO
393,45,1.0,NO
394,50,0.99,NO
395,38,1.0,NO
396,31,1.0,NO
397,30,1.0,NO
398,31,1.0,NO
399,38,1.0,NO
400,31,1.0,NO
401,32,1.0,NO
402,80,1.0,NO
403,82,0.87,NO
404,202,0.49780952380952387,NO
405,40,1.0,NO
406,185,0.78,NO
407,51,0.93,NO
408,31,1.0,NO
409,28,1.0,NO
410,25,1.0,NO
411,25,1.0,NO
412,33,1.0,NO
413,448,0.0,YES
414,54,1.0,NO
415,39,0.99,NO
416,40,1.0,NO
417,45,1.0,NO
418,58,1.0,NO
419,110,0.99,NO
420,89,0.7,YES
421,57,1.0,YES
422,89,0.7,YES
423,52,0.36,NO
424,219,0.9670000000000001,YES
425,125,0.07,YES
426,346,0.0,YES
427,98,0.99,YES
428,343,0.0,YES
429,296,0.66,YES
430,47,1.0,YES
431,284,0.24,YES
432,96,0.89,YES
433,43,1.0,YES
434,47,1.0,NO
435,55,1.0,YES
436,41,1.0,YES
437,42,1.0,YES
438,50,0.99,YES
439,41,1.0,YES
440,61,0.8537976190476191,YES
441,45,1.0,YES
442,142,0.72,YES
443,176,0.6,YES
444,94,1.0,YES
445,163,0.67,YES
446,56,1.0,YES
447,77,0.89,YES
448,120,0.84,YES
449,77,1.0,YES
450,80,1.0,YES
451,46,0.98,YES
452,157,0.77,YES
453,57,1.0,YES
454,154,0.62,NO
455,57,1.0,YES
456,152,0.56,YES
457,70,1.0,YES
458,110,0.99,NO
459,70,0.87,YES
