ID,Size,Predicted,Actual
213,61,0.9920425,NO
254,61,0.9920425,NO
320,62,0.9920425,NO
306,63,0.9920425,NO
231,64,0.9920425,NO
241,64,0.9920425,NO
239,65,0.9920425,NO
336,66,0.9920425,NO
79,69,0.9920425,NO
177,69,0.9920425,YES
209,69,0.9920425,NO
319,71,0.9920425,NO
331,71,0.9920425,NO
321,72,0.9920425,NO
238,73,0.9920425,NO
252,73,0.9920425,NO
322,73,0.9920425,NO
244,74,0.9920425,NO
261,75,0.9920425,NO
248,76,0.9920425,NO
256,76,0.9920425,NO
208,77,0.9920425,NO
260,77,0.9920425,NO
298,77,0.9920425,NO
347,77,0.9920425,NO
304,78,0.9920425,NO
48,79,0.9920425,NO
84,79,0.9920425,NO
307,79,0.9920425,NO
559,79,0.9920425,NO
101,84,0.9920425,NO
56,86,0.9920425,NO
508,86,0.9920425,NO
444,94,0.9920425,NO
136,97,0.9920425,NO
445,101,0.9920425,NO
439,104,0.9920425,NO
458,105,0.9959893,NO
37,106,0.9959893,YES
60,106,0.9959893,NO
442,106,0.9959893,NO
443,106,0.9959893,NO
466,107,0.9959893,NO
323,145,0.9920425,NO
473,159,0.9920425,NO
384,160,0.9920425,NO
523,162,0.9920425,NO
518,200,0.9920425,NO
481,202,0.9920425,NO
156,208,0.9920425,YES
247,226,0.9920425,NO
151,230,0.9920425,YES
179,230,0.9920425,NO
63,236,0.9920425,NO
133,243,0.9920425,NO
187,243,0.9920425,NO
138,286,0.9920425,YES
99,304,0.9920425,NO
176,321,0.9920425,NO
526,354,0.9920425,NO
141,355,0.9920425,NO
513,355,0.9920425,NO
585,357,0.9920425,NO
404,358,0.9920425,NO
114,359,0.9920425,YES
572,359,0.9920425,NO
58,361,0.9920425,YES
561,365,0.9920425,NO
397,371,0.9920425,NO
586,376,0.9920425,NO
392,377,0.9920425,NO
145,380,0.9920425,NO
358,380,0.9920425,NO
393,383,0.9920425,YES
175,389,0.9920425,YES
188,402,0.9920425,YES
157,408,0.9920425,YES
178,418,0.9920425,NO
154,420,0.9920425,NO
51,422,0.9920425,YES
437,437,0.9920425,NO
158,462,0.9920425,NO
477,525,0.9920425,NO
243,624,0.9920425,NO
434,68,0.09150966,NO
372,38,0.047967166,NO
446,38,0.047967166,NO
478,83,0.09150966,NO
455,956,0.9920425,YES
160,100,0.09150966,YES
192,100,0.09150966,NO
435,100,0.09150966,NO
474,100,0.09150966,NO
485,101,0.09150966,NO
116,148,0.0912096,NO
49,82,0.047967166,NO
70,92,0.047967166,NO
117,92,0.047967166,NO
395,92,0.047967166,NO
454,92,0.047967166,NO
72,93,0.047967166,NO
81,94,0.047967166,YES
377,94,0.047967166,NO
588,94,0.047967166,NO
214,2009,0.9920425,NO
45,90,0.032501955,NO
451,90,0.032501955,NO
463,90,0.032501955,NO
548,90,0.032501955,NO
104,4088,0.9920425,NO
431,16883,0.9920425,NO
229,25,8.073158E-4,NO
268,26,8.073158E-4,NO
335,27,8.073158E-4,NO
284,28,8.073158E-4,NO
344,29,8.073158E-4,NO
217,33,8.073158E-4,NO
281,33,8.073158E-4,NO
316,35,8.073158E-4,NO
286,36,8.073158E-4,NO
308,37,8.073158E-4,NO
270,38,8.073158E-4,NO
312,38,8.073158E-4,NO
236,39,8.073158E-4,NO
14,40,8.073158E-4,NO
348,40,8.073158E-4,NO
164,43,8.073158E-4,NO
487,22,4.0398404E-4,NO
285,46,8.073158E-4,NO
352,46,8.073158E-4,NO
106,47,8.073158E-4,NO
310,47,8.073158E-4,NO
411,24,4.0398404E-4,NO
305,50,8.073158E-4,NO
228,51,8.073158E-4,NO
30,52,8.073158E-4,NO
206,52,8.073158E-4,NO
102,53,8.073158E-4,NO
334,54,8.073158E-4,NO
43,55,8.073158E-4,NO
201,55,8.073158E-4,NO
578,55,8.073158E-4,NO
112,56,8.073158E-4,NO
200,56,8.073158E-4,NO
235,56,8.073158E-4,NO
311,56,8.073158E-4,NO
365,56,8.073158E-4,NO
423,56,8.073158E-4,NO
457,29,4.0398404E-4,NO
529,58,8.073158E-4,NO
19,32,4.0398404E-4,NO
153,32,4.0398404E-4,NO
448,32,4.0398404E-4,NO
581,64,8.073158E-4,NO
88,33,4.0398404E-4,NO
195,67,8.073158E-4,NO
456,67,8.073158E-4,NO
152,36,4.0398404E-4,NO
368,36,4.0398404E-4,NO
503,36,4.0398404E-4,NO
555,36,4.0398404E-4,NO
556,36,4.0398404E-4,NO
557,36,4.0398404E-4,NO
146,80,8.073158E-4,NO
343,82,8.073158E-4,NO
246,84,8.073158E-4,NO
253,84,8.073158E-4,NO
132,43,4.0398404E-4,NO
171,43,4.0398404E-4,NO
421,43,4.0398404E-4,NO
342,86,8.073158E-4,NO
512,86,8.073158E-4,NO
571,86,8.073158E-4,NO
29,87,8.073158E-4,NO
269,87,8.073158E-4,NO
346,87,8.073158E-4,NO
122,88,8.073158E-4,NO
165,88,8.073158E-4,YES
301,88,8.073158E-4,NO
527,88,8.073158E-4,NO
67,89,8.073158E-4,NO
357,89,8.073158E-4,NO
407,89,8.073158E-4,NO
118,45,4.0398404E-4,NO
135,45,4.0398404E-4,NO
496,45,4.0398404E-4,NO
292,91,8.073158E-4,NO
9,31,2.6939524E-4,NO
462,31,2.6939524E-4,NO
282,95,8.073158E-4,NO
349,95,8.073158E-4,NO
205,96,8.073158E-4,NO
267,96,8.073158E-4,NO
475,96,8.073158E-4,NO
296,98,8.073158E-4,NO
107,101,8.073158E-4,NO
232,101,8.073158E-4,NO
278,101,8.073158E-4,NO
87,34,2.6939524E-4,NO
370,34,2.6939524E-4,NO
371,34,2.6939524E-4,NO
173,102,8.073158E-4,NO
89,104,8.073158E-4,NO
210,104,8.073158E-4,NO
428,104,8.073158E-4,NO
137,35,2.6939524E-4,NO
450,35,2.6939524E-4,NO
533,35,2.6939524E-4,NO
544,35,2.6939524E-4,NO
216,106,8.073158E-4,NO
276,107,8.073158E-4,NO
337,107,8.073158E-4,NO
191,108,8.073158E-4,NO
259,109,8.073158E-4,NO
453,28,2.0207366E-4,NO
528,28,2.0207366E-4,NO
172,114,8.073158E-4,YES
211,115,8.073158E-4,NO
552,116,8.073158E-4,NO
245,117,8.073158E-4,NO
376,117,8.073158E-4,NO
535,117,8.073158E-4,NO
194,118,8.073158E-4,NO
330,119,8.073158E-4,NO
27,60,4.0398404E-4,NO
584,60,4.0398404E-4,NO
341,120,8.073158E-4,NO
441,123,8.073158E-4,NO
521,123,8.073158E-4,NO
303,125,8.073158E-4,NO
385,125,8.073158E-4,NO
517,125,8.073158E-4,NO
59,126,8.073158E-4,YES
263,127,8.073158E-4,NO
297,127,8.073158E-4,NO
131,129,8.073158E-4,NO
293,129,8.073158E-4,NO
317,129,8.073158E-4,NO
402,129,8.073158E-4,NO
524,130,8.073158E-4,NO
129,131,8.073158E-4,NO
169,131,8.073158E-4,NO
224,135,8.073158E-4,NO
362,46,2.6939524E-4,NO
3,138,8.073158E-4,NO
294,138,8.073158E-4,NO
38,139,8.073158E-4,NO
302,139,8.073158E-4,NO
547,139,8.073158E-4,NO
92,140,8.073158E-4,NO
126,140,8.073158E-4,YES
359,141,8.073158E-4,NO
420,143,8.073158E-4,NO
290,145,8.073158E-4,NO
185,49,2.6939524E-4,NO
403,49,2.6939524E-4,NO
406,49,2.6939524E-4,NO
417,49,2.6939524E-4,NO
163,148,8.073158E-4,NO
204,148,8.073158E-4,YES
264,148,8.073158E-4,NO
360,148,8.073158E-4,NO
24,50,2.6939524E-4,NO
389,50,2.6939524E-4,NO
412,50,2.6939524E-4,NO
418,50,2.6939524E-4,NO
291,151,8.073158E-4,NO
250,153,8.073158E-4,NO
482,155,8.073158E-4,NO
93,156,8.073158E-4,NO
8,157,8.073158E-4,NO
266,157,8.073158E-4,NO
338,157,8.073158E-4,NO
23,160,8.073158E-4,YES
5,163,8.073158E-4,NO
32,163,8.073158E-4,NO
226,163,8.073158E-4,NO
408,41,2.0207366E-4,NO
427,41,2.0207366E-4,NO
564,41,2.0207366E-4,NO
242,164,8.073158E-4,NO
288,164,8.073158E-4,NO
257,165,8.073158E-4,NO
363,165,8.073158E-4,NO
55,167,8.073158E-4,NO
470,167,8.073158E-4,NO
355,42,2.0207366E-4,NO
390,42,2.0207366E-4,NO
422,42,2.0207366E-4,NO
222,168,8.073158E-4,NO
265,169,8.073158E-4,NO
62,85,4.0398404E-4,NO
380,85,4.0398404E-4,NO
299,171,8.073158E-4,NO
277,174,8.073158E-4,NO
85,25,1.15490664E-4,NO
36,44,2.0207366E-4,NO
424,44,2.0207366E-4,NO
279,176,8.073158E-4,NO
215,179,8.073158E-4,NO
230,180,8.073158E-4,NO
309,181,8.073158E-4,NO
425,26,1.15490664E-4,NO
227,184,8.073158E-4,NO
234,187,8.073158E-4,NO
21,188,8.073158E-4,YES
25,27,1.15490664E-4,NO
66,27,1.15490664E-4,NO
452,27,1.15490664E-4,NO
468,27,1.15490664E-4,NO
486,27,1.15490664E-4,NO
492,27,1.15490664E-4,NO
96,189,8.073158E-4,NO
327,192,8.073158E-4,NO
289,193,8.073158E-4,NO
97,194,8.073158E-4,NO
128,39,1.6167198E-4,NO
373,39,1.6167198E-4,NO
542,196,8.073158E-4,YES
20,66,2.6939524E-4,NO
409,66,2.6939524E-4,NO
142,102,4.0398404E-4,NO
262,204,8.073158E-4,NO
540,204,8.073158E-4,NO
532,103,4.0398404E-4,NO
545,103,4.0398404E-4,NO
91,70,2.6939524E-4,NO
382,70,2.6939524E-4,NO
502,70,2.6939524E-4,NO
582,210,8.073158E-4,NO
514,53,2.0207366E-4,NO
574,53,2.0207366E-4,NO
280,212,8.073158E-4,NO
300,212,8.073158E-4,NO
149,71,2.6939524E-4,NO
378,71,2.6939524E-4,NO
471,213,8.073158E-4,NO
83,214,8.073158E-4,NO
326,214,8.073158E-4,NO
