ID,Size,Predicted,Actual
132,45,0.9981584,NO
48,79,0.9981584,NO
70,92,0.9981584,NO
72,93,0.9981584,NO
226,117,0.9981584,NO
59,126,0.9981584,NO
47,137,0.9981584,NO
224,156,0.9981584,NO
234,160,0.9981584,NO
159,178,0.9981584,NO
403,178,0.9981584,NO
54,189,0.9981584,NO
372,204,0.9981584,NO
400,231,0.9981584,YES
63,236,0.9981584,NO
75,250,0.9981584,NO
412,306,0.9981584,NO
170,309,0.9981584,NO
39,326,0.9981584,NO
156,340,0.9981584,NO
158,342,0.9981584,NO
411,365,0.9981584,NO
171,389,0.9981584,NO
338,489,0.9981584,NO
200,617,0.9981584,NO
389,688,0.9981584,NO
420,801,0.9981584,NO
147,952,0.9981584,NO
396,1198,0.9981584,NO
261,24,0.0018416207,NO
85,25,0.0018416207,NO
275,26,0.0018416207,NO
336,27,0.0018416207,NO
150,32,0.0018416207,NO
88,33,0.0018416207,NO
87,34,0.0018416207,NO
220,34,0.0018416207,NO
221,34,0.0018416207,NO
134,35,0.0018416207,NO
394,35,0.0018416207,NO
149,36,0.0018416207,NO
405,36,0.0018416207,NO
406,36,0.0018416207,NO
407,36,0.0018416207,NO
296,38,0.0018416207,NO
277,41,0.0018416207,NO
414,41,0.0018416207,NO
240,42,0.0018416207,NO
129,43,0.0018416207,NO
167,43,0.0018416207,NO
36,44,0.0018416207,NO
274,44,0.0018416207,NO
115,45,0.0018416207,NO
127,47,0.0018416207,NO
264,47,0.0018416207,NO
311,47,0.0018416207,NO
437,47,0.0018416207,NO
122,48,0.0018416207,NO
253,49,0.0018416207,NO
256,49,0.0018416207,NO
17,51,0.0018416207,NO
203,52,0.0018416207,NO
279,54,0.0018416207,NO
348,54,0.0018416207,NO
198,55,0.0018416207,NO
428,55,0.0018416207,NO
109,56,0.0018416207,NO
196,56,0.0018416207,NO
215,56,0.0018416207,NO
35,58,0.0018416207,NO
164,59,0.0018416207,NO
176,59,0.0018416207,NO
340,59,0.0018416207,NO
434,60,0.0018416207,NO
131,62,0.0018416207,NO
433,62,0.0018416207,NO
152,64,0.0018416207,NO
195,64,0.0018416207,NO
345,64,0.0018416207,NO
163,65,0.0018416207,NO
197,65,0.0018416207,NO
191,67,0.0018416207,NO
284,68,0.0018416207,NO
79,69,0.0018416207,NO
173,69,0.0018416207,NO
91,70,0.0018416207,NO
232,70,0.0018416207,NO
352,70,0.0018416207,NO
228,71,0.0018416207,NO
263,72,0.0018416207,NO
110,74,0.0018416207,NO
192,74,0.0018416207,NO
282,74,0.0018416207,NO
361,74,0.0018416207,NO
366,75,0.0018416207,NO
117,77,0.0018416207,NO
84,79,0.0018416207,NO
409,79,0.0018416207,NO
143,80,0.0018416207,NO
49,82,0.0018416207,NO
328,83,0.0018416207,NO
86,84,0.0018416207,NO
225,84,0.0018416207,NO
410,84,0.0018416207,NO
230,85,0.0018416207,NO
421,86,0.0018416207,NO
119,88,0.0018416207,NO
161,88,0.0018416207,NO
67,89,0.0018416207,NO
207,89,0.0018416207,NO
257,89,0.0018416207,NO
45,90,0.0018416207,NO
301,90,0.0018416207,NO
313,90,0.0018416207,NO
398,90,0.0018416207,NO
245,92,0.0018416207,NO
304,92,0.0018416207,NO
294,93,0.0018416207,NO
133,94,0.0018416207,NO
227,94,0.0018416207,NO
438,94,0.0018416207,NO
202,96,0.0018416207,NO
325,96,0.0018416207,NO
177,99,0.0018416207,NO
341,99,0.0018416207,NO
24,50,9.2250924E-4,NO
157,100,0.0018416207,NO
188,100,0.0018416207,NO
285,100,0.0018416207,NO
324,100,0.0018416207,NO
289,101,0.0018416207,NO
335,101,0.0018416207,NO
139,102,0.0018416207,NO
395,103,0.0018416207,NO
30,52,9.2250924E-4,NO
89,104,0.0018416207,NO
278,104,0.0018416207,NO
308,105,0.0018416207,NO
37,106,0.0018416207,NO
60,106,0.0018416207,NO
292,106,0.0018416207,NO
293,106,0.0018416207,NO
316,107,0.0018416207,NO
249,108,0.0018416207,NO
375,108,0.0018416207,NO
33,109,0.0018416207,NO
61,109,0.0018416207,NO
76,109,0.0018416207,NO
187,109,0.0018416207,NO
169,113,0.0018416207,NO
168,114,0.0018416207,NO
402,116,0.0018416207,NO
385,117,0.0018416207,NO
190,118,0.0018416207,NO
291,123,0.0018416207,NO
371,123,0.0018416207,NO
28,62,9.2250924E-4,NO
235,125,0.0018416207,NO
367,125,0.0018416207,NO
128,129,0.0018416207,NO
252,129,0.0018416207,NO
374,130,0.0018416207,NO
165,131,0.0018416207,NO
100,132,0.0018416207,NO
350,132,0.0018416207,NO
369,134,0.0018416207,NO
108,136,0.0018416207,NO
418,137,0.0018416207,NO
397,139,0.0018416207,NO
92,140,0.0018416207,NO
123,140,0.0018416207,NO
210,142,0.0018416207,NO
50,147,0.0018416207,NO
201,147,0.0018416207,NO
160,148,0.0018416207,NO
104,150,0.0018416207,NO
236,151,0.0018416207,NO
124,152,0.0018416207,NO
55,153,0.0018416207,NO
69,153,0.0018416207,NO
141,153,0.0018416207,NO
193,153,0.0018416207,NO
8,154,0.0018416207,NO
93,154,0.0018416207,NO
332,155,0.0018416207,NO
323,159,0.0018416207,NO
373,162,0.0018416207,NO
5,163,0.0018416207,NO
320,166,0.0018416207,NO
116,168,0.0018416207,NO
214,171,0.0018416207,NO
90,172,0.0018416207,NO
392,172,0.0018416207,YES
29,87,9.2250924E-4,NO
96,176,0.0018416207,NO
351,177,0.0018416207,NO
216,179,0.0018416207,NO
98,91,9.2250924E-4,NO
57,182,0.0018416207,NO
229,183,0.0018416207,NO
231,183,0.0018416207,NO
189,185,0.0018416207,NO
199,187,0.0018416207,NO
248,47,4.6168052E-4,NO
21,188,0.0018416207,NO
44,191,0.0018416207,NO
211,191,0.0018416207,NO
74,192,0.0018416207,NO
390,197,0.0018416207,NO
239,50,4.6168052E-4,NO
368,200,0.0018416207,NO
432,206,0.0018416207,NO
153,208,0.0018416207,NO
321,213,0.0018416207,NO
83,214,0.0018416207,NO
315,214,0.0018416207,NO
429,214,0.0018416207,NO
233,54,4.6168052E-4,NO
238,219,0.0018416207,NO
145,221,0.0018416207,NO
314,223,0.0018416207,NO
140,226,0.0018416207,NO
148,230,0.0018416207,NO
175,230,0.0018416207,NO
130,243,0.0018416207,NO
183,243,0.0018416207,NO
73,244,0.0018416207,NO
430,247,0.0018416207,NO
94,248,0.0018416207,NO
280,254,0.0018416207,NO
180,258,0.0018416207,NO
416,258,0.0018416207,NO
185,259,0.0018416207,NO
12,260,0.0018416207,NO
120,260,0.0018416207,NO
413,263,0.0018416207,NO
31,268,0.0018416207,NO
144,268,0.0018416207,NO
423,269,0.0018416207,NO
46,273,0.0018416207,NO
107,273,0.0018416207,NO
172,273,0.0018416207,NO
95,275,0.0018416207,NO
209,138,9.2250924E-4,NO
255,277,0.0018416207,NO
417,280,0.0018416207,NO
135,283,0.0018416207,NO
246,284,0.0018416207,NO
393,287,0.0018416207,NO
137,295,0.0018416207,NO
399,297,0.0018416207,NO
408,300,0.0018416207,YES
68,301,0.0018416207,NO
380,306,0.0018416207,NO
425,308,0.0018416207,NO
427,308,0.0018416207,NO
42,314,0.0018416207,NO
64,314,0.0018416207,NO
23,158,9.2250924E-4,NO
251,319,0.0018416207,NO
435,321,0.0018416207,NO
106,325,0.0018416207,NO
162,325,0.0018416207,NO
436,329,0.0018416207,NO
290,331,0.0018416207,NO
381,340,0.0018416207,NO
376,353,0.0018416207,NO
138,355,0.0018416207,NO
363,355,0.0018416207,NO
4,357,0.0018416207,NO
111,357,0.0018416207,NO
58,358,0.0018416207,NO
254,358,0.0018416207,NO
151,359,0.0018416207,NO
422,359,0.0018416207,NO
15,361,0.0018416207,NO
247,371,0.0018416207,NO
242,377,0.0018416207,NO
142,378,0.0018416207,NO
