ID,Size,Predicted,Actual
222,22,0.5,NO
23,27,0.5,NO
57,27,0.5,NO
197,27,0.5,NO
211,27,0.5,NO
227,27,0.5,NO
198,28,0.5,NO
260,28,0.5,NO
202,29,0.5,NO
98,30,0.5,NO
9,31,0.5,NO
206,31,0.5,NO
253,31,0.5,NO
17,32,0.5,NO
193,32,0.5,NO
256,32,0.5,NO
195,35,0.5,NO
264,35,0.5,NO
144,36,0.5,NO
199,36,0.5,NO
237,36,0.5,NO
145,37,0.5,NO
204,37,0.5,NO
210,37,0.5,NO
233,37,0.5,NO
83,38,0.5,YES
146,38,0.5,NO
85,39,0.5,NO
147,39,0.5,NO
250,39,0.5,NO
13,40,0.5,NO
161,41,0.5,NO
174,41,0.5,NO
181,41,0.5,NO
131,42,0.5,NO
171,42,0.5,NO
106,43,0.5,NO
170,43,0.5,NO
180,43,0.5,NO
191,45,0.5,NO
231,45,0.5,NO
22,46,0.5,YES
105,46,0.5,NO
138,46,0.5,NO
102,47,0.5,NO
103,47,0.5,NO
104,47,0.5,NO
164,47,0.5,NO
299,47,0.5,NO
132,48,0.5,NO
212,48,0.5,NO
244,48,0.5,NO
285,48,0.5,NO
112,49,0.5,NO
166,49,0.5,NO
167,50,0.5,NO
7,51,0.5,NO
173,51,0.5,NO
205,51,0.5,NO
268,51,0.5,NO
28,52,0.5,YES
293,52,0.5,NO
248,53,0.5,NO
289,53,0.5,NO
82,54,0.5,NO
176,54,0.5,NO
291,54,0.5,NO
37,55,0.5,NO
80,55,0.5,NO
172,56,0.5,NO
254,57,0.5,NO
261,57,0.5,NO
269,57,0.5,NO
71,58,0.5,YES
141,58,0.5,NO
154,58,0.5,NO
225,58,0.5,NO
238,58,0.5,NO
267,58,0.5,NO
25,60,0.5,NO
245,60,0.5,NO
26,62,0.5,YES
224,62,0.5,NO
239,62,0.5,NO
133,63,0.5,NO
163,63,0.5,NO
215,63,0.5,NO
232,63,0.5,NO
273,63,0.5,YES
128,64,0.5,YES
230,64,0.5,NO
234,64,0.5,NO
296,64,0.5,NO
39,65,0.5,NO
18,66,0.5,NO
162,66,0.5,NO
122,67,0.5,NO
201,67,0.5,NO
86,69,0.5,YES
95,71,0.5,NO
150,71,0.5,NO
130,72,0.5,NO
203,72,0.5,NO
124,74,0.5,NO
143,74,0.5,NO
220,74,0.5,NO
241,74,0.5,NO
243,74,0.5,NO
275,74,0.5,NO
216,76,0.5,NO
286,76,0.5,NO
108,77,0.5,YES
207,77,0.5,YES
214,77,0.5,YES
228,77,0.5,NO
251,78,0.5,NO
51,79,0.5,YES
266,79,0.5,YES
259,80,0.5,NO
41,81,0.5,NO
209,81,0.5,YES
242,83,0.5,YES
42,84,0.5,NO
47,84,0.5,NO
153,84,0.5,NO
53,85,0.5,NO
196,85,0.5,NO
252,85,0.5,YES
246,86,0.5,NO
27,88,0.5,YES
58,88,0.5,YES
94,88,0.5,NO
149,88,0.5,NO
52,90,0.5,NO
70,90,0.5,YES
30,91,0.5,YES
78,92,0.5,NO
118,92,0.5,YES
185,92,0.5,YES
189,92,0.5,YES
300,92,0.5,NO
87,94,0.5,YES
221,94,0.5,NO
