ID,Size,Predicted,Actual
345,64,0.9984686,NO
197,65,0.9984686,NO
284,68,0.9984686,NO
79,69,0.9984686,NO
232,70,0.9984686,NO
228,71,0.9984686,NO
48,79,0.9984686,NO
410,84,0.9984686,NO
421,86,0.9984686,NO
245,92,0.9984686,NO
133,94,0.9984686,NO
177,99,0.9984686,NO
295,101,0.9984686,NO
222,38,0.33350384,NO
235,125,0.9984686,NO
369,134,0.9984686,NO
236,151,0.9984686,NO
23,158,0.9984686,NO
323,159,0.9984686,NO
5,163,0.9984686,NO
32,163,0.9984686,NO
159,178,0.9984686,NO
403,178,0.9984686,NO
216,179,0.9984686,NO
199,187,0.9984686,NO
54,189,0.9984686,NO
44,191,0.9984686,NO
390,197,0.9984686,NO
368,200,0.9984686,NO
315,214,0.9992331,NO
76,109,0.5,NO
145,221,0.9984686,NO
148,230,0.9984686,NO
400,231,0.9994885,YES
280,254,0.9984686,NO
107,273,0.9994885,NO
170,309,0.9994885,NO
106,325,0.9994885,NO
162,325,0.9984686,NO
58,358,0.9984686,NO
254,358,0.9984686,NO
411,365,0.9994885,NO
242,377,0.9984686,NO
142,378,0.9994885,NO
171,389,0.9984686,NO
401,399,0.9984686,NO
184,402,0.9984686,NO
237,421,0.9984686,NO
51,422,0.9984686,NO
391,430,0.9984686,NO
155,462,0.9984686,NO
53,467,0.9984686,NO
105,503,0.9984686,NO
327,525,0.9984686,NO
286,549,0.9994885,NO
13,551,0.9994885,NO
182,551,0.9984686,NO
179,558,0.9984686,NO
78,565,0.9984686,NO
22,582,0.9984686,NO
297,584,0.9984686,NO
97,624,0.9984686,NO
40,648,0.9984686,NO
166,648,0.9984686,NO
389,688,0.9984686,NO
65,694,0.9994885,NO
404,740,0.9984686,NO
178,762,0.9984686,NO
41,778,0.9984686,NO
365,798,0.9984686,NO
420,801,0.9984686,NO
326,841,0.9984686,NO
344,846,0.9984686,NO
305,885,0.9984686,NO
26,928,0.9984686,NO
147,952,0.9984686,NO
52,978,0.9984686,NO
288,1033,0.9984686,NO
186,1038,0.9984686,NO
396,1198,0.9984686,NO
6,1242,0.9984686,NO
333,1262,0.9984686,NO
101,4088,0.9984686,NO
281,16883,0.9984686,NO
300,35,0.0015313936,NO
383,35,0.0015313936,NO
149,36,0.0015313936,NO
240,42,0.0015313936,NO
271,43,0.0015313936,NO
337,22,7.6687115E-4,NO
115,45,0.0015313936,NO
346,45,0.0015313936,NO
25,27,7.6687115E-4,NO
66,27,7.6687115E-4,NO
302,27,7.6687115E-4,NO
318,27,7.6687115E-4,NO
342,27,7.6687115E-4,NO
348,54,0.0015313936,NO
303,28,7.6687115E-4,NO
378,28,7.6687115E-4,NO
196,56,0.0015313936,NO
339,62,0.0015313936,NO
355,62,0.0015313936,NO
163,65,0.0015313936,NO
173,69,0.0015313936,NO
91,70,0.0015313936,NO
352,70,0.0015313936,NO
110,74,0.0015313936,NO
361,74,0.0015313936,NO
377,80,0.0015313936,NO
277,41,7.6687115E-4,NO
49,82,0.0015313936,NO
129,43,7.6687115E-4,NO
167,43,7.6687115E-4,NO
29,87,0.0015313936,NO
161,88,0.0015313936,NO
207,89,0.0015313936,NO
45,90,0.0015313936,NO
313,90,0.0015313936,NO
70,92,0.0015313936,NO
9,31,5.1150896E-4,NO
312,31,5.1150896E-4,NO
72,93,0.0015313936,NO
294,93,0.0015313936,NO
437,47,7.6687115E-4,NO
81,94,0.0015313936,NO
438,94,0.0015313936,NO
19,32,5.1150896E-4,NO
150,32,5.1150896E-4,NO
298,32,5.1150896E-4,NO
88,33,5.1150896E-4,NO
341,99,0.0015313936,NO
85,25,3.8372984E-4,NO
24,50,7.6687115E-4,NO
262,50,7.6687115E-4,NO
268,50,7.6687115E-4,NO
188,100,0.0015313936,NO
285,100,0.0015313936,NO
289,101,0.0015313936,NO
17,51,7.6687115E-4,NO
275,26,3.8372984E-4,NO
30,52,7.6687115E-4,NO
203,52,7.6687115E-4,NO
278,104,0.0015313936,NO
60,106,0.0015313936,NO
316,107,0.0015313936,NO
