ID,Size,Predicted,Actual
0,215,9.708737864077671E-4,NO
1,273,9.708737864077671E-4,YES
2,460,9.708737864077671E-4,YES
3,138,9.708737864077671E-4,NO
4,358,9.708737864077671E-4,NO
5,1248,9.708737864077671E-4,YES
6,51,9.708737864077671E-4,NO
7,157,9.708737864077671E-4,NO
8,31,3.240440699935191E-4,NO
9,981,9.708737864077671E-4,YES
10,180,4.859086491739553E-4,NO
11,262,9.708737864077671E-4,NO
12,553,9.708737864077671E-4,YES
13,40,9.708737864077671E-4,NO
14,369,9.708737864077671E-4,NO
15,390,9.708737864077671E-4,NO
16,51,9.708737864077671E-4,NO
17,577,9.708737864077671E-4,YES
18,32,4.859086491739553E-4,NO
19,66,3.240440699935191E-4,NO
20,188,9.708737864077671E-4,YES
21,582,9.708737864077671E-4,YES
22,160,9.708737864077671E-4,YES
23,50,3.240440699935191E-4,NO
24,27,1.389274798555154E-4,NO
25,923,9.708737864077671E-4,YES
26,60,4.859086491739553E-4,NO
27,62,2.4307243558580456E-4,NO
28,87,0.9990291262135922,NO
29,52,3.240440699935191E-4,NO
30,268,9.708737864077671E-4,YES
31,163,9.708737864077671E-4,NO
32,109,3.240440699935191E-4,NO
33,147,3.240440699935191E-4,NO
34,58,1.620745542949757E-4,NO
35,44,0.9990291262135922,NO
36,106,0.999514091350826,YES
37,139,9.708737864077671E-4,NO
38,326,9.708737864077671E-4,YES
39,648,9.708737864077671E-4,YES
40,792,0.9990291262135922,YES
41,319,9.708737864077671E-4,YES
42,55,9.708737864077671E-4,NO
43,191,4.859086491739553E-4,NO
44,90,0.3334413480233312,NO
45,273,9.708737864077671E-4,YES
46,137,4.859086491739553E-4,NO
47,79,0.9990291262135922,NO
48,82,0.3334413480233312,NO
49,147,3.240440699935191E-4,NO
50,422,0.9990291262135922,YES
51,979,9.708737864077671E-4,YES
52,495,9.708737864077671E-4,YES
53,189,4.859086491739553E-4,YES
54,167,9.708737864077671E-4,YES
55,86,9.708737864077671E-4,NO
56,182,4.859086491739553E-4,YES
57,361,0.9990291262135922,YES
58,126,9.708737864077671E-4,YES
59,106,0.999514091350826,NO
60,109,3.240440699935191E-4,NO
61,85,4.859086491739553E-4,NO
62,236,9.708737864077671E-4,NO
63,315,9.708737864077671E-4,YES
64,695,0.9990291262135922,YES
65,27,1.389274798555154E-4,NO
66,89,9.708737864077671E-4,NO
67,301,9.708737864077671E-4,YES
68,153,4.859086491739553E-4,YES
69,92,0.5,NO
70,466,9.708737864077671E-4,YES
71,93,0.9990291262135922,NO
72,244,9.708737864077671E-4,NO
73,192,4.859086491739553E-4,YES
74,252,9.708737864077671E-4,NO
75,109,3.240440699935191E-4,NO
76,601,9.708737864077671E-4,YES
77,565,9.708737864077671E-4,YES
78,69,0.9990291262135922,NO
79,77,3.240440699935191E-4,NO
80,94,0.3334413480233312,YES
