ID,Size,Predicted,Actual
22,46,0.9736842,YES
112,49,0.9736842,NO
97,127,0.9736842,NO
65,132,0.9736842,NO
46,153,0.9736842,NO
123,166,0.9736842,NO
101,167,0.9736842,YES
91,183,0.9736842,NO
19,187,0.9736842,YES
217,191,0.9736842,YES
11,196,0.9736842,YES
0,215,0.9736842,NO
5,216,0.9736842,NO
66,236,0.9736842,YES
283,241,0.9736842,YES
294,246,0.9736842,YES
93,249,0.9736842,YES
279,265,0.9736842,YES
1,271,0.9736842,NO
288,272,0.9736842,YES
89,319,0.9736842,NO
90,321,0.9736842,NO
113,339,0.9736842,YES
186,355,0.9736842,YES
247,355,0.9736842,NO
15,379,0.9736842,YES
182,400,0.9736842,YES
183,425,0.9736842,YES
2,451,0.9736842,NO
12,473,0.9736842,YES
69,507,0.9736842,YES
16,509,0.9736842,YES
56,549,0.9736842,YES
20,576,0.9736842,YES
88,582,0.9736842,YES
79,664,0.9736842,NO
74,694,0.9736842,YES
96,734,0.9736842,YES
6,764,0.9736842,YES
24,788,0.9736842,YES
222,22,0.02631579,NO
43,905,0.9736842,YES
23,27,0.02631579,NO
57,27,0.02631579,NO
197,27,0.02631579,NO
211,27,0.02631579,NO
227,27,0.02631579,NO
198,28,0.02631579,NO
260,28,0.02631579,NO
184,1041,0.9736842,YES
202,29,0.02631579,NO
98,30,0.02631579,NO
9,31,0.02631579,NO
253,31,0.02631579,NO
17,32,0.02631579,NO
195,35,0.02631579,NO
144,36,0.02631579,NO
145,37,0.02631579,NO
204,37,0.02631579,NO
210,37,0.02631579,NO
233,37,0.02631579,NO
83,38,0.02631579,YES
146,38,0.02631579,NO
85,39,0.02631579,NO
147,39,0.02631579,NO
250,39,0.02631579,NO
13,40,0.02631579,NO
161,41,0.02631579,NO
174,41,0.02631579,NO
181,41,0.02631579,NO
131,42,0.02631579,NO
171,42,0.02631579,NO
170,43,0.02631579,NO
191,45,0.02631579,NO
105,46,0.02631579,NO
138,46,0.02631579,NO
102,47,0.02631579,NO
103,47,0.02631579,NO
104,47,0.02631579,NO
164,47,0.02631579,NO
299,47,0.02631579,NO
132,48,0.02631579,NO
212,48,0.02631579,NO
244,48,0.02631579,NO
285,48,0.02631579,NO
166,49,0.02631579,NO
167,50,0.02631579,NO
7,51,0.02631579,NO
173,51,0.02631579,NO
268,51,0.02631579,NO
28,52,0.02631579,YES
293,52,0.02631579,NO
248,53,0.02631579,NO
289,53,0.02631579,NO
82,54,0.02631579,NO
176,54,0.02631579,NO
291,54,0.02631579,NO
37,55,0.02631579,NO
80,55,0.02631579,NO
254,57,0.02631579,NO
269,57,0.02631579,NO
71,58,0.02631579,YES
141,58,0.02631579,NO
154,58,0.02631579,NO
225,58,0.02631579,NO
238,58,0.02631579,NO
267,58,0.02631579,NO
25,60,0.02631579,NO
245,60,0.02631579,NO
206,31,0.013513514,NO
26,62,0.02631579,YES
224,62,0.02631579,NO
239,62,0.02631579,NO
193,32,0.013513514,NO
256,32,0.013513514,NO
133,63,0.02631579,NO
163,63,0.02631579,NO
215,63,0.02631579,NO
232,63,0.02631579,NO
230,64,0.02631579,NO
234,64,0.02631579,NO
296,64,0.02631579,NO
18,66,0.02631579,NO
162,66,0.02631579,NO
122,67,0.02631579,YES
264,35,0.013513514,NO
86,69,0.02631579,YES
199,36,0.013513514,NO
237,36,0.013513514,NO
95,71,0.02631579,NO
150,71,0.02631579,NO
130,72,0.02631579,NO
124,74,0.02631579,NO
143,74,0.02631579,NO
220,74,0.02631579,NO
243,74,0.02631579,NO
216,76,0.02631579,NO
286,76,0.02631579,NO
108,77,0.02631579,YES
214,77,0.02631579,YES
228,77,0.02631579,NO
251,78,0.02631579,NO
266,79,0.02631579,YES
41,81,0.02631579,NO
242,83,0.02631579,YES
106,43,0.013513514,NO
180,43,0.013513514,NO
42,84,0.02631579,NO
47,84,0.02631579,NO
153,84,0.02631579,NO
53,85,0.02631579,NO
231,45,0.013513514,NO
27,88,0.02631579,YES
58,88,0.02631579,YES
94,88,0.02631579,NO
149,88,0.02631579,NO
70,90,0.02631579,YES
30,91,0.02631579,YES
118,92,0.02631579,YES
185,92,0.02631579,YES
189,92,0.02631579,YES
300,92,0.02631579,NO
87,94,0.02631579,YES
221,94,0.02631579,NO
148,96,0.02631579,NO
84,98,0.02631579,NO
168,98,0.02631579,NO
265,98,0.02631579,NO
205,51,0.013513514,NO
119,100,0.02631579,NO
100,101,0.02631579,NO
190,101,0.02631579,YES
160,103,0.02631579,NO
263,103,0.02631579,NO
175,104,0.02631579,NO
187,105,0.02631579,YES
188,105,0.02631579,YES
172,56,0.013513514,NO
194,111,0.02631579,NO
261,57,0.013513514,NO
54,113,0.02631579,YES
110,113,0.02631579,NO
276,116,0.02631579,NO
121,118,0.02631579,NO
127,120,0.02631579,NO
273,63,0.013513514,YES
235,124,0.02631579,NO
128,64,0.013513514,YES
39,65,0.013513514,YES
50,127,0.02631579,NO
155,129,0.02631579,NO
201,67,0.013513514,NO
72,132,0.02631579,NO
3,137,0.02631579,NO
287,139,0.02631579,YES
203,72,0.013513514,NO
241,74,0.013513514,NO
275,74,0.013513514,NO
31,147,0.02631579,NO
63,147,0.02631579,NO
75,148,0.02631579,YES
77,148,0.02631579,NO
207,77,0.013513514,YES
8,150,0.02631579,NO
40,150,0.02631579,YES
126,152,0.02631579,YES
179,153,0.02631579,NO
51,79,0.013513514,YES
271,154,0.02631579,NO
259,80,0.013513514,NO
209,81,0.013513514,YES
21,158,0.02631579,YES
177,162,0.02631579,YES
129,163,0.02631579,YES
139,165,0.02631579,NO
196,85,0.013513514,NO
252,85,0.013513514,YES
277,166,0.02631579,NO
246,86,0.013513514,NO
48,169,0.02631579,NO
281,170,0.02631579,NO
68,172,0.02631579,YES
76,174,0.02631579,NO
60,175,0.02631579,YES
52,90,0.013513514,YES
178,6523,0.9736842,YES
78,92,0.013513514,NO
10,180,0.02631579,NO
165,183,0.02631579,NO
226,94,0.013513514,NO
38,184,0.02631579,NO
120,185,0.02631579,NO
49,189,0.02631579,YES
64,98,0.013513514,YES
297,206,0.02631579,YES
295,208,0.02631579,NO
92,210,0.02631579,YES
255,108,0.013513514,NO
36,216,0.02631579,YES
151,114,0.013513514,NO
67,227,0.02631579,NO
257,227,0.02631579,NO
270,230,0.02631579,YES
282,241,0.02631579,NO
284,124,0.013513514,NO
157,242,0.02631579,YES
114,243,0.02631579,NO
274,130,0.013513514,NO
14,255,0.02631579,YES
81,256,0.02631579,YES
240,132,0.013513514,NO
111,258,0.02631579,NO
116,259,0.02631579,NO
107,134,0.013513514,YES
135,136,0.013513514,YES
292,268,0.02631579,NO
32,139,0.013513514,NO
136,141,0.013513514,YES
55,276,0.02631579,YES
169,143,0.013513514,NO
59,283,0.02631579,YES
142,148,0.013513514,YES
192,299,0.02631579,YES
125,154,0.013513514,NO
290,306,0.02631579,NO
218,160,0.013513514,YES
44,312,0.02631579,YES
298,315,0.02631579,NO
140,162,0.013513514,NO
29,163,0.013513514,NO
134,318,0.02631579,NO
208,168,0.013513514,YES
45,171,0.013513514,NO
236,172,0.013513514,NO
115,358,0.02631579,YES
156,363,0.02631579,YES
159,366,0.02631579,NO
4,368,0.02631579,YES
137,190,0.013513514,YES
99,380,0.02631579,YES
258,201,0.013513514,NO
62,209,0.013513514,NO
213,436,0.02631579,YES
272,251,0.013513514,NO
61,507,0.02631579,YES
109,261,0.013513514,YES
280,261,0.013513514,NO
73,529,0.02631579,YES
33,282,0.013513514,YES
34,582,0.02631579,YES
249,612,0.02631579,YES
152,342,0.013513514,NO
158,682,0.02631579,YES
278,726,0.02631579,YES
229,744,0.02631579,YES
35,800,0.02631579,YES
262,446,0.013513514,NO
219,906,0.02631579,YES
223,481,0.013513514,NO
200,574,0.013513514,YES
117,1167,0.02631579,YES
