ID,Size,Predicted,Actual
32,31,0.9980237,NO
335,38,0.9980237,YES
377,38,0.9980237,YES
437,38,0.9980237,YES
511,38,0.9980237,YES
147,39,0.9980237,NO
421,48,0.9980237,YES
534,48,0.9980237,YES
575,48,0.9980237,YES
634,48,0.9980237,YES
36,50,0.9980237,NO
45,58,0.9980237,NO
26,68,0.9980237,YES
96,69,0.9990099,NO
274,69,0.9990099,YES
201,71,0.9980237,YES
164,73,0.9980237,NO
154,76,0.9980237,NO
181,80,0.9980237,YES
408,82,0.9980237,YES
18,83,0.9980237,NO
43,83,0.9980237,NO
543,83,0.9980237,YES
334,87,0.9980237,YES
411,87,0.9980237,YES
151,88,0.9980237,YES
366,88,0.9980237,YES
592,88,0.9980237,YES
84,89,0.9980237,NO
206,89,0.9980237,YES
422,89,0.9980237,YES
472,89,0.9980237,YES
89,93,0.9990099,NO
57,94,0.9990099,NO
442,94,0.9990099,YES
509,94,0.9990099,YES
653,94,0.9990099,YES
265,96,0.9980237,NO
135,101,0.9980237,NO
297,101,0.9980237,YES
343,101,0.9980237,YES
510,101,0.9980237,YES
550,101,0.9980237,YES
15,103,0.9980237,NO
523,105,0.9990099,YES
249,111,0.9980237,YES
465,111,0.9980237,YES
514,111,0.9980237,YES
276,115,0.9980237,YES
251,131,0.9980237,NO
139,136,0.9980237,YES
131,148,0.9980237,YES
49,151,0.9980237,NO
356,151,0.9980237,YES
451,151,0.9980237,YES
112,152,0.9980237,NO
157,152,0.9980237,NO
315,153,0.9980237,YES
498,153,0.9980237,YES
547,155,0.9980237,YES
110,156,0.9980237,NO
439,156,0.9980237,YES
9,157,0.9980237,NO
331,157,0.9980237,YES
403,157,0.9980237,YES
101,79,0.5,NO
372,79,0.5,YES
624,79,0.5,YES
247,158,0.9980237,YES
538,159,0.9980237,YES
156,160,0.9980237,YES
449,160,0.9980237,YES
405,161,0.9980237,YES
588,162,0.9980237,YES
76,167,0.9980237,YES
344,176,0.9980237,YES
618,178,0.9980237,YES
280,179,0.9980237,YES
431,179,0.9980237,YES
59,90,0.5,NO
60,90,0.5,NO
516,90,0.5,YES
528,90,0.5,YES
613,90,0.5,YES
295,180,0.9980237,YES
374,181,0.9980237,YES
148,182,0.9980237,NO
566,182,0.9980237,YES
444,183,0.9980237,YES
446,183,0.9980237,YES
481,183,0.9980237,YES
292,184,0.9980237,YES
118,185,0.9980237,NO
58,191,0.9980237,NO
426,191,0.9980237,YES
392,192,0.9980237,YES
354,193,0.9980237,YES
13,204,0.9980237,NO
91,204,0.9980237,YES
605,206,0.9980237,YES
47,106,0.5,NO
281,106,0.5,YES
507,106,0.5,YES
508,106,0.5,YES
204,148,0.6664465,NO
329,148,0.6664465,YES
425,148,0.6664465,YES
529,223,0.9990099,YES
41,224,0.9980237,NO
312,226,0.9990099,YES
178,226,0.9980237,YES
183,264,0.9980237,YES
631,266,0.9980237,YES
357,91,0.3335535,YES
138,275,0.9980237,YES
87,92,0.3335535,NO
460,92,0.3335535,YES
519,92,0.3335535,YES
638,277,0.9980237,YES
595,308,0.9980237,YES
640,308,0.9980237,YES
642,308,0.9980237,YES
369,78,0.25024778,YES
243,319,0.9980237,NO
127,335,0.9980237,NO
218,337,0.9980237,NO
176,359,0.9980237,YES
458,382,0.9980237,YES
607,196,0.5,YES
418,399,0.9980237,YES
203,272,0.6664465,YES
379,273,0.6664465,YES
389,413,0.9980237,YES
647,210,0.5,YES
80,424,0.9980237,YES
171,429,0.9980237,YES
119,264,0.5,NO
587,266,0.5,YES
228,531,0.9980237,YES
410,267,0.5,YES
542,535,0.9980237,YES
501,550,0.9980237,YES
175,560,0.9980237,YES
95,565,0.9980237,NO
74,573,0.9980237,NO
172,575,0.9980237,YES
225,601,0.9980237,NO
24,637,0.9980237,NO
580,804,0.9980237,YES
541,842,0.9980237,YES
133,860,0.9980237,YES
19,867,0.9980237,YES
320,936,0.9980237,YES
520,979,0.9980237,YES
11,1008,0.9980237,YES
503,1038,0.9980237,YES
67,1059,0.9980237,YES
82,1118,0.9980237,NO
6,1248,0.9980237,YES
552,22,0.0019762847,YES
476,24,0.0019762847,YES
102,25,0.0019762847,NO
294,25,0.0019762847,YES
264,28,0.0019762847,NO
349,28,0.0019762847,YES
518,28,0.0019762847,YES
593,28,0.0019762847,YES
409,29,0.0019762847,YES
