ID,Size,Predicted,Actual
297,38,0.63157856,NO
339,38,0.63157856,NO
399,38,0.63157856,NO
473,38,0.63157856,NO
160,71,0.9999981,YES
87,69,0.82142794,NO
236,69,0.82142794,NO
190,89,0.99999774,NO
232,96,0.9999981,NO
461,68,0.6571426,NO
485,105,0.95999897,NO
238,115,0.9999987,NO
224,120,0.99999744,NO
505,83,0.68253934,NO
66,126,0.99999803,YES
290,127,0.99999803,NO
324,127,0.99999803,NO
404,94,0.7128711,NO
471,94,0.7128711,NO
615,94,0.7128711,NO
383,48,0.36257318,NO
496,48,0.36257318,NO
537,48,0.36257318,NO
596,48,0.36257318,NO
54,79,0.5961536,NO
92,79,0.5961536,NO
334,79,0.5961536,NO
586,79,0.5961536,NO
41,151,0.99999815,NO
165,153,0.99999815,NO
100,140,0.89473563,NO
386,141,0.89473563,NO
139,88,0.542857,NO
328,88,0.542857,NO
554,88,0.542857,NO
243,106,0.59999955,NO
469,106,0.59999955,NO
336,181,0.9999983,NO
319,91,0.5,NO
528,182,0.9999953,NO
78,92,0.5,NO
134,92,0.5,NO
422,92,0.5,NO
481,92,0.5,NO
113,185,0.9999953,NO
261,187,0.9999987,NO
60,189,0.9999987,YES
354,192,0.9999989,NO
316,193,0.9999989,NO
114,194,0.9999989,NO
175,197,0.9999984,YES
24,198,0.9999984,NO
185,100,0.483871,YES
218,100,0.483871,NO
462,100,0.483871,NO
501,100,0.483871,NO
180,208,0.9999982,YES
133,148,0.7051279,NO
188,148,0.7051279,NO
291,148,0.7051279,NO
387,148,0.7051279,NO
609,210,0.9999982,NO
0,215,0.9999953,NO
550,162,0.719999,NO
580,178,0.7777766,NO
205,230,0.9999992,NO
173,230,0.9999984,NO
170,241,0.9999973,NO
213,243,0.9999953,NO
569,196,0.7878783,NO
152,257,0.99999744,NO
367,161,0.62068915,NO
22,260,0.9999981,YES
140,263,0.9999953,NO
1,273,0.99999845,YES
341,273,0.99999845,NO
215,276,0.9999979,NO
112,286,0.99999803,YES
200,288,0.99999803,NO
198,289,0.99999803,NO
246,295,0.9999962,NO
576,298,0.99999845,NO
366,300,0.9999962,NO
124,101,0.33333403,NO
259,101,0.33333403,NO
305,101,0.33333403,NO
472,101,0.33333403,NO
512,101,0.33333403,NO
277,153,0.4848485,NO
460,153,0.4848485,NO
428,319,0.99999857,NO
352,322,0.99999857,NO
276,323,0.99999857,NO
191,326,0.99999857,NO
267,329,0.99999857,NO
168,340,0.9999948,NO
202,341,0.9999979,NO
17,390,0.9999987,NO
181,397,0.99999565,NO
380,399,0.999998,NO
351,413,0.9999982,NO
177,420,0.999997,NO
239,421,0.99999756,NO
57,422,0.99999756,YES
414,422,0.99999756,NO
464,437,0.99999756,NO
568,438,0.99999756,NO
549,266,0.59090894,NO
372,267,0.59090894,NO
169,268,0.59090894,NO
166,456,0.9999981,NO
23,596,0.9999983,NO
14,638,0.9999983,YES
566,707,0.9999964,NO
122,721,0.9999983,YES
195,648,0.8571409,NO
208,762,0.9999964,NO
245,657,0.8571409,NO
138,666,0.8571409,NO
597,801,0.9999964,YES
542,804,0.9999964,NO
314,692,0.8571409,NO
503,842,0.9999979,NO
521,863,0.99999857,NO
499,867,0.9999979,NO
247,872,0.9999979,NO
44,877,0.9999987,YES
27,926,0.9999987,NO
282,936,0.99999845,NO
482,979,0.9999979,NO
172,991,0.9999979,NO
10,1009,0.9999987,NO
58,1026,0.9999984,YES
6,1154,0.99999714,YES
142,51,5.6792367E-5,NO
96,33,2.8397797E-5,NO
244,33,2.8397797E-5,NO
308,33,2.8397797E-5,NO
51,90,5.6792367E-5,NO
222,99,5.6792367E-5,NO
438,24,7.0997517E-6,NO
63,195,5.6792367E-5,YES
93,25,7.0997517E-6,NO
256,25,7.0997517E-6,NO
307,212,5.6792367E-5,NO
327,212,5.6792367E-5,NO
498,213,5.6792367E-5,NO
104,31,8.113985E-6,NO
371,29,7.0997517E-6,NO
484,29,7.0997517E-6,NO
310,116,2.8397797E-5,NO
342,116,2.8397797E-5,NO
579,116,2.8397797E-5,NO
295,26,5.679817E-6,NO
452,26,5.679817E-6,NO
105,60,1.1359506E-5,NO
106,60,1.1359506E-5,NO
108,61,1.1359506E-5,NO
157,39,7.0997517E-6,NO
72,47,8.113985E-6,NO
109,185,2.8397797E-5,NO
64,374,5.6792367E-5,YES
49,191,2.8397797E-5,NO
388,191,2.8397797E-5,NO
150,129,1.8932222E-5,NO
320,129,1.8932222E-5,NO
344,129,1.8932222E-5,NO
429,129,1.8932222E-5,NO
551,130,1.8932222E-5,NO
158,403,5.6792367E-5,NO
203,108,1.4199301E-5,NO
80,93,1.1359506E-5,NO
46,27,3.15547E-6,NO
497,167,1.8932222E-5,NO
136,168,1.8932222E-5,NO
249,168,1.8932222E-5,NO
223,169,1.8932222E-5,NO
192,65,7.0997517E-6,NO
266,65,7.0997517E-6,NO
67,106,1.1359506E-5,NO
99,70,7.0997517E-6,NO
409,70,7.0997517E-6,NO
529,70,7.0997517E-6,NO
423,282,2.8397797E-5,NO
570,287,2.8397797E-5,NO
594,288,2.8397797E-5,NO
197,59,5.679817E-6,NO
514,22,2.103651E-6,NO
15,40,3.7865593E-6,NO
375,40,3.7865593E-6,NO
288,75,7.0997517E-6,NO
543,75,7.0997517E-6,NO
145,152,1.4199301E-5,NO
468,123,1.1359506E-5,NO
548,123,1.1359506E-5,NO
129,56,5.1634756E-6,NO
226,56,5.1634756E-6,NO
262,56,5.1634756E-6,NO
338,56,5.1634756E-6,NO
392,56,5.1634756E-6,NO
450,56,5.1634756E-6,NO
39,106,9.466291E-6,NO
500,159,1.4199301E-5,NO
411,160,1.4199301E-5,NO
48,94,8.113985E-6,NO
12,83,7.0997517E-6,NO
35,83,7.0997517E-6,NO
300,339,2.8397797E-5,NO
95,34,2.8399247E-6,NO
397,34,2.8399247E-6,NO
398,34,2.8399247E-6,NO
183,340,2.8397797E-5,NO
359,340,2.8397797E-5,NO
186,342,2.8397797E-5,YES
90,343,2.8397797E-5,NO
558,343,2.8397797E-5,NO
115,346,2.8397797E-5,NO
153,356,2.8397797E-5,NO
117,363,2.8397797E-5,NO
30,87,6.3109E-6,NO
296,87,6.3109E-6,NO
373,87,6.3109E-6,NO
230,158,1.1359506E-5,NO
143,132,9.466291E-6,NO
167,80,5.679817E-6,NO
231,80,5.679817E-6,NO
144,160,1.1359506E-5,YES
567,206,1.4199301E-5,NO
47,55,3.7865593E-6,NO
227,55,3.7865593E-6,NO
605,55,3.7865593E-6,NO
331,78,5.1634756E-6,NO
415,221,1.4199301E-5,NO
322,222,1.4199301E-5,NO
228,223,1.4199301E-5,NO
491,223,1.4199301E-5,NO
242,179,1.1359506E-5,NO
393,179,1.1359506E-5,NO
164,226,1.4199301E-5,NO
274,226,1.4199301E-5,NO
318,151,9.466291E-6,NO
413,151,9.466291E-6,NO
116,309,1.8932222E-5,NO
272,117,7.0997517E-6,NO
403,117,7.0997517E-6,NO
562,117,7.0997517E-6,NO
221,67,4.0570258E-6,NO
483,67,4.0570258E-6,NO
546,134,8.113985E-6,NO
217,108,6.3109E-6,NO
426,108,6.3109E-6,NO
552,108,6.3109E-6,NO
111,248,1.4199301E-5,NO
278,250,1.4199301E-5,NO
83,252,1.4199301E-5,NO
607,252,1.4199301E-5,NO
135,45,2.4695016E-6,NO
155,45,2.4695016E-6,NO
523,45,2.4695016E-6,NO
132,174,9.466291E-6,NO
304,174,9.466291E-6,NO
264,261,1.4199301E-5,NO
345,261,1.4199301E-5,NO
13,262,1.4199301E-5,NO
590,263,1.4199301E-5,NO
612,357,1.8932222E-5,NO
4,358,1.8932222E-5,NO
431,358,1.8932222E-5,NO
599,359,1.8932222E-5,NO
368,120,6.3109E-6,NO
378,376,1.8932222E-5,NO
613,376,1.8932222E-5,NO
419,377,1.8932222E-5,NO
309,95,4.73319E-6,NO
376,95,4.73319E-6,NO
294,96,4.73319E-6,NO
502,96,4.73319E-6,NO
303,107,5.1634756E-6,NO
364,107,5.1634756E-6,NO
493,107,5.1634756E-6,NO
311,28,1.3208993E-6,NO
480,28,1.3208993E-6,NO
555,28,1.3208993E-6,NO
53,138,6.3109E-6,NO
435,41,1.8322132E-6,NO
454,41,1.8322132E-6,NO
591,41,1.8322132E-6,NO
470,106,4.73319E-6,NO
102,142,6.3109E-6,NO
20,32,1.3853332E-6,NO
176,32,1.3853332E-6,NO
475,32,1.3853332E-6,NO
38,44,1.8932868E-6,NO
451,44,1.8932868E-6,NO
11,193,8.113985E-6,NO
103,152,6.3109E-6,NO
193,59,2.3666062E-6,NO
206,59,2.3666062E-6,NO
517,59,2.3666062E-6,NO
28,60,2.3666062E-6,NO
611,60,2.3666062E-6,NO
148,131,5.1634756E-6,NO
194,131,5.1634756E-6,NO
178,111,4.3691016E-6,NO
174,36,1.3853332E-6,NO
313,36,1.3853332E-6,NO
395,36,1.3853332E-6,NO
530,36,1.3853332E-6,NO
582,36,1.3853332E-6,NO
583,36,1.3853332E-6,NO
584,36,1.3853332E-6,NO
55,82,3.15547E-6,NO
370,82,3.15547E-6,NO
207,99,3.7865593E-6,NO
518,99,3.7865593E-6,NO
251,135,5.1634756E-6,NO
128,136,5.1634756E-6,NO
31,52,1.9585723E-6,NO
233,52,1.9585723E-6,NO
9,31,1.1359738E-6,NO
489,31,1.1359738E-6,NO
509,155,5.679817E-6,NO
335,37,1.3523492E-6,NO
396,37,1.3523492E-6,NO
487,37,1.3523492E-6,NO
494,37,1.3523492E-6,NO
97,104,3.7865593E-6,NO
237,104,3.7865593E-6,NO
455,104,3.7865593E-6,NO
466,104,3.7865593E-6,NO
101,156,5.679817E-6,NO
401,156,5.679817E-6,NO
8,157,5.679817E-6,NO
293,157,5.679817E-6,NO
365,157,5.679817E-6,NO
330,125,4.3691016E-6,NO
544,125,4.3691016E-6,NO
269,164,5.679817E-6,NO
315,164,5.679817E-6,NO
284,165,5.679817E-6,NO
390,165,5.679817E-6,NO
312,46,1.5350985E-6,NO
379,46,1.5350985E-6,NO
389,46,1.5350985E-6,NO
151,43,1.4199665E-6,NO
189,43,1.4199665E-6,NO
196,43,1.4199665E-6,NO
448,43,1.4199665E-6,NO
62,86,2.8399247E-6,NO
369,86,2.8399247E-6,NO
535,86,2.8399247E-6,NO
539,86,2.8399247E-6,NO
598,86,2.8399247E-6,NO
42,352,1.1359506E-5,YES
34,118,3.7865593E-6,NO
248,444,1.4199301E-5,NO
131,361,1.1359506E-5,NO
61,167,5.1634756E-6,YES
2,460,1.4199301E-5,YES
447,143,4.3691016E-6,NO
592,170,5.1634756E-6,NO
301,234,7.0997517E-6,NO
382,42,1.2621928E-6,NO
417,42,1.2621928E-6,NO
449,42,1.2621928E-6,NO
70,237,7.0997517E-6,NO
340,237,7.0997517E-6,NO
234,476,1.4199301E-5,NO
146,39,1.1591569E-6,NO
263,39,1.1591569E-6,NO
400,39,1.1591569E-6,NO
302,239,7.0997517E-6,NO
