ID,Size,Predicted,Actual
229,25,0.9995686,NO
268,26,0.9995686,NO
335,27,0.9995686,NO
284,28,0.9995686,NO
344,29,0.9995686,NO
217,33,0.9995686,NO
281,33,0.9995686,NO
316,35,0.9995686,NO
286,36,0.9995686,NO
308,37,0.9995686,NO
270,38,0.9995686,NO
312,38,0.9995686,NO
236,39,0.9995686,NO
348,40,0.9995686,NO
285,46,0.9995686,NO
352,46,0.9995686,NO
310,47,0.9995686,NO
305,50,0.9995686,NO
372,38,0.74994606,NO
446,38,0.74994606,NO
228,51,0.9995686,NO
334,54,0.9995686,NO
235,56,0.9995686,NO
311,56,0.9995686,NO
213,61,0.9995686,NO
254,61,0.9995686,NO
320,62,0.9995686,NO
306,63,0.9995686,NO
231,64,0.9995686,NO
241,64,0.9995686,NO
239,65,0.9995686,NO
336,66,0.9995686,NO
434,68,0.99978423,NO
79,69,0.99978423,NO
177,69,0.99978423,YES
209,69,0.9995686,NO
319,71,0.99991363,NO
331,71,0.99991363,NO
321,72,0.99991363,NO
238,73,0.99991363,NO
252,73,0.99991363,NO
322,73,0.99991363,NO
244,74,0.99991363,NO
261,75,0.99991363,NO
248,76,0.99991363,NO
256,76,0.99991363,NO
208,77,0.99991363,NO
260,77,0.99991363,NO
347,77,0.99991363,NO
298,77,0.99989206,NO
304,78,0.99991363,NO
307,79,0.99991363,NO
343,82,0.99991363,NO
246,84,0.99991363,NO
253,84,0.99991363,NO
101,84,0.99989206,YES
342,86,0.99991363,NO
269,87,0.99991363,NO
346,87,0.99991363,NO
301,88,0.99991363,NO
292,91,0.99991363,NO
282,95,0.99991363,NO
349,95,0.99991363,NO
267,96,0.99991363,NO
296,98,0.99991363,NO
160,100,0.99991363,YES
192,100,0.99991363,NO
435,100,0.99991363,NO
474,100,0.99991363,NO
232,101,0.99991363,NO
278,101,0.99991363,NO
485,101,0.99991363,NO
210,104,0.99991363,NO
458,105,0.99978423,NO
216,106,0.99991363,NO
37,106,0.99978423,YES
60,106,0.99978423,NO
442,106,0.99978423,NO
443,106,0.99978423,NO
276,107,0.99991363,NO
337,107,0.99991363,NO
466,107,0.99978423,NO
259,109,0.99991363,NO
478,83,0.72725487,NO
211,115,0.99991363,NO
283,116,0.99991363,NO
315,116,0.99991363,NO
245,117,0.99991363,NO
330,119,0.99991363,NO
341,120,0.99991363,NO
49,82,0.66665465,NO
303,125,0.99991363,NO
263,127,0.99991363,NO
297,127,0.99991363,NO
293,129,0.99991363,NO
317,129,0.99991363,NO
224,135,0.99991363,NO
294,138,0.99991363,NO
302,139,0.99991363,NO
290,145,0.99991363,NO
323,145,0.99989206,NO
264,148,0.99991363,NO
291,151,0.99991363,NO
250,153,0.99991363,NO
266,157,0.99991363,NO
338,157,0.99991363,NO
473,159,0.99978423,NO
384,160,0.99978423,NO
340,161,0.99991363,NO
523,162,0.99978423,NO
226,163,0.99991363,NO
242,164,0.99991363,NO
288,164,0.99991363,NO
257,165,0.99991363,NO
222,168,0.99991363,NO
265,169,0.99991363,NO
299,171,0.99991363,NO
277,174,0.99991363,NO
279,176,0.99991363,NO
215,179,0.99991363,NO
230,180,0.99991363,NO
309,181,0.99991363,NO
227,184,0.99991363,NO
234,187,0.99991363,NO
327,192,0.99991363,NO
289,193,0.99991363,NO
542,196,0.999952,YES
262,204,0.99991363,NO
280,212,0.99991363,NO
300,212,0.99991363,NO
326,214,0.99991363,NO
295,222,0.99991363,NO
247,226,0.99989206,NO
151,230,0.999952,YES
179,230,0.999952,NO
116,148,0.6428483,NO
274,234,0.99991363,NO
63,236,0.999952,NO
313,237,0.99991363,NO
275,239,0.99991363,NO
333,241,0.99991363,NO
133,243,0.999952,YES
187,243,0.999952,NO
73,244,0.999952,NO
94,248,0.999952,NO
