ID,Size,Predicted,Actual
336,27,0.99964666,NO
9,31,0.9992938,NO
312,31,0.9992938,NO
19,32,0.9992938,NO
298,32,0.9992938,NO
300,35,0.9992938,NO
383,35,0.9992938,NO
134,35,0.9985896,NO
218,36,0.9992938,NO
353,36,0.9992938,NO
219,37,0.9992938,NO
310,37,0.9992938,NO
317,37,0.9992938,NO
296,38,0.99964666,NO
222,38,0.9992938,NO
125,39,0.9992938,NO
223,39,0.9992938,NO
14,40,0.9992938,NO
258,41,0.9992938,NO
277,41,0.9992938,NO
414,41,0.9992938,NO
205,42,0.9992938,NO
272,42,0.9992938,NO
129,43,0.9985896,NO
274,44,0.99952894,NO
36,44,0.9985896,NO
115,45,0.9985896,NO
437,47,0.9992938,NO
127,47,0.9985896,NO
122,48,0.9985896,NO
253,49,0.9992938,NO
24,50,0.9985896,NO
203,52,0.99952894,NO
30,52,0.9985896,NO
348,54,0.99964666,NO
279,54,0.9992938,NO
198,55,0.9985896,NO
428,55,0.9985896,NO
109,56,0.9985896,NO
196,56,0.9985896,NO
35,58,0.9985896,NO
164,59,0.9985896,NO
340,59,0.9985896,NO
433,62,0.99952894,NO
28,62,0.9985896,NO
131,62,0.9985896,NO
152,64,0.99952894,NO
195,64,0.9985896,NO
349,64,0.9985896,NO
431,64,0.9985896,NO
197,65,0.99952894,NO
20,66,0.9985896,NO
259,66,0.9985896,NO
191,67,0.9992938,NO
306,67,0.9985896,NO
173,69,0.99964666,NO
79,69,0.9985896,NO
232,70,0.9992938,NO
352,70,0.9992938,NO
91,70,0.9985896,NO
146,71,0.9985896,NO
204,72,0.9985896,NO
244,72,0.9985896,NO
263,72,0.9985896,NO
309,72,0.9985896,NO
110,74,0.99964666,NO
282,74,0.99952894,NO
192,74,0.9992938,NO
217,74,0.9985896,NO
334,74,0.9985896,NO
357,74,0.9985896,NO
359,74,0.9985896,NO
366,75,0.9985896,NO
330,76,0.9985896,NO
117,77,0.9992938,NO
80,77,0.9985896,NO
343,77,0.9985896,NO
48,79,0.9985896,NO
84,79,0.9985896,NO
409,79,0.9985896,NO
143,80,0.9985896,NO
377,80,0.9985896,NO
358,83,0.9997173,NO
56,84,0.9997173,NO
410,84,0.99952894,NO
86,84,0.9985896,NO
225,84,0.9985896,NO
62,85,0.99952894,NO
421,86,0.9997173,NO
362,86,0.99952894,NO
29,87,0.9985896,NO
161,88,0.9985896,NO
257,89,0.9997173,NO
67,89,0.99964666,NO
207,89,0.9985896,NO
45,90,0.9985896,NO
98,91,0.9985896,NO
245,92,0.9997173,NO
114,92,0.99964666,NO
70,92,0.9992938,NO
