ID,Size,Predicted,Actual
261,24,0.9861111,NO
85,25,0.9861111,NO
275,26,0.9861111,NO
336,27,0.9861111,NO
150,32,0.9861111,NO
88,33,0.9861111,NO
87,34,0.9861111,NO
220,34,0.9861111,NO
221,34,0.9861111,NO
134,35,0.9861111,NO
394,35,0.9861111,NO
149,36,0.9861111,NO
296,38,0.9861111,NO
277,41,0.9861111,NO
414,41,0.9861111,NO
311,47,0.9861111,NO
437,47,0.9861111,NO
122,48,0.9861111,NO
24,50,0.9861111,NO
30,52,0.9861111,NO
279,54,0.9861111,NO
348,54,0.9861111,NO
428,55,0.9861111,NO
215,56,0.9861111,NO
164,59,0.9861111,NO
176,59,0.9861111,NO
340,59,0.9861111,NO
28,62,0.9861111,NO
345,64,0.9861111,NO
197,65,0.9861111,NO
191,67,0.9861111,NO
284,68,0.9861111,NO
146,71,0.9861111,NO
228,71,0.9861111,NO
204,72,0.9861111,NO
244,72,0.9861111,NO
309,72,0.9861111,NO
192,74,0.9861111,NO
217,74,0.9861111,NO
334,74,0.9861111,NO
357,74,0.9861111,NO
359,74,0.9861111,NO
361,74,0.9861111,NO
330,76,0.9861111,NO
80,77,0.9861111,NO
343,77,0.9861111,NO
48,79,0.9861111,NO
409,79,0.9861111,NO
143,80,0.9861111,NO
377,80,0.9861111,NO
49,82,0.9861111,NO
328,83,0.9861111,NO
358,83,0.9861111,NO
56,84,0.9861111,NO
86,84,0.9861111,NO
225,84,0.9861111,NO
410,84,0.9861111,NO
62,85,0.9861111,NO
230,85,0.9861111,NO
362,86,0.9861111,NO
421,86,0.9861111,NO
29,87,0.9861111,NO
161,88,0.9861111,NO
67,89,0.9861111,NO
207,89,0.9861111,NO
257,89,0.9861111,NO
45,90,0.9861111,NO
301,90,0.9861111,NO
313,90,0.9861111,NO
398,90,0.9861111,NO
98,91,0.9861111,NO
70,92,0.9861111,NO
114,92,0.9861111,NO
245,92,0.9861111,NO
304,92,0.9861111,NO
72,93,0.9861111,NO
294,93,0.9861111,NO
81,94,0.9929578,NO
133,94,0.9861111,NO
227,94,0.9861111,NO
438,94,0.9861111,NO
269,98,0.9861111,NO
