ID,Size,Predicted,Actual
25,32,0.66216195,NO
190,32,0.66216195,YES
513,32,0.66216195,YES
45,58,0.9999983,NO
193,64,0.99999434,NO
252,68,0.999997,YES
201,71,0.99999684,YES
96,69,0.9384608,NO
274,69,0.9384608,YES
16,83,0.9999978,NO
237,67,0.73626345,YES
521,67,0.73626345,YES
89,93,0.99999845,YES
98,97,0.9999977,NO
169,97,0.9999977,YES
335,38,0.3186815,YES
377,38,0.3186815,YES
437,38,0.3186815,YES
511,38,0.3186815,YES
77,109,0.9067793,YES
93,109,0.9067793,YES
324,109,0.9067793,YES
75,126,0.99999917,YES
289,135,0.99999917,YES
139,136,0.99999833,YES
173,142,0.9999977,NO
101,79,0.5102041,NO
372,79,0.5102041,YES
624,79,0.5102041,YES
523,105,0.6399998,YES
43,83,0.5,NO
543,83,0.5,YES
59,90,0.52,YES
60,90,0.52,NO
516,90,0.52,YES
528,90,0.52,YES
613,90,0.52,YES
357,91,0.5092592,YES
87,92,0.5092592,YES
460,92,0.5092592,YES
519,92,0.5092592,YES
566,182,0.9999981,YES
109,140,0.7586198,NO
70,190,0.9999966,NO
69,205,0.99999636,YES
605,206,0.99999684,YES
57,94,0.4473685,NO
442,94,0.4473685,YES
509,94,0.4473685,YES
653,94,0.4473685,YES
500,100,0.47500002,YES
539,100,0.47500002,YES
31,211,0.99999833,NO
151,88,0.41304368,YES
366,88,0.41304368,YES
592,88,0.41304368,YES
588,162,0.7560969,YES
392,192,0.86842006,YES
41,224,0.99999636,NO
103,84,0.37209317,NO
129,84,0.37209317,YES
311,84,0.37209317,YES
318,84,0.37209317,YES
440,84,0.37209317,YES
625,84,0.37209317,YES
47,106,0.45238107,NO
281,106,0.45238107,YES
507,106,0.45238107,YES
508,106,0.45238107,YES
204,148,0.61956507,NO
329,148,0.61956507,YES
425,148,0.61956507,YES
44,147,0.614035,NO
65,147,0.614035,YES
162,129,0.5272727,YES
358,129,0.5272727,YES
382,129,0.5272727,YES
467,129,0.5272727,YES
421,48,0.19491552,YES
534,48,0.19491552,YES
575,48,0.19491552,YES
634,48,0.19491552,YES
589,130,0.5272727,YES
138,275,0.99999636,YES
470,277,0.9999988,YES
638,277,0.99999636,YES
135,101,0.35294148,NO
297,101,0.35294148,YES
343,101,0.35294148,YES
510,101,0.35294148,YES
550,101,0.35294148,YES
141,74,0.25179875,YES
309,74,0.25179875,YES
432,74,0.25179875,YES
497,74,0.25179875,YES
549,74,0.25179875,YES
572,74,0.25179875,YES
574,74,0.25179875,YES
576,74,0.25179875,YES
284,295,0.9999972,YES
379,273,0.9199991,YES
122,310,0.9999936,YES
618,178,0.5581394,YES
243,319,0.9999973,YES
127,335,0.9999973,YES
137,327,0.9210515,YES
305,329,0.9210515,YES
637,359,0.9999983,YES
176,359,0.9999973,YES
505,332,0.9210515,YES
315,153,0.4166668,YES
498,153,0.4166668,YES
128,372,0.99999607,YES
458,382,0.99999636,YES
171,429,0.99999756,YES
277,421,0.94520485,YES
452,422,0.94520485,YES
180,458,0.99999744,YES
92,252,0.5,YES
645,252,0.5,YES
95,565,0.9999978,YES
28,566,0.99999636,NO
74,573,0.99999833,NO
410,267,0.46153855,YES
225,601,0.9999981,YES
24,637,0.99999744,NO
580,804,0.9999981,YES
51,849,0.99999887,YES
133,860,0.9999972,YES
19,867,0.9999972,YES
520,979,0.9999973,YES
11,1008,0.99999857,YES
67,1059,0.9999983,YES
82,1118,0.99999756,YES
503,1038,0.79999924,YES
132,4088,0.9999987,YES
264,28,1.2714559E-5,NO
236,118,5.0854353E-5,NO
240,120,5.0854353E-5,NO
251,131,5.0854353E-5,NO
155,132,5.0854353E-5,NO
3,138,5.0854353E-5,NO
144,148,5.0854353E-5,NO
32,31,1.0171699E-5,NO
266,40,1.2714559E-5,NO
12,55,1.6952601E-5,NO
213,59,1.6952601E-5,NO
271,45,1.2714559E-5,NO
126,90,2.542847E-5,YES
268,49,1.2714559E-5,NO
607,196,5.0854353E-5,YES
263,50,1.2714559E-5,NO
199,101,2.542847E-5,YES
254,53,1.2714559E-5,NO
0,215,5.0854353E-5,NO
270,55,1.2714559E-5,NO
202,32,7.265541E-6,NO
187,230,5.0854353E-5,NO
221,230,5.0854353E-5,NO
184,241,5.0854353E-5,NO
552,22,4.6235505E-6,YES
36,50,1.0171699E-5,NO
262,63,1.2714559E-5,NO
269,63,1.2714559E-5,NO
476,24,4.6235505E-6,YES
147,39,7.265541E-6,NO
14,55,1.0171699E-5,NO
257,69,1.2714559E-5,NO
258,69,1.2714559E-5,NO
260,72,1.2714559E-5,NO
261,72,1.2714559E-5,NO
156,160,2.542847E-5,YES
449,160,2.542847E-5,YES
405,161,2.542847E-5,YES
105,33,5.0859007E-6,NO
282,33,5.0859007E-6,YES
346,33,5.0859007E-6,YES
192,111,1.6952601E-5,NO
26,68,1.0171699E-5,YES
276,115,1.6952601E-5,YES
164,73,1.0171699E-5,NO
369,78,1.0171699E-5,YES
181,80,1.0171699E-5,YES
18,83,1.0171699E-5,NO
102,25,2.991719E-6,NO
294,25,2.991719E-6,YES
117,61,7.265541E-6,NO
278,61,7.265541E-6,YES
319,61,7.265541E-6,YES
606,438,5.0854353E-5,YES
453,221,2.542847E-5,YES
131,148,1.6952601E-5,YES
179,153,1.6952601E-5,NO
145,92,1.0171699E-5,NO
395,119,1.2714559E-5,YES
90,244,2.542847E-5,NO
86,166,1.6952601E-5,NO
234,100,1.0171699E-5,NO
316,250,2.542847E-5,YES
143,174,1.6952601E-5,NO
35,175,1.6952601E-5,NO
183,264,2.542847E-5,YES
587,266,2.542847E-5,YES
53,41,3.9122406E-6,NO
149,77,7.265541E-6,NO
499,68,6.35736E-6,YES
148,182,1.6952601E-5,NO
118,185,1.6952601E-5,NO
235,186,1.6952601E-5,YES
120,43,3.9122406E-6,YES
48,189,1.6952601E-5,NO
46,44,3.9122406E-6,NO
489,44,3.9122406E-6,YES
64,82,7.265541E-6,NO
608,287,2.542847E-5,YES
632,288,2.542847E-5,YES
124,194,1.6952601E-5,NO
8,45,3.9122406E-6,NO
326,75,6.35736E-6,YES
581,75,6.35736E-6,YES
71,86,7.265541E-6,NO
13,204,1.6952601E-5,NO
15,103,8.476444E-6,NO
333,26,1.956128E-6,YES
490,26,1.956128E-6,YES
330,169,1.2714559E-5,YES
99,343,2.542847E-5,NO
596,343,2.542847E-5,YES
125,346,2.542847E-5,NO
424,141,1.0171699E-5,YES
104,34,2.4218705E-6,NO
435,34,2.4218705E-6,YES
436,34,2.4218705E-6,YES
229,244,1.6952601E-5,YES
547,155,1.0171699E-5,YES
249,111,7.265541E-6,YES
418,399,2.542847E-5,YES
310,117,7.265541E-6,YES
441,117,7.265541E-6,YES
600,117,7.265541E-6,YES
154,76,4.6235505E-6,NO
267,76,4.6235505E-6,NO
647,210,1.2714559E-5,YES
259,77,4.6235505E-6,NO
256,78,4.6235505E-6,YES
360,222,1.2714559E-5,YES
255,81,4.6235505E-6,NO
253,99,5.6509944E-6,NO
349,28,1.5893552E-6,YES
518,28,1.5893552E-6,YES
593,28,1.5893552E-6,YES
177,102,5.6509944E-6,NO
79,237,1.2714559E-5,NO
378,237,1.2714559E-5,YES
88,476,2.542847E-5,YES
123,199,1.0171699E-5,YES
535,167,8.476444E-6,YES
114,60,2.991719E-6,NO
115,60,2.991719E-6,NO
649,60,2.991719E-6,YES
72,207,1.0171699E-5,YES
208,65,3.1787001E-6,NO
304,65,3.1787001E-6,YES
409,29,1.4127606E-6,YES
522,29,1.4127606E-6,YES
38,87,4.238258E-6,NO
347,95,4.6235505E-6,YES
414,95,4.6235505E-6,YES
265,96,4.6235505E-6,NO
49,151,7.265541E-6,NO
356,151,7.265541E-6,YES
451,151,7.265541E-6,YES
313,76,3.632797E-6,YES
321,76,3.632797E-6,YES
545,76,3.632797E-6,YES
631,266,1.2714559E-5,YES
174,84,3.9122406E-6,NO
292,184,8.476444E-6,YES
178,226,1.0171699E-5,YES
189,226,1.0171699E-5,YES
334,87,3.9122406E-6,YES
411,87,3.9122406E-6,YES
63,90,3.9122406E-6,YES
583,200,8.476444E-6,YES
194,211,8.476444E-6,YES
374,181,7.265541E-6,YES
538,159,6.35736E-6,YES
