ID,Size,Predicted,Actual
102,53,0.9997914,NO
434,68,0.99968714,NO
79,69,0.99968714,NO
177,69,0.99968714,YES
48,79,0.99968714,NO
84,79,0.99968714,NO
559,79,0.99968714,NO
101,84,0.99968714,YES
508,86,0.9997914,NO
56,86,0.9993746,NO
527,88,0.9998435,NO
45,90,0.99968714,YES
451,90,0.99968714,NO
463,90,0.99968714,NO
548,90,0.99968714,NO
444,94,0.9993746,NO
136,97,0.9993746,YES
419,98,0.9998435,NO
534,98,0.9998435,NO
181,99,0.99968714,NO
491,99,0.99968714,NO
160,100,0.99968714,YES
192,100,0.99968714,NO
435,100,0.99968714,NO
474,100,0.99968714,NO
445,101,0.9997914,NO
485,101,0.99968714,NO
142,102,0.99968714,NO
173,102,0.9993746,NO
89,104,0.9998748,NO
428,104,0.9998748,NO
439,104,0.9997914,NO
458,105,0.9998748,NO
37,106,0.9998748,YES
60,106,0.9998748,NO
442,106,0.9998748,NO
443,106,0.9998748,NO
466,107,0.9998748,NO
399,108,0.9998748,NO
525,108,0.9998748,NO
33,109,0.9998748,NO
61,109,0.9998748,YES
76,109,0.9998748,YES
400,111,0.9998748,NO
449,111,0.9998748,NO
535,117,0.9997914,NO
70,92,0.74992174,YES
117,92,0.74992174,NO
395,92,0.74992174,NO
454,92,0.74992174,NO
478,83,0.6665971,NO
81,94,0.74992174,YES
377,94,0.74992174,NO
588,94,0.74992174,NO
3,138,0.9993746,NO
359,141,0.9997914,NO
34,147,0.9997914,NO
50,147,0.9997914,YES
116,148,0.9997914,NO
163,148,0.9997914,NO
204,148,0.9997914,YES
360,148,0.9997914,NO
482,155,0.9997914,NO
374,156,0.9997914,NO
93,156,0.9993746,NO
8,157,0.9993746,NO
473,159,0.9997914,NO
384,160,0.99968714,NO
23,160,0.9993746,YES
523,162,0.99968714,NO
5,163,0.99968714,NO
32,163,0.99968714,NO
363,165,0.99968714,NO
470,167,0.9993746,NO
21,188,0.9993746,YES
96,189,0.9993746,YES
97,194,0.9993746,NO
518,200,0.99968714,NO
481,202,0.99968714,NO
156,208,0.99968714,YES
582,210,0.9997914,NO
388,221,0.9993746,NO
464,223,0.99968714,NO
202,223,0.9993746,NO
143,226,0.99968714,NO
151,230,0.99968714,YES
179,230,0.99968714,NO
63,236,0.99968714,NO
75,252,0.9997914,YES
580,252,0.9997914,NO
12,262,0.9993746,YES
123,262,0.9993746,NO
522,266,0.9993746,NO
1,273,0.9993746,YES
573,276,0.9997914,YES
95,277,0.9993746,YES
396,282,0.9997914,NO
138,286,0.9993746,YES
567,288,0.9997914,NO
549,298,0.9993746,NO
68,301,0.9997914,YES
99,304,0.9993746,YES
530,308,0.9993746,NO
166,326,0.9997914,NO
440,332,0.9993746,NO
161,342,0.9997914,YES
98,346,0.9993746,NO
526,354,0.9993746,NO
585,357,0.9993746,NO
4,358,0.9993746,NO
586,376,0.9993746,NO
16,390,0.9993746,NO
551,415,0.9997914,NO
387,422,0.9997914,NO
541,438,0.9997914,NO
2,460,0.9993746,YES
488,491,0.9993746,NO
477,525,0.9993746,NO
436,550,0.9993746,NO
13,553,0.9993746,YES
78,565,0.9993746,YES
243,624,0.9997914,NO
447,628,0.99968714,NO
121,666,0.9993746,NO
41,792,0.9993746,YES
476,842,0.9993746,NO
220,872,0.9997914,NO
26,923,0.9993746,NO
255,936,0.9997914,NO
455,956,0.9993746,YES
10,981,0.9997914,YES
438,1038,0.9993746,NO
225,1126,0.9997914,NO
6,1248,0.9993746,YES
214,2009,0.9997914,NO
104,4088,0.9997914,YES
431,16883,0.99968714,NO
229,25,6.2539085E-4,NO
268,26,6.2539085E-4,NO
335,27,6.2539085E-4,NO
284,28,6.2539085E-4,NO
344,29,6.2539085E-4,NO
457,29,6.2539085E-4,NO
19,32,6.2539085E-4,NO
153,32,6.2539085E-4,YES
448,32,6.2539085E-4,NO
88,33,6.2539085E-4,NO
217,33,6.2539085E-4,NO
281,33,6.2539085E-4,NO
87,34,6.2539085E-4,NO
370,34,6.2539085E-4,NO
371,34,6.2539085E-4,NO
316,35,6.2539085E-4,NO
152,36,6.2539085E-4,NO
286,36,6.2539085E-4,NO
368,36,6.2539085E-4,NO
503,36,6.2539085E-4,NO
555,36,6.2539085E-4,NO
556,36,6.2539085E-4,NO
557,36,6.2539085E-4,NO
308,37,6.2539085E-4,NO
369,37,6.2539085E-4,NO
460,37,6.2539085E-4,NO
467,37,6.2539085E-4,NO
270,38,6.2539085E-4,NO
312,38,6.2539085E-4,NO
372,38,6.2539085E-4,NO
446,38,6.2539085E-4,NO
128,39,6.2539085E-4,NO
236,39,6.2539085E-4,NO
373,39,6.2539085E-4,NO
14,40,6.2539085E-4,NO
348,40,6.2539085E-4,NO
408,41,6.2539085E-4,NO
427,41,6.2539085E-4,NO
564,41,6.2539085E-4,NO
355,42,6.2539085E-4,NO
390,42,6.2539085E-4,NO
422,42,6.2539085E-4,NO
132,43,6.2539085E-4,NO
164,43,6.2539085E-4,NO
171,43,6.2539085E-4,NO
421,43,6.2539085E-4,NO
487,22,3.1289112E-4,NO
36,44,6.2539085E-4,NO
424,44,6.2539085E-4,NO
118,45,6.2539085E-4,NO
135,45,6.2539085E-4,NO
496,45,6.2539085E-4,NO
285,46,6.2539085E-4,NO
352,46,6.2539085E-4,NO
362,46,6.2539085E-4,NO
106,47,6.2539085E-4,NO
130,47,6.2539085E-4,NO
310,47,6.2539085E-4,NO
398,47,6.2539085E-4,NO
414,47,6.2539085E-4,NO
415,47,6.2539085E-4,NO
461,47,6.2539085E-4,NO
587,47,6.2539085E-4,NO
411,24,3.1289112E-4,NO
185,49,6.2539085E-4,NO
403,49,6.2539085E-4,NO
406,49,6.2539085E-4,NO
417,49,6.2539085E-4,NO
85,25,3.1289112E-4,NO
24,50,6.2539085E-4,NO
305,50,6.2539085E-4,NO
389,50,6.2539085E-4,NO
412,50,6.2539085E-4,NO
418,50,6.2539085E-4,NO
7,51,6.2539085E-4,NO
17,51,6.2539085E-4,NO
228,51,6.2539085E-4,NO
426,51,6.2539085E-4,NO
537,51,6.2539085E-4,NO
425,26,3.1289112E-4,NO
30,52,6.2539085E-4,NO
206,52,6.2539085E-4,NO
514,53,6.2539085E-4,NO
574,53,6.2539085E-4,NO
25,27,3.1289112E-4,NO
66,27,3.1289112E-4,NO
452,27,3.1289112E-4,NO
468,27,3.1289112E-4,NO
486,27,3.1289112E-4,NO
492,27,3.1289112E-4,NO
124,54,6.2539085E-4,NO
334,54,6.2539085E-4,NO
383,54,6.2539085E-4,NO
429,54,6.2539085E-4,NO
498,54,6.2539085E-4,NO
576,54,6.2539085E-4,NO
43,55,6.2539085E-4,NO
201,55,6.2539085E-4,NO
578,55,6.2539085E-4,NO
453,28,3.1289112E-4,NO
528,28,3.1289112E-4,NO
112,56,6.2539085E-4,NO
200,56,6.2539085E-4,NO
235,56,6.2539085E-4,NO
311,56,6.2539085E-4,NO
365,56,6.2539085E-4,NO
423,56,6.2539085E-4,NO
529,58,6.2539085E-4,NO
27,60,6.2539085E-4,NO
584,60,6.2539085E-4,NO
213,61,6.2539085E-4,NO
254,61,6.2539085E-4,NO
28,62,6.2539085E-4,NO
134,62,6.2539085E-4,NO
320,62,6.2539085E-4,NO
489,62,6.2539085E-4,NO
505,62,6.2539085E-4,NO
583,62,6.2539085E-4,NO
306,63,6.2539085E-4,NO
410,63,6.2539085E-4,NO
479,63,6.2539085E-4,NO
497,63,6.2539085E-4,NO
155,64,6.2539085E-4,NO
199,64,6.2539085E-4,NO
231,64,6.2539085E-4,NO
241,64,6.2539085E-4,NO
495,64,6.2539085E-4,NO
499,64,6.2539085E-4,NO
581,64,6.2539085E-4,NO
167,65,6.2539085E-4,NO
239,65,6.2539085E-4,NO
20,66,6.2539085E-4,NO
336,66,6.2539085E-4,NO
409,66,6.2539085E-4,NO
195,67,6.2539085E-4,YES
456,67,6.2539085E-4,NO
209,69,6.2539085E-4,NO
91,70,6.2539085E-4,NO
382,70,6.2539085E-4,NO
502,70,6.2539085E-4,NO
149,71,6.2539085E-4,NO
319,71,6.2539085E-4,NO
331,71,6.2539085E-4,NO
378,71,6.2539085E-4,NO
321,72,6.2539085E-4,NO
354,72,6.2539085E-4,NO
394,72,6.2539085E-4,NO
413,72,6.2539085E-4,NO
459,72,6.2539085E-4,NO
238,73,6.2539085E-4,NO
252,73,6.2539085E-4,NO
322,73,6.2539085E-4,NO
244,74,6.2539085E-4,NO
261,75,6.2539085E-4,NO
248,76,6.2539085E-4,NO
256,76,6.2539085E-4,NO
480,76,6.2539085E-4,NO
80,77,6.2539085E-4,NO
120,77,6.2539085E-4,NO
208,77,6.2539085E-4,NO
260,77,6.2539085E-4,NO
298,77,6.2539085E-4,NO
347,77,6.2539085E-4,NO
493,77,6.2539085E-4,NO
304,78,6.2539085E-4,NO
307,79,6.2539085E-4,NO
146,80,6.2539085E-4,NO
49,82,6.2539085E-4,NO
343,82,6.2539085E-4,NO
86,84,6.2539085E-4,NO
246,84,6.2539085E-4,NO
253,84,6.2539085E-4,NO
375,84,6.2539085E-4,NO
560,84,6.2539085E-4,NO
62,85,6.2539085E-4,NO
380,85,6.2539085E-4,NO
342,86,6.2539085E-4,NO
512,86,6.2539085E-4,NO
571,86,6.2539085E-4,NO
29,87,6.2539085E-4,NO
269,87,6.2539085E-4,NO
346,87,6.2539085E-4,NO
122,88,6.2539085E-4,NO
165,88,6.2539085E-4,YES
301,88,6.2539085E-4,NO
67,89,6.2539085E-4,NO
357,89,6.2539085E-4,NO
407,89,6.2539085E-4,NO
292,91,6.2539085E-4,NO
72,93,6.2539085E-4,YES
282,95,6.2539085E-4,NO
349,95,6.2539085E-4,NO
205,96,6.2539085E-4,NO
267,96,6.2539085E-4,NO
475,96,6.2539085E-4,NO
296,98,6.2539085E-4,NO
107,101,6.2539085E-4,NO
232,101,6.2539085E-4,NO
278,101,6.2539085E-4,NO
532,103,6.2539085E-4,NO
545,103,6.2539085E-4,NO
210,104,6.2539085E-4,NO
137,35,2.0863759E-4,NO
450,35,2.0863759E-4,NO
533,35,2.0863759E-4,NO
544,35,2.0863759E-4,NO
216,106,6.2539085E-4,NO
276,107,6.2539085E-4,NO
337,107,6.2539085E-4,NO
191,108,6.2539085E-4,NO
259,109,6.2539085E-4,NO
520,57,3.1289112E-4,NO
538,57,3.1289112E-4,NO
172,114,6.2539085E-4,YES
211,115,6.2539085E-4,NO
35,58,3.1289112E-4,NO
504,58,3.1289112E-4,NO
536,58,3.1289112E-4,NO
283,116,6.2539085E-4,NO
315,116,6.2539085E-4,NO
552,116,6.2539085E-4,NO
245,117,6.2539085E-4,NO
376,117,6.2539085E-4,NO
168,59,3.1289112E-4,NO
180,59,3.1289112E-4,NO
490,59,3.1289112E-4,NO
194,118,6.2539085E-4,NO
330,119,6.2539085E-4,NO
198,120,6.2539085E-4,NO
341,120,6.2539085E-4,NO
441,123,6.2539085E-4,NO
521,123,6.2539085E-4,NO
9,31,1.5649453E-4,NO
462,31,1.5649453E-4,NO
303,125,6.2539085E-4,NO
385,125,6.2539085E-4,NO
517,125,6.2539085E-4,NO
59,126,6.2539085E-4,YES
263,127,6.2539085E-4,NO
297,127,6.2539085E-4,NO
131,129,6.2539085E-4,YES
293,129,6.2539085E-4,NO
