ID,Size,Predicted,Actual
267,76,0.9960653,NO
259,77,0.9960653,NO
256,78,0.9960653,NO
255,81,0.9960653,NO
174,84,0.9960653,NO
253,99,0.9960653,NO
75,126,0.9980249,YES
251,131,0.9960653,NO
139,136,0.9960653,YES
566,182,0.9960653,NO
605,206,0.9960653,NO
138,275,0.9960653,NO
638,277,0.9960653,YES
245,294,0.9960653,NO
243,319,0.9960653,NO
127,335,0.9960653,NO
458,382,0.9960653,NO
95,565,0.9960653,NO
28,566,0.9960653,NO
74,573,0.9960653,NO
225,601,0.9960653,NO
133,860,0.9960653,YES
19,867,0.9960653,NO
520,979,0.9960653,NO
11,1008,0.9960653,NO
96,69,0.06260841,NO
274,69,0.06260841,NO
82,1118,0.9960653,NO
523,105,0.091056526,NO
379,273,0.2309334,NO
392,192,0.09120386,NO
452,422,0.16688685,NO
43,83,0.032377712,NO
543,83,0.032377712,NO
109,140,0.04778985,NO
335,38,0.012393427,NO
377,38,0.012393427,NO
437,38,0.012393427,NO
511,38,0.012393427,NO
500,100,0.032317895,NO
539,100,0.032317895,NO
284,295,0.09120386,NO
57,94,0.027829794,NO
442,94,0.027829794,NO
509,94,0.027829794,NO
653,94,0.027829794,NO
588,162,0.04778985,NO
137,327,0.09120386,NO
618,178,0.04778985,NO
151,88,0.019682545,NO
366,88,0.019682545,NO
592,88,0.019682545,NO
204,148,0.027829794,NO
329,148,0.027829794,NO
425,148,0.027829794,NO
47,106,0.019682545,NO
281,106,0.019682545,NO
507,106,0.019682545,NO
508,106,0.019682545,NO
101,79,0.014138785,NO
372,79,0.014138785,NO
624,79,0.014138785,NO
135,101,0.014138785,NO
297,101,0.014138785,NO
343,101,0.014138785,NO
510,101,0.014138785,NO
550,101,0.014138785,NO
421,48,0.0066484315,NO
534,48,0.0066484315,NO
575,48,0.0066484315,NO
634,48,0.0066484315,NO
87,92,0.009939476,NO
460,92,0.009939476,NO
519,92,0.009939476,NO
315,153,0.014138785,NO
498,153,0.014138785,NO
264,28,3.9627362E-4,NO
32,31,3.9627362E-4,NO
202,32,3.9627362E-4,NO
147,39,3.9627362E-4,NO
271,45,3.9627362E-4,NO
476,24,1.9821535E-4,NO
268,49,3.9627362E-4,NO
36,50,3.9627362E-4,NO
263,50,3.9627362E-4,NO
254,53,3.9627362E-4,NO
12,55,3.9627362E-4,NO
14,55,3.9627362E-4,NO
270,55,3.9627362E-4,NO
45,58,3.9627362E-4,NO
213,59,3.9627362E-4,NO
262,63,3.9627362E-4,NO
269,63,3.9627362E-4,NO
193,64,3.9627362E-4,NO
26,68,3.9627362E-4,NO
252,68,3.9627362E-4,NO
257,69,3.9627362E-4,NO
258,69,3.9627362E-4,NO
201,71,3.9627362E-4,NO
260,72,3.9627362E-4,NO
261,72,3.9627362E-4,NO
102,25,1.3216103E-4,NO
294,25,1.3216103E-4,NO
154,76,3.9627362E-4,NO
149,77,3.9627362E-4,NO
333,26,1.3216103E-4,NO
490,26,1.3216103E-4,NO
181,80,3.9627362E-4,NO
64,82,3.9627362E-4,NO
16,83,3.9627362E-4,NO
71,86,3.9627362E-4,NO
38,87,3.9627362E-4,NO
552,22,9.912733E-5,NO
63,90,3.9627362E-4,NO
126,90,3.9627362E-4,NO
357,91,3.9627362E-4,NO
145,92,3.9627362E-4,NO
265,96,3.9627362E-4,NO
98,97,3.9627362E-4,NO
169,97,3.9627362E-4,NO
234,100,3.9627362E-4,NO
199,101,3.9627362E-4,YES
177,102,3.9627362E-4,NO
15,103,3.9627362E-4,NO
192,111,3.9627362E-4,NO
249,111,3.9627362E-4,NO
276,115,3.9627362E-4,NO
236,118,3.9627362E-4,NO
395,119,3.9627362E-4,NO
266,40,1.3216103E-4,NO
240,120,3.9627362E-4,NO
117,61,1.9821535E-4,NO
278,61,1.9821535E-4,NO
319,61,1.9821535E-4,NO
53,41,1.3216103E-4,NO
120,43,1.3216103E-4,NO
105,33,9.912733E-5,NO
282,33,9.912733E-5,NO
346,33,9.912733E-5,NO
155,132,3.9627362E-4,NO
8,45,1.3216103E-4,NO
289,135,3.9627362E-4,NO
499,68,1.9821535E-4,NO
3,138,3.9627362E-4,NO
424,141,3.9627362E-4,NO
173,142,3.9627362E-4,NO
409,29,7.9305006E-5,NO
522,29,7.9305006E-5,NO
164,73,1.9821535E-4,NO
131,148,3.9627362E-4,YES
