ID,Size,Predicted,Actual
0,215,0.99898165,NO
1,273,0.99898165,YES
2,460,0.99898165,YES
3,138,0.99898165,NO
4,358,0.99898165,NO
5,163,0.99898165,NO
6,1248,0.99898165,YES
7,51,0.999796,NO
8,157,0.99898165,NO
9,31,0.9996601,NO
10,981,0.00101833,YES
11,180,0.9994903,NO
12,262,0.99898165,NO
13,553,0.99898165,YES
14,40,0.99898165,NO
15,369,0.99898165,NO
16,390,0.99898165,NO
17,51,0.999796,NO
18,577,0.99898165,YES
19,32,0.9994903,NO
20,66,0.9996601,NO
21,188,0.99898165,YES
22,582,0.99898165,YES
23,160,0.99898165,YES
24,50,0.9996601,NO
25,27,0.99985427,NO
26,923,0.99898165,YES
27,60,0.9994903,NO
28,62,0.999745,NO
29,87,0.99898165,NO
30,52,0.99898165,NO
31,268,0.00101833,YES
32,163,0.99898165,NO
33,109,0.9996601,NO
34,147,0.9996601,NO
35,58,0.9998725,NO
36,44,0.7498725,NO
37,106,5.09684E-4,YES
38,139,0.99898165,NO
39,326,0.9994903,YES
40,648,0.99898165,YES
41,792,0.00101833,YES
42,319,0.99898165,YES
43,55,0.99898165,NO
44,191,0.9994903,NO
45,90,0.5,NO
46,273,0.99898165,YES
47,137,0.9994903,NO
48,79,0.00101833,NO
49,82,0.6665534,NO
50,147,0.9996601,NO
51,422,0.00101833,YES
52,979,0.99898165,YES
53,495,0.99898165,YES
54,189,0.9994903,YES
55,167,0.99898165,YES
56,86,0.99898165,NO
57,182,0.9994903,YES
58,361,0.00101833,YES
59,126,0.99898165,YES
60,106,5.09684E-4,NO
61,109,0.9996601,NO
62,85,0.9994903,NO
63,236,0.00101833,NO
64,315,0.99898165,YES
65,695,0.99898165,YES
66,27,0.99985427,NO
67,89,0.99898165,NO
68,301,0.99898165,YES
69,153,0.9994903,YES
70,92,0.33344662,NO
71,466,0.99898165,YES
72,93,0.6665534,NO
73,244,0.99898165,NO
74,192,0.9994903,YES
75,252,0.99898165,NO
76,109,0.9996601,NO
77,601,0.99898165,YES
78,565,0.99898165,YES
79,69,0.00101833,NO
80,77,0.9996601,NO
81,94,0.6665534,YES
82,337,0.99898165,NO
83,214,0.99898165,NO
84,79,0.00101833,NO
85,25,0.99985427,NO
86,84,0.9996601,NO
87,34,0.9996601,NO
88,33,0.9994903,NO
89,104,0.99898165,NO
90,172,0.9994903,NO
91,70,0.9996601,NO
92,140,0.99898165,NO
93,156,0.99898165,NO
94,248,0.99898165,NO
95,277,0.99898165,YES
96,189,0.99898165,NO
97,194,0.99898165,NO
98,346,0.99898165,NO
99,304,0.99898165,NO
100,356,0.99898165,YES
101,84,0.99898165,NO
102,53,0.99898165,NO
103,132,0.9994903,NO
104,4088,0.99898165,NO
105,691,0.99898165,YES
106,47,0.99898165,NO
107,101,0.99898165,NO
108,510,0.99898165,YES
109,328,0.99898165,YES
110,273,0.99898165,YES
111,136,0.9994903,NO
112,56,0.99898165,NO
113,74,0.99985427,NO
114,359,0.00101833,YES
115,174,0.9994903,NO
116,148,0.5,NO
117,92,0.33344662,NO
118,45,0.5,NO
119,168,0.9994903,NO
120,77,0.9996601,NO
121,666,0.99898165,NO
122,88,0.99898165,NO
123,262,0.99898165,NO
124,54,0.999796,NO
125,48,0.99985427,YES
126,140,0.99898165,YES
127,152,0.9994903,NO
128,39,0.999796,NO
129,131,0.99898165,NO
130,47,0.99983,NO
131,129,0.99898165,NO
132,43,0.9994903,NO
133,243,0.00101833,YES
134,62,0.999745,NO
135,45,0.5,NO
136,97,0.99898165,NO
137,35,0.9996601,NO
138,286,0.00101833,YES
139,585,0.99898165,NO
140,295,0.99898165,YES
141,355,0.00101833,NO
142,102,0.9994903,NO
143,226,0.99898165,NO
144,153,0.9994903,NO
145,380,0.00101833,YES
146,80,0.99898165,NO
147,268,0.00101833,NO
148,221,0.99898165,NO
149,71,0.9996601,NO
150,952,0.99898165,YES
151,230,0.00101833,YES
152,36,0.9994903,NO
153,32,0.9994903,NO
154,420,0.99898165,NO
155,64,0.999745,NO
156,208,0.00101833,YES
157,408,0.00101833,YES
158,462,0.00101833,NO
159,340,0.99898165,NO
160,100,0.5,YES
161,342,0.99898165,YES
162,178,0.9994903,YES
163,148,0.99898165,NO
164,43,0.99898165,NO
165,88,0.99898165,YES
166,326,0.99898165,NO
167,65,0.99985427,NO
168,59,0.99989796,NO
169,131,0.99898165,NO
170,648,0.99898165,NO
171,43,0.9994903,NO
172,114,0.99898165,YES
173,102,0.99898165,NO
174,309,0.99898165,YES
175,389,0.00101833,YES
176,321,0.99898165,NO
177,69,0.00101833,YES
178,418,0.00101833,NO
179,230,0.00101833,NO
180,59,0.99989796,NO
181,99,0.7998776,NO
182,762,0.99898165,NO
183,558,0.99898165,YES
184,258,0.99898165,NO
185,49,0.9996601,NO
186,551,0.99898165,NO
187,243,0.00101833,NO
188,402,0.00101833,YES
189,259,0.99898165,NO
190,1038,0.99898165,NO
191,108,0.99898165,NO
192,100,0.5,NO
193,185,0.9994903,NO
194,118,0.99898165,NO
195,67,0.99898165,NO
196,74,0.99985427,YES
197,153,0.9994903,NO
198,120,0.9994903,NO
199,64,0.999745,NO
200,56,0.99898165,NO
201,55,0.99898165,NO
202,223,0.99898165,NO
203,617,0.99898165,NO
204,148,0.99898165,YES
205,96,0.00101833,NO
206,52,0.99898165,NO
207,476,0.99898165,NO
208,77,0.99898165,NO
209,69,0.99898165,NO
210,104,0.99898165,NO
211,115,0.99898165,NO
