ID,Size,Predicted,Actual
229,25,0.99999076,NO
268,26,0.99999076,NO
335,27,0.99999076,NO
284,28,0.99999076,NO
344,29,0.99999076,NO
217,33,0.99999076,NO
281,33,0.99999076,NO
316,35,0.99999076,NO
286,36,0.99999076,NO
308,37,0.99999076,NO
372,38,0.9999934,NO
446,38,0.9999934,NO
270,38,0.99999076,NO
312,38,0.99999076,NO
236,39,0.99999076,NO
348,40,0.99999076,NO
285,46,0.99999076,NO
352,46,0.99999076,NO
310,47,0.99999076,NO
106,47,0.99996525,NO
305,50,0.99999076,NO
228,51,0.99999076,NO
334,54,0.99999076,NO
235,56,0.99999076,NO
311,56,0.99999076,NO
213,61,0.99999076,NO
254,61,0.99999076,NO
320,62,0.99999076,NO
306,63,0.99999076,NO
231,64,0.99999076,NO
241,64,0.99999076,NO
239,65,0.99999076,NO
336,66,0.99999076,NO
195,67,0.9999913,NO
456,67,0.9999913,NO
434,68,0.9999913,NO
79,69,0.9999913,NO
177,69,0.9999913,YES
209,69,0.99999076,NO
91,70,0.9999913,NO
382,70,0.9999913,NO
502,70,0.9999913,NO
369,37,0.5249998,NO
460,37,0.5249998,NO
467,37,0.5249998,NO
319,71,0.99999076,NO
331,71,0.99999076,NO
321,72,0.99999076,NO
238,73,0.99999076,NO
252,73,0.99999076,NO
322,73,0.99999076,NO
244,74,0.99999076,NO
261,75,0.99999076,NO
248,76,0.99999076,NO
256,76,0.99999076,NO
208,77,0.99999076,NO
260,77,0.99999076,NO
347,77,0.99999076,NO
298,77,0.99998736,NO
304,78,0.99999076,NO
48,79,0.9999913,NO
84,79,0.9999913,NO
559,79,0.9999913,NO
307,79,0.99999076,NO
146,80,0.9999913,NO
343,82,0.99999076,NO
49,82,0.99996525,NO
478,83,0.99996525,NO
101,84,0.99999267,NO
246,84,0.99999076,NO
253,84,0.99999076,NO
86,84,0.99996525,NO
375,84,0.99996525,NO
560,84,0.99996525,NO
56,86,0.9999967,NO
508,86,0.9999967,NO
342,86,0.99999076,NO
269,87,0.99999076,NO
346,87,0.99999076,NO
301,88,0.99999076,NO
292,91,0.99999076,NO
72,93,0.9999861,NO
444,94,0.9999967,NO
81,94,0.9999861,YES
377,94,0.9999861,NO
588,94,0.9999861,NO
282,95,0.99999076,NO
349,95,0.99999076,NO
267,96,0.99999076,NO
136,97,0.9999967,NO
296,98,0.99999076,NO
445,101,0.9999967,NO
232,101,0.99999076,NO
278,101,0.99999076,NO
439,104,0.9999967,NO
210,104,0.99999076,NO
458,105,0.99999446,NO
37,106,0.99999446,YES
60,106,0.99999446,NO
442,106,0.99999446,NO
443,106,0.99999446,NO
216,106,0.99999076,NO
466,107,0.99999446,NO
276,107,0.99999076,NO
337,107,0.99999076,NO
399,108,0.99999446,NO
525,108,0.99999446,NO
33,109,0.99999446,NO
61,109,0.99999446,NO
76,109,0.99999446,NO
259,109,0.99999076,NO
400,111,0.99999446,NO
449,111,0.99999446,NO
211,115,0.99999076,NO
283,116,0.99999076,NO
315,116,0.99999076,NO
535,117,0.9999967,NO
245,117,0.99999076,NO
330,119,0.99999076,NO
341,120,0.99999076,NO
303,125,0.99999076,NO
263,127,0.99999076,NO
297,127,0.99999076,NO
293,129,0.99999076,NO
317,129,0.99999076,NO
224,135,0.99999076,NO
3,138,0.9999967,NO
294,138,0.99999076,NO
302,139,0.99999076,NO
67,89,0.6388878,NO
357,89,0.6388878,NO
407,89,0.6388878,NO
45,90,0.6388878,NO
451,90,0.6388878,NO
463,90,0.6388878,NO
548,90,0.6388878,NO
359,141,0.9999967,NO
70,92,0.6388878,NO
117,92,0.6388878,NO
395,92,0.6388878,NO
454,92,0.6388878,NO
290,145,0.99999076,NO
323,145,0.99998736,NO
34,147,0.9999934,NO
50,147,0.9999934,NO
163,148,0.9999967,NO
204,148,0.9999967,YES
360,148,0.9999967,NO
116,148,0.9999934,NO
264,148,0.99999076,NO
386,151,0.9999934,NO
291,151,0.99999076,NO
127,152,0.9999934,NO
69,153,0.9999934,YES
144,153,0.9999934,NO
197,153,0.9999934,NO
433,153,0.9999934,NO
250,153,0.99999076,NO
482,155,0.9999967,NO
93,156,0.9999967,NO
374,156,0.9999949,NO
8,157,0.9999967,NO
266,157,0.99999076,NO
338,157,0.99999076,NO
473,159,0.9999949,NO
23,160,0.9999967,YES
384,160,0.9999949,NO
340,161,0.99999076,NO
523,162,0.9999949,NO
5,163,0.9999949,NO
32,163,0.9999949,NO
226,163,0.99999076,NO
242,164,0.99999076,NO
288,164,0.99999076,NO
257,165,0.99999076,NO
470,167,0.9999967,NO
222,168,0.99999076,NO
265,169,0.99999076,NO
299,171,0.99999076,NO
277,174,0.99999076,NO
279,176,0.99999076,NO
215,179,0.99999076,NO
230,180,0.99999076,NO
309,181,0.99999076,NO
227,184,0.99999076,NO
234,187,0.99999076,NO
54,189,0.99999535,YES
44,191,0.99999535,NO
361,191,0.99999535,NO
74,192,0.99999535,YES
327,192,0.99999076,NO
160,100,0.5199998,YES
192,100,0.5199998,NO
435,100,0.5199998,NO
